BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-08-18,110.74,359870,39532039.8
TQBR,2023-08-21,113.5,795380,90348800.0
TQBR,2023-08-22,113.66,331390,37623074.2
TQBR,2023-08-23,112.8,749930,85126631.6
TQBR,2023-08-24,111.54,230880,25874068.6
TQBR,2023-08-25,111.06,422790,46774134.4
TQBR,2023-08-28,110.48,438320,48516721.0
TQBR,2023-08-29,110.96,449210,50096882.0
TQBR,2023-08-30,113.08,498830,56320520.4
TQBR,2023-08-31,112.9,379440,42971971.0
TQBR,2023-09-01,113.7,649770,74235389.0
TQBR,2023-09-04,118.4,1686860,197695738.4
TQBR,2023-09-05,119.5,2038400,243840385.4
TQBR,2023-09-06,120.26,2595260,315362427.4
TQBR,2023-09-07,114.42,1413960,164998731.0
TQBR,2023-09-08,111.3,425170,47815038.6
TQBR,2023-09-11,114.2,1255930,144447610.2
TQBR,2023-09-12,116.0,245850,28453941.2
TQBR,2023-09-13,114.0,641470,74603813.0
TQBR,2023-09-14,108.0,2732750,304331188.4
TQBR,2023-09-15,113.5,878800,98577517.4
TQBR,2023-09-18,113.3,946120,109828298.0
TQBR,2023-09-19,119.22,2593470,301153884.0
TQBR,2023-09-20,115.5,2208160,256188703.0
TQBR,2023-09-21,112.68,1114750,127348398.2
TQBR,2023-09-22,112.3,525240,59521049.0
TQBR,2023-09-25,114.44,701880,80578779.4
TQBR,2023-09-26,114.6,638950,73116630.2
TQBR,2023-09-27,115.7,1660630,195009958.4
TQBR,2023-09-28,115.2,339370,39369003.2
TQBR,2023-09-29,114.42,521690,60266134.0
TQBR,2023-10-02,115.98,428080,49704101.6
TQBR,2023-10-03,125.0,7586520,925386392.0
TQBR,2023-10-04,121.3,2782250,340962727.4
TQBR,2023-10-05,118.5,1568230,184574695.8
TQBR,2023-10-06,118.1,796480,94332072.2
TQBR,2023-10-09,119.44,619570,73784608.4
TQBR,2023-10-10,122.96,2758050,330243238.0
TQBR,2023-10-11,119.74,1459780,178171210.6
TQBR,2023-10-12,118.22,729640,86091055.0
