BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,133.3,4400,586611
TQBR,2014-06-10,131.02,1100,145628
TQBR,2014-06-11,133.89,7100,937910
TQBR,2014-06-16,132.17,5800,772449
TQBR,2014-06-17,131.11,1700,223421
TQBR,2014-06-18,131.0,2400,315092
TQBR,2014-06-19,132.55,8200,1081176
TQBR,2014-06-20,131.6,3400,447305
TQBR,2014-06-23,131.54,700,92326
TQBR,2014-06-24,133.22,4600,603771
TQBR,2014-06-25,134.12,1700,225062
TQBR,2014-06-26,136.5,8200,1103336
TQBR,2014-06-27,135.5,7700,1046543
TQBR,2014-06-30,135.88,9000,1232888
TQBR,2014-07-01,136.83,8200,1121340
TQBR,2014-07-02,137.99,4600,632353
TQBR,2014-07-03,138.9,3800,527844
TQBR,2014-07-04,139.19,10800,1503417
TQBR,2014-07-07,141.54,2900,405719
TQBR,2014-07-08,144.98,6000,854124
TQBR,2014-07-09,143.0,6300,903798
TQBR,2014-07-10,143.8,600,86079
TQBR,2014-07-11,143.3,3600,514878
TQBR,2014-07-14,143.41,5500,790722
TQBR,2014-07-15,144.8,800,114876
TQBR,2014-07-16,143.65,5900,851109
TQBR,2014-07-17,142.11,400,57146
TQBR,2014-07-18,141.97,7100,1003449
TQBR,2014-07-21,135.65,3600,497569
TQBR,2014-07-22,137.22,7100,979201
TQBR,2014-07-23,137.71,7900,1092898
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,135.51,7700,1055199
TQBR,2014-07-28,136.5,6200,847284
TQBR,2014-07-29,139.1,4700,646119
TQBR,2014-07-30,136.64,9600,1316322
TQBR,2014-07-31,136.1,6600,902340
TQBR,2014-08-01,136.79,4600,625020
TQBR,2014-08-04,137.53,5200,715199
TQBR,2014-08-05,138.03,1500,206613
TQBR,2014-08-06,137.95,6700,920238
TQBR,2014-08-07,136.99,8100,1105779
TQBR,2014-08-08,138.6,8900,1212582
TQBR,2014-08-11,138.89,25800,3535572
TQBR,2014-08-12,135.0,700,94496
TQBR,2014-08-13,140.07,7600,1028616
TQBR,2014-08-14,138.0,4300,596411
TQBR,2014-08-15,138.0,2700,370775
TQBR,2014-08-18,138.96,5700,795968
TQBR,2014-08-19,139.69,4100,569443
TQBR,2014-08-20,137.5,2700,375187
TQBR,2014-08-21,137.0,2000,275223
TQBR,2014-08-22,133.9,1300,175911
TQBR,2014-08-25,134.03,6800,903656
TQBR,2014-08-26,131.77,11200,1457113
TQBR,2014-08-27,120.0,11200,1407294
TQBR,2014-08-28,118.1,800,95910
TQBR,2014-08-29,127.13,4800,598670
TQBR,2014-09-01,114.9,23600,2788371
TQBR,2014-09-02,114.0,2300,262602
TQBR,2014-09-03,114.0,400,45651
TQBR,2014-09-04,105.2,12200,1290161
TQBR,2014-09-05,105.09,16500,1708810
TQBR,2014-09-08,102.0,500,51215
TQBR,2014-09-09,97.0,2100,202946
TQBR,2014-09-10,104.99,300,30705
TQBR,2014-09-11,114.09,4900,536840
TQBR,2014-09-12,117.2,1700,205704
TQBR,2014-09-15,122.98,100,12298
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,118.99,5300,609915
TQBR,2014-09-18,115.0,3200,401099
TQBR,2014-09-19,115.0,2200,253511
TQBR,2014-09-22,115.0,700,83004
TQBR,2014-09-23,115.0,1500,178399
TQBR,2014-09-24,126.0,7600,907569
TQBR,2014-09-25,117.0,1900,232174
TQBR,2014-09-26,120.61,1200,145686
TQBR,2014-09-29,120.0,1800,220483
TQBR,2014-09-30,115.01,6100,705091
TQBR,2014-10-01,120.0,1500,177050
TQBR,2014-10-02,115.0,300,34550
TQBR,2014-10-03,115.0,600,70100
TQBR,2014-10-06,123.0,500,60800
TQBR,2014-10-07,116.0,5200,603250
TQBR,2014-10-08,115.0,500,57500
TQBR,2014-10-09,115.0,700,79550
TQBR,2014-10-10,111.0,1600,183100
TQBR,2014-10-13,116.0,2100,239200
TQBR,2014-10-14,125.0,5400,628950
TQBR,2014-10-15,115.5,2300,265250
TQBR,2014-10-16,113.0,5600,646050
TQBR,2014-10-17,113.0,5500,618850
TQBR,2014-10-20,112.0,700,78500
TQBR,2014-10-21,111.0,200,22200
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,111.0,1000,110800
TQBR,2014-10-27,111.5,100,11150
TQBR,2014-10-28,111.0,300,33300
TQBR,2014-10-29,112.5,6100,688350
TQBR,2014-10-30,114.0,4300,486950
TQBR,2014-10-31,111.0,7200,810500
TQBR,2014-11-03,111.5,100,11150
TQBR,2014-11-05,109.5,5300,583150
TQBR,2014-11-06,111.0,1100,121000
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,108.5,600,64850
TQBR,2014-11-11,108.5,200,21750
TQBR,2014-11-12,108.5,300,32650
TQBR,2014-11-13,106.0,6300,670450
TQBR,2014-11-14,102.0,6800,714900
TQBR,2014-11-17,103.0,200,20600
TQBR,2014-11-18,107.0,1100,115200
TQBR,2014-11-19,107.0,100,10700
TQBR,2014-11-20,,0,0
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,107.0,100,10700
TQBR,2014-11-25,,0,0
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,108.5,100,10850
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,,0,0
TQBR,2014-12-02,107.0,300,31600
TQBR,2014-12-03,106.5,100,10650
TQBR,2014-12-04,,0,0
TQBR,2014-12-05,,0,0
TQBR,2014-12-08,97.0,26100,2636400
TQBR,2014-12-09,95.0,40100,3809200
TQBR,2014-12-10,95.0,1100,105100
TQBR,2014-12-11,95.0,1000,95600
TQBR,2014-12-12,99.0,200,19800
TQBR,2014-12-15,95.0,1300,123550
TQBR,2014-12-16,95.0,2200,209050
TQBR,2014-12-17,105.0,100,10500
TQBR,2014-12-18,95.5,1100,106500
TQBR,2014-12-19,95.0,300,28550
TQBR,2014-12-22,100.0,100,10000
TQBR,2014-12-23,,0,0
TQBR,2014-12-24,,0,0
TQBR,2014-12-25,,0,0
TQBR,2014-12-26,96.0,100,9600
TQBR,2014-12-29,95.0,300,28500
TQBR,2014-12-30,94.5,500,47250
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,,0,0
TQBR,2015-01-08,99.0,100,9900
TQBR,2015-01-09,90.0,100,9000
TQBR,2015-01-12,90.0,200,17800
TQBR,2015-01-13,90.5,300,27600
TQBR,2015-01-14,90.0,1200,111850
TQBR,2015-01-15,94.5,1000,91350
TQBR,2015-01-16,,0,0
TQBR,2015-01-19,98.5,100,9850
TQBR,2015-01-20,98.0,300,29350
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,91.0,300,28300
TQBR,2015-01-23,99.0,100,9900
TQBR,2015-01-26,105.0,800,79200
TQBR,2015-01-27,92.0,100,9200
TQBR,2015-01-28,,0,0
TQBR,2015-01-29,93.0,100,9300
TQBR,2015-01-30,,0,0
TQBR,2015-02-02,,0,0
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,,0,0
TQBR,2015-02-05,,0,0
TQBR,2015-02-06,,0,0
TQBR,2015-02-09,105.0,100,10500
TQBR,2015-02-10,,0,0
TQBR,2015-02-11,100.0,4800,506050
TQBR,2015-02-12,104.5,300,30150
TQBR,2015-02-13,110.0,1600,170200
TQBR,2015-02-16,,0,0
TQBR,2015-02-17,101.0,400,40500
TQBR,2015-02-18,,0,0
TQBR,2015-02-19,107.0,2200,233300
TQBR,2015-02-20,108.0,300,30900
TQBR,2015-02-24,,0,0
TQBR,2015-02-25,,0,0
TQBR,2015-02-26,98.0,100,9800
TQBR,2015-02-27,100.5,100,10050
TQBR,2015-03-02,,0,0
TQBR,2015-03-03,98.5,300,29550
TQBR,2015-03-04,100.0,100,10000
TQBR,2015-03-05,100.0,100,10000
TQBR,2015-03-06,106.0,200,21200
TQBR,2015-03-10,,0,0
TQBR,2015-03-11,106.0,400,42700
TQBR,2015-03-12,100.5,300,30150
TQBR,2015-03-13,100.0,400,40600
TQBR,2015-03-16,,0,0
TQBR,2015-03-17,99.0,1400,144350
TQBR,2015-03-18,,0,0
TQBR,2015-03-19,106.0,100,10600
TQBR,2015-03-20,,0,0
TQBR,2015-03-23,106.5,100,10650
TQBR,2015-03-24,94.0,1200,109950
TQBR,2015-03-25,93.5,300,29100
TQBR,2015-03-26,92.5,200,18800
TQBR,2015-03-27,95.0,200,18600
TQBR,2015-03-30,89.5,100,8950
TQBR,2015-03-31,99.0,200,19800
TQBR,2015-04-01,,0,0
TQBR,2015-04-02,,0,0
TQBR,2015-04-03,,0,0
TQBR,2015-04-06,94.0,1800,164150
TQBR,2015-04-07,95.0,100,9500
TQBR,2015-04-08,91.0,300,27300
TQBR,2015-04-09,91.0,7800,706050
TQBR,2015-04-10,90.0,200,17900
TQBR,2015-04-13,95.5,100,9550
TQBR,2015-04-14,95.0,300,28450
TQBR,2015-04-15,,0,0
TQBR,2015-04-16,,0,0
TQBR,2015-04-17,,0,0
TQBR,2015-04-20,95.0,100,9500
TQBR,2015-04-21,86.0,6300,529600
TQBR,2015-04-22,82.5,1000,84000
TQBR,2015-04-23,82.0,6100,523350
TQBR,2015-04-24,80.0,600,48700
TQBR,2015-04-27,84.5,100,8450
TQBR,2015-04-28,81.5,600,48950
TQBR,2015-04-29,,0,0
TQBR,2015-04-30,83.5,100,8350
TQBR,2015-05-05,80.0,1700,138050
TQBR,2015-05-06,79.0,700,55300
TQBR,2015-05-07,85.0,900,74550
TQBR,2015-05-08,83.0,400,32800
TQBR,2015-05-12,82.0,200,16700
TQBR,2015-05-13,84.0,1100,90700
TQBR,2015-05-14,81.5,1500,122150
TQBR,2015-05-15,79.0,1500,119950
TQBR,2015-05-18,82.0,1400,111550
TQBR,2015-05-19,82.5,2900,243400
TQBR,2015-05-20,92.0,1300,115600
TQBR,2015-05-21,,0,0
TQBR,2015-05-22,83.5,800,68450
TQBR,2015-05-25,,0,0
TQBR,2015-05-26,88.0,1300,111450
TQBR,2015-05-27,,0,0
TQBR,2015-05-28,89.0,1300,112500
TQBR,2015-05-29,,0,0
TQBR,2015-06-01,83.0,300,25300
TQBR,2015-06-02,84.0,800,70250
TQBR,2015-06-03,87.5,300,26450
TQBR,2015-06-04,88.0,600,52050
TQBR,2015-06-05,88.0,1000,89100
TQBR,2015-06-08,89.0,300,26900
TQBR,2015-06-09,86.0,300,25800
TQBR,2015-06-10,87.0,500,43750
TQBR,2015-06-11,86.0,1000,87200
TQBR,2015-06-15,87.5,400,35050
TQBR,2015-06-16,87.5,100,8750
TQBR,2015-06-17,88.0,100,8800
TQBR,2015-06-18,97.0,1400,127150
TQBR,2015-06-19,88.0,100,8800
TQBR,2015-06-22,91.0,400,36700
TQBR,2015-06-23,90.0,200,18200
TQBR,2015-06-24,89.0,400,35800
TQBR,2015-06-25,,0,0
TQBR,2015-06-26,91.5,1400,125450
TQBR,2015-06-29,93.0,300,27850
TQBR,2015-06-30,94.0,100,9400
TQBR,2015-07-01,93.0,200,18600
TQBR,2015-07-02,93.5,300,28050
TQBR,2015-07-03,,0,0
TQBR,2015-07-06,95.0,100,9500
TQBR,2015-07-07,93.0,600,56450
TQBR,2015-07-08,90.5,200,18150
TQBR,2015-07-09,,0,0
TQBR,2015-07-10,,0,0
TQBR,2015-07-13,90.5,600,54300
TQBR,2015-07-14,,0,0
TQBR,2015-07-15,,0,0
TQBR,2015-07-16,,0,0
TQBR,2015-07-17,92.0,800,73550
TQBR,2015-07-20,89.5,700,63300
TQBR,2015-07-21,,0,0
