BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-07-10,,0,0.0
TQBR,2017-07-11,2.7,5018000,13181510.0
TQBR,2017-07-12,3.65,489000,1316050.0
TQBR,2017-07-13,5.0,41000,201319.0
TQBR,2017-07-14,6.1285,1062000,5897455.5
TQBR,2017-07-17,4.968,575000,3027644.5
TQBR,2017-07-18,6.7165,24649000,133786225.5
TQBR,2017-07-19,7.598,459000,3406840.0
TQBR,2017-07-20,10.6315,4689000,42441920.5
TQBR,2017-07-21,10.99,2128000,22365799.0
TQBR,2017-07-24,8.244,3785000,32480511.0
TQBR,2017-07-25,7.1,1530000,11413603.5
TQBR,2017-07-26,8.2,8787000,59829004.0
TQBR,2017-07-27,8.4005,3061000,27938193.0
TQBR,2017-07-28,8.1,1917000,16261502.0
TQBR,2017-07-31,8.187,1027000,8388903.5
TQBR,2017-08-01,7.85,472000,3658720.0
TQBR,2017-08-02,7.5715,536000,4220754.0
TQBR,2017-08-03,7.33,339000,2529823.5
TQBR,2017-08-04,6.8215,408000,2865119.0
TQBR,2017-08-07,6.0,1448000,8845817.0
TQBR,2017-08-08,6.0975,391000,2343251.5
TQBR,2017-08-09,5.1255,986000,5340916.0
TQBR,2017-08-10,5.6,633000,3506888.5
TQBR,2017-08-11,6.087,378000,2334688.0
TQBR,2017-08-14,6.5,759000,4801046.0
TQBR,2017-08-15,6.57,275000,1773466.0
TQBR,2017-08-16,6.12,383000,2348645.5
TQBR,2017-08-17,5.56,2675000,15800805.5
TQBR,2017-08-18,5.399,1149000,6174002.0
TQBR,2017-08-21,6.196,1867000,10628943.5
TQBR,2017-08-22,6.931,1439000,9806086.0
TQBR,2017-08-23,6.255,1634000,10859423.5
TQBR,2017-08-24,6.1705,1398000,8990382.5
TQBR,2017-08-25,8.199,5015000,35271028.0
TQBR,2017-08-28,9.14,2241000,19647972.0
TQBR,2017-08-29,9.2895,5904000,51210293.0
TQBR,2017-08-30,9.304,4413000,39323464.5
TQBR,2017-08-31,9.18,4775000,41505359.0
TQBR,2017-09-01,8.7985,1040000,9067439.0
TQBR,2017-09-04,8.519,253000,2199962.0
TQBR,2017-09-05,10.5,16506000,138283456.5
TQBR,2017-09-06,9.3,3915000,37846766.5
TQBR,2017-09-07,10.0,12506000,107740923.0
TQBR,2017-09-08,11.69,21603000,200123091.5
TQBR,2017-09-11,9.7795,2621000,26499577.0
TQBR,2017-09-12,9.58,1027000,9937619.0
TQBR,2017-09-13,9.39,1556000,14827234.5
TQBR,2017-09-14,8.44,1245000,10790442.5
TQBR,2017-09-15,8.8495,11202000,107871136.0
TQBR,2017-09-18,8.2,4447000,38231630.5
TQBR,2017-09-19,8.3995,812000,6837798.0
TQBR,2017-09-20,8.7,5116000,44380494.0
TQBR,2017-09-21,8.333,1149000,9640138.0
TQBR,2017-09-22,8.26,458000,3832219.0
TQBR,2017-09-25,8.105,385000,3147441.5
TQBR,2017-09-26,8.193,566000,4620914.5
TQBR,2017-09-27,8.15,121000,986407.5
TQBR,2017-09-28,8.0805,333000,2704006.0
TQBR,2017-09-29,8.1235,12196000,100653881.0
TQBR,2017-10-02,7.9995,1128000,9178564.5
TQBR,2017-10-03,8.2995,5902000,47626424.0
TQBR,2017-10-04,8.101,136000,1111443.0
TQBR,2017-10-05,8.1975,249000,2022060.5
TQBR,2017-10-06,8.091,145000,1178902.0
TQBR,2017-10-09,8.1195,177000,1426888.0
TQBR,2017-10-10,8.0835,348000,2801674.0
TQBR,2017-10-11,8.0005,175000,1406833.0
TQBR,2017-10-12,7.9,629000,4956996.0
TQBR,2017-10-13,7.888,298000,2339147.0
TQBR,2017-10-16,7.85,409000,3239046.5
TQBR,2017-10-17,7.961,1387000,11286117.0
TQBR,2017-10-18,8.099,698000,5640324.0
TQBR,2017-10-19,8.0925,267000,2139675.5
TQBR,2017-10-20,8.0495,328000,2626915.0
TQBR,2017-10-23,7.8025,635000,5068492.0
TQBR,2017-10-24,7.81,468000,3669642.0
TQBR,2017-10-25,7.7495,261000,2034192.0
