BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,44.448,4380200,194674727.8
TQBR,2014-06-10,45.499,11586400,522319645.4
TQBR,2014-06-11,45.3,4757700,215501200.9
TQBR,2014-06-16,45.999,17932600,822593112.0
TQBR,2014-06-17,46.1,5544500,254605768.8
TQBR,2014-06-18,46.6,6390200,297176053.4
TQBR,2014-06-19,46.599,2484400,115783345.4
TQBR,2014-06-20,46.0,4541800,209382805.4
TQBR,2014-06-23,45.5,5511100,250177137.1
TQBR,2014-06-24,46.45,8348800,384382421.5
TQBR,2014-06-25,45.1,6537800,295804785.3
TQBR,2014-06-26,45.2,2746400,123431090.5
TQBR,2014-06-27,46.2,4036800,184268521.4
TQBR,2014-06-30,45.6,6177400,282774751.9
TQBR,2014-07-01,45.143,2769400,124835096.6
TQBR,2014-07-02,45.9,5860100,266421883.5
TQBR,2014-07-03,46.4,3985100,183896042.8
TQBR,2014-07-04,46.6,2954300,137123750.9
TQBR,2014-07-07,48.0,8342600,398112278.5
TQBR,2014-07-08,47.79,10126900,489481769.8
TQBR,2014-07-09,47.5,5683400,266102092.7
TQBR,2014-07-10,46.44,7049700,325912232.1
TQBR,2014-07-11,47.1,2969200,138376378.9
TQBR,2014-07-14,46.998,3577000,168576569.9
TQBR,2014-07-15,45.8,22954500,1056629891.0
TQBR,2014-07-16,42.6,15876800,678530617.5
TQBR,2014-07-17,40.851,10939300,450227364.8
TQBR,2014-07-18,39.841,13384400,528277784.7
TQBR,2014-07-21,38.6,6906100,269152131.6
TQBR,2014-07-22,39.6,15877200,618906413.0
TQBR,2014-07-23,39.4,10064400,402699409.2
TQBR,2014-07-24,37.3,15204100,574211671.7
TQBR,2014-07-25,37.35,16142300,590854560.0
TQBR,2014-07-28,36.5,10681300,388704231.2
TQBR,2014-07-29,37.2,7023800,258598714.0
TQBR,2014-07-30,38.484,6362500,242010893.4
TQBR,2014-07-31,39.4,7477600,290736275.9
TQBR,2014-08-01,38.4,6678500,255949141.6
TQBR,2014-08-04,38.0,5073200,190808798.0
TQBR,2014-08-05,38.1,3832000,144427652.2
TQBR,2014-08-06,37.342,5914700,221823319.7
TQBR,2014-08-07,38.611,7073100,262668261.8
TQBR,2014-08-08,39.615,3734100,144951985.3
TQBR,2014-08-11,40.9,4004500,162701665.5
TQBR,2014-08-12,41.5,5297000,218707624.0
TQBR,2014-08-13,41.9,6460400,269383809.4
TQBR,2014-08-14,42.51,6718900,284220513.2
TQBR,2014-08-15,43.3,3709100,158260590.1
TQBR,2014-08-18,43.82,3910400,171993511.3
TQBR,2014-08-19,43.92,3525700,155433937.1
TQBR,2014-08-20,42.9,2062200,89527310.6
TQBR,2014-08-21,42.901,3408200,148030070.6
TQBR,2014-08-22,41.561,3482900,145241608.4
TQBR,2014-08-25,42.83,964900,40638784.5
TQBR,2014-08-26,41.5,2949300,123379922.9
TQBR,2014-08-27,39.9,4935300,200082546.4
TQBR,2014-08-28,38.9,8829200,342713104.9
TQBR,2014-08-29,37.719,6184700,233881538.3
TQBR,2014-09-01,36.7,8788000,326015785.0
TQBR,2014-09-02,37.5,2590500,94585501.2
TQBR,2014-09-03,36.0,16618500,609725932.6
TQBR,2014-09-04,35.0,11876300,419944215.7
TQBR,2014-09-05,34.734,7616800,265976904.1
TQBR,2014-09-08,35.3,4360200,152812629.2
TQBR,2014-09-09,35.04,8524200,301770559.8
TQBR,2014-09-10,35.0,8950100,312632280.8
TQBR,2014-09-11,34.95,4589400,160488275.9
TQBR,2014-09-12,35.0,4008500,141100454.6
TQBR,2014-09-15,35.8,11816200,414287095.1
TQBR,2014-09-16,36.47,8508700,308788226.4
TQBR,2014-09-17,23.005,114611200,2792204079.7
TQBR,2014-09-18,21.85,38128000,860831787.8
TQBR,2014-09-19,22.95,82347200,1870117469.9
TQBR,2014-09-22,22.161,10350900,232958896.1
TQBR,2014-09-23,23.0,23478500,535081113.6
TQBR,2014-09-24,23.1,36414700,843754692.0
TQBR,2014-09-25,21.5,34461900,760066446.0
TQBR,2014-09-26,17.0,38859300,686155794.9
TQBR,2014-09-29,12.68,79680200,1083420924.4
TQBR,2014-09-30,13.13,45349800,586563317.4
TQBR,2014-10-01,13.66,49508700,677922809.0
TQBR,2014-10-02,14.1,31578300,439825831.0
TQBR,2014-10-03,15.2,18251500,266223747.0
TQBR,2014-10-06,16.05,27617500,442829798.0
TQBR,2014-10-07,16.1,23323300,377023827.0
TQBR,2014-10-08,15.3,11084600,170827159.0
TQBR,2014-10-09,14.6,30298500,451356123.0
TQBR,2014-10-10,13.3,32184700,437688464.0
TQBR,2014-10-13,13.65,10281000,138646997.0
TQBR,2014-10-14,15.0,12556300,180818298.0
TQBR,2014-10-15,13.85,12481000,178068906.0
TQBR,2014-10-16,13.3,13589000,184255543.0
TQBR,2014-10-17,14.45,27546700,389385447.0
TQBR,2014-10-20,14.18,16516000,231974500.0
TQBR,2014-10-21,13.89,10259200,142937196.0
TQBR,2014-10-22,13.8,8329500,114177762.0
TQBR,2014-10-23,13.01,15779100,206442926.0
TQBR,2014-10-24,12.5,8015500,101523800.0
TQBR,2014-10-27,13.2,10905900,142811503.0
TQBR,2014-10-28,13.8,12078700,165665147.0
TQBR,2014-10-29,13.9,9067300,123592695.0
TQBR,2014-10-30,15.55,62776400,962563093.0
TQBR,2014-10-31,15.95,25622900,411997304.0
TQBR,2014-11-03,15.28,4636700,71645289.0
TQBR,2014-11-05,15.08,5946300,89715756.0
TQBR,2014-11-06,14.55,12453000,186517747.0
TQBR,2014-11-07,13.9,14321100,203310837.0
TQBR,2014-11-10,14.2,6985200,99888582.0
TQBR,2014-11-11,13.22,13111200,179357535.0
TQBR,2014-11-12,13.7,11747700,158179524.0
TQBR,2014-11-13,13.57,31673400,444017498.0
TQBR,2014-11-14,13.25,17863000,239219322.0
TQBR,2014-11-17,12.9,8223700,105358852.0
TQBR,2014-11-18,13.2,8638100,111518997.0
TQBR,2014-11-19,12.92,10271400,131115711.0
TQBR,2014-11-20,13.15,4523900,58385956.0
TQBR,2014-11-21,13.1,5560900,72708787.0
TQBR,2014-11-24,12.96,3859900,49980160.0
TQBR,2014-11-25,13.35,7983200,105372493.0
TQBR,2014-11-26,13.3,5884100,77611498.0
TQBR,2014-11-27,13.08,7338700,96137786.0
TQBR,2014-11-28,12.86,10182100,131324145.0
TQBR,2014-12-01,12.78,15429800,196299536.0
TQBR,2014-12-02,12.42,11245700,140087607.0
TQBR,2014-12-03,11.66,21234700,249978375.0
TQBR,2014-12-04,10.1,31464400,328794308.0
TQBR,2014-12-05,8.99,26498000,247375426.0
TQBR,2014-12-08,7.7,34339600,272228618.0
TQBR,2014-12-09,6.8,51504800,354912204.0
TQBR,2014-12-10,6.98,27377600,192799790.0
TQBR,2014-12-11,6.58,41821100,285312909.0
TQBR,2014-12-12,6.32,23258800,148665536.0
TQBR,2014-12-15,6.65,50260900,337508152.0
TQBR,2014-12-16,6.01,46708700,267459773.0
TQBR,2014-12-17,6.61,23976100,156604350.0
TQBR,2014-12-18,13.63,215247000,2664904681.0
TQBR,2014-12-19,13.82,130525900,1996260280.0
TQBR,2014-12-22,12.29,41204300,541445093.0
TQBR,2014-12-23,10.8,34763100,380639982.0
TQBR,2014-12-24,12.0,61141100,735568315.0
TQBR,2014-12-25,12.07,24327600,291931709.0
TQBR,2014-12-26,11.8,10623100,125628237.0
TQBR,2014-12-29,11.43,16337900,186263132.0
TQBR,2014-12-30,11.4,11954300,133499791.0
TQBR,2015-01-05,12.25,16528100,198488235.0
TQBR,2015-01-06,12.37,11048000,134947112.0
TQBR,2015-01-08,12.6,20593200,264294416.0
TQBR,2015-01-09,12.61,10607500,131461764.0
TQBR,2015-01-12,12.13,10072400,123580740.0
TQBR,2015-01-13,12.25,11034800,132548968.0
TQBR,2015-01-14,12.6,13316400,165494057.0
TQBR,2015-01-15,12.54,13584500,172488964.0
TQBR,2015-01-16,12.43,8734600,109118070.0
TQBR,2015-01-19,12.48,7672200,96184730.0
TQBR,2015-01-20,12.5,6353500,79233098.0
TQBR,2015-01-21,12.63,10612400,133634084.0
TQBR,2015-01-22,13.6,56718600,779181584.0
TQBR,2015-01-23,13.62,26825100,367675246.0
TQBR,2015-01-26,12.9,13836000,180553886.0
TQBR,2015-01-27,12.72,23127200,297699138.0
TQBR,2015-01-28,12.4,19919600,254390094.0
TQBR,2015-01-29,12.74,19974400,251281822.0
TQBR,2015-01-30,13.33,23638600,303831543.0
TQBR,2015-02-02,14.05,32286300,447904897.0
TQBR,2015-02-03,15.4,58529800,882981890.0
TQBR,2015-02-04,16.75,51580100,835609621.0
TQBR,2015-02-05,16.2,53542400,872394680.0
TQBR,2015-02-06,16.5,26629800,439679913.0
TQBR,2015-02-09,17.6,73765700,1296436069.0
TQBR,2015-02-10,17.84,35542900,631961330.0
TQBR,2015-02-11,17.85,37292900,665795783.0
TQBR,2015-02-12,18.38,35793100,647665714.0
TQBR,2015-02-13,18.85,25005500,469201397.0
TQBR,2015-02-16,20.05,38490400,752677042.0
TQBR,2015-02-17,19.1,60090500,1195753911.0
TQBR,2015-02-18,18.82,23611600,444210207.0
TQBR,2015-02-19,18.17,26988400,485204821.0
TQBR,2015-02-20,18.28,13724900,249800077.0
TQBR,2015-02-24,17.32,21569100,379767784.0
TQBR,2015-02-25,17.71,15528000,273248459.0
TQBR,2015-02-26,18.03,20865300,377342925.0
TQBR,2015-02-27,18.32,13329400,241013795.0
TQBR,2015-03-02,18.12,11598500,211689951.0
TQBR,2015-03-03,18.0,13770900,248276954.0
TQBR,2015-03-04,17.6,11156400,199272371.0
TQBR,2015-03-05,17.41,11604400,204447052.0
TQBR,2015-03-06,16.9,13899000,236077049.0
TQBR,2015-03-10,15.7,27578100,442025512.0
TQBR,2015-03-11,15.06,25976100,396274629.0
TQBR,2015-03-12,15.31,28107600,429749241.0
TQBR,2015-03-13,14.83,15556100,231859333.0
TQBR,2015-03-16,14.89,11255600,167195635.0
TQBR,2015-03-17,16.0,42692600,660221846.0
TQBR,2015-03-18,16.52,49676600,821266744.0
TQBR,2015-03-19,16.35,40970500,680952698.0
TQBR,2015-03-20,16.6,20149700,333938334.0
TQBR,2015-03-23,16.59,8527600,141653488.0
TQBR,2015-03-24,16.89,17202600,289685584.0
TQBR,2015-03-25,17.6,24498800,424865600.0
TQBR,2015-03-26,17.04,26591000,456788605.0
TQBR,2015-03-27,17.3,9700300,164362075.0
TQBR,2015-03-30,17.4,13542700,234318414.0
TQBR,2015-03-31,17.9,17961200,315719913.0
TQBR,2015-04-01,17.75,12653600,225731019.0
TQBR,2015-04-02,17.85,21043800,370618008.0
TQBR,2015-04-03,17.65,6113700,108371632.0
TQBR,2015-04-06,17.7,6882900,121211968.0
TQBR,2015-04-07,17.23,14192400,246325740.0
TQBR,2015-04-08,16.61,16864900,282847157.0
TQBR,2015-04-09,16.3,21894200,357687526.0
TQBR,2015-04-10,16.72,11066900,181477791.0
TQBR,2015-04-13,16.68,10249300,172251937.0
TQBR,2015-04-14,16.37,8394000,137740158.0
TQBR,2015-04-15,17.12,18057600,303570348.0
TQBR,2015-04-16,17.25,20880800,358697223.0
TQBR,2015-04-17,17.15,11598000,199257120.0
TQBR,2015-04-20,16.44,21062800,345566853.0
TQBR,2015-04-21,16.43,5001500,82231246.0
TQBR,2015-04-22,16.25,10607800,172623735.0
TQBR,2015-04-23,15.9,14604400,232781499.0
TQBR,2015-04-24,16.06,10023400,160141863.0
TQBR,2015-04-27,16.05,4653200,74638500.0
TQBR,2015-04-28,16.12,15851300,255569954.0
TQBR,2015-04-29,16.0,8177400,131152064.0
TQBR,2015-04-30,15.96,10279900,163467864.0
TQBR,2015-05-05,16.3,9937100,160856816.0
TQBR,2015-05-06,16.25,7002700,113437120.0
TQBR,2015-05-07,16.11,5088500,81664137.0
TQBR,2015-05-08,16.31,3955700,63996775.0
TQBR,2015-05-12,16.2,4312200,70045027.0
TQBR,2015-05-13,16.28,8714000,142022636.0
TQBR,2015-05-14,16.58,7355200,120752231.0
TQBR,2015-05-15,16.78,14770700,247825689.0
TQBR,2015-05-18,17.0,14298500,242655307.0
TQBR,2015-05-19,16.9,8744400,148093851.0
TQBR,2015-05-20,16.85,14088100,238436621.0
TQBR,2015-05-21,16.98,6926600,117068267.0
TQBR,2015-05-22,17.0,5316800,90346512.0
TQBR,2015-05-25,16.86,3081500,52230042.0
TQBR,2015-05-26,16.91,4946800,83932551.0
TQBR,2015-05-27,16.97,11028400,188143364.0
TQBR,2015-05-28,16.96,3052500,51953886.0
TQBR,2015-05-29,16.9,8917700,150913733.0
TQBR,2015-06-01,16.87,6797100,114402663.0
TQBR,2015-06-02,17.1,9544400,163189868.0
TQBR,2015-06-03,16.93,17673300,301911351.0
TQBR,2015-06-04,17.22,21129500,359892582.0
TQBR,2015-06-05,17.67,16517300,286896877.0
TQBR,2015-06-08,17.76,14996300,269177800.0
TQBR,2015-06-09,17.96,7121000,126956616.0
TQBR,2015-06-10,17.82,14504400,259843019.0
TQBR,2015-06-11,17.92,11073600,198498836.0
TQBR,2015-06-15,18.51,11487300,209416109.0
TQBR,2015-06-16,18.38,14146800,260361852.0
TQBR,2015-06-17,18.42,5261500,96873607.0
TQBR,2015-06-18,18.17,9487200,172845300.0
TQBR,2015-06-19,17.9,6674700,120817383.0
TQBR,2015-06-22,18.32,7506600,136647054.0
TQBR,2015-06-23,18.88,17350500,322212139.0
TQBR,2015-06-24,19.2,18921300,360080263.0
TQBR,2015-06-25,19.03,10997600,210358492.0
TQBR,2015-06-26,19.9,24378900,479758347.0
TQBR,2015-06-29,19.75,12582900,246027740.0
TQBR,2015-06-30,19.84,8331400,165109000.0
TQBR,2015-07-01,19.64,7918900,157018335.0
TQBR,2015-07-02,19.75,5963600,117133699.0
TQBR,2015-07-03,19.53,2812500,55118519.0
TQBR,2015-07-06,19.17,9509100,182223242.0
TQBR,2015-07-07,18.25,18177800,333198041.0
TQBR,2015-07-08,18.13,21657200,384699456.0
TQBR,2015-07-09,18.6,16577000,305156650.0
TQBR,2015-07-10,19.02,9748100,183118146.0
TQBR,2015-07-13,19.2,6322700,121524268.0
TQBR,2015-07-14,19.15,9622000,185050646.0
TQBR,2015-07-15,19.12,7049700,134136664.0
TQBR,2015-07-16,19.74,13899400,273338937.0
TQBR,2015-07-17,19.77,5372300,106492627.0
TQBR,2015-07-20,20.14,9213300,183413692.0
TQBR,2015-07-21,20.3,11005900,224075833.0
TQBR,2015-07-22,20.25,11413000,229036425.0
TQBR,2015-07-23,20.22,6529300,131647431.0
TQBR,2015-07-24,20.07,7930400,158896058.0
