BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-12-01,320.0,400,128000.0
TQBR,2014-12-02,305.0,10000,3050000.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,330.0,10000,3300000.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,,0,0.0
TQBR,2014-12-09,,0,0.0
TQBR,2014-12-10,350.0,30,10500.0
TQBR,2014-12-11,212.2,1,212.2
TQBR,2014-12-12,,0,0.0
TQBR,2014-12-15,,0,0.0
TQBR,2014-12-16,,0,0.0
TQBR,2014-12-17,,0,0.0
TQBR,2014-12-18,,0,0.0
TQBR,2014-12-19,350.0,6324,2087463.0
TQBR,2014-12-22,290.0,7764,2386567.1
TQBR,2014-12-23,290.0,1046,303340.0
TQBR,2014-12-24,,0,0.0
TQBR,2014-12-25,280.0,1351,383285.0
TQBR,2014-12-26,271.0,21007,5821966.55
TQBR,2014-12-29,280.0,1,280.0
TQBR,2014-12-30,280.0,4602,1356533.0
TQBR,2015-01-05,280.0,12,3869.0
TQBR,2015-01-06,310.0,381,127577.3
TQBR,2015-01-08,335.0,579,198694.5
TQBR,2015-01-09,306.0,30,9682.15
TQBR,2015-01-12,303.0,9,2688.3
TQBR,2015-01-13,319.95,26,8109.65
TQBR,2015-01-14,315.0,67,21415.65
TQBR,2015-01-15,305.0,304,94199.0
TQBR,2015-01-16,308.0,571,177365.25
TQBR,2015-01-19,,0,0.0
TQBR,2015-01-20,310.0,1032,324095.5
TQBR,2015-01-21,320.0,5101,1507320.0
TQBR,2015-01-22,320.0,4484,1451029.0
TQBR,2015-01-23,324.95,1,324.95
TQBR,2015-01-26,320.0,14980,4688823.0
TQBR,2015-01-27,330.0,48,15858.95
TQBR,2015-01-28,340.0,1,340.0
TQBR,2015-01-29,,0,0.0
TQBR,2015-01-30,335.0,2,670.0
TQBR,2015-02-02,,0,0.0
TQBR,2015-02-03,,0,0.0
TQBR,2015-02-04,,0,0.0
TQBR,2015-02-05,369.0,1,369.0
TQBR,2015-02-06,377.0,32219,11408422.35
TQBR,2015-02-09,379.9,17,6439.1
TQBR,2015-02-10,380.0,129,48730.0
TQBR,2015-02-11,380.0,83,31639.5
TQBR,2015-02-12,389.95,43,16787.4
TQBR,2015-02-13,395.0,121,47689.0
TQBR,2015-02-16,405.0,622,242543.5
TQBR,2015-02-17,405.0,1,405.0
TQBR,2015-02-18,385.0,2867,1090409.1
TQBR,2015-02-19,380.0,574,218220.0
TQBR,2015-02-20,384.95,10,3849.5
TQBR,2015-02-24,,0,0.0
TQBR,2015-02-25,370.0,81,30605.5
TQBR,2015-02-26,380.0,97,36859.95
TQBR,2015-02-27,,0,0.0
TQBR,2015-03-02,375.0,103,38625.0
TQBR,2015-03-03,380.0,5608,2158567.0
TQBR,2015-03-04,380.0,19,7220.0
TQBR,2015-03-05,370.0,10,3700.05
TQBR,2015-03-06,379.95,93,35335.3
TQBR,2015-03-10,379.5,1051,399360.1
TQBR,2015-03-11,374.9,37,13325.3
TQBR,2015-03-12,369.95,28,10005.85
TQBR,2015-03-13,369.95,2,725.05
TQBR,2015-03-16,369.95,40,14257.75
TQBR,2015-03-17,370.0,50,18500.0
TQBR,2015-03-18,370.0,31,11470.0
TQBR,2015-03-19,,0,0.0
TQBR,2015-03-20,370.0,1,370.0
TQBR,2015-03-23,,0,0.0
TQBR,2015-03-24,,0,0.0
TQBR,2015-03-25,354.95,100,35495.0
TQBR,2015-03-26,349.95,130,45474.55
TQBR,2015-03-27,,0,0.0
TQBR,2015-03-30,354.95,1100,385447.55
TQBR,2015-03-31,349.95,122,42695.0
TQBR,2015-04-01,350.0,577,205930.0
TQBR,2015-04-02,354.9,11,3756.4
TQBR,2015-04-03,,0,0.0
TQBR,2015-04-06,379.95,101,34180.0
TQBR,2015-04-07,349.85,2471,872148.95
TQBR,2015-04-08,,0,0.0
TQBR,2015-04-09,375.0,2671,975745.0
TQBR,2015-04-10,377.15,355,133837.05
TQBR,2015-04-13,380.0,152,57716.25
TQBR,2015-04-14,384.95,164,62238.95
TQBR,2015-04-15,405.0,1486,584841.75
TQBR,2015-04-16,389.95,4026,1569990.0
TQBR,2015-04-17,380.0,1675,632878.7
TQBR,2015-04-20,413.0,1637,688324.2
TQBR,2015-04-21,444.95,3553,1505466.65
TQBR,2015-04-22,410.05,10,4119.95
TQBR,2015-04-23,405.0,1078,436135.0
TQBR,2015-04-24,419.95,123,52873.05
TQBR,2015-04-27,,0,0.0
TQBR,2015-04-28,429.75,204,89601.75
TQBR,2015-04-29,424.95,814,356888.3
TQBR,2015-04-30,454.95,1243,557311.0
TQBR,2015-05-05,447.0,31,13551.0
TQBR,2015-05-06,419.0,22,9288.0
TQBR,2015-05-07,424.0,1,424.0
TQBR,2015-05-08,419.0,923,380316.0
TQBR,2015-05-12,431.0,14,6046.0
TQBR,2015-05-13,439.0,12,5265.0
TQBR,2015-05-14,443.0,12,5318.0
TQBR,2015-05-15,444.0,135,59931.0
TQBR,2015-05-18,429.0,2218,932732.0
TQBR,2015-05-19,,0,0.0
TQBR,2015-05-20,,0,0.0
TQBR,2015-05-21,,0,0.0
TQBR,2015-05-22,,0,0.0
TQBR,2015-05-25,434.0,1307,549247.0
TQBR,2015-05-26,436.0,5260,2419099.0
TQBR,2015-05-27,444.0,687,307175.0
TQBR,2015-05-28,454.0,132,58858.0
TQBR,2015-05-29,448.0,35,15710.0
TQBR,2015-06-01,463.0,17,7855.0
TQBR,2015-06-02,473.0,160,75000.0
TQBR,2015-06-03,460.0,166,78824.0
TQBR,2015-06-04,470.0,54,25416.0
TQBR,2015-06-05,474.0,5,2370.0
TQBR,2015-06-08,474.0,24,11296.0
TQBR,2015-06-09,471.0,88,41311.0
TQBR,2015-06-10,,0,0.0
TQBR,2015-06-11,466.0,42,19546.0
TQBR,2015-06-15,474.0,883,401784.0
TQBR,2015-06-16,480.0,1922,933622.0
TQBR,2015-06-17,493.0,110,54220.0
TQBR,2015-06-18,475.0,636,301956.0
TQBR,2015-06-19,,0,0.0
TQBR,2015-06-22,493.0,29,14297.0
TQBR,2015-06-23,490.0,3,1470.0
TQBR,2015-06-24,,0,0.0
TQBR,2015-06-25,435.0,62,27477.0
TQBR,2015-06-26,477.0,5,2343.0
TQBR,2015-06-29,480.0,4,1920.0
TQBR,2015-06-30,463.0,218,101474.0
TQBR,2015-07-01,475.0,2,936.0
TQBR,2015-07-02,488.0,45,21831.0
TQBR,2015-07-03,479.0,86,41194.0
TQBR,2015-07-06,479.0,101,48379.0
TQBR,2015-07-07,509.0,427,209139.0
TQBR,2015-07-08,494.0,412,199318.0
TQBR,2015-07-09,495.0,11,5420.0
TQBR,2015-07-10,495.0,211,103216.0
TQBR,2015-07-13,489.0,104,50856.0
TQBR,2015-07-14,494.0,76,36929.0
TQBR,2015-07-15,494.0,12,5928.0
TQBR,2015-07-16,489.0,35,17115.0
TQBR,2015-07-17,491.0,13988,6908706.0
TQBR,2015-07-20,490.0,2137,1047715.0
TQBR,2015-07-21,490.0,1224,596080.0
TQBR,2015-07-22,490.0,4006,1962923.0
TQBR,2015-07-23,509.0,600,293464.0
TQBR,2015-07-24,500.0,4064,2032448.0
TQBR,2015-07-27,500.0,119,60401.0
TQBR,2015-07-28,515.0,1136,589576.0
TQBR,2015-07-29,515.0,184,94026.0
TQBR,2015-07-30,515.0,20,10300.0
TQBR,2015-07-31,529.0,100,52480.0
TQBR,2015-08-03,539.0,56,29866.0
TQBR,2015-08-04,550.0,1,550.0
TQBR,2015-08-05,589.0,428,244737.0
TQBR,2015-08-06,609.0,331,201560.0
TQBR,2015-08-07,625.0,365,219933.0
TQBR,2015-08-10,560.0,950,533420.0
TQBR,2015-08-11,539.0,4156,2227662.0
TQBR,2015-08-12,515.0,1597,839618.0
TQBR,2015-08-13,520.0,15300,8479294.0
TQBR,2015-08-14,524.0,7198,3835796.0
TQBR,2015-08-17,560.0,3466,1922826.0
TQBR,2015-08-18,565.0,3593,2011379.0
TQBR,2015-08-19,539.0,1068,596647.0
TQBR,2015-08-20,531.0,1550,833599.0
TQBR,2015-08-21,540.0,552,295721.0
TQBR,2015-08-24,534.0,2706,1453461.0
TQBR,2015-08-25,550.0,12082,6685480.0
TQBR,2015-08-26,553.0,2351,1294000.0
TQBR,2015-08-27,539.0,3976,2148302.0
TQBR,2015-08-28,540.0,1616,869407.0
TQBR,2015-08-31,554.0,13124,7475042.0
TQBR,2015-09-01,558.0,13117,7305593.0
TQBR,2015-09-02,557.0,788,435909.0
TQBR,2015-09-03,550.0,1066,589219.0
TQBR,2015-09-04,567.0,7297,4132154.0
TQBR,2015-09-07,584.0,5704,3287486.0
TQBR,2015-09-08,585.0,9281,5329097.0
TQBR,2015-09-09,577.0,22787,13322150.0
TQBR,2015-09-10,590.0,4461,2663791.0
TQBR,2015-09-11,584.0,963,566155.0
TQBR,2015-09-14,589.0,1319,785149.0
TQBR,2015-09-15,582.0,3492,2061720.0
TQBR,2015-09-16,570.0,2131,1237154.0
TQBR,2015-09-17,575.0,2159,1240584.0
TQBR,2015-09-18,570.0,2933,1692466.0
TQBR,2015-09-21,566.0,2650,1538493.0
TQBR,2015-09-22,569.0,633,357410.0
TQBR,2015-09-23,565.0,1993,1119666.0
TQBR,2015-09-24,562.0,2938,1653576.0
TQBR,2015-09-25,560.0,957,533751.0
TQBR,2015-09-28,555.0,1034,570448.0
TQBR,2015-09-29,558.0,7829,4304136.0
TQBR,2015-09-30,553.0,2836,1564183.0
TQBR,2015-10-01,555.0,11995,6470647.0
TQBR,2015-10-02,556.0,719,398498.0
TQBR,2015-10-05,558.0,1690,932753.0
TQBR,2015-10-06,548.0,6003,3284692.0
TQBR,2015-10-07,535.0,8915,4721542.0
TQBR,2015-10-08,507.0,6640,3417939.0
TQBR,2015-10-09,515.0,10927,5599802.0
TQBR,2015-10-12,520.0,5953,2974818.0
TQBR,2015-10-13,532.0,2036,1074832.0
TQBR,2015-10-14,541.0,2259,1205784.0
TQBR,2015-10-15,538.0,2788,1505107.0
TQBR,2015-10-16,540.0,1612,882869.0
TQBR,2015-10-19,569.0,9219,5260584.0
TQBR,2015-10-20,585.0,17293,10271767.0
TQBR,2015-10-21,588.0,4363,2572200.0
TQBR,2015-10-22,596.0,12101,7111626.0
TQBR,2015-10-23,600.0,17163,10150373.0
TQBR,2015-10-26,597.0,2633,1583901.0
TQBR,2015-10-27,620.0,9379,5781253.0
TQBR,2015-10-28,613.0,19362,11926296.0
TQBR,2015-10-29,600.0,4278,2587687.0
TQBR,2015-10-30,616.0,787,475449.0
TQBR,2015-11-02,608.0,3370,2040578.0
TQBR,2015-11-03,610.0,10739,6620612.0
TQBR,2015-11-05,617.0,4344,2662173.0
TQBR,2015-11-06,746.0,28959,19679534.0
TQBR,2015-11-09,730.0,4186,3036007.0
TQBR,2015-11-10,733.0,2120,1556367.0
TQBR,2015-11-11,784.0,28864,21939720.0
TQBR,2015-11-12,826.0,13228,10739898.0
TQBR,2015-11-13,800.0,25288,20805790.0
TQBR,2015-11-16,795.0,6105,4967973.0
TQBR,2015-11-17,773.0,6175,4867259.0
TQBR,2015-11-18,786.0,3397,2611635.0
TQBR,2015-11-19,772.0,7940,6182597.0
TQBR,2015-11-20,790.0,2691,2110653.0
TQBR,2015-11-23,797.0,12572,9979293.0
TQBR,2015-11-24,781.0,6165,4875863.0
TQBR,2015-11-25,800.0,822,653180.0
TQBR,2015-11-26,807.0,8707,7280730.0
TQBR,2015-11-27,825.0,1792,1448881.0
TQBR,2015-11-30,825.0,9621,7930430.0
TQBR,2015-12-01,835.0,1899,1579600.0
TQBR,2015-12-02,832.0,3143,2632215.0
TQBR,2015-12-03,848.0,873,729461.0
TQBR,2015-12-04,845.0,734,613860.0
TQBR,2015-12-07,848.0,1683,1432183.0
TQBR,2015-12-08,852.0,696,586483.0
TQBR,2015-12-09,854.0,1633,1397483.0
TQBR,2015-12-10,853.0,4365,3718574.0
TQBR,2015-12-11,882.0,3297,2829013.0
TQBR,2015-12-14,909.0,9419,8360361.0
TQBR,2015-12-15,984.0,14004,12924511.0
TQBR,2015-12-16,950.0,9361,9237822.0
TQBR,2015-12-17,970.0,4131,4049693.0
TQBR,2015-12-18,948.0,27732,27484779.0
TQBR,2015-12-21,978.0,2338,2292782.0
TQBR,2015-12-22,962.0,4824,4701120.0
TQBR,2015-12-23,960.0,7346,7126533.0
TQBR,2015-12-24,965.0,3296,3182866.0
TQBR,2015-12-25,962.0,1742,1669786.0
TQBR,2015-12-28,990.0,7433,7331534.0
TQBR,2015-12-29,995.0,1331,1323766.0
TQBR,2015-12-30,995.0,8623,8534997.0
TQBR,2016-01-04,992.0,3121,3104249.0
TQBR,2016-01-05,1008.0,5308,5404307.0
TQBR,2016-01-06,1027.0,4491,4543456.0
TQBR,2016-01-11,1030.0,5172,5335683.0
TQBR,2016-01-12,1040.0,2288,2369961.0
TQBR,2016-01-13,1040.0,18659,19555091.0
TQBR,2016-01-14,1027.0,6428,6643332.0
TQBR,2016-01-15,1015.0,7139,7329014.0
TQBR,2016-01-18,1025.0,8228,8416815.0
TQBR,2016-01-19,1037.0,3196,3301979.0
TQBR,2016-01-20,1061.0,10829,11248740.0
TQBR,2016-01-21,1119.0,7929,8863627.0
TQBR,2016-01-22,1062.0,11929,12907356.0
TQBR,2016-01-25,1093.0,8082,8676241.0
TQBR,2016-01-26,1075.0,4409,4799096.0
TQBR,2016-01-27,1073.0,4324,4642408.0
TQBR,2016-01-28,1050.0,3659,3833063.0
TQBR,2016-01-29,1020.0,4947,5098426.0
TQBR,2016-02-01,1040.0,1306,1357554.0
TQBR,2016-02-02,1095.0,9448,10261280.0
TQBR,2016-02-03,1110.0,7167,7881301.0
TQBR,2016-02-04,1096.0,4171,4608093.0
TQBR,2016-02-05,1105.0,5214,5703032.0
TQBR,2016-02-08,1110.0,2315,2554581.0
TQBR,2016-02-09,1150.0,10020,11365949.0
TQBR,2016-02-10,1165.0,5923,6852349.0
TQBR,2016-02-11,1213.0,8189,9728883.0
TQBR,2016-02-12,1230.0,11291,13817903.0
TQBR,2016-02-15,1190.0,10882,13052977.0
TQBR,2016-02-16,1231.0,21203,25178984.0
TQBR,2016-02-17,1243.0,20085,24831353.0
TQBR,2016-02-18,1235.0,10746,13246586.0
TQBR,2016-02-19,1262.0,7395,9243963.0
TQBR,2016-02-20,1265.0,3356,4286183.0
TQBR,2016-02-22,1277.0,30958,39194043.0
TQBR,2016-02-24,1295.0,20346,26294569.0
TQBR,2016-02-25,1294.0,9588,12408575.0
TQBR,2016-02-26,1286.0,11297,14563807.0
TQBR,2016-02-29,1305.0,21126,27582564.0
TQBR,2016-03-01,1269.0,18215,23340296.0
TQBR,2016-03-02,1252.0,14814,18611141.0
TQBR,2016-03-03,1245.0,6623,8267037.0
TQBR,2016-03-04,1261.0,12414,15586210.0
TQBR,2016-03-07,1274.0,6553,8317702.0
TQBR,2016-03-09,1255.0,26451,33693192.0
TQBR,2016-03-10,1219.0,22558,27412003.0
TQBR,2016-03-11,1214.0,11377,13791218.0
TQBR,2016-03-14,1199.0,12327,14862838.0
TQBR,2016-03-15,1224.0,7113,8622112.0
TQBR,2016-03-16,1219.0,6259,7635137.0
TQBR,2016-03-17,1168.0,11536,13642271.0
TQBR,2016-03-18,1200.0,12094,14246885.0
TQBR,2016-03-21,1220.0,6276,7624844.0
TQBR,2016-03-22,1208.0,6389,7749315.0
TQBR,2016-03-23,1224.0,16947,20942781.0
TQBR,2016-03-24,1235.0,11030,13713400.0
TQBR,2016-03-25,1227.0,3131,3859166.0
TQBR,2016-03-28,1234.0,4376,5362092.0
TQBR,2016-03-29,1222.0,8391,10330768.0
TQBR,2016-03-30,1177.0,12121,14435654.0
TQBR,2016-03-31,1153.0,7319,8484239.0
TQBR,2016-04-01,1145.0,4705,5416888.0
TQBR,2016-04-04,1152.0,5696,6571734.0
TQBR,2016-04-05,1198.0,16310,19300452.0
TQBR,2016-04-06,1178.0,6469,7673583.0
TQBR,2016-04-07,1173.0,8894,10337067.0
TQBR,2016-04-08,1148.0,11494,13266289.0
TQBR,2016-04-11,1140.0,2129,2436069.0
TQBR,2016-04-12,1114.0,8404,9447857.0
TQBR,2016-04-13,1132.0,5902,6640543.0
TQBR,2016-04-14,1160.0,8428,9717015.0
TQBR,2016-04-15,1150.0,2165,2508074.0
TQBR,2016-04-18,1157.0,2222,2582277.0
TQBR,2016-04-19,1137.0,3133,3582030.0
TQBR,2016-04-20,1146.0,2515,2858410.0
TQBR,2016-04-21,1115.0,14541,16326947.0
TQBR,2016-04-22,1088.0,21692,23805638.0
TQBR,2016-04-25,1080.0,17601,19256152.0
TQBR,2016-04-26,1080.0,14332,15455580.0
TQBR,2016-04-27,1057.0,16699,17569864.0
TQBR,2016-04-28,1019.0,22446,23278953.0
TQBR,2016-04-29,1010.0,18082,18286517.0
TQBR,2016-05-04,993.0,11948,11835280.0
TQBR,2016-05-05,980.0,12056,11801725.0
TQBR,2016-05-06,950.0,33181,32238141.0
TQBR,2016-05-10,981.0,14893,14280437.0
TQBR,2016-05-11,940.0,37220,35580397.0
TQBR,2016-05-12,944.0,35911,33946131.0
TQBR,2016-05-13,925.0,32877,30781045.0
TQBR,2016-05-16,900.0,40270,36284650.0
TQBR,2016-05-17,945.0,34127,31375360.0
TQBR,2016-05-18,938.0,35619,33714336.0
TQBR,2016-05-19,942.0,18266,17154558.0
TQBR,2016-05-20,934.0,30889,28902240.0
TQBR,2016-05-23,910.0,23020,21097393.0
TQBR,2016-05-24,887.0,45987,40655388.0
TQBR,2016-05-25,859.0,32808,28399384.0
TQBR,2016-05-26,831.0,53962,44655041.0
TQBR,2016-05-27,867.0,33545,28588802.0
TQBR,2016-05-30,878.0,14782,12961111.0
TQBR,2016-05-31,860.0,45772,39128892.0
TQBR,2016-06-01,859.0,11828,10116106.0
TQBR,2016-06-02,850.0,11888,10134983.0
TQBR,2016-06-03,855.0,16054,13720422.0
TQBR,2016-06-06,857.0,20360,17235136.0
TQBR,2016-06-07,888.0,56535,49303459.0
TQBR,2016-06-08,880.0,49207,43841949.0
TQBR,2016-06-09,893.0,36141,32420986.0
TQBR,2016-06-10,885.0,21304,18785920.0
TQBR,2016-06-14,885.0,21293,18928877.0
TQBR,2016-06-15,903.0,25409,22650974.0
TQBR,2016-06-16,914.0,11076,10087012.0
TQBR,2016-06-17,908.0,20550,18437474.0
TQBR,2016-06-20,924.0,16730,15299276.0
TQBR,2016-06-21,958.0,35803,34052372.0
TQBR,2016-06-22,957.0,26881,25564253.0
TQBR,2016-06-23,958.0,20614,19978765.0
TQBR,2016-06-24,976.0,22638,21782094.0
TQBR,2016-06-27,967.0,9221,8974714.0
TQBR,2016-06-28,956.0,16778,15886639.0
TQBR,2016-06-29,935.0,9115,8582714.0
TQBR,2016-06-30,948.0,7917,7459317.0
TQBR,2016-07-01,952.0,7616,7220760.0
TQBR,2016-07-04,948.0,21141,19885675.0
TQBR,2016-07-05,951.0,21831,20823598.0
TQBR,2016-07-06,947.0,28797,27501215.0
TQBR,2016-07-07,943.0,7304,6932233.0
TQBR,2016-07-08,943.0,19089,17910570.0
TQBR,2016-07-11,948.0,8173,7728969.0
TQBR,2016-07-12,939.0,13906,13044704.0
TQBR,2016-07-13,899.0,76522,69095490.0
TQBR,2016-07-14,887.0,61697,55130125.0
TQBR,2016-07-15,897.0,25252,22274292.0
TQBR,2016-07-18,891.0,11161,9962930.0
TQBR,2016-07-19,886.0,31762,28008345.0
TQBR,2016-07-20,911.0,30149,27243002.0
TQBR,2016-07-21,920.0,36541,33347005.0
TQBR,2016-07-22,947.0,23674,22209494.0
TQBR,2016-07-25,941.0,13176,12460210.0
TQBR,2016-07-26,944.0,26433,25006343.0
TQBR,2016-07-27,940.0,24165,22574407.0
TQBR,2016-07-28,956.0,50887,48526155.0
TQBR,2016-07-29,955.0,20347,19531307.0
TQBR,2016-08-01,955.0,21584,20381626.0
TQBR,2016-08-02,947.0,6180,5851871.0
TQBR,2016-08-03,960.0,13320,12741509.0
TQBR,2016-08-04,950.0,26222,24786526.0
TQBR,2016-08-05,958.0,21026,20117852.0
TQBR,2016-08-08,941.0,33318,31215175.0
TQBR,2016-08-09,945.0,9220,8734028.0
TQBR,2016-08-10,949.0,18456,17507253.0
TQBR,2016-08-11,942.0,26775,25140263.0
TQBR,2016-08-12,944.0,16507,15669630.0
TQBR,2016-08-15,947.0,16311,15419980.0
TQBR,2016-08-16,940.0,39120,36834258.0
TQBR,2016-08-17,941.0,29377,27657758.0
TQBR,2016-08-18,940.0,8171,7677018.0
TQBR,2016-08-19,947.0,11164,10529624.0
TQBR,2016-08-22,956.0,18557,17617359.0
TQBR,2016-08-23,939.0,26987,25462500.0
TQBR,2016-08-24,927.0,38605,35800253.0
TQBR,2016-08-25,910.0,39862,36352849.0
TQBR,2016-08-26,900.0,74020,65963154.0
TQBR,2016-08-29,918.0,13194,12071361.0
TQBR,2016-08-30,908.0,29219,26609581.0
TQBR,2016-08-31,895.0,54287,48517599.0
TQBR,2016-09-01,885.0,41212,36303863.0
TQBR,2016-09-02,882.0,22521,19967838.0
TQBR,2016-09-05,873.0,27693,24067892.0
TQBR,2016-09-06,873.0,25137,21804535.0
TQBR,2016-09-07,874.0,21753,19017923.0
TQBR,2016-09-08,871.0,14075,12278486.0
TQBR,2016-09-09,880.0,19070,16780420.0
TQBR,2016-09-12,874.0,11852,10359160.0
TQBR,2016-09-13,868.0,25929,22371261.0
TQBR,2016-09-14,857.0,19100,16532430.0
TQBR,2016-09-15,854.0,12469,10658118.0
TQBR,2016-09-16,872.0,19776,17154055.0
TQBR,2016-09-19,854.0,14083,12057668.0
TQBR,2016-09-20,852.0,37995,32084533.0
TQBR,2016-09-21,846.0,43113,36165932.0
TQBR,2016-09-22,843.0,21788,18325288.0
TQBR,2016-09-23,869.0,32789,28053724.0
TQBR,2016-09-26,842.0,29839,25185545.0
TQBR,2016-09-27,835.0,8359,6993015.0
TQBR,2016-09-28,834.0,21290,17605965.0
TQBR,2016-09-29,830.0,27257,22387481.0
TQBR,2016-09-30,835.0,14651,12171571.0
