BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,1228.0,33130,40352592.4
TQBR,2014-06-10,1196.0,16888,20317035.8
TQBR,2014-06-11,1165.0,21393,24976828.5
TQBR,2014-06-16,1189.9,22072,25964067.2
TQBR,2014-06-17,1175.0,11141,13180834.2
TQBR,2014-06-18,1166.4,8557,10020741.8
TQBR,2014-06-19,1156.3,15947,18308200.8
TQBR,2014-06-20,1135.6,18604,21417533.6
TQBR,2014-06-23,1155.0,5602,6390952.5
TQBR,2014-06-24,1166.9,9700,11244278.9
TQBR,2014-06-25,1175.1,19221,22714036.9
TQBR,2014-06-26,1194.4,22615,27013021.3
TQBR,2014-06-27,1215.0,23199,28118913.3
TQBR,2014-06-30,1235.0,29503,36363828.6
TQBR,2014-07-01,1226.0,17427,21494938.7
TQBR,2014-07-02,1217.0,8391,10183586.5
TQBR,2014-07-03,1228.0,26119,32119920.6
TQBR,2014-07-04,1215.7,3659,4457883.8
TQBR,2014-07-07,1247.3,16935,20993500.3
TQBR,2014-07-08,1254.9,18189,22901724.8
TQBR,2014-07-09,1257.0,5275,6539133.1
TQBR,2014-07-10,1228.9,5418,6722467.2
TQBR,2014-07-11,1223.0,6152,7538164.3
TQBR,2014-07-14,1214.0,7224,8828764.8
TQBR,2014-07-15,1213.0,39247,48060351.6
TQBR,2014-07-16,1221.0,6065,7426071.3
TQBR,2014-07-17,1177.0,28721,34313154.2
TQBR,2014-07-18,1189.3,5516,6552719.4
TQBR,2014-07-21,1158.0,21464,24894611.7
TQBR,2014-07-22,1172.0,6504,7617986.9
TQBR,2014-07-23,1191.8,3028,3571974.7
TQBR,2014-07-24,1175.6,2130,2515914.3
TQBR,2014-07-25,1159.5,5314,6185976.0
TQBR,2014-07-28,1127.1,6043,6857897.1
TQBR,2014-07-29,1110.7,8553,9590958.0
TQBR,2014-07-30,1141.6,4546,5157690.7
TQBR,2014-07-31,1137.4,5025,5758967.8
TQBR,2014-08-01,1149.5,2735,3108740.6
TQBR,2014-08-04,1151.8,2318,2687760.5
TQBR,2014-08-05,1123.0,5647,6416925.8
TQBR,2014-08-06,1095.1,18080,20002324.6
TQBR,2014-08-07,1088.0,7885,8556004.9
TQBR,2014-08-08,1132.9,10797,12038230.7
TQBR,2014-08-11,1153.4,4217,4843674.9
TQBR,2014-08-12,1158.0,2748,3188460.5
TQBR,2014-08-13,1187.9,3157,3722528.1
TQBR,2014-08-14,1187.0,4738,5605338.2
TQBR,2014-08-15,1180.0,3817,4521414.5
TQBR,2014-08-18,1187.2,7084,8460304.1
TQBR,2014-08-19,1193.6,14492,17303460.0
TQBR,2014-08-20,1215.0,6584,7958635.6
TQBR,2014-08-21,1225.6,23937,29450621.7
TQBR,2014-08-22,1241.0,13185,16186996.9
TQBR,2014-08-25,1235.9,1201,1489714.7
TQBR,2014-08-26,1199.9,11724,14162778.2
TQBR,2014-08-27,1200.0,5912,7132277.6
TQBR,2014-08-28,1167.0,4850,5681782.7
TQBR,2014-08-29,1144.1,8725,10069601.5
TQBR,2014-09-01,1148.0,1080,1239394.6
TQBR,2014-09-02,1170.5,7235,8450005.3
TQBR,2014-09-03,1203.2,22058,26512180.1
TQBR,2014-09-04,1192.2,2758,3318538.7
TQBR,2014-09-05,1217.2,8513,10285313.4
TQBR,2014-09-08,1220.2,12792,15708217.1
TQBR,2014-09-09,1231.5,4600,5668170.8
TQBR,2014-09-10,1206.9,21089,25590246.6
TQBR,2014-09-11,1193.5,11665,13984278.5
TQBR,2014-09-12,1191.6,7050,8462771.4
TQBR,2014-09-15,1205.8,9845,11799367.9
TQBR,2014-09-16,1234.9,12017,14666178.6
TQBR,2014-09-17,1210.0,19945,24517982.5
TQBR,2014-09-18,1230.0,12606,15535177.8
TQBR,2014-09-19,1230.0,34830,42578644.2
TQBR,2014-09-22,1232.0,4958,6113533.8
TQBR,2014-09-23,1250.3,23490,29279988.6
TQBR,2014-09-24,1259.9,22233,27971850.2
TQBR,2014-09-25,1267.2,5655,7155487.9
TQBR,2014-09-26,1234.4,11138,13901559.0
TQBR,2014-09-29,1234.9,9314,11621869.9
TQBR,2014-09-30,1250.0,4528,5631373.8
TQBR,2014-10-01,1266.0,6403,8093120.0
TQBR,2014-10-02,1251.0,14588,18255684.0
TQBR,2014-10-03,1251.0,13286,16487956.0
TQBR,2014-10-06,1269.0,24850,31378028.0
TQBR,2014-10-07,1266.0,31879,40489066.0
TQBR,2014-10-08,1267.0,19432,24561249.0
TQBR,2014-10-09,1266.0,5489,6983936.0
TQBR,2014-10-10,1245.0,4894,6116639.0
TQBR,2014-10-13,1294.0,9072,11564237.0
TQBR,2014-10-14,1289.0,2532,3248831.0
TQBR,2014-10-15,1285.0,5845,7527093.0
TQBR,2014-10-16,1284.0,3045,3910344.0
TQBR,2014-10-17,1275.0,5983,7653172.0
TQBR,2014-10-20,1285.0,25290,32410726.0
TQBR,2014-10-21,1291.0,33552,43395156.0
TQBR,2014-10-22,1285.0,1197,1540312.0
TQBR,2014-10-23,1279.0,5379,6904025.0
TQBR,2014-10-24,1282.0,4335,5538082.0
TQBR,2014-10-27,1289.0,3146,4043626.0
TQBR,2014-10-28,1302.0,3826,4974981.0
TQBR,2014-10-29,1325.0,42116,54600594.0
TQBR,2014-10-30,1329.0,9850,12983556.0
TQBR,2014-10-31,1344.0,2490,3322779.0
TQBR,2014-11-03,1350.0,2200,2959975.0
TQBR,2014-11-05,1343.0,12682,17064118.0
TQBR,2014-11-06,1339.0,22338,29662860.0
TQBR,2014-11-07,1379.0,30455,41690846.0
TQBR,2014-11-10,1385.0,8530,11701265.0
TQBR,2014-11-11,1370.0,15456,21098316.0
