BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-07-30,9.99,627660,6337390.81
TQBR,2024-07-31,10.1,143760,1440121.55
TQBR,2024-08-01,11.591,2621670,29006680.16
TQBR,2024-08-02,10.87,2158010,25334277.24
TQBR,2024-08-05,10.415,1037490,10509383.91
TQBR,2024-08-06,9.66,948930,9383248.19
TQBR,2024-08-07,10.061,597750,5924101.17
TQBR,2024-08-08,10.266,383080,3912327.4
TQBR,2024-08-09,10.13,46200,471683.95
TQBR,2024-08-12,10.076,301020,3070812.32
TQBR,2024-08-13,9.895,221580,2196962.3
TQBR,2024-08-14,9.818,78000,768565.96
TQBR,2024-08-15,9.71,290330,2830846.16
TQBR,2024-08-16,9.711,43750,425784.88
TQBR,2024-08-19,9.7,61020,594421.16
TQBR,2024-08-20,9.711,78970,766095.0
TQBR,2024-08-21,9.895,107520,1051886.35
TQBR,2024-08-22,9.704,150690,1473572.0
TQBR,2024-08-23,9.671,387030,3742159.85
TQBR,2024-08-26,9.715,36630,356243.55
TQBR,2024-08-27,9.688,10620,102942.1
TQBR,2024-08-28,9.911,113850,1112149.08
TQBR,2024-08-29,10.016,424390,4337728.05
TQBR,2024-08-30,9.839,207730,2085589.76
TQBR,2024-09-02,9.743,23080,225643.87
TQBR,2024-09-03,9.743,92470,905918.22
TQBR,2024-09-04,9.759,12010,117183.81
TQBR,2024-09-05,9.737,23580,229945.37
TQBR,2024-09-06,9.751,26010,253775.77
TQBR,2024-09-09,9.863,27510,269467.27
TQBR,2024-09-10,9.88,56420,558098.41
TQBR,2024-09-11,10.22,189330,1907416.82
TQBR,2024-09-12,10.01,94280,952798.02
TQBR,2024-09-13,9.986,10600,105911.38
TQBR,2024-09-16,9.906,59310,587954.75
TQBR,2024-09-17,9.992,73230,711002.71
TQBR,2024-09-18,9.968,18450,184312.87
TQBR,2024-09-19,9.984,10200,101943.17
TQBR,2024-09-20,9.993,13970,139633.43
TQBR,2024-09-23,10.183,124350,1265652.59
TQBR,2024-09-24,10.048,59940,603799.91
TQBR,2024-09-25,10.148,161400,1641120.19
TQBR,2024-09-26,10.186,14850,151073.27
TQBR,2024-09-27,10.177,17100,174579.58
TQBR,2024-09-30,10.166,673290,7114431.46
TQBR,2024-10-01,10.166,33050,336735.39
TQBR,2024-10-02,10.402,78690,808811.31
TQBR,2024-10-03,10.316,64180,667369.61
TQBR,2024-10-04,10.33,3690,38104.92
TQBR,2024-10-07,10.35,11340,117331.29
TQBR,2024-10-08,10.323,16690,172453.02
TQBR,2024-10-09,10.297,8630,89090.44
TQBR,2024-10-10,10.134,54230,553748.13
