BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-06-10,55.0,300,16260.0
TQBR,2015-06-11,52.1,300,16210.0
TQBR,2015-06-15,53.5,300,15970.0
TQBR,2015-06-16,56.0,600,33310.0
TQBR,2015-06-17,,0,0.0
TQBR,2015-06-18,,0,0.0
TQBR,2015-06-19,54.1,200,10830.0
TQBR,2015-06-22,58.9,400,23510.0
TQBR,2015-06-23,,0,0.0
TQBR,2015-06-24,55.0,4800,261680.0
TQBR,2015-06-25,55.0,1600,88000.0
TQBR,2015-06-26,,0,0.0
TQBR,2015-06-29,53.0,800,42410.0
TQBR,2015-06-30,53.0,5900,312690.0
TQBR,2015-07-01,,0,0.0
TQBR,2015-07-02,,0,0.0
TQBR,2015-07-03,,0,0.0
TQBR,2015-07-06,50.1,1400,70780.0
TQBR,2015-07-07,,0,0.0
TQBR,2015-07-08,47.2,3400,148220.0
TQBR,2015-07-09,51.9,10800,556890.0
TQBR,2015-07-10,51.9,300,15170.0
TQBR,2015-07-13,50.0,300,15270.0
TQBR,2015-07-14,50.2,400,19670.0
TQBR,2015-07-15,50.2,100,5020.0
TQBR,2015-07-16,50.0,2500,125150.0
TQBR,2015-07-17,50.9,400,20210.0
TQBR,2015-07-20,48.1,600,28320.0
TQBR,2015-07-21,50.9,1400,70260.0
TQBR,2015-07-22,50.9,100,5090.0
TQBR,2015-07-23,50.9,2700,135380.0
TQBR,2015-07-24,51.9,4300,222740.0
TQBR,2015-07-27,50.6,500,23990.0
TQBR,2015-07-28,50.9,1300,66850.0
TQBR,2015-07-29,49.1,1200,59960.0
TQBR,2015-07-30,50.9,200,10180.0
TQBR,2015-07-31,51.0,200,10210.0
TQBR,2015-08-03,52.6,3300,183280.0
TQBR,2015-08-04,52.0,200,10300.0
TQBR,2015-08-05,56.8,100,5680.0
TQBR,2015-08-06,,0,0.0
TQBR,2015-08-07,55.5,100,5550.0
TQBR,2015-08-10,56.9,1100,61190.0
TQBR,2015-08-11,54.9,8500,438550.0
TQBR,2015-08-12,53.0,100,5300.0
