BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-10-13,466.2,854970,398587014.0
TQBR,2023-10-16,560.0,19488378,10931549315.4
TQBR,2023-10-17,531.6,5739684,3175043690.55
TQBR,2023-10-18,506.0,3334286,1710731159.75
TQBR,2023-10-19,502.7,1643222,826340238.25
TQBR,2023-10-20,480.75,1345640,657426601.7
TQBR,2023-10-23,497.7,3655751,1811719789.7
TQBR,2023-10-24,501.0,1154452,582167410.1
TQBR,2023-10-25,505.5,871663,441195847.65
TQBR,2023-10-26,503.45,1037604,532758431.85
TQBR,2023-10-27,499.1,411928,206303578.15
TQBR,2023-10-30,491.0,438334,214862574.25
TQBR,2023-10-31,488.0,512710,250730277.45
TQBR,2023-11-01,493.25,321887,160049237.7
TQBR,2023-11-02,490.5,516333,258171531.7
TQBR,2023-11-03,496.0,222588,110807626.2
TQBR,2023-11-06,516.95,675679,344685460.1
TQBR,2023-11-07,515.15,893920,466420441.8
TQBR,2023-11-08,510.25,200775,102580364.3
TQBR,2023-11-09,505.75,202443,102381921.65
TQBR,2023-11-10,507.05,288738,145196282.75
TQBR,2023-11-13,501.5,254515,127950655.45
TQBR,2023-11-14,502.85,486941,244938246.85
TQBR,2023-11-15,503.7,255628,128098173.25
TQBR,2023-11-16,516.45,984324,507336034.8
TQBR,2023-11-17,533.45,1374837,728123295.65
TQBR,2023-11-20,517.15,1586643,838266708.05
TQBR,2023-11-21,515.15,489635,250987176.55
TQBR,2023-11-22,513.35,316507,162234539.75
TQBR,2023-11-23,509.45,283370,144331424.85
TQBR,2023-11-24,508.2,236478,119585307.2
TQBR,2023-11-27,492.5,594848,294386706.65
TQBR,2023-11-28,492.45,459986,223601277.3
TQBR,2023-11-29,485.65,221533,108066307.75
TQBR,2023-11-30,481.0,285992,137945501.85
TQBR,2023-12-01,476.4,289104,137322567.2
TQBR,2023-12-04,464.4,299503,140731864.95
TQBR,2023-12-05,477.9,242551,114034770.9
TQBR,2023-12-06,461.8,346340,161417591.9
TQBR,2023-12-07,467.05,705572,328833962.45
TQBR,2023-12-08,461.9,216319,100271898.45
TQBR,2023-12-11,450.0,372445,168776911.5
TQBR,2023-12-12,450.2,320893,144375241.0
TQBR,2023-12-13,463.9,275147,126194209.65
TQBR,2023-12-14,470.0,368015,173601303.8
TQBR,2023-12-15,474.7,333832,159503454.85
TQBR,2023-12-18,493.0,459518,224259957.75
TQBR,2023-12-19,495.9,478325,237299740.6
TQBR,2023-12-20,517.0,1007447,518741495.1
TQBR,2023-12-21,511.0,362284,185645330.75
TQBR,2023-12-22,516.4,229934,119090081.05
TQBR,2023-12-25,519.3,482548,251204165.3
TQBR,2023-12-26,510.3,191738,98212035.85
TQBR,2023-12-27,503.7,167527,84700612.35
TQBR,2023-12-28,496.6,230872,115746214.35
TQBR,2023-12-29,501.5,121887,61391974.95
TQBR,2024-01-03,513.1,158386,81092253.85
TQBR,2024-01-04,512.0,105504,54095755.45
TQBR,2024-01-05,514.6,155010,79641718.75
TQBR,2024-01-08,520.25,216047,112002485.2
TQBR,2024-01-09,533.0,1040106,552009117.6
TQBR,2024-01-10,525.6,475176,252947798.4
TQBR,2024-01-11,522.1,360168,187688564.55
TQBR,2024-01-12,524.9,338344,178652394.3
TQBR,2024-01-15,526.55,148753,78299477.6
TQBR,2024-01-16,524.05,179969,94079276.65
TQBR,2024-01-17,525.3,193849,101789367.35
TQBR,2024-01-18,522.95,146519,77024302.1
TQBR,2024-01-19,517.85,149361,77565408.5
TQBR,2024-01-22,526.05,605994,315892124.05
TQBR,2024-01-23,542.75,1154900,621117605.85
TQBR,2024-01-24,542.5,347110,187321573.25
TQBR,2024-01-25,537.5,285919,154427148.1
TQBR,2024-01-26,567.95,1846125,1023105301.45
TQBR,2024-01-29,561.0,1648746,929514441.2
TQBR,2024-01-30,554.5,472337,262226849.6
TQBR,2024-01-31,563.3,1224723,691437314.45
TQBR,2024-02-01,553.1,626772,348593417.05
TQBR,2024-02-02,551.6,246744,136004990.4
