BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,1835.3,20364,37406066.6
TQBR,2014-06-10,1833.0,17660,32341558.2
TQBR,2014-06-11,1833.2,23164,42394025.2
TQBR,2014-06-16,1848.1,86121,160011467.0
TQBR,2014-06-17,1832.0,52041,95239767.0
TQBR,2014-06-18,1831.0,47665,87630389.6
TQBR,2014-06-19,1829.4,86523,158145603.2
TQBR,2014-06-20,1654.0,44054,73095195.5
TQBR,2014-06-23,1632.4,12760,20969669.1
TQBR,2014-06-24,1674.7,38932,64484162.3
TQBR,2014-06-25,1676.5,21022,35492686.1
TQBR,2014-06-26,1666.7,21442,35910384.2
TQBR,2014-06-27,1651.1,42798,71357542.6
TQBR,2014-06-30,1632.2,16600,27225041.1
TQBR,2014-07-01,1626.1,8588,13980074.0
TQBR,2014-07-02,1686.9,31758,53247160.2
TQBR,2014-07-03,1695.0,23365,40038508.6
TQBR,2014-07-04,1709.0,35004,59807049.0
TQBR,2014-07-07,1770.0,27899,48741398.3
TQBR,2014-07-08,1826.0,31424,56785265.0
TQBR,2014-07-09,1810.0,31033,56577340.8
TQBR,2014-07-10,1825.1,30471,55576638.0
TQBR,2014-07-11,1830.0,11502,21028970.9
TQBR,2014-07-14,1794.9,13965,25477588.2
TQBR,2014-07-15,1769.3,46791,81408215.3
TQBR,2014-07-16,1745.0,43648,75537086.7
TQBR,2014-07-17,1684.0,71466,120168390.3
TQBR,2014-07-18,1660.0,62881,102333385.6
TQBR,2014-07-21,1575.0,47346,76649839.9
TQBR,2014-07-22,1634.8,43115,69607649.8
TQBR,2014-07-23,1600.0,52640,85798257.2
TQBR,2014-07-24,1563.8,17641,27662472.3
TQBR,2014-07-25,1540.0,25631,39627934.6
TQBR,2014-07-28,1408.0,52735,75154739.6
TQBR,2014-07-29,1410.0,47928,68441081.5
TQBR,2014-07-30,1448.7,35971,52170600.2
TQBR,2014-07-31,1487.0,12658,18668929.7
TQBR,2014-08-01,1465.0,23106,33557604.7
TQBR,2014-08-04,1498.0,14577,21449012.5
TQBR,2014-08-05,1475.0,7572,11123346.5
TQBR,2014-08-06,1374.5,42019,59615087.9
TQBR,2014-08-07,1410.1,68244,90899313.6
TQBR,2014-08-08,1414.9,9793,13750596.6
TQBR,2014-08-11,1424.0,7270,10390831.4
TQBR,2014-08-12,1450.0,9712,14007538.4
TQBR,2014-08-13,1466.0,15913,23317415.3
TQBR,2014-08-14,1524.0,11058,16492156.4
TQBR,2014-08-15,1541.0,9645,14803691.3
TQBR,2014-08-18,1545.0,14889,23384769.3
TQBR,2014-08-19,1544.0,8113,12575979.8
TQBR,2014-08-20,1512.4,13607,20765769.5
TQBR,2014-08-21,1559.2,22652,34837024.3
TQBR,2014-08-22,1548.2,24638,37790068.3
TQBR,2014-08-25,1520.0,32176,49109397.7
TQBR,2014-08-26,1503.6,11425,17356758.5
TQBR,2014-08-27,1480.0,22016,33182140.6
TQBR,2014-08-28,1441.0,13643,19894508.3
TQBR,2014-08-29,1430.8,6617,9536151.6
TQBR,2014-09-01,1375.0,71733,99930932.5
TQBR,2014-09-02,1375.0,7536,10440859.2
TQBR,2014-09-03,1392.2,28144,39337505.0
TQBR,2014-09-04,1365.2,15156,20749386.9
TQBR,2014-09-05,1345.0,24531,33107953.2
TQBR,2014-09-08,1350.0,109130,147278885.9
TQBR,2014-09-09,1379.9,32284,44678503.8
TQBR,2014-09-10,1380.0,10514,14502734.8
TQBR,2014-09-11,1367.3,17838,24568071.6
TQBR,2014-09-12,1361.1,37295,50688986.5
TQBR,2014-09-15,1318.0,54290,71597772.6
TQBR,2014-09-16,1321.5,21130,28081868.3
TQBR,2014-09-17,1060.0,392045,428360549.6
TQBR,2014-09-18,1035.0,90901,96174387.9
TQBR,2014-09-19,977.0,321059,314489646.8
TQBR,2014-09-22,946.2,56962,54523920.0
TQBR,2014-09-23,951.7,59694,56859790.2
TQBR,2014-09-24,969.7,71858,70329184.8
TQBR,2014-09-25,921.1,84184,79680804.8
TQBR,2014-09-26,808.0,203441,171271616.4
TQBR,2014-09-29,761.3,170442,132031248.4
