BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-08-01,679.0,276,200858
TQBR,2017-08-02,652.0,73,47115
TQBR,2017-08-03,650.0,51,33135
TQBR,2017-08-04,646.0,2,1294
TQBR,2017-08-07,633.0,5,3102
TQBR,2017-08-08,628.0,116,70966
TQBR,2017-08-09,617.0,5523,3316821
TQBR,2017-08-10,600.0,174,105068
TQBR,2017-08-11,625.0,1090,679442
TQBR,2017-08-14,615.0,14,8718
TQBR,2017-08-15,637.0,1,637
TQBR,2017-08-16,614.0,20081,12049803
TQBR,2017-08-17,612.0,11101,6661608
TQBR,2017-08-18,604.0,26,15716
TQBR,2017-08-21,602.0,5002,3001286
TQBR,2017-08-22,608.0,32,19233
TQBR,2017-08-23,608.0,16,9664
TQBR,2017-08-24,600.0,5026,3015643
TQBR,2017-08-25,605.0,5034,3022460
TQBR,2017-08-28,602.0,6,3622
TQBR,2017-08-29,602.0,28,17006
TQBR,2017-08-30,610.0,18060,10840548
TQBR,2017-08-31,610.0,59,36135
TQBR,2017-09-01,602.0,48,29156
TQBR,2017-09-04,610.0,49,29894
TQBR,2017-09-05,605.0,97,59620
TQBR,2017-09-06,618.0,20,12238
TQBR,2017-09-07,,0,0
TQBR,2017-09-08,603.0,83,49986
TQBR,2017-09-11,603.0,53,31959
TQBR,2017-09-12,602.0,11,6637
TQBR,2017-09-13,605.0,2,1216
TQBR,2017-09-14,603.0,1000,603000
TQBR,2017-09-15,648.0,282,178517
TQBR,2017-09-18,629.0,5085,3068646
TQBR,2017-09-19,625.0,9,5574
TQBR,2017-09-20,606.0,11,6709
TQBR,2017-09-21,620.0,113,70245
TQBR,2017-09-22,607.0,21186,12744965
TQBR,2017-09-25,624.0,101,62566
TQBR,2017-09-26,620.0,11727,7092932
TQBR,2017-09-27,618.0,53,32613
TQBR,2017-09-28,605.0,27718,16807080
TQBR,2017-09-29,615.0,20,12225
TQBR,2017-10-02,618.0,277,171402
TQBR,2017-10-03,611.0,1039,639886
TQBR,2017-10-04,619.0,2,1232
TQBR,2017-10-05,619.0,27,16698
TQBR,2017-10-06,626.0,594,371214
TQBR,2017-10-09,628.0,683,432857
TQBR,2017-10-10,629.0,3,1893
TQBR,2017-10-11,650.0,740,475656
TQBR,2017-10-12,620.0,10132,6147241
TQBR,2017-10-13,630.0,29,18269
TQBR,2017-10-16,632.0,2,1264
TQBR,2017-10-17,625.0,1013,633585
TQBR,2017-10-18,649.0,22,14159
TQBR,2017-10-19,635.0,52,33030
TQBR,2017-10-20,641.0,16,10474
TQBR,2017-10-23,643.0,77,49310
TQBR,2017-10-24,636.0,21,13496
TQBR,2017-10-25,639.0,5,3215
TQBR,2017-10-26,639.0,72,46003
TQBR,2017-10-27,637.0,64,40532
TQBR,2017-10-30,631.0,182,114458
TQBR,2017-10-31,639.0,5,3195
TQBR,2017-11-01,625.0,6,3754
TQBR,2017-11-02,625.0,1,625
TQBR,2017-11-03,,0,0
TQBR,2017-11-07,625.0,152,95000
TQBR,2017-11-08,650.0,140,89200
TQBR,2017-11-09,628.0,2,1273
TQBR,2017-11-10,640.0,270,171220
TQBR,2017-11-13,638.0,10,6366
TQBR,2017-11-14,650.0,561,364081
TQBR,2017-11-15,640.0,59,38340
TQBR,2017-11-16,630.0,73,46502
TQBR,2017-11-17,640.0,44,28298
TQBR,2017-11-20,658.0,148,96734
TQBR,2017-11-21,650.0,1,650
TQBR,2017-11-22,650.0,65,42250
TQBR,2017-11-23,656.0,41,26656
TQBR,2017-11-24,641.0,631,409336
TQBR,2017-11-27,648.0,1,648
TQBR,2017-11-28,648.0,67,42897
TQBR,2017-11-29,,0,0
TQBR,2017-11-30,630.0,1254,790803
TQBR,2017-12-01,635.0,96,60933
TQBR,2017-12-04,636.0,3480,2192406
TQBR,2017-12-05,,0,0
TQBR,2017-12-06,,0,0
TQBR,2017-12-07,,0,0
TQBR,2017-12-08,,0,0
TQBR,2017-12-11,,0,0
TQBR,2017-12-12,,0,0
TQBR,2017-12-13,638.0,7,4475
TQBR,2017-12-14,641.0,35,22411
TQBR,2017-12-15,630.0,639,406711
TQBR,2017-12-18,630.0,1161,732882
TQBR,2017-12-19,630.0,6258,3942567
TQBR,2017-12-20,630.0,1600,1008016
TQBR,2017-12-21,631.0,1072,675375
TQBR,2017-12-22,630.0,50,31500
TQBR,2017-12-25,642.0,3,1923
TQBR,2017-12-26,,0,0
TQBR,2017-12-27,653.0,1,653
TQBR,2017-12-28,642.0,6,3852
TQBR,2017-12-29,645.0,1,645
TQBR,2018-01-03,651.0,89,58374
TQBR,2018-01-04,649.0,3,1948
TQBR,2018-01-05,,0,0
TQBR,2018-01-09,635.0,19,12083
TQBR,2018-01-10,636.0,749,464668
TQBR,2018-01-11,632.0,1837,1145901
TQBR,2018-01-12,620.0,12562,7795985
TQBR,2018-01-15,620.0,831,515471
TQBR,2018-01-16,630.0,772,483703
TQBR,2018-01-17,632.0,9,5708
TQBR,2018-01-18,630.0,21,13334
TQBR,2018-01-19,,0,0
TQBR,2018-01-22,630.0,9,5670
TQBR,2018-01-23,630.0,50,31500
TQBR,2018-01-24,630.0,68,42840
TQBR,2018-01-25,637.0,449,286459
TQBR,2018-01-26,630.0,83,52640
TQBR,2018-01-29,638.0,52,32777
TQBR,2018-01-30,631.0,70,44129
TQBR,2018-01-31,635.0,820,519798
TQBR,2018-02-01,635.0,82,52026
TQBR,2018-02-02,635.0,357,226745
TQBR,2018-02-05,,0,0
TQBR,2018-02-06,631.0,136,86747
TQBR,2018-02-07,,0,0
TQBR,2018-02-08,632.0,3,1905
TQBR,2018-02-09,,0,0
TQBR,2018-02-12,,0,0
TQBR,2018-02-13,635.0,1,635
TQBR,2018-02-14,638.0,2,1276
TQBR,2018-02-15,,0,0
TQBR,2018-02-16,,0,0
TQBR,2018-02-19,630.0,12602,7939515
TQBR,2018-02-20,645.0,101,64973
TQBR,2018-02-21,643.0,24,15429
TQBR,2018-02-22,,0,0
TQBR,2018-02-26,648.0,151,97267
TQBR,2018-02-27,635.0,130,83348
TQBR,2018-02-28,620.0,106,66845
TQBR,2018-03-01,625.0,438,272910
TQBR,2018-03-02,630.0,2593,1628681
TQBR,2018-03-05,630.0,1044,657720
TQBR,2018-03-06,630.0,483,304282
TQBR,2018-03-07,630.0,1603,1010139
TQBR,2018-03-09,643.0,1435,904144
TQBR,2018-03-12,640.0,117,75875
TQBR,2018-03-13,639.0,26,16610
TQBR,2018-03-14,630.0,32005,20195152
TQBR,2018-03-15,630.0,2008,1265050
TQBR,2018-03-16,633.0,29702,18678072
TQBR,2018-03-19,635.0,159,100924
TQBR,2018-03-20,632.0,30016,18910101
TQBR,2018-03-21,631.0,19,12002
TQBR,2018-03-22,630.0,27,17010
TQBR,2018-03-23,630.0,4594,2894220
TQBR,2018-03-26,630.0,125,78534
TQBR,2018-03-27,,0,0
TQBR,2018-03-28,628.0,552,346656
TQBR,2018-03-29,626.0,3017,1893530
TQBR,2018-03-30,,0,0
TQBR,2018-04-02,626.0,93,58222
TQBR,2018-04-03,630.0,1811,1140930
TQBR,2018-04-04,630.0,1000,630000
TQBR,2018-04-05,,0,0
TQBR,2018-04-06,630.0,2011,1266935
TQBR,2018-04-09,609.0,4,2452
TQBR,2018-04-10,620.0,262,157254
TQBR,2018-04-11,625.0,50,31250
TQBR,2018-04-12,626.0,67,41515
TQBR,2018-04-13,615.0,2,1226
TQBR,2018-04-16,615.0,137,84242
TQBR,2018-04-17,615.0,54,33235
TQBR,2018-04-18,615.0,186,114264
TQBR,2018-04-19,630.0,39,24570
TQBR,2018-04-20,,0,0
TQBR,2018-04-23,,0,0
TQBR,2018-04-24,630.0,3,1871
TQBR,2018-04-25,630.0,3008,1907478
TQBR,2018-04-26,,0,0
TQBR,2018-04-27,630.0,2101,1341893
TQBR,2018-04-28,650.0,406,263880
TQBR,2018-04-30,,0,0
TQBR,2018-05-02,611.0,79,48269
TQBR,2018-05-03,660.0,2703,1736880
TQBR,2018-05-04,675.0,580,380459
TQBR,2018-05-07,685.0,347,235232
TQBR,2018-05-08,695.0,487,337514
TQBR,2018-05-10,700.0,311,217003
TQBR,2018-05-11,700.0,68,47534
TQBR,2018-05-14,705.0,287,200642
TQBR,2018-05-15,705.0,196,137908
TQBR,2018-05-16,705.0,170,119850
TQBR,2018-05-17,705.0,551,387955
TQBR,2018-05-18,710.0,408,288617
TQBR,2018-05-21,710.0,200,142001
TQBR,2018-05-22,700.0,501,355899
TQBR,2018-05-23,710.0,500,354999
TQBR,2018-05-24,710.0,452,320870
TQBR,2018-05-25,,0,0
TQBR,2018-05-28,700.0,261,184786
TQBR,2018-05-29,710.0,400,283999
TQBR,2018-05-30,715.0,2,1430
TQBR,2018-05-31,715.0,6,4290
TQBR,2018-06-01,705.0,80,56400
TQBR,2018-06-04,700.0,426,299300
TQBR,2018-06-05,700.0,95,66502
TQBR,2018-06-06,700.0,317,221887
TQBR,2018-06-07,700.0,317,221900
TQBR,2018-06-08,700.0,200,140000
TQBR,2018-06-09,705.0,200,141000
TQBR,2018-06-11,,0,0
TQBR,2018-06-13,700.0,200,139969
TQBR,2018-06-14,700.0,1000,699982
TQBR,2018-06-15,,0,0
TQBR,2018-06-18,700.0,505,353500
TQBR,2018-06-19,690.0,1,690
TQBR,2018-06-20,,0,0
TQBR,2018-06-21,685.0,1012,707699
TQBR,2018-06-22,,0,0
TQBR,2018-06-25,700.0,50,34999
TQBR,2018-06-26,698.0,63,41794
TQBR,2018-06-27,698.0,506,353104
TQBR,2018-06-28,695.0,702,491328
TQBR,2018-06-29,680.0,80,53846
TQBR,2018-07-02,690.0,443,305654
TQBR,2018-07-03,690.0,423,291872
TQBR,2018-07-04,690.0,700,483000
TQBR,2018-07-05,688.0,15,10481
TQBR,2018-07-06,688.0,451,306689
TQBR,2018-07-09,692.0,715,494682
TQBR,2018-07-10,685.0,154,106271
TQBR,2018-07-11,688.0,1,688
TQBR,2018-07-12,690.0,21,14490
TQBR,2018-07-13,679.0,27,18415
TQBR,2018-07-16,688.0,9,6192
TQBR,2018-07-17,680.0,62,40084
TQBR,2018-07-18,688.0,1069,735425
TQBR,2018-07-19,680.0,6,4081
TQBR,2018-07-20,680.0,7,4765
TQBR,2018-07-23,,0,0
TQBR,2018-07-24,680.0,5,3400
TQBR,2018-07-25,670.0,26,17653
TQBR,2018-07-26,670.0,36,24165
TQBR,2018-07-27,674.0,18,12097
TQBR,2018-07-30,665.0,779,517240
TQBR,2018-07-31,670.0,1251,836870
TQBR,2018-08-01,660.0,13,8600
TQBR,2018-08-02,666.0,1766,1169882
TQBR,2018-08-03,652.0,1,652
TQBR,2018-08-06,660.0,762,501218
TQBR,2018-08-07,660.0,7,4640
TQBR,2018-08-08,670.0,17,11180
TQBR,2018-08-09,670.0,327,213302
TQBR,2018-08-10,670.0,546,369056
TQBR,2018-08-13,,0,0
TQBR,2018-08-14,668.0,171,115266
TQBR,2018-08-15,660.0,11,7254
TQBR,2018-08-16,658.0,114,75542
TQBR,2018-08-17,658.0,626,412278
TQBR,2018-08-20,652.0,59,39526
TQBR,2018-08-21,650.0,414,269156
TQBR,2018-08-22,,0,0
TQBR,2018-08-23,638.0,142,93296
TQBR,2018-08-24,,0,0
TQBR,2018-08-27,640.0,45,29794
TQBR,2018-08-28,640.0,10,6392
TQBR,2018-08-29,644.0,183,119226
TQBR,2018-08-30,628.0,14,8830
TQBR,2018-08-31,628.0,145,94586
TQBR,2018-09-03,640.0,238,159014
TQBR,2018-09-04,630.0,425,269230
TQBR,2018-09-05,646.0,18,11420
