BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,330.0,10,3300
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,344.9,10,3449
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,361.5,430,135170
TQBR,2014-06-23,355.0,100,35500
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,311.8,20,6238
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,306.6,50,15544
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,339.2,60,19641
TQBR,2014-07-18,339.2,30,10176
TQBR,2014-07-21,309.8,20,6196
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,310.0,30,9299
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,306.0,20,6130
TQBR,2014-07-30,354.4,10,3544
TQBR,2014-07-31,335.0,120,46525
TQBR,2014-08-01,348.9,20,6836
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,325.0,60,19141
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,325.0,10,3250
TQBR,2014-08-15,335.0,40,13400
TQBR,2014-08-18,300.5,600,180424
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,307.5,140,42312
TQBR,2014-08-25,326.9,10,3269
TQBR,2014-08-26,320.0,20,6127
TQBR,2014-08-27,320.0,90,28797
TQBR,2014-08-28,314.5,130,39165
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,295.0,40,13654
TQBR,2014-09-02,314.8,80,23739
TQBR,2014-09-03,342.1,70,22070
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,317.0,170,53226
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,315.0,10,3150
TQBR,2014-09-11,308.0,20,6390
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,301.0,30,9039
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,329.9,40,13367
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,319.9,40,12330
TQBR,2014-09-30,328.8,30,9687
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,,0,0
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,305.0,40,12180
TQBR,2014-10-13,320.0,230,74080
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,310.0,160,49620
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,,0,0
TQBR,2014-10-28,301.0,10,3010
TQBR,2014-10-29,310.0,310,96090
TQBR,2014-10-30,,0,0
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,337.0,40,13350
TQBR,2014-11-05,,0,0
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,340.0,30,10140
TQBR,2014-11-14,388.0,1220,431540
TQBR,2014-11-17,360.0,120,45330
TQBR,2014-11-18,395.0,220,86660
TQBR,2014-11-19,361.0,10,3610
TQBR,2014-11-20,361.0,10,3610
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,359.0,100,37190
TQBR,2014-11-25,390.0,420,163670
TQBR,2014-11-26,430.0,690,286040
TQBR,2014-11-27,432.0,3170,1452550
TQBR,2014-11-28,410.0,1010,414100
TQBR,2014-12-01,477.0,50,21270
TQBR,2014-12-02,430.0,70,30350
TQBR,2014-12-03,,0,0
TQBR,2014-12-04,431.0,50,20350
TQBR,2014-12-05,480.0,190,87610
TQBR,2014-12-08,450.0,260,115060
TQBR,2014-12-09,456.0,70,32960
TQBR,2014-12-10,509.0,460,229110
TQBR,2014-12-11,,0,0
TQBR,2014-12-12,524.0,10,5240
TQBR,2014-12-15,500.0,100,46270
TQBR,2014-12-16,473.0,370,134120
TQBR,2014-12-17,,0,0
TQBR,2014-12-18,411.0,180,73380
TQBR,2014-12-19,,0,0
TQBR,2014-12-22,492.0,30,14120
TQBR,2014-12-23,422.0,110,45290
TQBR,2014-12-24,450.0,40,16970
TQBR,2014-12-25,,0,0
TQBR,2014-12-26,474.0,80,34490
TQBR,2014-12-29,425.0,730,312540
TQBR,2014-12-30,509.0,1030,522380
TQBR,2015-01-05,499.0,50,24950
TQBR,2015-01-06,,0,0
TQBR,2015-01-08,500.0,60,28790
TQBR,2015-01-09,500.0,10,5000
TQBR,2015-01-12,431.0,120,52110
TQBR,2015-01-13,478.0,10,4780
TQBR,2015-01-14,476.0,90,39390
TQBR,2015-01-15,495.0,150,72160
TQBR,2015-01-16,475.0,320,157040
TQBR,2015-01-19,454.0,30,14740
TQBR,2015-01-20,450.0,40,18030
TQBR,2015-01-21,530.0,1050,543810
TQBR,2015-01-22,529.0,510,270280
TQBR,2015-01-23,490.0,110,60050
TQBR,2015-01-26,565.0,270,155030
TQBR,2015-01-27,598.0,370,220670
TQBR,2015-01-28,571.0,1980,1134500
TQBR,2015-01-29,565.0,250,139910
TQBR,2015-01-30,595.0,160,89540
TQBR,2015-02-02,620.0,870,523510
TQBR,2015-02-03,660.0,630,405860
TQBR,2015-02-04,650.0,50,32500
TQBR,2015-02-05,650.0,280,184300
TQBR,2015-02-06,,0,0
TQBR,2015-02-09,667.0,90,60030
TQBR,2015-02-10,700.0,740,491050
TQBR,2015-02-11,651.0,40,25340
TQBR,2015-02-12,700.0,200,141740
TQBR,2015-02-13,734.0,280,204620
TQBR,2015-02-16,785.0,20,15700
TQBR,2015-02-17,793.0,450,357450
TQBR,2015-02-18,750.0,110,82500
TQBR,2015-02-19,730.0,300,219000
TQBR,2015-02-20,760.0,360,269890
TQBR,2015-02-24,789.0,40,30800
TQBR,2015-02-25,730.0,10,7300
TQBR,2015-02-26,730.0,130,94900
TQBR,2015-02-27,704.0,110,81040
TQBR,2015-03-02,730.0,360,262990
TQBR,2015-03-03,710.0,10,7100
TQBR,2015-03-04,750.0,200,150000
TQBR,2015-03-05,815.0,550,440680
TQBR,2015-03-06,800.0,120,96200
TQBR,2015-03-10,,0,0
TQBR,2015-03-11,,0,0
TQBR,2015-03-12,815.0,50,41040
TQBR,2015-03-13,,0,0
TQBR,2015-03-16,889.0,1210,1050180
TQBR,2015-03-17,889.0,10,8890
TQBR,2015-03-18,877.0,100,83320
TQBR,2015-03-19,925.0,400,378370
TQBR,2015-03-20,,0,0
TQBR,2015-03-23,,0,0
TQBR,2015-03-24,800.0,20,17200
TQBR,2015-03-25,,0,0
TQBR,2015-03-26,,0,0
