BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-06-22,,0,0.0
TQBR,2015-06-23,,0,0.0
TQBR,2015-06-24,,0,0.0
TQBR,2015-06-25,,0,0.0
TQBR,2015-06-26,,0,0.0
TQBR,2015-06-29,,0,0.0
TQBR,2015-06-30,,0,0.0
TQBR,2015-07-01,3.68,22000500,79918313.1
TQBR,2015-07-02,3.6455,27706400,100804318.65
TQBR,2015-07-03,3.637,38211300,139177504.2
TQBR,2015-07-06,3.67,8407400,30698859.0
TQBR,2015-07-07,3.631,30483800,110812432.55
TQBR,2015-07-08,3.649,40402100,147089032.2
TQBR,2015-07-09,3.65,34680400,126282420.6
TQBR,2015-07-10,3.65,26880300,97864492.05
TQBR,2015-07-13,3.6545,35973700,131260192.65
TQBR,2015-07-14,3.6525,53277400,194466710.75
TQBR,2015-07-15,3.656,39678800,144939571.1
TQBR,2015-07-16,3.676,29569700,108635389.55
TQBR,2015-07-17,3.669,1965400,7212509.85
TQBR,2015-07-20,3.6625,21393200,78332795.1
TQBR,2015-07-21,3.677,24115300,88618283.55
TQBR,2015-07-22,3.67,20346500,74724663.25
TQBR,2015-07-23,3.677,18397000,67605498.5
TQBR,2015-07-24,3.67,7360700,27052075.0
TQBR,2015-07-27,3.6745,4616200,16960457.65
TQBR,2015-07-28,3.6605,18695500,68463381.7
TQBR,2015-07-29,3.655,9490200,34770241.05
TQBR,2015-07-30,3.672,8562700,31433982.25
TQBR,2015-07-31,3.6745,16101500,59153952.2
TQBR,2015-08-03,3.6595,574500,2102309.55
TQBR,2015-08-04,3.639,178300,648878.15
TQBR,2015-08-05,3.635,138000,504396.4
TQBR,2015-08-06,3.63,43800,159212.55
TQBR,2015-08-07,3.655,3886600,14312376.6
TQBR,2015-08-10,3.655,20200,73832.55
TQBR,2015-08-11,3.66,16117700,59481758.65
TQBR,2015-08-12,3.68,13190600,48597331.45
TQBR,2015-08-13,3.6905,5002100,18457748.95
TQBR,2015-08-14,3.675,6384100,23544101.8
TQBR,2015-08-17,3.691,6001100,22144310.0
TQBR,2015-08-18,3.665,8098200,29880351.75
TQBR,2015-08-19,3.66,200,732.0
TQBR,2015-08-20,3.665,54500,199742.5
TQBR,2015-08-21,3.65,190000,693506.1
TQBR,2015-08-24,3.6205,1015200,3681301.2
TQBR,2015-08-25,3.62,577300,2091409.25
TQBR,2015-08-26,3.625,11300,40975.05
TQBR,2015-08-27,3.645,9000700,32762551.05
