BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,296.5,1814130,544321251.0
TQBR,2014-06-10,293.4,963070,282784084.0
TQBR,2014-06-11,292.5,816920,238429396.0
TQBR,2014-06-16,285.4,2377230,681333222.0
TQBR,2014-06-17,286.5,1404850,404236588.0
TQBR,2014-06-18,291.9,1498790,435311851.0
TQBR,2014-06-19,294.0,1929690,569066201.0
TQBR,2014-06-20,286.2,1563870,450111601.0
TQBR,2014-06-23,285.1,835640,239797945.0
TQBR,2014-06-24,291.8,1505130,437417166.0
TQBR,2014-06-25,284.5,1271190,365559650.0
TQBR,2014-06-26,280.1,1590760,448115962.0
TQBR,2014-06-27,280.6,1078620,301984845.0
TQBR,2014-06-30,279.0,852750,238092848.0
TQBR,2014-07-01,278.7,951730,264702596.0
TQBR,2014-07-02,285.7,1723250,490468112.0
TQBR,2014-07-03,288.7,1438480,413798981.0
TQBR,2014-07-04,283.4,1222690,351108832.0
TQBR,2014-07-07,289.5,1047450,301133257.0
TQBR,2014-07-08,293.0,2052550,603101734.0
TQBR,2014-07-09,291.4,1979230,580195649.0
TQBR,2014-07-10,287.8,2038120,588356341.0
TQBR,2014-07-11,290.9,1896240,548423605.0
TQBR,2014-07-14,293.5,1101820,321972813.0
TQBR,2014-07-15,298.2,2268850,672182127.0
TQBR,2014-07-16,304.5,1947310,589677938.0
TQBR,2014-07-17,303.9,2094060,629237752.0
TQBR,2014-07-18,302.0,2427550,728243910.0
TQBR,2014-07-21,303.9,3236280,991456354.0
TQBR,2014-07-22,311.7,3155140,978744100.0
TQBR,2014-07-23,310.0,2555900,800058067.0
TQBR,2014-07-24,310.5,1208490,373202476.0
TQBR,2014-07-25,310.1,1218340,377338382.0
TQBR,2014-07-28,307.9,1007900,309720048.0
TQBR,2014-07-29,320.0,2571130,812532928.0
TQBR,2014-07-30,331.3,3445340,1130026289.0
TQBR,2014-07-31,343.0,3895730,1328494372.0
TQBR,2014-08-01,344.9,2403520,822418560.0
TQBR,2014-08-04,343.1,1383010,474403999.0
TQBR,2014-08-05,333.1,2083260,698367013.0
TQBR,2014-08-06,328.3,2250870,742217594.0
TQBR,2014-08-07,330.7,2181600,719692205.0
TQBR,2014-08-08,334.1,2238850,746645234.0
TQBR,2014-08-11,337.5,2293590,776486088.0
TQBR,2014-08-12,334.1,1177810,395905783.0
TQBR,2014-08-13,338.5,1743830,589836901.0
TQBR,2014-08-14,338.7,1593630,542879075.0
TQBR,2014-08-15,340.0,1119910,382194396.0
TQBR,2014-08-18,343.1,819530,280385849.0
TQBR,2014-08-19,353.9,2129060,740197487.0
TQBR,2014-08-20,362.6,1752000,624106154.0
TQBR,2014-08-21,363.1,1994400,728028432.0
TQBR,2014-08-22,360.5,1408360,505610267.0
TQBR,2014-08-25,359.5,605310,218166863.0
TQBR,2014-08-26,363.8,1151560,417687695.0
TQBR,2014-08-27,359.4,1235990,447664171.0
TQBR,2014-08-28,355.6,1942360,688997306.0
TQBR,2014-08-29,359.5,1022820,363667115.0
TQBR,2014-09-01,358.0,1349900,484743908.0
TQBR,2014-09-02,357.1,698830,250042111.0
TQBR,2014-09-03,371.7,1772540,646654507.0
TQBR,2014-09-04,370.0,1003610,372447951.0
TQBR,2014-09-05,369.0,1213890,449947303.0
TQBR,2014-09-08,366.0,853640,314300538.0
TQBR,2014-09-09,366.1,788840,289474646.0
TQBR,2014-09-10,362.3,1149430,417466956.0
TQBR,2014-09-11,362.2,1108140,403689020.0
TQBR,2014-09-12,366.7,805330,293727854.0
TQBR,2014-09-15,370.7,1331780,488770209.0
TQBR,2014-09-16,378.3,1156870,434143091.0
TQBR,2014-09-17,377.5,1237860,468606272.0
TQBR,2014-09-18,382.0,1087970,414325100.0
TQBR,2014-09-19,383.7,1300980,497055917.0
TQBR,2014-09-22,378.0,966320,368518798.0
TQBR,2014-09-23,380.7,921400,350028246.0
TQBR,2014-09-24,379.6,831700,317656219.0
TQBR,2014-09-25,379.9,590660,225493824.0
TQBR,2014-09-26,390.7,2064040,794201462.0
TQBR,2014-09-29,394.3,1755700,689620940.0
TQBR,2014-09-30,393.5,1629070,641557054.0
TQBR,2014-10-01,393.0,888720,352104543.5
TQBR,2014-10-02,389.55,1191200,466521187.0
TQBR,2014-10-03,380.65,1270660,491107969.0
TQBR,2014-10-06,386.5,1151090,444499567.0
TQBR,2014-10-07,384.95,1033900,398951110.5
TQBR,2014-10-08,380.4,1249660,476951682.5
TQBR,2014-10-09,382.5,689330,264164001.0
TQBR,2014-10-10,400.0,4717910,1859221721.0
TQBR,2014-10-13,411.9,2856730,1170058418.5
TQBR,2014-10-14,409.0,1212240,499292227.5
TQBR,2014-10-15,406.1,1118770,456044203.0
TQBR,2014-10-16,408.55,1633660,668147419.5
TQBR,2014-10-17,410.15,921210,378411940.0
TQBR,2014-10-20,414.3,2717090,1124429548.0
TQBR,2014-10-21,428.9,2553180,1079918760.5
TQBR,2014-10-22,421.0,1683390,720417219.5
TQBR,2014-10-23,422.0,1515210,638091323.0
TQBR,2014-10-24,424.0,554850,234286546.0
TQBR,2014-10-27,429.25,1269700,544651234.0
TQBR,2014-10-28,434.85,1409600,609416478.5
TQBR,2014-10-29,443.0,1494720,657043042.5
TQBR,2014-10-30,445.3,2110660,939585626.0
TQBR,2014-10-31,457.1,1933090,871838080.0
TQBR,2014-11-03,473.8,1961190,928141429.5
TQBR,2014-11-05,488.7,2052750,992056477.0
TQBR,2014-11-06,502.5,2414210,1206676367.0
TQBR,2014-11-07,508.05,3159290,1610298859.0
TQBR,2014-11-10,506.8,2859250,1444298905.0
TQBR,2014-11-11,494.95,3525320,1766785054.5
TQBR,2014-11-12,487.2,2672150,1309584434.5
TQBR,2014-11-13,490.1,1514680,743831698.5
TQBR,2014-11-14,496.0,1891710,941187438.0
TQBR,2014-11-17,493.3,1363000,676356061.5
TQBR,2014-11-18,499.2,1986300,986690453.0
TQBR,2014-11-19,498.0,2317230,1159565099.0
TQBR,2014-11-20,501.0,1747550,875355125.5
TQBR,2014-11-21,525.0,2689960,1354395041.5
TQBR,2014-11-24,450.4,3711690,1692278926.0
TQBR,2014-11-25,446.15,1469230,657208852.5
TQBR,2014-11-26,446.8,1278470,568255395.5
TQBR,2014-11-27,441.0,1332550,591041634.0
TQBR,2014-11-28,454.75,2312120,1029144400.5
TQBR,2014-12-01,484.15,3469180,1638788371.5
TQBR,2014-12-02,486.6,1834470,887425331.0
TQBR,2014-12-03,497.1,1797860,888699507.5
TQBR,2014-12-04,488.1,2668450,1314330512.5
TQBR,2014-12-05,471.5,1213540,582894488.5
TQBR,2014-12-08,467.05,1765680,833846806.0
TQBR,2014-12-09,489.0,1563490,748778875.5
TQBR,2014-12-10,504.5,1929560,957924712.0
TQBR,2014-12-11,498.9,1560850,786504767.0
TQBR,2014-12-12,511.0,2726260,1400576354.5
TQBR,2014-12-15,525.85,3011740,1567133772.5
TQBR,2014-12-16,530.5,3603790,1905052297.0
TQBR,2014-12-17,511.0,2305920,1201211572.5
TQBR,2014-12-18,505.15,3068890,1606292279.0
TQBR,2014-12-19,490.2,1019160,506478259.5
TQBR,2014-12-22,491.3,1069360,527869854.0
TQBR,2014-12-23,468.8,876990,420603236.0
TQBR,2014-12-24,484.0,708310,338564623.5
