BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,726.0,82,59242
TQBR,2014-06-10,757.0,59,43622
TQBR,2014-06-11,740.0,228,164515
TQBR,2014-06-16,723.0,454,318511
TQBR,2014-06-17,719.0,237,169295
TQBR,2014-06-18,719.0,7,4936
TQBR,2014-06-19,704.0,76,53905
TQBR,2014-06-20,711.0,258,181581
TQBR,2014-06-23,707.0,73,52367
TQBR,2014-06-24,725.0,24,17412
TQBR,2014-06-25,699.0,116,80460
TQBR,2014-06-26,731.0,255,188063
TQBR,2014-06-27,726.0,67,47957
TQBR,2014-06-30,721.0,200,141448
TQBR,2014-07-01,712.0,84,58864
TQBR,2014-07-02,716.0,154,110168
TQBR,2014-07-03,716.0,29,20781
TQBR,2014-07-04,715.0,378,264313
TQBR,2014-07-07,709.0,303,211956
TQBR,2014-07-08,705.0,53,37294
TQBR,2014-07-09,702.0,98,68743
TQBR,2014-07-10,649.0,447,296735
TQBR,2014-07-11,652.0,150,97307
TQBR,2014-07-14,666.0,141,96530
TQBR,2014-07-15,672.0,526,347122
TQBR,2014-07-16,662.0,289,193663
TQBR,2014-07-17,662.0,236,154261
TQBR,2014-07-18,647.0,134,87375
TQBR,2014-07-21,636.0,198,125303
TQBR,2014-07-22,633.0,211,131525
TQBR,2014-07-23,626.0,128,80421
TQBR,2014-07-24,626.0,16,10151
TQBR,2014-07-25,635.0,80,50875
TQBR,2014-07-28,621.0,121,77602
TQBR,2014-07-29,622.0,291,180800
TQBR,2014-07-30,619.0,192,117600
TQBR,2014-07-31,620.0,72,45737
TQBR,2014-08-01,649.0,103,66467
TQBR,2014-08-04,674.0,377,254369
TQBR,2014-08-05,628.0,157,101067
TQBR,2014-08-06,607.0,310,188608
TQBR,2014-08-07,600.0,173,104000
TQBR,2014-08-08,642.0,11,6978
TQBR,2014-08-11,625.0,406,255602
TQBR,2014-08-12,630.0,21,13412
TQBR,2014-08-13,636.0,56,35905
TQBR,2014-08-14,637.0,31,19793
TQBR,2014-08-15,651.0,102,66400
TQBR,2014-08-18,625.0,37,23349
TQBR,2014-08-19,630.0,59,37440
TQBR,2014-08-20,650.0,471,301083
TQBR,2014-08-21,661.0,254,168066
TQBR,2014-08-22,642.0,23,14942
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,630.0,5,3146
TQBR,2014-08-27,629.0,32,20125
TQBR,2014-08-28,629.0,57,35692
TQBR,2014-08-29,614.0,35,21687
TQBR,2014-09-01,614.0,26,16296
TQBR,2014-09-02,624.0,138,86858
TQBR,2014-09-03,623.0,376,231801
TQBR,2014-09-04,629.0,15,9435
TQBR,2014-09-05,629.0,2,1258
TQBR,2014-09-08,631.0,7,4423
TQBR,2014-09-09,610.0,207,129632
TQBR,2014-09-10,853.0,1906,1558307
TQBR,2014-09-11,1193.0,4462,5247712
TQBR,2014-09-12,1604.0,9471,13973973
TQBR,2014-09-15,1700.0,4717,8275930
TQBR,2014-09-16,1430.0,1951,2941911
TQBR,2014-09-17,1254.0,2209,2814732
TQBR,2014-09-18,1261.0,308,384484
TQBR,2014-09-19,1137.0,1987,2470376
TQBR,2014-09-22,1068.0,1114,1241578
TQBR,2014-09-23,1251.0,3434,4100278
TQBR,2014-09-24,1214.0,1116,1410349
TQBR,2014-09-25,1148.0,363,422872
TQBR,2014-09-26,1068.0,505,538674
TQBR,2014-09-29,1043.0,581,606718
TQBR,2014-09-30,1059.0,239,250035
TQBR,2014-10-01,987.0,886,906844
TQBR,2014-10-02,1380.0,3270,4126679
TQBR,2014-10-03,1639.0,7835,12472121
TQBR,2014-10-06,1449.0,2438,3779494
TQBR,2014-10-07,1450.0,1334,1859348
TQBR,2014-10-08,1419.0,280,393678
TQBR,2014-10-09,1396.0,421,592955
TQBR,2014-10-10,1315.0,423,554184
TQBR,2014-10-13,1389.0,508,667384
TQBR,2014-10-14,1353.0,156,215646
TQBR,2014-10-15,1290.0,215,283309
TQBR,2014-10-16,1290.0,277,360283
TQBR,2014-10-17,1304.0,89,114478
TQBR,2014-10-20,1286.0,70,89890
TQBR,2014-10-21,1550.0,2021,3047049
TQBR,2014-10-22,1420.0,295,421432
TQBR,2014-10-23,1455.0,946,1381604
TQBR,2014-10-24,1435.0,104,149145
TQBR,2014-10-27,1402.0,664,923497
TQBR,2014-10-28,1410.0,143,200816
TQBR,2014-10-29,1382.0,100,140248
TQBR,2014-10-30,1398.0,713,1003496
TQBR,2014-10-31,1471.0,946,1417347
TQBR,2014-11-03,1470.0,285,424395
TQBR,2014-11-05,1320.0,1913,2585595
TQBR,2014-11-06,1309.0,590,773475
TQBR,2014-11-07,1270.0,950,1202103
TQBR,2014-11-10,1321.0,1105,1405661
TQBR,2014-11-11,1300.0,143,188166
TQBR,2014-11-12,1236.0,346,433651
TQBR,2014-11-13,1172.0,1097,1288294
TQBR,2014-11-14,1099.0,1701,1895744
TQBR,2014-11-17,1104.0,1125,1241089
TQBR,2014-11-18,1134.0,3752,4331109
TQBR,2014-11-19,1080.0,828,913384
TQBR,2014-11-20,1112.0,1178,1317128
TQBR,2014-11-21,1116.0,730,814727
TQBR,2014-11-24,1083.0,265,291387
TQBR,2014-11-25,1120.0,927,1035582
TQBR,2014-11-26,1107.0,276,308707
TQBR,2014-11-27,1082.0,533,578356
TQBR,2014-11-28,1061.0,940,987359
TQBR,2014-12-01,1085.0,1745,1863313
TQBR,2014-12-02,1092.0,462,502210
TQBR,2014-12-03,1077.0,1323,1440933
TQBR,2014-12-04,1071.0,1508,1578119
TQBR,2014-12-05,1044.0,351,369525
TQBR,2014-12-08,976.0,1073,1062639
TQBR,2014-12-09,960.0,1033,966364
TQBR,2014-12-10,959.0,1112,1076280
TQBR,2014-12-11,941.0,154,145905
TQBR,2014-12-12,905.0,1599,1432794
TQBR,2014-12-15,861.0,472,405648
TQBR,2014-12-16,780.0,1511,1144864
TQBR,2014-12-17,760.0,395,295808
TQBR,2014-12-18,796.0,970,761985
TQBR,2014-12-19,960.0,3966,3967120
TQBR,2014-12-22,948.0,1827,1663655
TQBR,2014-12-23,892.0,393,353894
TQBR,2014-12-24,875.0,152,136658
TQBR,2014-12-25,920.0,309,279969
TQBR,2014-12-26,945.0,686,621578
TQBR,2014-12-29,904.0,278,245409
TQBR,2014-12-30,823.0,775,657667
TQBR,2015-01-05,830.0,391,325746
TQBR,2015-01-06,855.0,546,465892
TQBR,2015-01-08,923.0,360,326153
TQBR,2015-01-09,926.0,69,63716
TQBR,2015-01-12,921.0,26,24045
TQBR,2015-01-13,910.0,238,215809
TQBR,2015-01-14,904.0,303,272711
TQBR,2015-01-15,904.0,1418,1281142
TQBR,2015-01-16,912.0,1607,1466081
TQBR,2015-01-19,907.0,344,312838
TQBR,2015-01-20,900.0,113,101764
TQBR,2015-01-21,925.0,880,805875
TQBR,2015-01-22,915.0,2847,2634113
TQBR,2015-01-23,913.0,856,777010
TQBR,2015-01-26,888.0,668,592019
TQBR,2015-01-27,902.0,202,181517
TQBR,2015-01-28,911.0,1575,1431388
TQBR,2015-01-29,1053.0,3540,3663467
TQBR,2015-01-30,1058.0,1807,1950388
TQBR,2015-02-02,1009.0,512,520760
TQBR,2015-02-03,1019.0,1130,1139450
TQBR,2015-02-04,1021.0,244,248015
TQBR,2015-02-05,1030.0,60,61814
TQBR,2015-02-06,1107.0,1269,1441654
TQBR,2015-02-09,1080.0,1022,1117811
TQBR,2015-02-10,1094.0,151,164744
TQBR,2015-02-11,1235.0,2799,3408344
TQBR,2015-02-12,1669.0,6626,9777912
TQBR,2015-02-13,1470.0,4286,6733570
TQBR,2015-02-16,1439.0,798,1171216
TQBR,2015-02-17,1491.0,1261,1877990
TQBR,2015-02-18,1484.0,376,554146
TQBR,2015-02-19,1552.0,1661,2604321
TQBR,2015-02-20,1499.0,631,949542
TQBR,2015-02-24,1545.0,731,1081525
TQBR,2015-02-25,1700.0,2799,4618798
TQBR,2015-02-26,1717.0,858,1493626
TQBR,2015-02-27,1650.0,533,893277
TQBR,2015-03-02,1812.0,1281,2322077
TQBR,2015-03-03,1935.0,1450,2720607
TQBR,2015-03-04,2045.0,1420,2861659
TQBR,2015-03-05,1945.0,3919,7850998
TQBR,2015-03-06,1770.0,3469,6002679
TQBR,2015-03-10,1670.0,902,1483353
TQBR,2015-03-11,1838.0,1715,3036951
TQBR,2015-03-12,1820.0,587,1078419
TQBR,2015-03-13,1747.0,619,1101539
TQBR,2015-03-16,1644.0,1152,1919785
TQBR,2015-03-17,1634.0,726,1183956
TQBR,2015-03-18,1694.0,564,952548
TQBR,2015-03-19,1703.0,51,87911
TQBR,2015-03-20,1718.0,115,195927
TQBR,2015-03-23,1690.0,716,1235428
TQBR,2015-03-24,1692.0,147,247491
TQBR,2015-03-25,1668.0,230,382491
TQBR,2015-03-26,1570.0,1172,1870803
TQBR,2015-03-27,1492.0,1347,2001570
TQBR,2015-03-30,1625.0,1347,2147158
TQBR,2015-03-31,1635.0,1240,2061151
TQBR,2015-04-01,1595.0,149,237787
TQBR,2015-04-02,1597.0,318,506626
TQBR,2015-04-03,1560.0,801,1259640
TQBR,2015-04-06,1616.0,429,696526
TQBR,2015-04-07,1598.0,573,920176
TQBR,2015-04-08,1620.0,348,562971
TQBR,2015-04-09,1560.0,573,895162
TQBR,2015-04-10,1534.0,71,109085
TQBR,2015-04-13,1572.0,90,139846
TQBR,2015-04-14,2199.0,6441,12530925
TQBR,2015-04-15,2445.0,12880,32152092
TQBR,2015-04-16,2745.0,3615,9862158
TQBR,2015-04-17,2614.0,630,1667607
TQBR,2015-04-20,2702.0,1405,3659335
TQBR,2015-04-21,2760.0,1298,3676898
TQBR,2015-04-22,2690.0,442,1182859
TQBR,2015-04-23,2594.0,1509,3981561
TQBR,2015-04-24,2571.0,1207,3031051
TQBR,2015-04-27,2595.0,191,482142
TQBR,2015-04-28,2645.0,365,934565
TQBR,2015-04-29,2674.0,481,1270147
TQBR,2015-04-30,2600.0,436,1129746
TQBR,2015-05-05,2630.0,137,357350
TQBR,2015-05-06,2630.0,385,991440
TQBR,2015-05-07,2620.0,145,377310
TQBR,2015-05-08,2695.0,406,1093710
TQBR,2015-05-12,2680.0,494,1299960
TQBR,2015-05-13,2655.0,88,235525
TQBR,2015-05-14,2595.0,620,1596960
TQBR,2015-05-15,2595.0,325,833355
TQBR,2015-05-18,2590.0,261,666210
TQBR,2015-05-19,2530.0,454,1139280
TQBR,2015-05-20,2525.0,185,461975
TQBR,2015-05-21,2515.0,345,884820
TQBR,2015-05-22,2540.0,214,538645
TQBR,2015-05-25,3020.0,2095,6220130
TQBR,2015-05-26,3100.0,1790,5521715
TQBR,2015-05-27,3335.0,1245,3976780
TQBR,2015-05-28,3335.0,1344,4445675
TQBR,2015-05-29,3425.0,593,2073395
TQBR,2015-06-01,3950.0,4184,15985815
TQBR,2015-06-02,4145.0,978,3935390
TQBR,2015-06-03,3945.0,895,3586870
TQBR,2015-06-04,3950.0,136,534915
TQBR,2015-06-05,3985.0,283,1125085
TQBR,2015-06-08,4010.0,219,882225
TQBR,2015-06-09,3920.0,266,1037980
TQBR,2015-06-10,3860.0,234,895520
TQBR,2015-06-11,3830.0,105,397955
TQBR,2015-06-15,3930.0,306,1206430
TQBR,2015-06-16,3900.0,336,1282990
TQBR,2015-06-17,3825.0,177,675815
TQBR,2015-06-18,3840.0,123,468005
TQBR,2015-06-19,3840.0,82,316235
TQBR,2015-06-22,3845.0,203,768455
TQBR,2015-06-23,3880.0,406,1572520
TQBR,2015-06-24,3875.0,238,913505
TQBR,2015-06-25,3800.0,189,717825
TQBR,2015-06-26,3705.0,505,1876070
TQBR,2015-06-29,4750.0,4503,19648240
TQBR,2015-06-30,4690.0,3168,15385200
TQBR,2015-07-01,4680.0,3238,14771660
TQBR,2015-07-02,4535.0,768,3475245
TQBR,2015-07-03,4600.0,1742,8119520
