BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,4.35,2400,10098.4
TQBR,2014-06-10,4.333,100,433.3
TQBR,2014-06-11,4.199,6800,27851.9
TQBR,2014-06-16,4.36,12800,55678.7
TQBR,2014-06-17,4.389,1600,6835.3
TQBR,2014-06-18,4.35,500,2155.3
TQBR,2014-06-19,4.3,700,3002.7
TQBR,2014-06-20,4.34,200,864.1
TQBR,2014-06-23,4.36,2000,8720.0
TQBR,2014-06-24,4.28,1000,4260.7
TQBR,2014-06-25,4.22,14800,60509.0
TQBR,2014-06-26,4.111,7900,32235.6
TQBR,2014-06-27,4.248,1100,4648.5
TQBR,2014-06-30,4.23,900,3807.0
TQBR,2014-07-01,4.238,900,3731.2
TQBR,2014-07-02,4.229,300,1268.8
TQBR,2014-07-03,4.25,59500,252977.6
TQBR,2014-07-04,4.291,15700,67468.5
TQBR,2014-07-07,4.29,15900,66256.0
TQBR,2014-07-08,4.206,14700,62766.5
TQBR,2014-07-09,4.107,7300,30043.8
TQBR,2014-07-10,4.25,4500,18871.4
TQBR,2014-07-11,4.289,7900,33861.8
TQBR,2014-07-14,4.25,1000,4260.9
TQBR,2014-07-15,4.224,9600,40517.1
TQBR,2014-07-16,4.2,6200,26102.8
TQBR,2014-07-17,4.066,31100,127366.3
TQBR,2014-07-18,4.182,10500,42361.6
TQBR,2014-07-21,4.101,5200,21318.5
TQBR,2014-07-22,4.25,36100,152104.6
TQBR,2014-07-23,4.105,2700,11200.7
TQBR,2014-07-24,4.108,10500,42141.8
TQBR,2014-07-25,4.13,100,413.0
TQBR,2014-07-28,4.045,25900,103752.3
TQBR,2014-07-29,4.044,1000,4017.8
TQBR,2014-07-30,4.06,5900,24001.1
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,4.089,100,408.9
TQBR,2014-08-04,3.982,800,3196.6
TQBR,2014-08-05,4.06,200,813.4
TQBR,2014-08-06,3.928,10500,41345.3
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,4.131,100,413.1
TQBR,2014-08-12,4.018,300,1206.3
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,4.083,3300,13127.2
TQBR,2014-08-15,4.05,300,1203.2
TQBR,2014-08-18,4.109,300,1232.7
TQBR,2014-08-19,4.128,6600,27138.4
TQBR,2014-08-20,4.128,100,412.8
TQBR,2014-08-21,4.019,100,401.9
TQBR,2014-08-22,4.19,200,837.9
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,4.145,1000,4145.0
TQBR,2014-08-28,4.13,400,1638.6
TQBR,2014-08-29,4.069,800,3255.2
TQBR,2014-09-01,3.941,1000,3959.2
TQBR,2014-09-02,4.065,600,2440.8
TQBR,2014-09-03,4.069,10500,42724.5
TQBR,2014-09-04,4.069,500,2032.6
TQBR,2014-09-05,4.347,50100,204846.8
TQBR,2014-09-08,4.069,900,3662.1
TQBR,2014-09-09,4.2,2400,10064.3
TQBR,2014-09-10,4.32,55900,230416.4
TQBR,2014-09-11,4.31,3100,13075.9
TQBR,2014-09-12,4.29,300,1273.0
TQBR,2014-09-15,4.33,2900,12471.8
TQBR,2014-09-16,4.34,20100,87531.2
TQBR,2014-09-17,4.25,28200,122821.9
TQBR,2014-09-18,4.569,7800,34374.0
TQBR,2014-09-19,4.55,4500,20381.6
TQBR,2014-09-22,4.512,41400,180774.9
TQBR,2014-09-23,4.5,100,450.0
TQBR,2014-09-24,4.271,200,854.2
TQBR,2014-09-25,4.102,21800,90171.4
TQBR,2014-09-26,4.065,2100,8509.2
TQBR,2014-09-29,4.001,27400,110193.9
TQBR,2014-09-30,4.246,15200,61675.3
TQBR,2014-10-01,4.07,15900,66703.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,4.06,1400,5686.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,4.07,300,1221.0
TQBR,2014-10-08,4.06,1700,6872.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,3.91,2300,9156.0
TQBR,2014-10-13,4.12,6500,26759.0
TQBR,2014-10-14,4.0,300,1221.0
TQBR,2014-10-15,4.17,300,1251.0
TQBR,2014-10-16,3.91,6300,24678.0
TQBR,2014-10-17,4.25,900,3684.0
TQBR,2014-10-20,4.16,200,833.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,4.03,200,828.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,4.03,1000,3984.0
TQBR,2014-10-27,4.05,300,1208.0
TQBR,2014-10-28,4.15,40700,168662.0
TQBR,2014-10-29,4.37,13800,58154.0
TQBR,2014-10-30,4.33,100,433.0
TQBR,2014-10-31,4.22,100,422.0
TQBR,2014-11-03,4.17,10500,44075.0
TQBR,2014-11-05,4.19,700,2850.0
TQBR,2014-11-06,4.01,56000,223130.0
TQBR,2014-11-07,4.07,7000,27989.0
TQBR,2014-11-10,4.01,10200,40993.0
TQBR,2014-11-11,4.01,2700,10857.0
TQBR,2014-11-12,4.03,8000,31845.0
TQBR,2014-11-13,4.0,41400,167818.0
TQBR,2014-11-14,3.96,7200,27578.0
TQBR,2014-11-17,4.34,141900,591525.0
TQBR,2014-11-18,4.11,1000,4125.0
TQBR,2014-11-19,4.06,200,812.0
TQBR,2014-11-20,4.21,100,421.0
TQBR,2014-11-21,4.1,21300,86843.0
TQBR,2014-11-24,4.05,14000,58800.0
TQBR,2014-11-25,4.19,1000,4052.0
TQBR,2014-11-26,4.1,1200,4919.0
TQBR,2014-11-27,4.36,5100,21997.0
TQBR,2014-11-28,4.11,5700,23293.0
TQBR,2014-12-01,4.06,29500,118313.0
TQBR,2014-12-02,4.0,17000,69174.0
TQBR,2014-12-03,4.0,34500,138165.0
TQBR,2014-12-04,3.97,54900,213803.0
TQBR,2014-12-05,3.99,27800,113885.0
TQBR,2014-12-08,3.96,29900,114959.0
TQBR,2014-12-09,3.71,64200,236001.0
TQBR,2014-12-10,3.6,50600,182875.0
TQBR,2014-12-11,3.79,100,379.0
TQBR,2014-12-12,3.6,26700,96980.0
TQBR,2014-12-15,3.51,4100,14412.0
TQBR,2014-12-16,3.31,32000,103396.0
TQBR,2014-12-17,3.55,7500,27633.0
TQBR,2014-12-18,3.3,24800,84159.0
TQBR,2014-12-19,3.29,52600,164210.0
TQBR,2014-12-22,3.37,20400,69803.0
TQBR,2014-12-23,3.13,112600,358208.0
TQBR,2014-12-24,3.11,52900,166686.0
TQBR,2014-12-25,3.2,11600,36979.0
TQBR,2014-12-26,3.42,7100,24159.0
TQBR,2014-12-29,3.2,5300,17357.0
TQBR,2014-12-30,3.38,8000,25548.0
TQBR,2015-01-05,3.36,700,2301.0
TQBR,2015-01-06,3.38,22400,79651.0
TQBR,2015-01-08,3.56,4800,16109.0
TQBR,2015-01-09,3.52,1300,4577.0
TQBR,2015-01-12,3.5,2500,8679.0
