BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-02-10,85.0,35138800,2976631628.9
TQBR,2017-02-13,85.2,2282830,194269737.7
TQBR,2017-02-14,85.0,2561550,217778137.1
TQBR,2017-02-15,85.0,379180,32210396.5
TQBR,2017-02-16,84.99,2647260,223866287.1
TQBR,2017-02-17,84.9,630210,53494862.9
TQBR,2017-02-20,84.85,117420,9930320.1
TQBR,2017-02-21,84.8,216860,18287317.5
TQBR,2017-02-22,84.75,626430,53037488.1
TQBR,2017-02-24,84.7,109270,9222135.6
TQBR,2017-02-27,84.48,814270,68508766.5
TQBR,2017-02-28,84.93,6744560,570682496.5
TQBR,2017-03-01,84.42,44400,3760148.9
TQBR,2017-03-02,83.85,376710,31845197.6
TQBR,2017-03-03,82.82,260170,21820126.4
TQBR,2017-03-06,82.98,805580,66267807.2
TQBR,2017-03-07,84.75,2274440,191594118.8
TQBR,2017-03-09,84.6,1546990,130238096.1
TQBR,2017-03-10,82.07,92400,7621282.9
TQBR,2017-03-13,81.5,320800,26151917.8
TQBR,2017-03-14,81.14,17350,1417691.9
TQBR,2017-03-15,80.01,51190,4144266.4
TQBR,2017-03-16,77.69,570540,45120675.9
TQBR,2017-03-17,76.2,1295970,100232674.8
TQBR,2017-03-20,75.01,1025970,78831000.4
TQBR,2017-03-21,79.0,383940,30080617.5
TQBR,2017-03-22,80.41,175580,13939123.4
TQBR,2017-03-23,81.3,488860,39583377.4
TQBR,2017-03-24,82.41,320450,26715461.9
TQBR,2017-03-27,85.53,646820,54974599.8
TQBR,2017-03-28,85.1,201150,17201763.0
TQBR,2017-03-29,85.2,91060,7779004.4
TQBR,2017-03-30,87.5,251800,21939349.6
TQBR,2017-03-31,88.0,170570,14973371.2
TQBR,2017-04-03,88.24,147070,13032361.1
TQBR,2017-04-04,89.0,27460,2440538.5
TQBR,2017-04-05,89.99,21940,1964733.9
TQBR,2017-04-06,92.0,531630,49203463.2
TQBR,2017-04-07,89.61,441400,40006616.6
TQBR,2017-04-10,84.57,301240,26493222.8
TQBR,2017-04-11,87.56,59650,5195054.3
TQBR,2017-04-12,87.03,90920,7943699.5
TQBR,2017-04-13,88.9,185550,16222518.6
TQBR,2017-04-14,89.68,92410,8319148.5
TQBR,2017-04-17,89.9,57560,5185435.1
TQBR,2017-04-18,90.01,71190,6416669.3
TQBR,2017-04-19,90.0,454630,40903707.3
TQBR,2017-04-20,89.0,26440,2360981.4
TQBR,2017-04-21,90.48,207880,18711242.2
TQBR,2017-04-24,90.0,43210,3867381.0
TQBR,2017-04-25,90.5,232210,21063260.4
TQBR,2017-04-26,89.9,183090,16510033.1
TQBR,2017-04-27,90.0,139900,12622350.7
TQBR,2017-04-28,90.47,209060,19015840.5
TQBR,2017-05-02,92.0,138390,12789173.1
TQBR,2017-05-03,85.53,642290,55605833.9
TQBR,2017-05-04,87.6,290120,25487294.2
TQBR,2017-05-05,88.65,571490,50315219.7
TQBR,2017-05-10,88.55,129960,11470440.8
TQBR,2017-05-11,89.0,229530,20622839.1
TQBR,2017-05-12,89.19,38380,3447452.7
TQBR,2017-05-15,89.01,7630,682439.5
TQBR,2017-05-16,91.41,383850,34807517.5
TQBR,2017-05-17,91.6,121770,11099549.9
TQBR,2017-05-18,91.41,170030,15428268.8
TQBR,2017-05-19,91.55,169070,15545383.2
TQBR,2017-05-22,92.0,42720,3917708.5
TQBR,2017-05-23,92.0,76190,7018007.6
TQBR,2017-05-24,91.41,10130,926534.4
TQBR,2017-05-25,91.99,50370,4604094.1
TQBR,2017-05-26,91.08,96380,8805480.7
TQBR,2017-05-29,91.04,99750,9153436.2
TQBR,2017-05-30,93.49,247500,22944738.8
TQBR,2017-05-31,92.39,1316730,124359750.8
TQBR,2017-06-01,95.39,399140,37602278.4
TQBR,2017-06-02,97.3,218620,21067227.6
TQBR,2017-06-05,96.5,160450,15799118.1
TQBR,2017-06-06,95.6,87730,8404656.4
TQBR,2017-06-07,95.8,429930,41209169.8
TQBR,2017-06-08,96.2,618110,59274773.6
TQBR,2017-06-09,100.45,267690,26073939.5
TQBR,2017-06-13,101.0,287200,28990396.8
TQBR,2017-06-14,103.0,553940,56002252.1
TQBR,2017-06-15,101.0,654440,65977384.4
TQBR,2017-06-16,99.99,5114950,514185907.0
TQBR,2017-06-19,100.98,128350,12706611.6
TQBR,2017-06-20,98.48,73230,7218426.0
TQBR,2017-06-21,102.0,406150,40714262.3
TQBR,2017-06-22,99.65,11100,1108473.3
TQBR,2017-06-23,98.95,93390,9302648.0
TQBR,2017-06-26,98.99,228020,22710947.7
TQBR,2017-06-27,96.75,254000,24869517.3
TQBR,2017-06-28,97.88,161660,15872176.3
TQBR,2017-06-29,94.01,218890,20915287.2
TQBR,2017-06-30,93.99,71080,6640425.3
TQBR,2017-07-03,93.71,45450,4233045.3
TQBR,2017-07-04,92.0,231260,21338088.2
TQBR,2017-07-05,89.4,121900,11021626.3
TQBR,2017-07-06,90.9,207360,18748262.5
TQBR,2017-07-07,92.0,190700,17439152.3
TQBR,2017-07-10,93.35,42660,3962869.1
TQBR,2017-07-11,91.77,46900,4324383.9
TQBR,2017-07-12,91.7,70210,6476112.3
TQBR,2017-07-13,91.8,53530,4894555.0
TQBR,2017-07-14,90.0,247990,22305092.7
TQBR,2017-07-17,89.1,12980,1162413.7
TQBR,2017-07-18,86.88,54510,4789939.3
TQBR,2017-07-19,88.16,86270,7675198.6
TQBR,2017-07-20,89.98,76350,6855896.1
TQBR,2017-07-21,88.94,79680,7131446.9
TQBR,2017-07-24,89.8,161750,14573693.9
TQBR,2017-07-25,88.87,166520,14814037.0
TQBR,2017-07-26,88.86,516600,46218663.9
TQBR,2017-07-27,90.98,101280,9056806.2
TQBR,2017-07-28,89.97,79640,7184194.1
TQBR,2017-07-31,90.5,192080,17290181.0
TQBR,2017-08-01,91.25,54930,5001362.0
TQBR,2017-08-02,91.3,40380,3698822.0
TQBR,2017-08-03,91.3,31850,2893785.0
TQBR,2017-08-04,91.3,31000,2829817.0
TQBR,2017-08-07,91.2,16340,1479659.5
TQBR,2017-08-08,91.2,40850,3718240.5
TQBR,2017-08-09,92.0,47540,4373730.0
TQBR,2017-08-10,91.7,46010,4231119.5
TQBR,2017-08-11,91.15,187660,17089567.0
TQBR,2017-08-14,92.95,251180,23118057.5
TQBR,2017-08-15,92.25,72550,6644636.5
TQBR,2017-08-16,90.8,2225490,202081888.5
TQBR,2017-08-17,91.65,305020,27899604.5
