BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.8032,2000,1606.7
TQBR,2014-06-10,0.865,400000,345287.0
TQBR,2014-06-11,0.865,693000,599396.3
TQBR,2014-06-16,0.87,181000,157463.6
TQBR,2014-06-17,1.0,4532000,4423141.5
TQBR,2014-06-18,1.0,109000,109396.7
TQBR,2014-06-19,1.15,5028000,5454409.7
TQBR,2014-06-20,1.1501,1985000,2243570.9
TQBR,2014-06-23,1.2997,25951000,31096032.1
TQBR,2014-06-24,1.24,159000,197087.3
TQBR,2014-06-25,1.17,1168000,1421510.7
TQBR,2014-06-26,1.2,146000,176135.9
TQBR,2014-06-27,1.25,3362000,4160532.2
TQBR,2014-06-30,1.25,1781000,2221829.7
TQBR,2014-07-01,1.1989,82000,98356.5
TQBR,2014-07-02,1.1529,4000,4812.8
TQBR,2014-07-03,1.1505,2000,2300.8
TQBR,2014-07-04,0.979,81000,90001.9
TQBR,2014-07-07,1.09,203000,213201.8
TQBR,2014-07-08,1.0501,30000,31505.2
TQBR,2014-07-09,1.01,428000,432643.0
TQBR,2014-07-10,0.99,83000,82360.0
TQBR,2014-07-11,1.0,37000,36915.2
TQBR,2014-07-14,0.9701,128000,131949.9
TQBR,2014-07-15,0.9772,10000,9772.0
TQBR,2014-07-16,0.9701,21000,20405.1
TQBR,2014-07-17,0.825,40000,36045.7
TQBR,2014-07-18,0.83,118000,98900.9
TQBR,2014-07-21,0.8898,375000,316877.7
TQBR,2014-07-22,0.9,654000,588902.2
TQBR,2014-07-23,0.9002,1202000,1090800.1
TQBR,2014-07-24,1.0,3158000,3152007.9
TQBR,2014-07-25,0.9999,1099000,1060446.2
TQBR,2014-07-28,0.999,103000,102988.1
TQBR,2014-07-29,0.99,226000,223756.0
TQBR,2014-07-30,0.985,1301000,1282900.3
TQBR,2014-07-31,0.985,151000,148651.4
TQBR,2014-08-01,0.9831,6000,5898.4
TQBR,2014-08-04,0.985,570000,569699.9
TQBR,2014-08-05,0.999,200000,199800.0
TQBR,2014-08-06,0.9833,155000,152405.8
TQBR,2014-08-07,0.99,254000,251461.4
TQBR,2014-08-08,0.9999,1018000,1016925.0
TQBR,2014-08-11,0.98,249000,231934.7
TQBR,2014-08-12,0.99,162000,160385.3
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.95,11000,10450.3
TQBR,2014-08-15,0.93,9000,8241.6
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,0.9801,26000,25029.9
TQBR,2014-08-20,0.95,203000,197875.1
TQBR,2014-08-21,0.98,25000,24500.0
TQBR,2014-08-22,0.9006,298000,284868.9
TQBR,2014-08-25,0.975,380000,371794.1
TQBR,2014-08-26,0.9903,169000,167345.2
TQBR,2014-08-27,0.98,828000,811433.8
TQBR,2014-08-28,0.99,100000,98999.9
TQBR,2014-08-29,0.98,366000,349865.9
TQBR,2014-09-01,0.96,203000,194880.0
TQBR,2014-09-02,0.95,101000,95953.4
TQBR,2014-09-03,,0,0.0
