BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,801.0,13,10588.8
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,914.7,18,16229.4
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,975.0,1,975.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,900.0,6,5400.1
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,900.0,1,900.0
TQBR,2014-06-30,900.0,18,16557.8
TQBR,2014-07-01,850.0,4,3400.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,820.0,10,8200.0
TQBR,2014-07-04,988.0,22,21689.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,850.0,1,850.0
TQBR,2014-07-18,988.0,3,2963.9
TQBR,2014-07-21,820.0,5,4100.0
TQBR,2014-07-22,820.0,2,1640.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,870.0,1,870.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,1019.0,8,7992.3
TQBR,2014-08-01,940.1,1,940.1
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,975.0,1,975.0
TQBR,2014-08-07,1019.0,40,40339.9
TQBR,2014-08-08,1019.0,2,2038.0
TQBR,2014-08-11,955.0,1,955.0
TQBR,2014-08-12,999.0,2,1998.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,1002.0,8,8189.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,1029.4,5,5141.4
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
