BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-03-29,0.578,46962000,27123294.2
TQBR,2023-03-30,0.5786,42819000,24588504.0
TQBR,2023-03-31,0.5728,40085000,22954267.2
TQBR,2023-04-03,0.573,21679000,12413827.0
TQBR,2023-04-04,0.5736,40381000,23370760.0
TQBR,2023-04-05,0.5944,193028000,114782404.4
TQBR,2023-04-06,0.614,149024000,90450120.4
TQBR,2023-04-07,0.6094,250618000,153765039.6
TQBR,2023-04-10,0.634,512094000,326983107.0
TQBR,2023-04-11,0.6066,143729000,89433134.0
TQBR,2023-04-12,0.6096,62651000,38147101.2
TQBR,2023-04-13,0.5814,619246000,373599707.2
TQBR,2023-04-14,0.577,526166000,303547740.8
TQBR,2023-04-17,0.5846,86356000,50246790.0
TQBR,2023-04-18,0.6002,322368000,193122995.0
TQBR,2023-04-19,0.5948,75852000,45237068.0
TQBR,2023-04-20,0.5922,61928000,36581961.2
TQBR,2023-04-21,0.5924,55519000,33131111.0
TQBR,2023-04-24,0.6022,70426000,42198758.6
TQBR,2023-04-25,0.5976,27812000,16682451.4
TQBR,2023-04-26,0.6064,62282000,37611973.6
TQBR,2023-04-27,0.5972,65024000,39050760.0
TQBR,2023-04-28,0.5902,23348000,13870809.8
TQBR,2023-05-02,0.565,98017000,55875216.6
TQBR,2023-05-03,0.5604,72469000,40426708.2
TQBR,2023-05-04,0.5482,33724000,18759319.4
TQBR,2023-05-05,0.558,105914000,59247195.8
TQBR,2023-05-08,0.5546,13116000,7289316.6
TQBR,2023-05-10,0.568,33694000,18888088.6
TQBR,2023-05-11,0.5818,51007000,29676756.4
TQBR,2023-05-12,0.5654,45855000,26125908.6
TQBR,2023-05-15,0.575,34106000,19551351.6
TQBR,2023-05-16,0.583,88548000,51675290.8
TQBR,2023-05-17,0.5834,35239000,20645430.4
TQBR,2023-05-18,0.5702,67872000,38880258.8
TQBR,2023-05-19,0.562,31954000,18153188.6
TQBR,2023-05-22,0.569,33728000,19275861.4
TQBR,2023-05-23,0.5692,12188000,6921651.8
TQBR,2023-05-24,0.5712,20545000,11735818.8
TQBR,2023-05-25,0.569,12802000,7283750.6
TQBR,2023-05-26,0.563,27194000,15375985.8
TQBR,2023-05-29,0.557,54083000,30337656.6
TQBR,2023-05-30,0.5562,43428000,24139033.0
TQBR,2023-05-31,0.5558,18266000,10148736.2
TQBR,2023-06-01,0.555,18740000,10386314.2
TQBR,2023-06-02,0.5602,22213000,12395273.6
TQBR,2023-06-05,0.5718,124462000,71125510.0
TQBR,2023-06-06,0.563,33090000,18637967.6
TQBR,2023-06-07,0.5586,27583000,15447883.8
TQBR,2023-06-08,0.5678,54569000,31126471.0
TQBR,2023-06-09,0.5664,16903000,9599408.0
TQBR,2023-06-13,0.573,26399000,15071572.2
TQBR,2023-06-14,0.573,21939000,12585665.6
TQBR,2023-06-15,0.571,19542000,11146042.4
TQBR,2023-06-16,0.5748,46273000,26644827.0
TQBR,2023-06-19,0.5748,25299000,14548764.2
TQBR,2023-06-20,0.5752,279967000,163479408.2
TQBR,2023-06-21,0.591,246305000,145941890.6
TQBR,2023-06-22,0.594,83069000,49503954.2
TQBR,2023-06-23,0.5782,62606000,36405199.2
TQBR,2023-06-26,0.5714,83358000,47592651.8
TQBR,2023-06-27,0.575,28339000,16199407.8
TQBR,2023-06-28,0.5736,27418000,15814359.0
TQBR,2023-06-29,0.5724,28723000,16482994.6
TQBR,2023-06-30,0.5666,28718000,16295827.4
TQBR,2023-07-03,0.5678,35945000,20466048.4
TQBR,2023-07-04,0.565,49862000,28309731.4
TQBR,2023-07-05,0.576,123081000,71309580.8
TQBR,2023-07-06,0.5712,31022000,17847004.6
TQBR,2023-07-07,0.574,22506000,12850481.6
