BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-02-03,146.0,118040,17501625.2
TQBR,2020-02-04,145.46,157920,23063643.0
TQBR,2020-02-05,143.0,86060,12361716.0
TQBR,2020-02-06,143.0,45920,6521035.2
TQBR,2020-02-07,142.92,66210,9358514.8
TQBR,2020-02-10,141.38,22270,3160338.4
TQBR,2020-02-11,139.26,40150,5652160.4
TQBR,2020-02-12,142.0,110420,15594817.8
TQBR,2020-02-13,142.7,22390,3185240.4
TQBR,2020-02-14,143.0,101860,14437118.2
TQBR,2020-02-17,139.96,259270,36519370.2
TQBR,2020-02-18,139.48,126720,17728612.6
TQBR,2020-02-19,140.16,136050,19071708.4
TQBR,2020-02-20,140.02,164040,23036164.6
TQBR,2020-02-21,139.8,139000,19470813.8
TQBR,2020-02-25,138.1,152140,21144259.2
TQBR,2020-02-26,134.58,187990,25435746.8
TQBR,2020-02-27,131.22,166950,22280279.0
TQBR,2020-02-28,125.0,144010,18242594.8
TQBR,2020-03-02,123.48,263230,32923791.6
TQBR,2020-03-03,124.0,224160,27504123.6
TQBR,2020-03-04,121.48,211130,25657341.8
TQBR,2020-03-05,121.9,218420,26443048.6
TQBR,2020-03-06,118.36,195420,23179894.8
TQBR,2020-03-10,117.5,176490,20188940.6
TQBR,2020-03-11,116.0,183480,21075005.2
TQBR,2020-03-12,103.12,301050,32540703.6
TQBR,2020-03-13,100.48,254225,26692859.4
TQBR,2020-03-16,96.96,115578,11410746.42
TQBR,2020-03-17,89.3,292774,26873195.84
TQBR,2020-03-18,77.8,1021063,81296040.56
TQBR,2020-03-19,85.28,1757078,141711907.02
TQBR,2020-03-20,92.6,681802,62178035.98
TQBR,2020-03-23,102.32,262622,25827971.98
TQBR,2020-03-24,106.86,671360,71714998.36
TQBR,2020-03-25,106.68,395200,42944364.38
TQBR,2020-03-26,106.26,105454,11144818.9
TQBR,2020-03-27,104.04,73971,7749200.24
TQBR,2020-03-30,101.1,72364,7413839.4
TQBR,2020-03-31,101.58,68072,6851935.36
TQBR,2020-04-01,98.18,87061,8646884.88
TQBR,2020-04-02,99.2,199849,19795435.08
TQBR,2020-04-03,96.4,302005,29306956.52
TQBR,2020-04-06,96.1,145044,13957448.66
TQBR,2020-04-07,93.88,775936,73894719.86
TQBR,2020-04-08,93.0,120858,11249350.76
TQBR,2020-04-09,91.0,425000,39114895.14
TQBR,2020-04-10,91.78,104712,9574243.78
TQBR,2020-04-13,91.0,170377,15567202.48
TQBR,2020-04-14,89.56,256214,23101210.68
TQBR,2020-04-15,86.34,190153,16641775.08
TQBR,2020-04-16,85.62,426110,36954839.44
TQBR,2020-04-17,82.0,605978,50339042.4
TQBR,2020-04-20,81.38,307951,25113373.96
