BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-03-10,716.9,2614386,1899511015.1
TQBR,2021-03-11,717.0,1277701,897914662.7
TQBR,2021-03-12,715.5,461094,330227669.8
TQBR,2021-03-15,704.9,955647,676441515.3
TQBR,2021-03-16,697.9,612052,428492327.7
TQBR,2021-03-17,709.2,1268379,895099544.3
TQBR,2021-03-18,716.0,123370,87556689.9
TQBR,2021-03-19,716.3,96594,68950802.0
TQBR,2021-03-22,718.0,133633,95965083.5
TQBR,2021-03-23,728.0,595857,432516934.7
TQBR,2021-03-24,732.5,514477,375861502.7
TQBR,2021-03-25,739.9,351102,258655790.1
TQBR,2021-03-26,738.7,175611,129051193.5
TQBR,2021-03-29,739.0,134097,99157008.8
TQBR,2021-03-30,741.4,258862,191388980.8
TQBR,2021-03-31,737.0,79952,58797562.9
TQBR,2021-04-01,743.0,176398,130722784.9
TQBR,2021-04-02,738.9,33737,25000431.4
TQBR,2021-04-05,724.3,70271,51172728.7
TQBR,2021-04-06,713.0,128841,93230373.6
TQBR,2021-04-07,704.4,112190,79466321.6
TQBR,2021-04-08,716.8,93420,66865875.7
TQBR,2021-04-09,720.0,58998,42459438.8
TQBR,2021-04-12,735.3,187507,136821204.0
TQBR,2021-04-13,731.1,128537,94548811.4
TQBR,2021-04-14,725.0,101958,74444746.1
TQBR,2021-04-15,730.9,158744,117103725.5
TQBR,2021-04-16,727.9,242509,177156650.8
TQBR,2021-04-19,732.6,140264,103103877.2
TQBR,2021-04-20,738.0,161679,118735910.3
TQBR,2021-04-21,733.0,157291,115245959.0
TQBR,2021-04-22,730.0,138426,100759858.5
TQBR,2021-04-23,717.0,140002,101159448.3
TQBR,2021-04-26,713.8,121599,87149561.6
TQBR,2021-04-27,710.3,254812,180829291.2
TQBR,2021-04-28,706.0,264325,187135090.5
TQBR,2021-04-29,707.9,353209,249250607.9
TQBR,2021-04-30,704.1,275638,194528569.5
TQBR,2021-05-04,703.0,445899,313780458.4
TQBR,2021-05-05,702.9,282564,198552156.0
TQBR,2021-05-06,698.2,664422,465434045.5
TQBR,2021-05-07,691.4,380018,263897834.4
TQBR,2021-05-10,708.4,71817,50485857.9
TQBR,2021-05-11,699.2,61632,43205571.6
TQBR,2021-05-12,699.3,95797,66980441.0
TQBR,2021-05-13,679.2,701317,478886900.6
TQBR,2021-05-14,685.9,66973,45746094.3
TQBR,2021-05-17,675.0,252815,170957021.7
TQBR,2021-05-18,682.0,46166,31437944.2
TQBR,2021-05-19,684.6,180550,123161606.3
TQBR,2021-05-20,662.4,93674,62833766.7
TQBR,2021-05-21,663.7,126360,83132608.9
TQBR,2021-05-24,664.4,56463,37206967.4
TQBR,2021-05-25,653.2,88621,58249204.9
TQBR,2021-05-26,640.0,122997,78970322.2
TQBR,2021-05-27,612.0,137476,86049508.1
TQBR,2021-05-28,598.0,195804,117031141.8
TQBR,2021-05-31,622.7,156991,98606968.4
TQBR,2021-06-01,623.5,114544,71377714.7
TQBR,2021-06-02,629.5,43956,27581563.4
TQBR,2021-06-03,642.5,192230,122914629.2
TQBR,2021-06-04,628.6,135800,85878198.0
TQBR,2021-06-07,625.0,66800,41910580.6
TQBR,2021-06-08,613.9,51195,31692379.5
TQBR,2021-06-09,619.0,121845,75624810.8
TQBR,2021-06-10,618.2,50772,31403538.5
TQBR,2021-06-11,616.0,57984,35933412.8
TQBR,2021-06-14,613.1,39551,24306628.5
TQBR,2021-06-15,612.7,53738,32891560.5
TQBR,2021-06-16,610.7,70305,42958917.6
TQBR,2021-06-17,664.2,199758,126843309.4
TQBR,2021-06-18,659.0,186515,121541930.1
TQBR,2021-06-21,667.3,126553,83627722.5
TQBR,2021-06-22,668.8,63028,41830567.0
TQBR,2021-06-23,675.1,125625,84580355.2
TQBR,2021-06-24,671.4,115557,77504942.4
TQBR,2021-06-25,662.2,100896,66822107.3
TQBR,2021-06-28,665.9,111287,73075117.9
TQBR,2021-06-29,649.0,76990,50383965.3
TQBR,2021-06-30,637.0,92306,58827095.8
TQBR,2021-07-01,645.5,64397,41517973.8
TQBR,2021-07-02,649.0,77350,49941177.2
TQBR,2021-07-05,643.1,72330,46421179.7
TQBR,2021-07-06,637.8,103360,66319938.8
TQBR,2021-07-07,637.6,65235,41825673.4
TQBR,2021-07-08,628.0,113452,71223128.4
TQBR,2021-07-09,633.8,41542,26183064.3
TQBR,2021-07-12,648.1,119317,76353896.8
TQBR,2021-07-13,632.1,82915,52482455.8
TQBR,2021-07-14,617.3,103909,64851189.1
TQBR,2021-07-15,617.0,100775,61641479.7
TQBR,2021-07-16,605.0,164100,100109026.9
TQBR,2021-07-19,602.0,146896,88381824.4
TQBR,2021-07-20,601.9,151576,90511573.9
TQBR,2021-07-21,587.9,179118,105837092.9
TQBR,2021-07-22,576.6,196392,113090560.2
TQBR,2021-07-23,573.9,121833,69799899.0
TQBR,2021-07-26,565.9,134702,76373875.2
TQBR,2021-07-27,549.4,151203,83371522.1
TQBR,2021-07-28,547.9,197829,107684111.7
TQBR,2021-07-29,555.0,130995,71548533.0
TQBR,2021-07-30,567.0,178256,99682313.0
TQBR,2021-08-02,555.3,98902,55080499.6
TQBR,2021-08-03,556.0,99421,55118977.3
TQBR,2021-08-04,561.5,83461,46740603.6
TQBR,2021-08-05,574.0,67172,37977238.1
TQBR,2021-08-06,570.9,74970,42664363.7
TQBR,2021-08-09,581.9,99058,57259771.4
TQBR,2021-08-10,590.5,49541,29010610.7
TQBR,2021-08-11,584.0,105451,61369701.9
TQBR,2021-08-12,610.0,568169,338198513.4
TQBR,2021-08-13,629.0,358497,224841419.9
TQBR,2021-08-16,642.7,171566,109658009.7
TQBR,2021-08-17,670.0,507145,337454687.1
TQBR,2021-08-18,665.7,244479,164072218.5
TQBR,2021-08-19,683.6,331325,227879244.0
TQBR,2021-08-20,674.1,174887,119777865.6
TQBR,2021-08-23,662.0,120610,80887444.3
TQBR,2021-08-24,649.0,145861,95150042.9
TQBR,2021-08-25,664.8,69462,46030098.8
TQBR,2021-08-26,676.1,71129,48204875.3
TQBR,2021-08-27,685.9,72516,49736332.6
TQBR,2021-08-30,680.0,86722,59914718.8
TQBR,2021-08-31,674.1,56906,38585916.1
TQBR,2021-09-01,668.2,64738,43376032.3
TQBR,2021-09-02,667.1,82404,54995730.4
TQBR,2021-09-03,657.6,132399,86831988.6
TQBR,2021-09-06,648.1,69975,45533151.2
TQBR,2021-09-07,637.3,106563,67752640.0
TQBR,2021-09-08,652.9,61507,39097780.2
TQBR,2021-09-09,628.6,65165,41202340.5
TQBR,2021-09-10,642.4,90263,57149515.5
TQBR,2021-09-13,602.8,363905,222638186.4
TQBR,2021-09-14,610.7,347433,209079257.6
TQBR,2021-09-15,604.3,215101,129330495.2
TQBR,2021-09-16,612.1,290642,177424679.5
TQBR,2021-09-17,622.3,248955,154778781.9
TQBR,2021-09-20,615.0,190659,118260110.6
TQBR,2021-09-21,609.3,151445,92983500.9
TQBR,2021-09-22,610.0,127341,77216235.4
TQBR,2021-09-23,628.9,215780,133491266.9
TQBR,2021-09-24,643.1,272355,175225433.6
TQBR,2021-09-27,638.5,136463,87718720.6
TQBR,2021-09-28,668.6,319092,209760570.5
TQBR,2021-09-29,664.0,189883,125763153.6
TQBR,2021-09-30,647.4,191847,126003511.4
TQBR,2021-10-01,655.0,169839,111761082.0
TQBR,2021-10-04,638.5,174198,111874583.3
TQBR,2021-10-05,647.9,121313,78063982.8
TQBR,2021-10-06,652.1,204996,133289130.1
TQBR,2021-10-07,655.0,200689,133249572.2
