BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-10-07,100.5,107924250,10558146435.6
TQBR,2020-10-08,100.5,11659760,1162828009.0
TQBR,2020-10-09,103.0,31768490,3250445612.7
TQBR,2020-10-12,103.55,12910790,1338775861.3
TQBR,2020-10-13,103.2,5578480,573989042.5
TQBR,2020-10-14,103.0,1722660,176895682.5
TQBR,2020-10-15,100.26,4051740,408986602.5
TQBR,2020-10-16,100.47,1968440,197750764.1
TQBR,2020-10-19,100.4,711900,71596644.5
TQBR,2020-10-20,100.07,2069910,207298323.9
TQBR,2020-10-21,98.59,2769680,275314340.5
TQBR,2020-10-22,96.5,4005500,386826580.2
TQBR,2020-10-23,96.31,1920230,184301900.5
TQBR,2020-10-26,99.1,2361110,230438177.4
TQBR,2020-10-27,98.6,2017230,198652381.8
TQBR,2020-10-28,97.3,2414320,234371017.8
TQBR,2020-10-29,97.89,662250,64837948.6
TQBR,2020-10-30,98.09,434390,42411416.2
TQBR,2020-11-02,97.96,698010,68055570.3
TQBR,2020-11-03,97.31,724480,70791147.5
TQBR,2020-11-05,97.55,954780,93229654.6
TQBR,2020-11-06,97.03,803300,77915479.6
TQBR,2020-11-09,96.65,1474070,142888203.3
TQBR,2020-11-10,96.8,1007000,97461284.1
TQBR,2020-11-11,96.67,847030,82247705.1
TQBR,2020-11-12,96.57,911950,88193658.4
TQBR,2020-11-13,96.59,1004620,97124027.9
TQBR,2020-11-16,97.7,2159810,211116447.7
TQBR,2020-11-17,97.77,7456310,741269221.1
TQBR,2020-11-18,95.98,5666060,549111861.9
TQBR,2020-11-19,96.9,1210850,117066413.4
TQBR,2020-11-20,97.51,1333230,130433674.1
TQBR,2020-11-23,97.52,662600,64715808.7
TQBR,2020-11-24,97.31,712780,69530434.8
TQBR,2020-11-25,97.45,908280,88428354.3
TQBR,2020-11-26,97.41,826740,80395678.4
TQBR,2020-11-27,97.19,512520,49826024.5
TQBR,2020-11-30,96.29,1170450,113371598.6
TQBR,2020-12-01,96.9,1009380,97779185.4
TQBR,2020-12-02,96.75,1264290,122382530.2
TQBR,2020-12-03,96.95,1050410,101873199.6
TQBR,2020-12-04,96.98,754020,73133317.2
TQBR,2020-12-07,96.16,1553230,150027986.1
TQBR,2020-12-08,96.11,1063620,102475557.3
TQBR,2020-12-09,96.1,1072180,103129665.2
TQBR,2020-12-10,95.89,1122130,107771845.7
TQBR,2020-12-11,95.76,912870,87445312.1
TQBR,2020-12-14,95.02,1598660,152750167.6
TQBR,2020-12-15,94.85,1494110,141922500.5
TQBR,2020-12-16,94.48,986780,93513028.9
TQBR,2020-12-17,93.69,1788680,168003589.6
TQBR,2020-12-18,93.45,1820280,169949133.0
TQBR,2020-12-21,92.57,1361160,126581849.6
TQBR,2020-12-22,92.7,1975480,182292785.8
TQBR,2020-12-23,92.0,3347940,309419667.4
TQBR,2020-12-24,90.9,3058570,278876973.4
TQBR,2020-12-25,92.0,2889090,265362540.4
TQBR,2020-12-28,90.61,4751650,433244529.8
TQBR,2020-12-29,90.54,2015250,183012316.6
TQBR,2020-12-30,90.58,2719270,246726029.9
TQBR,2021-01-04,92.1,1343420,123727677.3
TQBR,2021-01-05,93.58,2181120,202200205.4
TQBR,2021-01-06,93.3,2793320,261701141.2
TQBR,2021-01-08,93.5,3100240,291466198.0
TQBR,2021-01-11,93.59,2063830,193580970.8
TQBR,2021-01-12,92.27,1592430,148633172.5
TQBR,2021-01-13,92.6,2677400,248244733.8
TQBR,2021-01-14,92.49,666870,61758336.1
TQBR,2021-01-15,91.35,2268600,207474441.0
TQBR,2021-01-18,92.0,498290,45694244.9
TQBR,2021-01-19,91.42,855960,78618876.7
TQBR,2021-01-20,91.62,991490,91235785.2
TQBR,2021-01-21,91.42,1216730,111334172.6
