BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,459.0,270,118614.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,499.4,10,4994.0
TQBR,2014-06-20,499.3,10,4993.0
TQBR,2014-06-23,432.0,60,24336.0
TQBR,2014-06-24,430.9,10,4309.0
TQBR,2014-06-25,430.9,40,17062.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,433.3,10,4333.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,459.8,10,4598.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,410.0,20,8200.0
TQBR,2014-07-28,390.2,650,253768.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,446.7,10,4467.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,375.0,160,59521.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,350.4,40,14056.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,398.7,10,3987.0
TQBR,2014-08-21,444.8,20,8898.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,360.7,10,3607.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
