BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-04-25,,0,0.0
TQBR,2023-04-26,25.032,1906960,47735022.72
TQBR,2023-04-27,35.03,10393210,352740132.16
TQBR,2023-04-28,38.496,3914310,150112555.54
TQBR,2023-05-02,37.494,47535060,1786522358.3
TQBR,2023-05-03,35.4,8223900,304900393.24
TQBR,2023-05-04,32.824,5739120,193823233.84
TQBR,2023-05-05,32.2,8024030,265363270.78
TQBR,2023-05-08,32.2,1711470,55451818.62
TQBR,2023-05-10,33.372,5585940,185012799.38
TQBR,2023-05-11,33.3,3506000,117979302.32
TQBR,2023-05-12,32.29,1447060,47114470.08
TQBR,2023-05-15,32.17,1338370,43242716.14
TQBR,2023-05-16,31.892,1552390,49651906.68
TQBR,2023-05-17,32.0,2040090,65504720.94
TQBR,2023-05-18,31.86,2051210,66184876.54
TQBR,2023-05-19,31.53,1490990,47451738.38
TQBR,2023-05-22,31.63,1780200,56464826.92
TQBR,2023-05-23,30.446,1374190,42187809.4
TQBR,2023-05-24,29.548,1499310,44572209.58
TQBR,2023-05-25,28.402,1235970,35768164.0
TQBR,2023-05-26,30.0,4076220,122914756.12
TQBR,2023-05-29,30.39,1137410,34273278.34
TQBR,2023-05-30,29.486,523630,15730082.36
TQBR,2023-05-31,30.6,1201120,36341458.98
TQBR,2023-06-01,32.746,5758060,186042654.02
TQBR,2023-06-02,31.994,1886060,60924961.62
TQBR,2023-06-05,32.558,3812220,126953672.04
TQBR,2023-06-06,31.9,1384690,43450184.28
TQBR,2023-06-07,32.218,999170,32526949.86
TQBR,2023-06-08,32.196,852430,27530386.16
TQBR,2023-06-09,32.2,1547180,50787628.12
TQBR,2023-06-13,33.68,2321300,77079638.46
TQBR,2023-06-14,33.482,1797130,60682110.44
TQBR,2023-06-15,33.3,674560,22555593.86
TQBR,2023-06-16,32.8,558330,18347967.66
TQBR,2023-06-19,33.084,520830,17212170.92
TQBR,2023-06-20,33.19,1783010,60031513.22
TQBR,2023-06-21,33.736,861370,29115367.76
TQBR,2023-06-22,34.86,3787980,130651436.92
TQBR,2023-06-23,34.11,1552500,52699926.4
TQBR,2023-06-26,33.012,922330,30770288.84
TQBR,2023-06-27,33.092,467770,15545504.02
TQBR,2023-06-28,32.994,343320,11401654.92
TQBR,2023-06-29,33.9,1097830,36715628.42
TQBR,2023-06-30,33.432,671180,22639732.08
TQBR,2023-07-03,33.102,455080,15152020.76
TQBR,2023-07-04,33.04,402630,13353863.06
TQBR,2023-07-05,33.01,226050,7485560.38
TQBR,2023-07-06,32.5,454620,14892309.42
TQBR,2023-07-07,32.092,551430,17703753.0
TQBR,2023-07-10,32.3,294210,9481833.84
TQBR,2023-07-11,32.5,246630,7997090.28
TQBR,2023-07-12,32.71,431020,14052272.26
TQBR,2023-07-13,32.42,199940,6508399.7
TQBR,2023-07-14,32.31,251210,8126668.9
TQBR,2023-07-17,32.412,203630,6594553.62
TQBR,2023-07-18,32.494,340130,11039559.18
