BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2019-07-25,,0,0.0
TQBR,2019-07-26,688.5,10362,7122079.6
TQBR,2019-07-29,689.0,2288,1574568.7
TQBR,2019-07-30,689.9,1263,872457.6
TQBR,2019-07-31,678.1,201,136770.3
TQBR,2019-08-01,672.2,1030,693306.8
TQBR,2019-08-02,672.0,1328,892720.3
TQBR,2019-08-05,672.0,1990,1337128.0
TQBR,2019-08-06,673.1,994,667980.5
TQBR,2019-08-07,672.0,153,102816.0
TQBR,2019-08-08,672.0,205,137760.4
TQBR,2019-08-09,684.8,155,106077.5
TQBR,2019-08-12,684.8,161,110167.2
TQBR,2019-08-13,685.4,27,18492.9
TQBR,2019-08-14,673.1,359,244911.3
TQBR,2019-08-15,673.2,36,24316.4
TQBR,2019-08-16,673.1,205,138010.0
TQBR,2019-08-19,672.1,500,336160.1
TQBR,2019-08-20,679.9,761,511499.0
TQBR,2019-08-21,684.5,1763,1231723.2
TQBR,2019-08-22,686.8,972,666520.6
TQBR,2019-08-23,686.0,4,2739.1
TQBR,2019-08-26,684.9,398,272584.4
TQBR,2019-08-27,680.0,3009,2029640.6
TQBR,2019-08-28,672.0,2077,1272688.0
TQBR,2019-08-29,675.0,198,133642.0
TQBR,2019-08-30,675.0,66,44402.6
TQBR,2019-09-02,672.6,533,359697.5
TQBR,2019-09-03,679.8,522,354841.8
TQBR,2019-09-04,679.8,428,290938.8
TQBR,2019-09-05,676.0,1843,1244261.0
TQBR,2019-09-06,678.0,233,156636.1
TQBR,2019-09-09,658.9,68,46081.2
TQBR,2019-09-10,677.0,24,16172.5
TQBR,2019-09-11,677.0,25,16865.0
TQBR,2019-09-12,675.0,27,18229.1
TQBR,2019-09-13,676.2,59,39904.4
TQBR,2019-09-16,675.0,19,12825.2
TQBR,2019-09-17,677.0,190,128568.3
TQBR,2019-09-18,677.0,528,357101.9
TQBR,2019-09-19,673.2,235,159080.0
TQBR,2019-09-20,677.0,13,8800.8
TQBR,2019-09-23,677.0,252,170422.0
TQBR,2019-09-24,646.3,897,582896.5
TQBR,2019-09-25,665.9,181,117913.2
TQBR,2019-09-26,646.3,1156,746877.1
TQBR,2019-09-27,633.4,3636,2323297.0
TQBR,2019-09-30,645.0,993,634554.9
TQBR,2019-10-01,639.0,1441,920947.5
TQBR,2019-10-02,639.0,45,28782.7
TQBR,2019-10-03,639.0,29,18520.4
TQBR,2019-10-04,639.9,76,48525.7
TQBR,2019-10-07,639.0,221,141263.1
TQBR,2019-10-08,646.0,8,5162.4
TQBR,2019-10-09,641.0,38,24398.8
TQBR,2019-10-10,641.8,20,12848.9
TQBR,2019-10-11,651.0,286,186062.4
TQBR,2019-10-14,653.3,103,67201.8
TQBR,2019-10-15,651.0,1196,782573.7
TQBR,2019-10-16,655.5,363,239675.4
TQBR,2019-10-17,656.1,2556,1675468.3
TQBR,2019-10-18,662.0,5100,3351884.8
TQBR,2019-10-21,661.3,43,28467.0
TQBR,2019-10-22,671.3,2984,1976980.9
TQBR,2019-10-23,673.0,127,85470.2
TQBR,2019-10-24,666.1,294,195804.9
TQBR,2019-10-25,672.8,53,35663.2
TQBR,2019-10-28,670.0,285,190995.7
TQBR,2019-10-29,672.0,3601,2417639.9
TQBR,2019-10-30,672.0,51,34414.2
TQBR,2019-10-31,675.0,3433,2297424.5
TQBR,2019-11-01,676.0,1041,706023.5
TQBR,2019-11-05,678.0,165,111812.5
TQBR,2019-11-06,682.5,3490,2373183.5
TQBR,2019-11-07,682.0,4684,3190430.5
TQBR,2019-11-08,687.0,3129,2138747.5
TQBR,2019-11-11,686.5,10023,6865770.0
TQBR,2019-11-12,694.0,1014,696628.5
TQBR,2019-11-13,700.5,1163,811431.0
TQBR,2019-11-14,703.0,482,338923.0
TQBR,2019-11-15,703.5,2227,1542249.0
TQBR,2019-11-18,724.0,26328,18730642.5
TQBR,2019-11-19,719.0,4893,3513317.5
TQBR,2019-11-20,712.0,1074,772199.0
TQBR,2019-11-21,729.5,6968,5038332.0
TQBR,2019-11-22,716.0,668,478478.0
TQBR,2019-11-25,718.0,3351,2405842.0
TQBR,2019-11-26,720.0,5057,3641187.5
TQBR,2019-11-27,716.5,3528,2574767.5
TQBR,2019-11-28,716.5,27,19401.0
TQBR,2019-11-29,719.5,2372,1702085.5
TQBR,2019-12-02,726.5,1127,818719.0
TQBR,2019-12-03,733.0,2225,1625990.5
TQBR,2019-12-04,723.5,5951,4307836.5
TQBR,2019-12-05,725.5,1193,865524.5
TQBR,2019-12-06,728.0,1413,1030233.5
TQBR,2019-12-09,730.0,2184,1599380.0
TQBR,2019-12-10,729.5,851,620695.5
TQBR,2019-12-11,731.5,1461,1066619.5
TQBR,2019-12-12,736.0,130,95681.5
TQBR,2019-12-13,736.0,2298,1688725.5
TQBR,2019-12-16,747.0,692,515686.0
TQBR,2019-12-17,752.0,6725,5049170.0
TQBR,2019-12-18,757.5,2842,2142541.5
TQBR,2019-12-19,759.0,1791,1358519.5
TQBR,2019-12-20,762.5,1003,761942.5
TQBR,2019-12-23,760.0,1519,1155793.5
TQBR,2019-12-24,757.5,3857,2950332.5
TQBR,2019-12-25,761.5,3230,2478369.0
TQBR,2019-12-26,772.0,3073,2360159.5
TQBR,2019-12-27,760.5,1027,781468.0
TQBR,2019-12-30,761.5,721,548125.5
TQBR,2020-01-03,761.0,128,97437.5
TQBR,2020-01-06,760.0,35,26608.5
TQBR,2020-01-08,759.5,225,170982.0
TQBR,2020-01-09,768.5,712,546925.0
TQBR,2020-01-10,768.5,68,52227.5
TQBR,2020-01-13,765.5,728,553097.5
TQBR,2020-01-14,759.0,1014,769785.0
TQBR,2020-01-15,759.0,3338,2551781.0
TQBR,2020-01-16,768.5,2016,1549019.5
TQBR,2020-01-17,767.5,1120,860164.0
TQBR,2020-01-20,769.5,343,262854.0
TQBR,2020-01-21,765.0,102,78367.0
TQBR,2020-01-22,761.0,1090,832218.5
TQBR,2020-01-23,761.0,2786,2124958.0
TQBR,2020-01-24,770.0,289,221685.0
TQBR,2020-01-27,762.5,3758,2892302.0
TQBR,2020-01-28,771.0,297,229242.5
TQBR,2020-01-29,770.5,860,656213.0
TQBR,2020-01-30,770.0,104,79997.5
TQBR,2020-01-31,768.5,10,7657.5
TQBR,2020-02-03,771.0,795,612493.5
TQBR,2020-02-04,771.0,959,735095.0
TQBR,2020-02-05,764.5,2686,2066521.5
TQBR,2020-02-06,765.0,20,15326.0
TQBR,2020-02-07,765.5,1730,1338898.5
TQBR,2020-02-10,774.0,2084,1613004.0
TQBR,2020-02-11,778.0,2973,2308577.5
TQBR,2020-02-12,774.0,18,13948.0
TQBR,2020-02-13,771.5,162,124533.5
TQBR,2020-02-14,768.5,377,291341.0
TQBR,2020-02-17,776.0,73,56117.5
TQBR,2020-02-18,768.0,1786,1371689.0
TQBR,2020-02-19,769.0,187,143468.5
TQBR,2020-02-20,772.5,545,418615.0
TQBR,2020-02-21,767.0,507,388874.0
TQBR,2020-02-25,767.0,2725,2090781.0
TQBR,2020-02-26,767.0,250,191744.0
TQBR,2020-02-27,767.0,2208,1693968.5
TQBR,2020-02-28,767.5,143,109692.5
TQBR,2020-03-02,767.0,178,136575.0
TQBR,2020-03-03,773.0,113,87228.0
TQBR,2020-03-04,767.0,13,9971.0
TQBR,2020-03-05,767.0,3387,2601787.5
TQBR,2020-03-06,767.0,79,60620.5
TQBR,2020-03-10,757.0,10794,8252047.0
TQBR,2020-03-11,755.5,2671,2021945.5
TQBR,2020-03-12,758.0,3179,2395491.5
TQBR,2020-03-13,748.0,102,76332.5
TQBR,2020-03-16,748.0,671,501929.5
TQBR,2020-03-17,754.0,54,35701.5
TQBR,2020-03-18,740.5,3897,2900730.0
TQBR,2020-03-19,736.0,1332,982303.0
TQBR,2020-03-20,744.5,1707,1255109.5
TQBR,2020-03-23,732.5,2402,1759465.5
TQBR,2020-03-24,745.0,505,373891.5
TQBR,2020-03-25,744.5,1596,1174716.5
TQBR,2020-03-26,745.0,18,13405.5
TQBR,2020-03-27,730.0,2927,2145391.0
TQBR,2020-03-30,722.0,404,292856.0
TQBR,2020-03-31,726.5,37,26892.5
TQBR,2020-04-01,732.0,361,264210.0
TQBR,2020-04-02,727.5,6,4359.5
TQBR,2020-04-03,732.0,7,5093.0
TQBR,2020-04-06,731.5,25,18206.0
TQBR,2020-04-07,722.5,33,24052.5
TQBR,2020-04-08,731.5,8,5845.5
TQBR,2020-04-09,728.5,132,95505.0
TQBR,2020-04-10,723.0,815,588957.5
TQBR,2020-04-13,723.0,362,264394.0
TQBR,2020-04-14,731.5,121,87978.0
TQBR,2020-04-15,733.0,685,501459.0
TQBR,2020-04-16,1010.0,131845,125335396.5
TQBR,2020-04-17,802.0,79068,68003186.5
TQBR,2020-04-20,840.0,46713,39885885.5
TQBR,2020-04-21,745.0,33118,25264028.0
TQBR,2020-04-22,740.5,10685,7930937.5
TQBR,2020-04-23,762.0,18972,14188209.5
TQBR,2020-04-24,740.0,11053,8218715.0
TQBR,2020-04-27,737.0,5276,3909404.0
TQBR,2020-04-28,748.0,8483,6333505.5
TQBR,2020-04-29,738.0,12621,9342676.5
TQBR,2020-04-30,716.5,11370,8207465.5
TQBR,2020-05-04,690.5,21456,14777911.0
TQBR,2020-05-05,680.5,7920,5370473.0
TQBR,2020-05-06,680.0,4722,3182733.0
TQBR,2020-05-07,680.0,3416,2293200.0
TQBR,2020-05-08,690.0,2443,1657288.5
TQBR,2020-05-12,681.5,8136,5512344.0
TQBR,2020-05-13,669.5,3562,2375532.5
TQBR,2020-05-14,661.0,3490,2289748.5
TQBR,2020-05-15,646.0,5393,3506771.0
TQBR,2020-05-18,650.0,2482,1599147.0
TQBR,2020-05-19,639.0,1863,1189544.5
TQBR,2020-05-20,638.5,5056,3213631.0
TQBR,2020-05-21,632.0,5507,3477218.0
TQBR,2020-05-22,627.0,6081,3809053.5
TQBR,2020-05-25,630.0,2904,1803344.0
TQBR,2020-05-26,654.0,8456,5451820.0
TQBR,2020-05-27,629.0,9620,6043778.5
TQBR,2020-05-28,622.5,7062,4373992.5
TQBR,2020-05-29,611.0,7447,4550397.0
TQBR,2020-06-01,608.0,3609,2184102.0
TQBR,2020-06-02,600.0,11687,7009374.0
TQBR,2020-06-03,600.0,2786,1665270.5
TQBR,2020-06-04,600.0,2281,1366075.5
TQBR,2020-06-05,609.5,7942,4738659.5
TQBR,2020-06-08,605.5,12374,7496194.0
TQBR,2020-06-09,622.5,11438,7124531.5
TQBR,2020-06-10,620.5,5722,3561674.5
TQBR,2020-06-11,614.0,5703,3512531.0
TQBR,2020-06-15,609.0,5092,3125777.0
TQBR,2020-06-16,605.0,4940,3002638.0
TQBR,2020-06-17,599.5,7706,4630262.0
TQBR,2020-06-18,603.0,960,578012.5
TQBR,2020-06-19,612.5,2828,1710939.5
TQBR,2020-06-22,609.5,1643,1000195.0
TQBR,2020-06-23,609.5,4102,2496978.5
TQBR,2020-06-25,609.5,2027,1230545.0
TQBR,2020-06-26,612.5,1443,881661.5
TQBR,2020-06-29,623.0,5489,3395154.5
TQBR,2020-06-30,619.0,3411,2128240.0
TQBR,2020-07-02,610.0,2678,1623932.0
TQBR,2020-07-03,608.0,854,519442.0
TQBR,2020-07-06,612.0,930,568201.5
TQBR,2020-07-07,610.0,1201,733296.5
TQBR,2020-07-08,610.5,371,226269.5
TQBR,2020-07-09,608.0,1480,899009.0
TQBR,2020-07-10,611.5,858,524184.0
TQBR,2020-07-13,606.0,2001,1218343.0
TQBR,2020-07-14,608.0,1531,931744.0
TQBR,2020-07-15,614.0,2366,1447349.0
TQBR,2020-07-16,613.5,1466,896872.0
TQBR,2020-07-17,621.0,6472,3992951.5
TQBR,2020-07-20,618.0,9467,5855126.5
TQBR,2020-07-21,622.0,7833,4862324.0
TQBR,2020-07-22,608.5,7699,4691838.5
TQBR,2020-07-23,604.5,4947,2992109.0
TQBR,2020-07-24,601.0,2345,1410093.5
TQBR,2020-07-27,598.0,3120,1870788.5
TQBR,2020-07-28,598.0,3446,2055706.0
TQBR,2020-07-29,599.5,1738,1035903.5
TQBR,2020-07-30,601.0,6894,4147104.5
TQBR,2020-07-31,599.0,3988,2348722.0
TQBR,2020-08-03,598.0,1515,907584.0
TQBR,2020-08-04,604.5,7239,4372079.0
TQBR,2020-08-05,601.5,1676,1008599.5
TQBR,2020-08-06,603.5,453,273512.0
TQBR,2020-08-07,604.0,2924,1755138.0
TQBR,2020-08-10,603.5,689,414244.0
TQBR,2020-08-11,603.0,3202,1929556.0
TQBR,2020-08-12,600.5,1119,672238.5
TQBR,2020-08-13,603.0,633,381326.0
TQBR,2020-08-14,601.5,739,444056.0
TQBR,2020-08-17,600.0,835,501285.5
TQBR,2020-08-18,600.0,1798,1074839.5
TQBR,2020-08-19,599.0,1753,1048737.5
TQBR,2020-08-20,596.0,628,375619.0
TQBR,2020-08-21,596.5,825,492365.5
TQBR,2020-08-24,598.5,537,320210.0
TQBR,2020-08-25,597.5,411,245327.5
TQBR,2020-08-26,598.5,960,574624.5
TQBR,2020-08-27,599.5,2487,1491234.0
TQBR,2020-08-28,597.0,3357,2002249.5
TQBR,2020-08-31,596.5,1316,787390.0
TQBR,2020-09-01,597.5,1940,1154702.5
TQBR,2020-09-02,592.5,2606,1545707.0
TQBR,2020-09-03,591.0,486,287919.5
TQBR,2020-09-04,592.5,368,217959.0
TQBR,2020-09-07,593.0,423,250148.5
TQBR,2020-09-08,590.0,1354,798290.0
TQBR,2020-09-09,590.0,1206,711667.5
TQBR,2020-09-10,593.0,862,508597.0
TQBR,2020-09-11,600.0,7733,4663545.5
TQBR,2020-09-14,606.5,1555,943265.5
TQBR,2020-09-15,603.5,829,503625.5
TQBR,2020-09-16,603.5,634,382621.0
TQBR,2020-09-17,604.0,705,424740.0
TQBR,2020-09-18,603.5,1356,815770.5
TQBR,2020-09-21,598.0,1416,850000.5
TQBR,2020-09-22,597.5,882,526541.0
TQBR,2020-09-23,596.0,1302,774887.5
TQBR,2020-09-24,604.5,7724,4665488.0
TQBR,2020-09-25,615.0,19285,11949085.5
TQBR,2020-09-28,610.0,2853,1754265.0
TQBR,2020-09-29,607.5,2212,1337306.0
TQBR,2020-09-30,608.0,2055,1239254.0
TQBR,2020-10-01,605.5,1931,1162326.0
TQBR,2020-10-02,605.0,173,104197.5
TQBR,2020-10-05,605.5,302,182108.5
TQBR,2020-10-06,602.5,950,573906.5
TQBR,2020-10-07,601.0,1074,645356.5
TQBR,2020-10-08,596.5,1998,1199383.0
TQBR,2020-10-09,594.5,335,199353.0
