BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,7029.0,212826,1496171686.0
TQBR,2014-06-10,6900.0,207612,1441391215.0
TQBR,2014-06-11,6940.0,207715,1434679352.0
TQBR,2014-06-16,6649.0,520423,3453075583.0
TQBR,2014-06-17,6622.0,219261,1448175391.0
TQBR,2014-06-18,6780.0,276596,1860722819.0
TQBR,2014-06-19,6839.0,188079,1286147858.0
TQBR,2014-06-20,6865.0,247349,1701756230.0
TQBR,2014-06-23,6899.0,195573,1347070053.0
TQBR,2014-06-24,6895.0,191568,1318492778.0
TQBR,2014-06-25,6766.0,191597,1310537864.0
TQBR,2014-06-26,6720.0,228827,1546798963.0
TQBR,2014-06-27,6715.0,120365,806243206.0
TQBR,2014-06-30,6719.0,163975,1101391860.0
TQBR,2014-07-01,6798.0,132268,890349424.0
TQBR,2014-07-02,6920.0,204711,1405499989.0
TQBR,2014-07-03,7005.0,231628,1618559514.0
TQBR,2014-07-04,6971.0,148269,1036597865.0
TQBR,2014-07-07,7149.0,184810,1307286671.0
TQBR,2014-07-08,7280.0,381218,2763281445.0
TQBR,2014-07-09,7316.0,167278,1215212877.0
TQBR,2014-07-10,7210.0,317565,2314324593.0
TQBR,2014-07-11,7260.0,158768,1148790406.0
TQBR,2014-07-14,7263.0,124991,908573636.0
TQBR,2014-07-15,7300.0,204730,1490406293.0
TQBR,2014-07-16,7160.0,274249,1995179623.0
TQBR,2014-07-17,7135.0,342601,2412232759.0
TQBR,2014-07-18,7010.0,280507,1978222636.0
TQBR,2014-07-21,6819.0,254739,1760920065.0
TQBR,2014-07-22,7009.0,220574,1533052715.0
TQBR,2014-07-23,7145.0,206070,1465660684.0
TQBR,2014-07-24,7219.0,130980,940638215.0
TQBR,2014-07-25,7039.0,275582,1950073560.0
TQBR,2014-07-28,6981.0,194139,1354161128.0
TQBR,2014-07-29,7030.0,186122,1314570666.0
TQBR,2014-07-30,7083.0,207320,1478206628.0
TQBR,2014-07-31,7060.0,163860,1163009932.0
TQBR,2014-08-01,6953.0,202172,1404940173.0
TQBR,2014-08-04,7000.0,178477,1243598408.0
TQBR,2014-08-05,6856.0,217880,1512105983.0
TQBR,2014-08-06,6733.0,273368,1858975156.0
TQBR,2014-08-07,6800.0,220177,1478878576.0
TQBR,2014-08-08,6883.0,189087,1301354879.0
TQBR,2014-08-11,6995.0,155984,1089461571.0
TQBR,2014-08-12,6917.0,140852,977995049.0
TQBR,2014-08-13,6980.0,236680,1644780837.0
TQBR,2014-08-14,6961.0,182079,1270620260.0
TQBR,2014-08-15,7025.0,149909,1049322870.0
TQBR,2014-08-18,7065.0,92357,649419467.0
TQBR,2014-08-19,7300.0,235034,1694763034.0
TQBR,2014-08-20,7447.0,225976,1662799341.0
TQBR,2014-08-21,7445.0,249759,1863193658.0
TQBR,2014-08-22,7300.0,174863,1285702264.0
TQBR,2014-08-25,7342.0,69782,512100781.0
TQBR,2014-08-26,7252.0,147759,1076554376.0
TQBR,2014-08-27,7300.0,114514,835466177.0
TQBR,2014-08-28,7280.0,225254,1624634678.0
TQBR,2014-08-29,7230.0,221671,1614132858.0
TQBR,2014-09-01,7240.0,192938,1404376084.0
TQBR,2014-09-02,7177.0,150051,1082709230.0
TQBR,2014-09-03,7331.0,392697,2824488292.0
TQBR,2014-09-04,7309.0,217143,1592580186.0
TQBR,2014-09-05,7521.0,433199,3206041741.0
TQBR,2014-09-08,7510.0,232197,1747415315.0
TQBR,2014-09-09,7393.0,165841,1236468619.0
TQBR,2014-09-10,7380.0,174874,1295067296.0
TQBR,2014-09-11,7334.0,180003,1329713547.0
