BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-11-02,670.0,2634803,1734673634.6
TQBR,2023-11-03,669.0,613166,401963518.9
TQBR,2023-11-06,650.0,236365,155042903.0
TQBR,2023-11-07,659.5,199158,130760682.8
TQBR,2023-11-08,636.0,167463,108303934.1
TQBR,2023-11-09,619.9,206246,128797012.8
TQBR,2023-11-10,581.0,311688,188047715.7
TQBR,2023-11-13,569.0,276382,155104910.7
TQBR,2023-11-14,550.0,141801,78357978.3
TQBR,2023-11-15,564.1,134939,75526399.9
TQBR,2023-11-16,578.0,94192,54160746.2
TQBR,2023-11-17,574.0,49161,28320321.8
TQBR,2023-11-20,563.0,39755,22576129.4
TQBR,2023-11-21,553.5,203466,112250330.5
TQBR,2023-11-22,570.1,88660,50182355.0
TQBR,2023-11-23,560.5,52710,29526983.9
TQBR,2023-11-24,552.2,37147,20671056.7
TQBR,2023-11-27,544.0,130086,71827536.1
TQBR,2023-11-28,536.5,48887,26394725.3
TQBR,2023-11-29,541.6,77212,41772547.7
TQBR,2023-11-30,516.3,171751,90477780.0
TQBR,2023-12-01,513.0,91806,48105635.9
TQBR,2023-12-04,492.0,208234,103744710.1
TQBR,2023-12-05,492.9,111941,54310073.1
TQBR,2023-12-06,499.0,53479,26620879.5
TQBR,2023-12-07,495.5,35693,17669412.8
TQBR,2023-12-08,508.0,91782,47682082.1
TQBR,2023-12-11,500.3,133873,68906204.5
TQBR,2023-12-12,530.2,274509,146378378.9
TQBR,2023-12-13,551.8,308435,171498682.8
TQBR,2023-12-14,535.0,108311,58747872.7
TQBR,2023-12-15,551.0,77410,42454725.4
TQBR,2023-12-18,561.7,101007,56153056.6
TQBR,2023-12-19,560.1,76447,42560365.9
TQBR,2023-12-20,560.0,47635,26470987.2
TQBR,2023-12-21,536.0,126834,68200685.0
TQBR,2023-12-22,541.1,93069,50371510.5
TQBR,2023-12-25,550.0,72690,40060372.9
TQBR,2023-12-26,535.6,90833,49129090.2
TQBR,2023-12-27,547.0,77283,41804106.5
TQBR,2023-12-28,544.0,66907,36570865.9
TQBR,2023-12-29,544.5,36392,19752637.4
TQBR,2024-01-03,568.9,71904,40519755.5
TQBR,2024-01-04,581.5,109710,63836998.5
TQBR,2024-01-05,576.9,41543,24010657.2
TQBR,2024-01-08,588.6,67832,39890379.1
TQBR,2024-01-09,593.1,54750,32401914.1
TQBR,2024-01-10,595.6,259100,157560313.1
TQBR,2024-01-11,584.2,122806,71901951.9
TQBR,2024-01-12,613.1,699872,433198635.5
TQBR,2024-01-15,609.0,139045,85702520.1
TQBR,2024-01-16,604.7,111033,67723090.3
TQBR,2024-01-17,601.3,39863,24056523.6
TQBR,2024-01-18,606.1,78771,47882305.3
TQBR,2024-01-19,590.0,130420,77356204.1
TQBR,2024-01-22,600.0,85536,51213157.5
TQBR,2024-01-23,602.6,40111,24222425.9
TQBR,2024-01-24,604.0,34502,20772219.3
TQBR,2024-01-25,601.1,349499,213679437.7
TQBR,2024-01-26,594.0,73085,43899085.4
TQBR,2024-01-29,599.2,52062,31288645.9
TQBR,2024-01-30,601.6,67697,40547817.5
TQBR,2024-01-31,598.3,54449,32535656.8
TQBR,2024-02-01,595.1,75987,45406828.4
TQBR,2024-02-02,601.7,84977,51067267.3
TQBR,2024-02-05,605.2,92335,55696733.9
TQBR,2024-02-06,611.9,68903,42059775.5
TQBR,2024-02-07,611.5,59808,36464477.5
TQBR,2024-02-08,611.6,149295,91737172.6
TQBR,2024-02-09,624.0,125723,77448773.6
TQBR,2024-02-12,626.0,128769,80106135.0
TQBR,2024-02-13,635.6,97696,61303498.0
TQBR,2024-02-14,644.0,113752,72655199.5
TQBR,2024-02-15,659.5,236391,154283319.2
TQBR,2024-02-16,659.6,166999,110928297.0
TQBR,2024-02-19,657.0,84817,55478575.4
TQBR,2024-02-20,638.5,78534,50570009.1
TQBR,2024-02-21,620.0,104836,64803913.4
TQBR,2024-02-22,620.3,60639,38361506.4
TQBR,2024-02-26,656.4,104940,67403090.6
TQBR,2024-02-27,660.3,166819,110043082.2
TQBR,2024-02-28,655.0,82362,53609095.5
TQBR,2024-02-29,650.0,52082,33771044.3
TQBR,2024-03-01,652.0,42765,27945879.1
TQBR,2024-03-04,648.6,63256,41397132.7
TQBR,2024-03-05,651.3,36773,23958319.8
TQBR,2024-03-06,649.0,33758,21967793.3
TQBR,2024-03-07,650.0,35656,23107202.3
TQBR,2024-03-11,649.2,106031,69075496.2
TQBR,2024-03-12,643.8,77680,49942007.3
TQBR,2024-03-13,643.3,59729,38602242.7
TQBR,2024-03-14,638.6,71953,46290516.7
TQBR,2024-03-15,635.2,43254,27553473.8
TQBR,2024-03-18,632.3,40781,25738215.3
TQBR,2024-03-19,628.2,51173,32278513.5
TQBR,2024-03-20,628.7,34044,21440094.8
TQBR,2024-03-21,650.9,139328,89991551.8
TQBR,2024-03-22,649.0,59824,38836264.0
TQBR,2024-03-25,650.0,129085,84289423.0
TQBR,2024-03-26,665.3,124578,82834290.0
TQBR,2024-03-27,710.0,679153,472613636.4
TQBR,2024-03-28,699.0,248872,175369543.3
