BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-03-25,,0,0.0
TQBR,2013-03-26,,0,0.0
TQBR,2013-03-27,,0,0.0
TQBR,2013-03-28,,0,0.0
TQBR,2013-03-29,,0,0.0
TQBR,2013-04-01,,0,0.0
TQBR,2013-04-02,,0,0.0
TQBR,2013-04-03,,0,0.0
TQBR,2013-04-04,0.56,37000,21176.9
TQBR,2013-04-05,0.55,952000,524373.9
TQBR,2013-04-08,0.54,203000,111090.2
TQBR,2013-04-09,0.532,21000,11184.4
TQBR,2013-04-10,0.5416,407000,218510.2
TQBR,2013-04-11,0.515,213000,111825.1
TQBR,2013-04-12,0.5,34000,16905.0
TQBR,2013-04-15,0.495,351000,164618.8
TQBR,2013-04-16,0.495,302000,148439.5
TQBR,2013-04-17,0.4705,64000,31042.0
TQBR,2013-04-18,0.4727,37000,17402.4
TQBR,2013-04-19,0.45,223000,101151.0
TQBR,2013-04-22,0.4901,495000,227827.0
TQBR,2013-04-23,0.4911,142000,69421.0
TQBR,2013-04-24,0.5321,253000,129870.0
TQBR,2013-04-25,0.52,97000,53608.0
TQBR,2013-04-26,0.51,1318000,671951.6
TQBR,2013-04-29,0.52,33000,17313.0
TQBR,2013-04-30,0.55,639000,351261.0
TQBR,2013-05-02,0.58,289000,173412.6
TQBR,2013-05-03,0.5851,607000,355155.7
TQBR,2013-05-06,0.5752,590000,338499.0
TQBR,2013-05-07,,0,0.0
TQBR,2013-05-08,,0,0.0
TQBR,2013-05-10,,0,0.0
TQBR,2013-05-13,0.532,53000,28161.0
TQBR,2013-05-14,0.548,110000,59946.2
TQBR,2013-05-15,0.548,172000,96506.0
TQBR,2013-05-16,0.515,12000,6345.0
TQBR,2013-05-17,0.533,136000,70749.5
TQBR,2013-05-20,0.5365,110000,59856.7
TQBR,2013-05-21,0.547,629000,343961.0
TQBR,2013-05-22,0.5557,7000,3802.2
TQBR,2013-05-23,,0,0.0
TQBR,2013-05-24,0.5201,42000,22031.6
TQBR,2013-05-27,0.523,86000,44907.5
TQBR,2013-05-28,0.5355,77000,41233.5
TQBR,2013-05-29,0.515,9000,4680.0
TQBR,2013-05-30,0.5,28000,14052.5
TQBR,2013-05-31,0.47,42000,20400.3
TQBR,2013-06-03,0.4625,179000,82964.5
TQBR,2013-06-04,0.4675,72000,34434.8
TQBR,2013-06-05,0.4675,49000,22843.9
TQBR,2013-06-06,0.457,304000,143398.0
TQBR,2013-06-07,0.4858,85000,40881.9
TQBR,2013-06-10,0.4908,3000,1472.4
TQBR,2013-06-11,0.465,100000,46500.0
TQBR,2013-06-13,0.5112,41000,20800.1
TQBR,2013-06-14,0.4799,65000,31192.5
TQBR,2013-06-17,0.4934,103000,50470.2
TQBR,2013-06-18,0.5011,194000,97267.0
TQBR,2013-06-19,,0,0.0
TQBR,2013-06-20,,0,0.0
TQBR,2013-06-21,0.4889,80000,39112.0
TQBR,2013-06-24,0.4989,100000,49890.0
TQBR,2013-06-25,0.5,24000,12042.0
TQBR,2013-06-26,,0,0.0
TQBR,2013-06-27,,0,0.0
TQBR,2013-06-28,0.5,1000000,502300.0
TQBR,2013-07-01,0.505,500000,252500.0
TQBR,2013-07-02,,0,0.0
TQBR,2013-07-03,0.517,139000,71624.8
TQBR,2013-07-04,0.529,1887000,988694.9
TQBR,2013-07-05,0.529,24000,13381.5
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,0.54,213000,114487.5
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,0.55,986000,534075.3
TQBR,2013-07-12,0.5492,348000,190246.6
TQBR,2013-07-15,0.552,307000,168928.0
TQBR,2013-07-16,0.56,109000,60972.5
TQBR,2013-07-17,0.585,652000,369925.0
TQBR,2013-07-18,0.564,1728000,989338.0
TQBR,2013-07-19,0.5781,708000,406269.0
TQBR,2013-07-22,0.5786,2878000,1650857.0
TQBR,2013-07-23,0.591,223000,132935.3
TQBR,2013-07-24,0.595,1276000,759858.1
TQBR,2013-07-25,0.5775,439000,257989.0
TQBR,2013-07-26,0.5619,240000,136293.6
TQBR,2013-07-29,0.5692,101000,55569.2
TQBR,2013-07-30,0.585,1070000,618675.3
TQBR,2013-07-31,0.584,650000,381000.0
TQBR,2013-08-01,0.58,361000,208664.0
TQBR,2013-08-02,0.5755,730000,418466.4
TQBR,2013-08-05,0.577,230000,132710.0
TQBR,2013-08-06,0.57,106000,60414.2
TQBR,2013-08-07,0.573,200000,113850.0
TQBR,2013-08-08,0.59,20000,11420.8
TQBR,2013-08-09,0.5717,6000,3405.8
TQBR,2013-08-12,0.5858,13000,7615.4
TQBR,2013-08-13,0.5908,185000,109968.0
TQBR,2013-08-14,0.6,13000,7800.0
TQBR,2013-08-15,0.5752,11000,6319.1
TQBR,2013-08-16,0.5635,64000,36288.4
TQBR,2013-08-19,0.57,358000,204065.9
TQBR,2013-08-20,0.565,2184000,1231302.8
TQBR,2013-08-21,0.5659,1035000,590705.4
TQBR,2013-08-22,0.58,6085000,3509811.1
TQBR,2013-08-23,0.569,1832000,1051061.8
TQBR,2013-08-26,0.5659,2049000,1170145.6
TQBR,2013-08-27,0.5613,2602000,1443342.7
TQBR,2013-08-28,0.5563,1420000,788173.2
TQBR,2013-08-29,0.5494,8869000,4930093.3
TQBR,2013-08-30,0.5436,7190000,3881560.5
TQBR,2013-09-02,0.5488,200253000,109763190.1
TQBR,2013-09-03,0.5516,479126000,263476223.2
TQBR,2013-09-04,0.5412,691432000,373972426.8
TQBR,2013-09-05,0.5452,1131854000,611350976.3
TQBR,2013-09-06,0.5432,1426002000,771518138.2
TQBR,2013-09-09,0.5455,958283000,524481071.2
TQBR,2013-09-10,0.551,862944000,473461984.1
TQBR,2013-09-11,0.5651,2416736000,1371224071.6
TQBR,2013-09-12,0.555,898837000,502608377.5
TQBR,2013-09-13,0.5374,754083000,411808558.6
TQBR,2013-09-16,0.5463,765419000,416595618.9
TQBR,2013-09-17,0.5588,702879000,387506972.1
TQBR,2013-09-18,0.5563,738537000,412326489.2
TQBR,2013-09-19,0.5676,984457000,557059605.4
TQBR,2013-09-20,0.5628,482558000,272217778.3
TQBR,2013-09-23,0.5596,562210000,316593361.7
TQBR,2013-09-24,0.562,396925000,221643063.2
TQBR,2013-09-25,0.566,469655000,263831700.9
TQBR,2013-09-26,0.5664,315132000,178236912.3
TQBR,2013-09-27,0.55,762241000,423214079.5
TQBR,2013-09-30,0.5397,912052000,493046178.7
TQBR,2013-10-01,0.5373,804188000,431870464.3
TQBR,2013-10-02,0.5338,448991000,240578115.6
TQBR,2013-10-03,0.5405,544595000,292883056.4
TQBR,2013-10-04,0.5328,758518000,405220648.7
TQBR,2013-10-07,0.5357,451233000,240032471.5
TQBR,2013-10-08,0.5419,609292000,327620942.6
TQBR,2013-10-09,0.5449,745240000,407350550.8
TQBR,2013-10-10,0.5579,745244000,411319782.2
TQBR,2013-10-11,0.552,607332000,337270753.7
TQBR,2013-10-14,0.5551,246275000,136556796.8
TQBR,2013-10-15,0.5579,739489000,411981054.7
TQBR,2013-10-16,0.5533,468942000,260210591.6
TQBR,2013-10-17,0.5435,957446000,521336950.4
TQBR,2013-10-18,0.563,725218000,402402698.9
TQBR,2013-10-21,0.5708,650278000,371989461.4
TQBR,2013-10-22,0.5621,521183000,297918613.4
TQBR,2013-10-23,0.5539,553205000,307707908.6
TQBR,2013-10-24,0.5471,1080778000,590677399.3
TQBR,2013-10-25,0.5423,1225229000,661927889.4
TQBR,2013-10-28,0.5579,645118000,356335447.4
TQBR,2013-10-29,0.5543,365000000,202588235.5
TQBR,2013-10-30,0.5574,502980000,280840599.9
TQBR,2013-10-31,0.5636,575370000,320390667.8
TQBR,2013-11-01,0.5588,286797000,160385214.6
TQBR,2013-11-05,0.555,231964000,129003260.6
TQBR,2013-11-06,0.551,424786000,235241414.2
TQBR,2013-11-07,0.557,551851000,308281785.1
TQBR,2013-11-08,0.5543,626751000,345073066.6
TQBR,2013-11-11,0.5535,290491000,161389542.3
TQBR,2013-11-12,0.5549,274363000,151992836.1
TQBR,2013-11-13,0.549,847877000,469387163.5
TQBR,2013-11-14,0.5591,487642000,272106293.8
TQBR,2013-11-15,0.5601,393350000,220672578.0
TQBR,2013-11-18,0.5611,262933000,147402592.7
TQBR,2013-11-19,0.56,448529000,250267671.6
TQBR,2013-11-20,0.5609,254087000,141596479.6
TQBR,2013-11-21,0.5577,185438000,103449470.7
TQBR,2013-11-22,0.5778,579310000,329861634.6
TQBR,2013-11-25,0.571,747242000,432736141.1
TQBR,2013-11-26,0.56,698387000,397843140.8
TQBR,2013-11-27,0.5635,720855000,407811973.7
TQBR,2013-11-28,0.5625,260560000,147143417.4
TQBR,2013-11-29,0.571,818640000,460979620.9
TQBR,2013-12-02,0.5679,329141000,186901201.6
TQBR,2013-12-03,0.5579,654746000,366166940.2
TQBR,2013-12-04,0.5542,1203798000,671392105.1
TQBR,2013-12-05,0.5589,858682000,482099539.0
TQBR,2013-12-06,0.5615,462829000,259120758.4
TQBR,2013-12-09,0.561,481067000,269688160.9
TQBR,2013-12-10,0.56,566636000,317014109.1
TQBR,2013-12-11,0.5591,607451000,339675443.2
TQBR,2013-12-12,0.5545,568732000,315681070.0
TQBR,2013-12-13,0.558,332344000,185832348.9
TQBR,2013-12-16,0.563,435140000,244065456.1
TQBR,2013-12-17,0.5643,665113000,376689293.9
TQBR,2013-12-18,0.5642,541689000,307650824.5
TQBR,2013-12-19,0.5871,1396395000,813645534.0
TQBR,2013-12-20,0.5885,662632000,389818203.3
TQBR,2013-12-23,0.5879,562292000,332013309.3
TQBR,2013-12-24,0.587,356420000,210169653.6
TQBR,2013-12-25,0.5856,120068000,70557183.9
TQBR,2013-12-26,0.5716,799937000,461221349.6
TQBR,2013-12-27,0.5696,373062000,212958011.7
TQBR,2013-12-30,0.5675,354955000,201472161.5
TQBR,2014-01-06,0.5606,344929000,194700136.7
TQBR,2014-01-08,0.565,365279000,206579692.2
TQBR,2014-01-09,0.5616,239294000,135339734.8
TQBR,2014-01-10,0.5657,319539000,180030986.2
TQBR,2014-01-13,0.5721,463229000,263819745.1
TQBR,2014-01-14,0.5675,352075000,199429703.4
TQBR,2014-01-15,0.5715,318727000,181744442.9
TQBR,2014-01-16,0.5672,393197000,224655940.6
TQBR,2014-01-17,0.5645,392595000,222583093.8
TQBR,2014-01-20,0.565,282153000,160148720.1
TQBR,2014-01-21,0.5644,266310000,150547724.7
TQBR,2014-01-22,0.5667,353087000,199363505.6
TQBR,2014-01-23,0.5679,328598000,186318605.1
TQBR,2014-01-24,0.56,434035000,244749804.5
TQBR,2014-01-27,0.554,737837000,411738058.1
TQBR,2014-01-28,0.553,707198000,392694371.1
TQBR,2014-01-29,0.5518,924331000,514037381.5
TQBR,2014-01-30,0.5501,659950000,363741550.6
TQBR,2014-01-31,0.554,539489000,297706109.5
TQBR,2014-02-03,0.5555,472525000,263327931.8
TQBR,2014-02-04,0.5569,478548000,264719929.8
TQBR,2014-02-05,0.5565,431848000,241331152.7
TQBR,2014-02-06,0.5568,239290000,133341961.2
TQBR,2014-02-07,0.5647,415584000,233558118.9
TQBR,2014-02-10,0.5594,311471000,174917747.7
TQBR,2014-02-11,0.5574,288048000,161154465.3
TQBR,2014-02-12,0.5603,257512000,144055800.3
TQBR,2014-02-13,0.5585,278986000,156125666.2
TQBR,2014-02-14,0.5624,188044000,105381941.5
TQBR,2014-02-17,0.5629,223129000,125695380.6
TQBR,2014-02-18,0.5641,304123000,171201911.5
TQBR,2014-02-19,0.5586,412638000,230948838.5
TQBR,2014-02-20,0.5602,413161000,231364258.5
TQBR,2014-02-21,0.56,257191000,144043369.7
TQBR,2014-02-24,0.5622,148515000,83411192.9
TQBR,2014-02-25,0.564,224992000,126737540.4
TQBR,2014-02-26,0.5632,525703000,297592223.3
TQBR,2014-02-27,0.556,865434000,481998015.8
TQBR,2014-02-28,0.5595,335692000,186567576.8
TQBR,2014-03-03,0.5066,1740867000,891173852.1
TQBR,2014-03-04,0.5235,841295000,440103463.8
TQBR,2014-03-05,0.5212,406234000,211977329.6
