BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,218.8,102,22699.4
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,267.9,9,2419.3
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,257.6,8,2063.6
TQBR,2014-06-30,248.0,1,248.0
TQBR,2014-07-01,286.0,123,34807.5
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,225.5,5,1127.5
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,292.6,1,292.6
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,349.3,61,18402.4
TQBR,2014-07-29,419.1,55,17095.5
TQBR,2014-07-30,300.0,601,180459.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,300.0,28,8679.1
TQBR,2014-08-05,300.0,102,30685.0
TQBR,2014-08-06,385.0,1,385.0
TQBR,2014-08-07,300.0,3,1111.4
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,231.1,26,6063.2
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,233.3,184,43302.7
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,250.0,4,1000.0
TQBR,2014-08-20,230.1,15,3559.5
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,222.0,1,222.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
