BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-03-30,768.0,91,68890
TQBR,2020-03-31,796.0,795,613232
TQBR,2020-04-01,760.0,82,62637
TQBR,2020-04-02,754.0,58,43871
TQBR,2020-04-03,750.0,107,80262
TQBR,2020-04-06,770.0,111,85624
TQBR,2020-04-07,771.0,521,405872
TQBR,2020-04-08,760.0,18,13680
TQBR,2020-04-09,770.0,54,41580
TQBR,2020-04-10,755.0,42,31684
TQBR,2020-04-13,764.0,89,68238
TQBR,2020-04-14,766.0,49,37543
TQBR,2020-04-15,768.0,123,95542
TQBR,2020-04-16,764.0,168,130335
TQBR,2020-04-17,761.0,52,39185
TQBR,2020-04-20,770.0,119,92375
TQBR,2020-04-21,764.0,95,73216
TQBR,2020-04-22,777.0,88,66760
TQBR,2020-04-23,776.0,106,81017
TQBR,2020-04-24,757.0,166,123885
TQBR,2020-04-27,762.0,49,37338
TQBR,2020-04-28,768.0,157,119923
TQBR,2020-04-29,770.0,49,37267
TQBR,2020-04-30,765.0,25,19135
TQBR,2020-05-04,761.0,53,39433
TQBR,2020-05-05,765.0,30,22904
TQBR,2020-05-06,752.0,37443,32383568
TQBR,2020-05-07,769.0,7589,5951348
TQBR,2020-05-08,765.0,1059,808496
TQBR,2020-05-12,762.0,2953,2276802
TQBR,2020-05-13,758.0,1257,953764
TQBR,2020-05-14,753.0,726,545285
TQBR,2020-05-15,755.0,1291,970419
TQBR,2020-05-18,774.0,599,462719
TQBR,2020-05-19,767.0,300,228355
TQBR,2020-05-20,764.0,840,636185
TQBR,2020-05-21,779.0,1436,1108465
TQBR,2020-05-22,774.0,327,252656
TQBR,2020-05-25,810.0,2166,1732604
TQBR,2020-05-26,800.0,1774,1434468
TQBR,2020-05-27,791.0,2747,2184142
TQBR,2020-05-28,802.0,711,568382
TQBR,2020-05-29,800.0,747,597981
TQBR,2020-06-01,814.0,834,673296
TQBR,2020-06-02,817.0,616,498863
TQBR,2020-06-03,815.0,2605,2119668
TQBR,2020-06-04,826.0,738,608810
TQBR,2020-06-05,810.0,7941,6444274
TQBR,2020-06-08,807.0,10845,8869488
