BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5.843,3200,18844.3
TQBR,2014-06-10,5.851,29900,175824.3
TQBR,2014-06-11,5.943,34500,204075.5
TQBR,2014-06-16,5.865,43200,252588.9
TQBR,2014-06-17,5.884,34600,201523.4
TQBR,2014-06-18,5.93,17600,104054.5
TQBR,2014-06-19,5.815,23000,134753.4
TQBR,2014-06-20,5.792,44500,259700.0
TQBR,2014-06-23,5.85,7500,43785.4
TQBR,2014-06-24,5.875,25700,150771.6
TQBR,2014-06-25,5.871,12100,70978.7
TQBR,2014-06-26,5.814,112300,654008.3
TQBR,2014-06-27,5.86,2000,11726.4
TQBR,2014-06-30,6.32,105900,630076.0
TQBR,2014-07-01,6.06,119800,709776.3
TQBR,2014-07-02,5.92,84700,503314.9
TQBR,2014-07-03,5.912,20700,123366.0
TQBR,2014-07-04,5.95,10900,64892.5
TQBR,2014-07-07,6.1,108900,662442.3
TQBR,2014-07-08,6.076,36700,225774.3
TQBR,2014-07-09,6.15,6200,38261.7
TQBR,2014-07-10,6.2,139700,850365.5
TQBR,2014-07-11,6.176,56800,350800.9
TQBR,2014-07-14,6.1,69300,421085.6
TQBR,2014-07-15,5.77,152100,876728.1
TQBR,2014-07-16,5.776,25700,147994.8
TQBR,2014-07-17,5.699,314900,1776186.8
TQBR,2014-07-18,5.687,6000,33944.1
TQBR,2014-07-21,5.614,75800,424374.8
TQBR,2014-07-22,5.62,28000,156760.7
TQBR,2014-07-23,5.612,16100,90221.6
TQBR,2014-07-24,5.591,3500,19543.4
TQBR,2014-07-25,5.6,17300,96478.1
TQBR,2014-07-28,5.58,130600,725705.9
TQBR,2014-07-29,5.5,59500,328289.6
TQBR,2014-07-30,5.6,91500,507061.3
TQBR,2014-07-31,5.63,11000,61949.2
TQBR,2014-08-01,5.629,39900,223997.4
TQBR,2014-08-04,5.665,18000,102174.0
TQBR,2014-08-05,5.634,63500,358488.3
TQBR,2014-08-06,5.615,13800,77315.3
TQBR,2014-08-07,5.559,37800,208473.0
TQBR,2014-08-08,5.542,9000,49785.8
TQBR,2014-08-11,5.579,51400,287597.8
TQBR,2014-08-12,5.617,36300,203551.5
TQBR,2014-08-13,5.599,16400,92340.6
TQBR,2014-08-14,5.651,60400,342533.0
TQBR,2014-08-15,5.728,188900,1078895.6
TQBR,2014-08-18,5.723,18600,106154.3
TQBR,2014-08-19,5.702,51700,295730.3
TQBR,2014-08-20,5.727,220100,1260537.8
TQBR,2014-08-21,5.73,124200,709140.0
TQBR,2014-08-22,5.753,211300,1215175.9
TQBR,2014-08-25,5.815,151500,882895.5
TQBR,2014-08-26,5.869,93500,547781.9
TQBR,2014-08-27,6.111,482300,2912529.8
TQBR,2014-08-28,6.087,207500,1219754.7
TQBR,2014-08-29,5.92,67400,396059.3
TQBR,2014-09-01,5.861,200,1171.6
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,6.16,474200,2942219.7
TQBR,2014-09-04,6.387,81800,521540.1
TQBR,2014-09-05,6.259,137100,871695.9
TQBR,2014-09-08,6.525,310100,2021905.9
TQBR,2014-09-09,6.565,46600,308068.3
TQBR,2014-09-10,6.587,98800,641738.0
TQBR,2014-09-11,6.283,78300,502995.8
TQBR,2014-09-12,6.3,158000,977575.0
TQBR,2014-09-15,6.219,61000,380718.8
TQBR,2014-09-16,6.169,101800,630212.5
TQBR,2014-09-17,6.245,53500,330602.7
TQBR,2014-09-18,6.263,49200,311104.2
TQBR,2014-09-19,6.225,73400,453823.5
TQBR,2014-09-22,6.201,44700,281397.2
TQBR,2014-09-23,6.272,3200,20031.6
TQBR,2014-09-24,6.18,113400,703675.5
TQBR,2014-09-25,6.2,11400,70561.9
TQBR,2014-09-26,6.21,25900,160231.6
TQBR,2014-09-29,6.168,64600,399462.3
TQBR,2014-09-30,6.394,130100,814856.7
TQBR,2014-10-01,6.21,40100,247997.0
TQBR,2014-10-02,6.21,21900,135650.0
TQBR,2014-10-03,6.18,58100,357288.0
TQBR,2014-10-06,6.1,28200,173817.0
TQBR,2014-10-07,6.19,656200,4059250.0
TQBR,2014-10-08,5.99,126800,757157.0
TQBR,2014-10-09,5.9,156500,913588.0
TQBR,2014-10-10,5.67,151900,863904.0
TQBR,2014-10-13,5.68,169800,949828.0
TQBR,2014-10-14,5.62,227900,1280004.0
TQBR,2014-10-15,5.49,157200,862323.0
TQBR,2014-10-16,5.31,113000,601898.0
TQBR,2014-10-17,5.31,108500,578891.0
TQBR,2014-10-20,5.3,852300,4436234.0
TQBR,2014-10-21,5.56,159600,875555.0
TQBR,2014-10-22,5.82,512000,3018234.0
TQBR,2014-10-23,5.79,62000,359868.0
TQBR,2014-10-24,5.83,20200,117459.0
TQBR,2014-10-27,5.84,110200,646766.0
TQBR,2014-10-28,5.87,24000,140290.0
TQBR,2014-10-29,5.92,2167400,13063837.0
TQBR,2014-10-30,5.98,501100,3020150.0
TQBR,2014-10-31,5.89,108000,632376.0
TQBR,2014-11-03,5.83,71900,416156.0
TQBR,2014-11-05,6.1,246000,1500650.0
TQBR,2014-11-06,6.18,140500,873344.0
TQBR,2014-11-07,6.1,179800,1096040.0
TQBR,2014-11-10,6.37,226700,1420232.0
TQBR,2014-11-11,6.4,50000,320945.0
TQBR,2014-11-12,6.24,127000,814266.0
TQBR,2014-11-13,6.21,55700,351239.0
TQBR,2014-11-14,6.24,177300,1130443.0
TQBR,2014-11-17,6.37,120000,767953.0
TQBR,2014-11-18,6.4,81300,520279.0
TQBR,2014-11-19,6.14,198200,1229308.0
TQBR,2014-11-20,5.83,805000,4704204.0
TQBR,2014-11-21,5.88,62100,367117.0
TQBR,2014-11-24,5.48,1821600,9789952.0
TQBR,2014-11-25,5.3,1802200,9578584.0
TQBR,2014-11-26,5.31,239800,1270812.0
TQBR,2014-11-27,5.49,538400,2896583.0
TQBR,2014-11-28,5.32,197300,1050656.0
TQBR,2014-12-01,5.43,91900,493966.0
TQBR,2014-12-02,5.35,370700,1990125.0
TQBR,2014-12-03,5.29,261500,1404482.0
TQBR,2014-12-04,5.3,139300,745061.0
TQBR,2014-12-05,5.39,111000,594716.0
TQBR,2014-12-08,5.4,140600,759643.0
TQBR,2014-12-09,5.36,44700,239244.0
TQBR,2014-12-10,5.43,355000,1807376.0
TQBR,2014-12-11,5.45,57100,309266.0
TQBR,2014-12-12,5.38,43800,234340.0
TQBR,2014-12-15,5.3,149100,795230.0
TQBR,2014-12-16,5.09,202800,1000270.0
TQBR,2014-12-17,5.14,217700,1113854.0
TQBR,2014-12-18,5.4,192400,1019024.0
TQBR,2014-12-19,5.5,56400,306523.0
TQBR,2014-12-22,5.51,117300,650391.0
TQBR,2014-12-23,5.44,36300,197193.0
TQBR,2014-12-24,5.42,49400,264693.0
TQBR,2014-12-25,5.42,151600,804178.0
TQBR,2014-12-26,5.35,116900,629532.0
TQBR,2014-12-29,5.59,78100,431394.0
TQBR,2014-12-30,5.61,87600,488035.0
TQBR,2015-01-05,5.45,33400,179552.0
TQBR,2015-01-06,5.5,26600,146770.0
TQBR,2015-01-08,5.67,130700,746037.0
TQBR,2015-01-09,5.77,171100,978299.0
TQBR,2015-01-12,5.73,130600,751494.0
TQBR,2015-01-13,5.7,54000,310333.0
TQBR,2015-01-14,5.78,112300,642452.0
TQBR,2015-01-15,5.79,16200,93678.0
TQBR,2015-01-16,5.85,68500,395553.0
TQBR,2015-01-19,5.94,297000,1770420.0
TQBR,2015-01-20,5.95,123200,751500.0
TQBR,2015-01-21,6.0,12900,77538.0
TQBR,2015-01-22,6.0,95900,574767.0
TQBR,2015-01-23,6.0,12700,76398.0
TQBR,2015-01-26,5.83,113800,659189.0
TQBR,2015-01-27,5.94,112900,666635.0
TQBR,2015-01-28,5.96,397900,2332273.0
TQBR,2015-01-29,5.98,45300,272035.0
TQBR,2015-01-30,6.13,74300,447043.0
TQBR,2015-02-02,6.3,185900,1173317.0
TQBR,2015-02-03,6.68,303100,2012157.0
TQBR,2015-02-04,6.39,70400,453929.0
TQBR,2015-02-05,6.47,64600,411092.0
TQBR,2015-02-06,6.3,77800,501931.0
TQBR,2015-02-09,6.4,216300,1396959.0
TQBR,2015-02-10,6.53,53100,340559.0
TQBR,2015-02-11,6.55,48100,309484.0
TQBR,2015-02-12,6.52,117100,761750.0
TQBR,2015-02-13,6.63,79300,531687.0
TQBR,2015-02-16,6.64,33600,222868.0
TQBR,2015-02-17,6.71,15500,102673.0
TQBR,2015-02-18,6.92,132900,914685.0
TQBR,2015-02-19,6.7,63300,424766.0
TQBR,2015-02-20,6.82,3900,26441.0
TQBR,2015-02-24,6.72,38800,259149.0
TQBR,2015-02-25,6.68,31900,211754.0
TQBR,2015-02-26,6.68,11100,74207.0
TQBR,2015-02-27,6.63,128000,851848.0
TQBR,2015-03-02,6.68,81500,552498.0
TQBR,2015-03-03,6.84,28200,191177.0
TQBR,2015-03-04,6.75,56600,382270.0
TQBR,2015-03-05,6.68,10200,68923.0
TQBR,2015-03-06,6.67,75800,506333.0
TQBR,2015-03-10,6.38,56300,365988.0
TQBR,2015-03-11,6.65,38200,252471.0
TQBR,2015-03-12,6.66,29800,197271.0
TQBR,2015-03-13,6.64,7600,50796.0
TQBR,2015-03-16,6.55,11900,77358.0
TQBR,2015-03-17,6.55,7700,50676.0
TQBR,2015-03-18,6.69,4500,30054.0
