BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-06-04,297.6,2174069,652652006.15
TQBR,2024-06-05,288.0,596642,177797440.15
TQBR,2024-06-06,297.65,561742,167647901.6
TQBR,2024-06-07,302.25,763660,229113254.3
TQBR,2024-06-10,299.0,341983,103050127.85
TQBR,2024-06-11,293.5,257467,76278096.3
TQBR,2024-06-13,293.8,385133,113319924.8
TQBR,2024-06-14,299.0,182178,54241147.7
TQBR,2024-06-17,298.0,190054,56891059.9
TQBR,2024-06-18,294.8,71777,21236971.45
TQBR,2024-06-19,293.1,131947,38777262.8
TQBR,2024-06-20,292.0,198251,58429735.25
TQBR,2024-06-21,292.2,73457,21525186.15
TQBR,2024-06-24,292.5,68189,20002555.75
TQBR,2024-06-25,294.2,45219,13291523.6
TQBR,2024-06-26,294.85,55208,16341594.65
TQBR,2024-06-27,294.95,73337,21639431.3
TQBR,2024-06-28,289.9,171404,50149961.3
TQBR,2024-07-01,290.0,57990,16846584.15
TQBR,2024-07-02,293.3,148441,43085519.85
TQBR,2024-07-03,291.0,253134,74657570.15
TQBR,2024-07-04,283.7,52494,15009284.25
TQBR,2024-07-05,277.0,56824,15822418.75
TQBR,2024-07-08,268.0,76743,20605300.9
TQBR,2024-07-09,259.25,90011,23170823.0
TQBR,2024-07-10,249.45,257803,64863160.05
TQBR,2024-07-11,262.0,96039,24661083.85
TQBR,2024-07-12,260.8,38221,9960511.6
TQBR,2024-07-15,257.4,58724,15229394.85
TQBR,2024-07-16,257.1,48203,12383426.4
TQBR,2024-07-17,253.9,117819,30116509.1
TQBR,2024-07-18,248.45,129373,32282662.5
TQBR,2024-07-19,249.9,234951,58860310.55
TQBR,2024-07-22,248.0,173354,43294770.85
TQBR,2024-07-23,247.85,41824,10322133.2
TQBR,2024-07-24,251.85,208079,52624827.6
TQBR,2024-07-25,249.65,78426,19629542.05
TQBR,2024-07-26,246.55,258459,64468015.5
TQBR,2024-07-29,235.6,197008,47161746.75
TQBR,2024-07-30,236.9,33332,7897306.15
TQBR,2024-07-31,238.0,39340,9352817.2
TQBR,2024-08-01,242.75,265316,64337009.75
TQBR,2024-08-02,242.2,67015,16246033.7
TQBR,2024-08-05,236.8,140384,33148411.25
TQBR,2024-08-06,233.1,108162,25480513.45
TQBR,2024-08-07,238.45,136843,32021514.95
TQBR,2024-08-08,237.9,177373,42618794.15
TQBR,2024-08-09,234.8,108495,25592624.2
TQBR,2024-08-12,230.5,88479,20497682.65
TQBR,2024-08-13,235.85,97016,22716707.85
TQBR,2024-08-14,231.3,121334,28115735.45
TQBR,2024-08-15,230.25,42828,9875535.4
TQBR,2024-08-16,231.95,41065,9515430.6
TQBR,2024-08-19,228.6,40235,9251809.25
TQBR,2024-08-20,228.95,41111,9428391.35
TQBR,2024-08-21,226.6,45069,10231715.35
TQBR,2024-08-22,223.7,48714,11010381.2
TQBR,2024-08-23,220.45,69080,15414896.3
TQBR,2024-08-26,223.2,74280,16636755.95
TQBR,2024-08-27,221.35,114337,25459844.65
TQBR,2024-08-28,218.5,34652,7570942.65
TQBR,2024-08-29,217.65,20287,4410284.15
TQBR,2024-08-30,208.9,105313,22311857.85
TQBR,2024-09-02,197.5,179858,35522616.9
TQBR,2024-09-03,194.75,83468,16413967.6
TQBR,2024-09-04,197.1,168438,33457961.2
TQBR,2024-09-05,212.45,195113,40910307.0
TQBR,2024-09-06,212.0,57219,12025279.7
TQBR,2024-09-09,219.15,125397,27151935.1
TQBR,2024-09-10,218.25,144475,31970244.2
TQBR,2024-09-11,220.95,44594,9854060.9
TQBR,2024-09-12,213.55,91031,19409337.65
TQBR,2024-09-13,214.15,106156,22904499.3
TQBR,2024-09-16,224.2,60001,13151183.6
TQBR,2024-09-17,223.9,106509,23694820.9
TQBR,2024-09-18,219.1,50679,11221972.65
TQBR,2024-09-19,221.3,69051,15299236.45
TQBR,2024-09-20,222.3,27066,6005989.7
TQBR,2024-09-23,228.05,100974,22763327.0
TQBR,2024-09-24,225.8,468662,106210223.4
TQBR,2024-09-25,218.7,179565,39892375.15
TQBR,2024-09-26,221.25,81438,17971802.5
TQBR,2024-09-27,220.5,51246,11253224.7
TQBR,2024-09-30,221.15,91737,20368614.0
TQBR,2024-10-01,218.0,68948,15057854.8
TQBR,2024-10-02,217.0,45276,9837691.75
TQBR,2024-10-03,212.5,74279,15793822.15
TQBR,2024-10-04,213.9,28262,6034852.25
TQBR,2024-10-07,211.8,34655,7381988.1
TQBR,2024-10-08,211.3,36517,7728372.1
TQBR,2024-10-09,211.7,28439,6023902.9
TQBR,2024-10-10,212.25,14688,3114810.55
TQBR,2024-10-11,210.9,59813,12622299.25
TQBR,2024-10-14,210.9,57565,12110096.15
TQBR,2024-10-15,210.85,64053,13395098.9
TQBR,2024-10-16,208.3,48547,10165550.2
TQBR,2024-10-17,207.05,23406,4860593.35
TQBR,2024-10-18,206.8,31583,6527037.1
TQBR,2024-10-21,207.3,23085,4772943.45
TQBR,2024-10-22,209.15,28344,5916033.8
TQBR,2024-10-23,207.75,20259,4197242.15
TQBR,2024-10-24,208.45,34041,7118285.5
TQBR,2024-10-25,200.25,108177,22110119.95
TQBR,2024-10-28,197.4,48105,9555920.95
TQBR,2024-10-29,198.05,31928,6353867.55
TQBR,2024-10-30,201.5,28926,5797971.1
TQBR,2024-10-31,199.8,29079,5828840.9
TQBR,2024-11-01,204.0,72447,14702615.6
TQBR,2024-11-02,206.3,40255,8253473.15
TQBR,2024-11-05,205.45,41930,8650992.7
TQBR,2024-11-06,207.1,42174,8753730.9
TQBR,2024-11-07,210.7,133910,27855252.4
TQBR,2024-11-08,218.75,163862,35286199.65
TQBR,2024-11-11,219.8,77362,16923206.3
TQBR,2024-11-12,218.55,43300,9496031.5
TQBR,2024-11-13,218.45,14576,3180570.0
TQBR,2024-11-14,212.0,63367,13556353.85
TQBR,2024-11-15,212.85,28988,6146511.5
TQBR,2024-11-18,210.9,34124,7206343.5
TQBR,2024-11-19,205.25,54219,11271328.35
TQBR,2024-11-20,205.3,22938,4713632.05
TQBR,2024-11-21,198.9,171154,34183946.2
TQBR,2024-11-22,199.7,22961,4583204.6
TQBR,2024-11-25,194.45,71521,13978010.7
TQBR,2024-11-26,193.45,58501,11363715.25
TQBR,2024-11-27,191.5,77334,14697688.85
TQBR,2024-11-28,190.35,49265,9459659.1
TQBR,2024-11-29,194.6,76483,14696441.25
TQBR,2024-12-02,194.5,23841,4630822.55
TQBR,2024-12-03,192.4,23233,4467886.85
TQBR,2024-12-04,192.1,14678,2820468.15
TQBR,2024-12-05,192.85,19396,3728993.45
TQBR,2024-12-06,193.95,84306,16466452.25
TQBR,2024-12-09,196.5,38860,7612475.3
TQBR,2024-12-10,192.5,56742,10998545.25
TQBR,2024-12-11,191.75,37590,7193575.65
TQBR,2024-12-12,192.0,17657,3386399.1
TQBR,2024-12-13,192.15,15046,2893061.45
TQBR,2024-12-16,189.9,36214,6882768.45
TQBR,2024-12-17,185.7,75511,14094093.9
TQBR,2024-12-18,187.4,22390,4180946.2
TQBR,2024-12-19,192.0,63790,12036855.25
TQBR,2024-12-20,201.8,245439,48405773.6
TQBR,2024-12-23,199.15,144153,28869620.0
TQBR,2024-12-24,195.4,70815,13912509.45
TQBR,2024-12-25,196.85,49553,9748747.05
TQBR,2024-12-26,196.2,125216,24671586.4
TQBR,2024-12-27,194.75,136578,26588178.05
TQBR,2024-12-28,195.0,69607,13584019.45
TQBR,2024-12-30,198.9,146443,28962628.55
TQBR,2025-01-03,201.6,78846,15815972.85
TQBR,2025-01-06,211.35,378847,80199513.0
TQBR,2025-01-08,222.65,459963,102116779.95
TQBR,2025-01-09,219.4,321473,72142009.6
TQBR,2025-01-10,220.9,94743,20907378.5
TQBR,2025-01-13,219.65,97557,21632408.8
TQBR,2025-01-14,230.0,316341,71344905.0
TQBR,2025-01-15,232.6,161095,37466441.25
TQBR,2025-01-16,232.3,160725,37375404.55
TQBR,2025-01-17,233.45,115054,26712452.05
TQBR,2025-01-20,234.7,117019,27585614.8
TQBR,2025-01-21,229.0,102789,23612259.8
