BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,37.24,16400,616220
TQBR,2014-06-10,37.06,11500,427535
TQBR,2014-06-11,37.0,12600,470213
TQBR,2014-06-16,36.2,42700,1574286
TQBR,2014-06-17,36.4,14200,517205
TQBR,2014-06-18,36.52,11600,424037
TQBR,2014-06-19,37.05,16300,602801
TQBR,2014-06-20,37.09,10000,371073
TQBR,2014-06-23,36.91,6200,228358
TQBR,2014-06-24,37.58,23300,870684
TQBR,2014-06-25,37.03,16600,624084
TQBR,2014-06-26,37.71,8600,321229
TQBR,2014-06-27,37.26,7400,277710
TQBR,2014-06-30,37.48,4300,161641
TQBR,2014-07-01,37.48,8000,299973
TQBR,2014-07-02,37.7,6800,255734
TQBR,2014-07-03,37.6,12400,465472
TQBR,2014-07-04,37.11,16600,621048
TQBR,2014-07-07,36.92,22200,815206
TQBR,2014-07-08,36.85,13700,507815
TQBR,2014-07-09,36.52,4300,157990
TQBR,2014-07-10,36.79,290900,10701324
TQBR,2014-07-11,36.06,23400,853502
TQBR,2014-07-14,35.7,15900,569702
TQBR,2014-07-15,35.44,16400,587321
TQBR,2014-07-16,35.45,28600,1008257
TQBR,2014-07-17,34.02,78500,2689559
TQBR,2014-07-18,33.95,18700,631842
TQBR,2014-07-21,33.45,136100,4561275
TQBR,2014-07-22,33.64,43200,1447685
TQBR,2014-07-23,33.64,12700,430749
TQBR,2014-07-24,33.67,21400,721094
TQBR,2014-07-25,33.27,5700,190648
TQBR,2014-07-28,33.2,20300,674565
TQBR,2014-07-29,33.19,281800,9383180
TQBR,2014-07-30,33.0,24700,810655
TQBR,2014-07-31,32.84,21400,706235
TQBR,2014-08-01,32.93,16500,543075
TQBR,2014-08-04,32.84,19400,639643
TQBR,2014-08-05,33.0,35600,1174663
TQBR,2014-08-06,32.6,30800,1014863
TQBR,2014-08-07,32.5,29900,968084
TQBR,2014-08-08,32.75,24500,794615
TQBR,2014-08-11,33.63,22300,741613
TQBR,2014-08-12,33.03,28200,943896
TQBR,2014-08-13,32.99,53200,1757927
TQBR,2014-08-14,33.0,41600,1378625
TQBR,2014-08-15,32.05,127200,4100217
TQBR,2014-08-18,32.14,55900,1796490
TQBR,2014-08-19,34.21,668500,22924579
TQBR,2014-08-20,37.95,1448200,53989948
TQBR,2014-08-21,35.71,908200,33622761
TQBR,2014-08-22,35.01,313300,11004796
TQBR,2014-08-25,35.1,86300,3029712
TQBR,2014-08-26,34.79,42200,1471571
TQBR,2014-08-27,33.71,153200,5219430
TQBR,2014-08-28,34.99,273900,9290607
TQBR,2014-08-29,34.52,200100,7029622
TQBR,2014-09-01,34.32,7200,247821
TQBR,2014-09-02,34.67,26900,928586
TQBR,2014-09-03,34.52,73800,2560746
TQBR,2014-09-04,34.3,70200,2406221
TQBR,2014-09-05,34.5,49000,1686663
TQBR,2014-09-08,34.17,50200,1745520
TQBR,2014-09-09,34.42,56500,1960362
TQBR,2014-09-10,34.21,19400,665523
TQBR,2014-09-11,33.87,57100,1943813
TQBR,2014-09-12,34.7,111600,3895370
TQBR,2014-09-15,34.2,25300,871513
TQBR,2014-09-16,34.61,15300,523553
TQBR,2014-09-17,33.9,45900,1556361
