BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,4.6,100,460.0
TQBR,2014-06-10,4.6,900,4140.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,4.0,100,400.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,4.1,100,410.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,3.602,100,360.2
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,4.101,200,810.2
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,4.5,11700,44114.7
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,3.33,37300,126288.7
TQBR,2014-07-16,3.399,8500,29425.9
TQBR,2014-07-17,3.398,100,339.8
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,3.397,1000,3397.6
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,3.4,2100,7140.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,3.4,100,340.0
TQBR,2014-07-31,3.3,2100,6714.2
TQBR,2014-08-01,3.1,12200,37681.2
TQBR,2014-08-04,3.0,9900,29700.0
TQBR,2014-08-05,2.9,300,870.0
TQBR,2014-08-06,2.9,100,290.0
TQBR,2014-08-07,2.9,1400,4238.0
TQBR,2014-08-08,2.851,900,2581.6
TQBR,2014-08-11,2.8,3500,9877.4
TQBR,2014-08-12,2.99,6100,18289.5
TQBR,2014-08-13,3.3,4700,15113.8
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,2.69,6500,17425.0
TQBR,2014-08-19,3.0,5100,15300.0
