BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,101.35,10,1013.5
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,103.87,8100,841347.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,103.84,2080,215987.2
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,103.83,3290,341601.3
TQBR,2014-06-25,102.97,1290,133071.3
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,95.0,1370,130520.0
TQBR,2014-06-30,96.0,10,960.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,96.0,10,960.0
TQBR,2014-07-07,94.5,1450,137085.9
TQBR,2014-07-08,95.5,840,77506.3
TQBR,2014-07-09,91.0,2740,254343.3
TQBR,2014-07-10,93.0,1110,103525.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,88.01,20,1760.2
TQBR,2014-07-16,95.0,220,20900.0
TQBR,2014-07-17,92.0,1100,101475.0
TQBR,2014-07-18,91.0,1100,100375.0
TQBR,2014-07-21,92.0,50,4510.3
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,89.2,10,892.0
TQBR,2014-07-24,90.0,1090,98341.6
TQBR,2014-07-25,90.5,90,8145.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,85.0,70,5960.0
TQBR,2014-07-30,85.0,210,17851.1
TQBR,2014-07-31,89.0,50,4450.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,82.0,230,19011.0
TQBR,2014-08-06,78.5,1270,98439.7
TQBR,2014-08-07,80.0,210,16799.9
TQBR,2014-08-08,80.98,2070,159369.8
TQBR,2014-08-11,79.99,2360,179233.2
TQBR,2014-08-12,79.99,2450,185169.2
TQBR,2014-08-13,,0,0.0
