BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,2.9659,8000,23727.2
TQBR,2014-06-11,2.89,2000,5780.1
TQBR,2014-06-16,2.76,16000,44611.4
TQBR,2014-06-17,2.74,12000,32820.1
TQBR,2014-06-18,2.749,3000,8197.9
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,2.7,6000,16200.0
TQBR,2014-06-23,2.5602,1000,2560.2
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,2.5601,1000,2560.1
TQBR,2014-06-26,2.6999,1000,2699.9
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,2.55,81000,206580.5
TQBR,2014-07-02,2.551,1000,2551.0
TQBR,2014-07-03,2.551,32000,81604.6
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,2.51,22000,55056.0
TQBR,2014-07-10,2.71,1000,2710.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,2.649,4000,10184.0
TQBR,2014-07-18,2.5,11000,27518.2
TQBR,2014-07-21,2.5001,15000,37483.5
TQBR,2014-07-22,2.5,19000,47500.3
TQBR,2014-07-23,2.5015,8000,20034.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,2.5,6000,14782.2
TQBR,2014-07-30,2.5,6000,15000.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,2.5,1000,2500.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,2.6,1000,2600.0
TQBR,2014-08-18,2.413,7000,16894.0
TQBR,2014-08-19,2.407,5000,12096.2
TQBR,2014-08-20,2.354,13000,30670.1
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,2.3,6000,13876.0
TQBR,2014-09-01,2.224,1000,2224.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,2.2999,1000,2299.9
TQBR,2014-09-08,2.0,15000,32929.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,2.002,1000,2002.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,2.001,1000,2001.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,2.1001,21000,44100.9
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,2.1999,3000,6182.1
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,2.1,18000,37710.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,2.09,30000,60060.0
TQBR,2014-10-15,2.02,3000,6080.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,2.01,1000,2010.0
TQBR,2014-10-30,2.0,15000,30110.0
