BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-03-25,1922.0,32441,62920708.6
TQBR,2013-03-26,1944.5,3653,7035671.0
TQBR,2013-03-27,1969.7,1924,3738545.3
TQBR,2013-03-28,1993.2,3398,6719742.2
TQBR,2013-03-29,2003.4,1908,3814674.4
TQBR,2013-04-01,1978.2,20889,41558417.2
TQBR,2013-04-02,2002.2,6961,13848330.2
TQBR,2013-04-03,1978.9,12895,25643878.3
TQBR,2013-04-04,1966.9,7302,14390882.2
TQBR,2013-04-05,1942.8,15492,30225812.7
TQBR,2013-04-08,1924.3,9019,17523939.6
TQBR,2013-04-09,1965.9,8348,16214323.5
TQBR,2013-04-10,1942.3,12695,24843089.6
TQBR,2013-04-11,1920.0,20008,38555939.8
TQBR,2013-04-12,1934.4,9880,19024040.7
TQBR,2013-04-15,1886.0,21683,41346351.3
TQBR,2013-04-16,1899.4,6545,12425067.4
TQBR,2013-04-17,1892.3,14082,26628018.2
TQBR,2013-04-18,1893.9,12015,22931619.6
TQBR,2013-04-19,1887.6,8647,16245508.5
TQBR,2013-04-22,1849.7,12325,23217067.7
TQBR,2013-04-23,1890.6,14752,27440332.5
TQBR,2013-04-24,1963.5,15746,30493040.5
TQBR,2013-04-25,1960.0,32809,64036681.7
TQBR,2013-04-26,1965.5,44675,87621881.1
TQBR,2013-04-29,1935.9,18158,35511565.2
TQBR,2013-04-30,1963.8,27747,53989438.0
TQBR,2013-05-02,1974.7,39271,77662701.1
TQBR,2013-05-03,2008.7,44545,88556980.8
TQBR,2013-05-06,2016.6,47547,95671093.7
TQBR,2013-05-07,2038.0,35459,71687128.8
TQBR,2013-05-08,2035.0,34866,70717416.7
TQBR,2013-05-10,2000.9,33350,66806794.4
TQBR,2013-05-13,2005.0,58822,116816102.7
TQBR,2013-05-14,2015.6,38112,77227743.8
TQBR,2013-05-15,2017.0,14004,28193735.1
TQBR,2013-05-16,2002.0,11364,22858418.3
TQBR,2013-05-17,2023.0,17794,35870742.5
TQBR,2013-05-20,2026.0,7764,15672024.4
TQBR,2013-05-21,2045.5,15646,31716635.2
TQBR,2013-05-22,2083.6,12914,26561296.1
TQBR,2013-05-23,2037.6,23116,47257394.3
TQBR,2013-05-24,2006.1,55627,111926381.5
TQBR,2013-05-27,1995.1,24155,48382448.4
TQBR,2013-05-28,2016.0,22300,44949111.0
TQBR,2013-05-29,1941.2,16536,32619168.6
TQBR,2013-05-30,1925.3,34050,66071027.3
TQBR,2013-05-31,1874.1,57090,108330089.0
TQBR,2013-06-03,1891.0,68268,128485309.8
TQBR,2013-06-04,1882.5,48960,92857862.7
TQBR,2013-06-05,1880.1,61943,116526334.5
TQBR,2013-06-06,1873.2,8790,16486322.7
TQBR,2013-06-07,1912.4,69165,131006157.6
TQBR,2013-06-10,1888.0,33966,64963685.9
TQBR,2013-06-11,1862.2,50560,94793850.8
TQBR,2013-06-13,1850.5,86940,161348360.2
TQBR,2013-06-14,1866.4,32553,60324218.2
TQBR,2013-06-17,1876.2,38152,71923025.3
TQBR,2013-06-18,1890.0,18780,35460789.7
TQBR,2013-06-19,1884.8,28990,54663547.5
TQBR,2013-06-20,1864.7,20945,39033053.2
TQBR,2013-06-21,1794.2,39161,72708507.1
TQBR,2013-06-24,1790.4,27864,50170595.8
TQBR,2013-06-25,1820.0,24402,44245159.6
TQBR,2013-06-26,1865.0,26519,48819858.6
TQBR,2013-06-27,1855.7,20572,38188047.1
TQBR,2013-06-28,1892.6,31908,59860726.0
TQBR,2013-07-01,1910.3,50998,96493732.1
