BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,1832.4,31,56758.2
TQBR,2014-06-10,1838.9,20,36743.9
TQBR,2014-06-11,1839.0,25,45822.5
TQBR,2014-06-16,1866.0,106,196343.0
TQBR,2014-06-17,1850.0,241,433860.0
TQBR,2014-06-18,1832.5,101,183729.2
TQBR,2014-06-19,1838.3,199,366503.6
TQBR,2014-06-20,1847.0,13,24012.9
TQBR,2014-06-23,1821.0,128,234956.5
TQBR,2014-06-24,1840.0,273,504616.5
TQBR,2014-06-25,1819.4,133,242471.6
TQBR,2014-06-26,1833.5,13,23680.9
TQBR,2014-06-27,1837.1,24,43880.1
TQBR,2014-06-30,1838.6,925,1685003.6
TQBR,2014-07-01,1849.0,168,311337.0
TQBR,2014-07-02,1850.0,8,14832.4
TQBR,2014-07-03,1858.8,93,172537.6
TQBR,2014-07-04,1845.0,173,321911.2
TQBR,2014-07-07,1854.9,110,203632.7
TQBR,2014-07-08,1840.1,50,92269.3
TQBR,2014-07-09,1848.8,6,11045.2
TQBR,2014-07-10,1820.0,217,397350.4
TQBR,2014-07-11,1835.0,401,724842.2
TQBR,2014-07-14,1819.8,180,330209.2
TQBR,2014-07-15,1831.9,166,302410.3
TQBR,2014-07-16,1814.0,105,190838.9
TQBR,2014-07-17,1746.0,856,1513491.8
TQBR,2014-07-18,1749.8,74,129065.9
TQBR,2014-07-21,1754.8,138,240383.0
TQBR,2014-07-22,1779.1,28,49870.8
TQBR,2014-07-23,1775.0,76,135262.3
TQBR,2014-07-24,1756.2,101,177996.0
TQBR,2014-07-25,1780.6,115,205326.4
TQBR,2014-07-28,1758.1,79,138148.1
TQBR,2014-07-29,1790.4,53,94208.5
TQBR,2014-07-30,1780.0,11,19630.2
TQBR,2014-07-31,1813.0,195,351433.5
TQBR,2014-08-01,1786.6,104,188296.0
TQBR,2014-08-04,1800.0,11,19730.9
TQBR,2014-08-05,1793.0,43,77055.1
TQBR,2014-08-06,1789.6,105,186948.6
TQBR,2014-08-07,1755.0,69,121265.1
TQBR,2014-08-08,1759.9,117,206337.9
TQBR,2014-08-11,1790.5,43,76841.0
TQBR,2014-08-12,1768.0,58,103513.9
TQBR,2014-08-13,1790.0,138,247040.8
TQBR,2014-08-14,1790.0,81,144875.6
TQBR,2014-08-15,1792.9,10,17853.6
TQBR,2014-08-18,1792.0,1,1792.0
TQBR,2014-08-19,1789.8,152,271171.7
TQBR,2014-08-20,1771.0,205,367852.4
TQBR,2014-08-21,1799.7,15,26692.3
TQBR,2014-08-22,1773.0,123,220396.3
TQBR,2014-08-25,1786.5,24,42506.3
TQBR,2014-08-26,1800.0,8,14262.5
TQBR,2014-08-27,1799.8,3,5399.8
