BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,14.7,80100,1148858.9
TQBR,2014-06-10,14.6,24800,366539.4
TQBR,2014-06-11,15.0,18400,274588.7
TQBR,2014-06-16,15.26,18400,275788.7
TQBR,2014-06-17,14.83,64000,957387.2
TQBR,2014-06-18,14.0,121600,1744060.8
TQBR,2014-06-19,14.8,50200,746146.0
TQBR,2014-06-20,15.09,89300,1322555.5
TQBR,2014-06-23,15.4,85400,1310637.7
TQBR,2014-06-24,14.902,65500,1006451.5
TQBR,2014-06-25,15.504,152000,2354511.5
TQBR,2014-06-26,15.0,87900,1352566.3
TQBR,2014-06-27,15.0,144300,2115818.1
TQBR,2014-06-30,15.0,400,5979.0
TQBR,2014-07-01,14.652,4200,62173.3
TQBR,2014-07-02,14.351,18900,273246.6
TQBR,2014-07-03,14.75,1500,22084.9
TQBR,2014-07-04,14.8,14400,215098.9
TQBR,2014-07-07,14.978,1800,26944.7
TQBR,2014-07-08,14.73,6300,92335.7
TQBR,2014-07-09,14.927,13100,196478.1
TQBR,2014-07-10,14.551,63400,933841.5
TQBR,2014-07-11,14.615,72800,1049905.2
TQBR,2014-07-14,14.433,53600,774769.3
TQBR,2014-07-15,14.314,6100,87857.2
TQBR,2014-07-16,14.383,63500,908860.5
TQBR,2014-07-17,14.504,15600,224077.8
TQBR,2014-07-18,14.043,20000,282903.3
TQBR,2014-07-21,14.2,62700,889962.0
TQBR,2014-07-22,14.286,70600,1006071.2
TQBR,2014-07-23,14.6,97700,1421871.2
TQBR,2014-07-24,15.141,121400,1870346.1
TQBR,2014-07-25,15.3,127900,1945640.6
TQBR,2014-07-28,15.48,37000,572855.6
TQBR,2014-07-29,15.48,58400,904592.0
TQBR,2014-07-30,15.5,37800,586012.4
TQBR,2014-07-31,15.844,33300,532620.6
TQBR,2014-08-01,15.232,4000,60954.1
TQBR,2014-08-04,15.2,12000,180008.5
TQBR,2014-08-05,15.08,3200,48280.9
TQBR,2014-08-06,15.35,12900,196619.8
TQBR,2014-08-07,15.471,12800,196157.7
TQBR,2014-08-08,15.5,16700,258509.3
TQBR,2014-08-11,15.251,19800,306517.4
