BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,579.6,5,2898.0
TQBR,2013-07-16,592.7,50,29620.6
TQBR,2013-07-17,824.4,14,10887.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,609.1,43,26191.3
TQBR,2013-07-22,622.8,3,1857.2
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,,0,0.0
TQBR,2013-08-29,700.0,1,700.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,572.5,3854,2200970.7
TQBR,2013-09-03,565.0,5064,2893489.7
TQBR,2013-09-04,565.0,3528,1990803.8
TQBR,2013-09-05,580.3,15458,8901658.1
TQBR,2013-09-06,580.0,22353,13019963.8
TQBR,2013-09-09,582.0,10032,5911463.6
TQBR,2013-09-10,571.7,7962,4679632.6
TQBR,2013-09-11,572.0,7564,4350510.0
TQBR,2013-09-12,565.6,23338,13379421.1
TQBR,2013-09-13,543.0,16197,9002634.6
TQBR,2013-09-16,573.0,63693,36564182.0
TQBR,2013-09-17,567.0,2525,1431587.8
TQBR,2013-09-18,559.0,6881,3902524.6
TQBR,2013-09-19,587.0,13554,7867407.2
TQBR,2013-09-20,568.8,8397,4905152.3
TQBR,2013-09-23,560.1,3182,1793345.9
TQBR,2013-09-24,563.0,15726,8843822.3
TQBR,2013-09-25,558.1,3020,1693808.0
TQBR,2013-09-26,569.5,9412,5323804.5
TQBR,2013-09-27,568.9,4788,2703100.8
TQBR,2013-09-30,564.0,10750,6070003.4
TQBR,2013-10-01,568.0,1782,1012639.0
TQBR,2013-10-02,558.1,3395,1908283.3
TQBR,2013-10-03,551.3,19848,11034474.5
TQBR,2013-10-04,553.3,5078,2802253.0
TQBR,2013-10-07,548.1,3562,1957108.7
TQBR,2013-10-08,553.0,3405,1884803.3
TQBR,2013-10-09,564.3,5264,2927311.5
TQBR,2013-10-10,569.7,12203,6900394.9
TQBR,2013-10-11,567.9,12197,6917962.5
TQBR,2013-10-14,577.2,8297,4748169.4
TQBR,2013-10-15,599.3,13019,7630816.2
TQBR,2013-10-16,615.0,13675,8331529.1
TQBR,2013-10-17,606.0,6613,4014067.8
TQBR,2013-10-18,625.0,16089,9979552.3
TQBR,2013-10-21,601.0,26699,16335539.1
TQBR,2013-10-22,603.0,3171,1912438.6
TQBR,2013-10-23,595.8,3539,2121225.4
TQBR,2013-10-24,592.6,4646,2748031.5
TQBR,2013-10-25,592.0,6311,3737205.1
TQBR,2013-10-28,601.7,12605,7558752.3
TQBR,2013-10-29,600.9,9675,5817102.4
TQBR,2013-10-30,602.8,8622,5173472.4
TQBR,2013-10-31,585.3,2450,1455500.7
TQBR,2013-11-01,581.6,7978,4677603.8
TQBR,2013-11-05,582.8,2722,1579604.4
TQBR,2013-11-06,580.0,5439,3153815.8
TQBR,2013-11-07,585.3,4348,2539803.1
TQBR,2013-11-08,550.0,60784,34093767.9
TQBR,2013-11-11,546.5,13009,7122673.6
TQBR,2013-11-12,560.1,18176,10015666.5
TQBR,2013-11-13,550.5,8054,4501239.2
TQBR,2013-11-14,570.2,9881,5614084.8
TQBR,2013-11-15,560.0,10706,5985519.3
TQBR,2013-11-18,557.9,3310,1856428.2
