BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,10.79,68200,736221.8
TQBR,2014-06-10,10.79,44200,476136.6
TQBR,2014-06-11,10.703,33200,350134.4
TQBR,2014-06-16,10.36,28800,308454.9
TQBR,2014-06-17,10.1,14400,149108.3
TQBR,2014-06-18,10.15,3200,32451.1
TQBR,2014-06-19,10.11,33800,347884.9
TQBR,2014-06-20,10.02,1100,11034.6
TQBR,2014-06-23,10.245,44100,450317.0
TQBR,2014-06-24,10.387,33200,340712.0
TQBR,2014-06-25,10.4,32300,334763.1
TQBR,2014-06-26,10.45,17100,178440.0
TQBR,2014-06-27,10.32,18300,189134.9
TQBR,2014-06-30,10.45,27600,289194.9
TQBR,2014-07-01,10.55,41200,433934.9
TQBR,2014-07-02,10.48,24700,258983.7
TQBR,2014-07-03,10.5,32700,343301.3
TQBR,2014-07-04,10.49,50500,529924.6
TQBR,2014-07-07,10.51,42200,444718.0
TQBR,2014-07-08,10.5,45600,478800.0
TQBR,2014-07-09,10.5,30100,316050.0
TQBR,2014-07-10,10.6,36700,389155.0
TQBR,2014-07-11,10.55,28100,296395.8
TQBR,2014-07-14,10.47,39700,415293.0
TQBR,2014-07-15,10.55,26700,280829.0
TQBR,2014-07-16,10.55,7100,74905.0
TQBR,2014-07-17,10.47,24900,260525.0
TQBR,2014-07-18,10.44,82600,863782.0
TQBR,2014-07-21,10.4,50900,529497.5
TQBR,2014-07-22,10.4,45600,474777.0
TQBR,2014-07-23,10.42,54900,571979.0
TQBR,2014-07-24,10.44,64900,677459.0
TQBR,2014-07-25,10.415,50900,531313.9
TQBR,2014-07-28,10.373,33200,345699.9
TQBR,2014-07-29,10.301,55300,575799.6
TQBR,2014-07-30,10.4,47500,494210.9
TQBR,2014-07-31,10.495,49700,517054.3
TQBR,2014-08-01,10.5,28000,292665.0
TQBR,2014-08-04,10.394,25000,260578.0
TQBR,2014-08-05,10.335,15900,164277.5
TQBR,2014-08-06,10.3,11000,113569.5
TQBR,2014-08-07,10.34,31500,326027.5
TQBR,2014-08-08,10.43,20700,214015.0
TQBR,2014-08-11,10.43,33100,344194.7
TQBR,2014-08-12,10.3,25800,265709.6
TQBR,2014-08-13,10.33,21600,223580.3
TQBR,2014-08-14,10.25,32200,331111.8
TQBR,2014-08-15,10.2,22400,229101.0
TQBR,2014-08-18,10.2,22100,226104.6
TQBR,2014-08-19,10.21,22400,229686.6
TQBR,2014-08-20,10.2,21500,219680.5
TQBR,2014-08-21,10.21,19800,202490.0
TQBR,2014-08-22,10.255,19800,202800.5
TQBR,2014-08-25,10.26,19600,201311.5
TQBR,2014-08-26,10.23,19700,201980.5
TQBR,2014-08-27,10.23,18100,185598.5
TQBR,2014-08-28,10.23,20700,212217.3
TQBR,2014-08-29,10.26,22200,227584.0
TQBR,2014-09-01,10.1,23900,240443.7
TQBR,2014-09-02,10.143,23800,240933.6
TQBR,2014-09-03,9.9,17100,171181.0
TQBR,2014-09-04,9.92,25000,249370.2
TQBR,2014-09-05,10.0,18400,184365.3
TQBR,2014-09-08,9.95,16800,168253.2
TQBR,2014-09-09,9.94,23200,230028.3
TQBR,2014-09-10,9.94,20600,206211.0
TQBR,2014-09-11,10.04,22100,220989.0
TQBR,2014-09-12,9.801,16800,167765.6
TQBR,2014-09-15,9.8,26400,263195.0
TQBR,2014-09-16,9.95,18400,183378.0
TQBR,2014-09-17,9.85,23100,230765.4
TQBR,2014-09-18,9.8,21100,208211.0
TQBR,2014-09-19,9.75,23300,229187.2
TQBR,2014-09-22,9.76,12200,119128.0
TQBR,2014-09-23,9.75,5300,51586.8
TQBR,2014-09-24,9.6,400,3842.0
TQBR,2014-09-25,9.46,2700,25522.0
TQBR,2014-09-26,9.3,1700,15833.0
TQBR,2014-09-29,9.304,3700,34020.3
TQBR,2014-09-30,9.1,200,1820.0
TQBR,2014-10-01,9.15,600,5510.0
TQBR,2014-10-02,8.95,500,4495.0
TQBR,2014-10-03,9.25,1700,15475.0
TQBR,2014-10-06,9.15,2100,19280.0
TQBR,2014-10-07,9.0,6800,62410.0
TQBR,2014-10-08,9.25,7600,68440.0
TQBR,2014-10-09,8.6,14000,121790.0
TQBR,2014-10-10,8.0,3800,30890.0
TQBR,2014-10-13,8.15,100,815.0
TQBR,2014-10-14,8.15,100,815.0
TQBR,2014-10-15,8.0,700,5650.0
TQBR,2014-10-16,8.0,4700,37600.0
TQBR,2014-10-17,8.15,300,2445.0
TQBR,2014-10-20,8.45,400,3330.0
TQBR,2014-10-21,8.15,400,3250.0
TQBR,2014-10-22,8.15,600,4885.0
TQBR,2014-10-23,8.0,1400,11235.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,8.1,1800,14545.0
TQBR,2014-10-29,8.05,6200,49820.0
TQBR,2014-10-30,8.0,1600,12775.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,8.15,1800,14660.0
TQBR,2014-11-05,7.85,12400,96790.0
TQBR,2014-11-06,7.9,3600,28330.0
TQBR,2014-11-07,8.0,2800,22400.0
TQBR,2014-11-10,8.05,350000,2817500.0
TQBR,2014-11-11,8.25,200800,1636600.0
TQBR,2014-11-12,8.05,253600,2041490.0
