BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,1.9493,4000,7229.4
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,1.9382,3000,5300.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,1.9262,2000,3587.8
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,1.9486,1000,1948.6
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,1.8899,5000,8690.3
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,1.8998,17000,30649.7
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,1.8998,17000,30949.9
TQBR,2014-07-11,1.84,2000,3542.5
TQBR,2014-07-14,1.8399,15000,26755.3
TQBR,2014-07-15,1.657,3000,4973.0
TQBR,2014-07-16,1.7996,16000,28061.8
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,1.8247,2000,3649.3
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,1.5808,1000,1580.8
TQBR,2014-08-19,1.824,2000,3648.5
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,1.8247,4000,6924.7
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,1.8247,2000,3406.7
TQBR,2014-08-28,1.83,40000,69224.8
TQBR,2014-08-29,1.82,24000,42571.9
TQBR,2014-09-01,1.8199,160000,256127.8
TQBR,2014-09-02,1.8295,19000,34108.9
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,1.8295,1000,1829.5
TQBR,2014-09-05,2.0,21000,38759.5
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,2.2,99000,194434.9
TQBR,2014-09-15,1.998,13000,25096.9
TQBR,2014-09-16,2.15,3000,6220.0
TQBR,2014-09-17,1.9,7000,13300.0
TQBR,2014-09-18,2.001,1000,2001.0
TQBR,2014-09-19,1.98,1000,1980.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,1.8999,5000,8851.2
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,1.98,28000,53609.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,1.985,545000,1080305.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
