BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,1.2447,1000,1244.7
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,1.2446,3000,3584.6
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,1.17,1000,1170.0
TQBR,2014-06-26,1.2359,1000,1235.9
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,1.235,16000,18038.8
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,1.243,17000,19176.2
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,1.1218,5000,5609.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,1.1301,2000,2260.2
TQBR,2014-07-18,1.2345,6000,7214.2
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,1.2286,4000,4618.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,1.0233,1000,1023.3
TQBR,2014-07-31,1.1995,6000,7199.4
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,1.1,21000,22157.2
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,1.29,13000,15884.8
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,1.3186,3000,3868.6
TQBR,2014-08-20,1.26,36000,42204.6
TQBR,2014-08-21,1.1251,4000,4518.6
TQBR,2014-08-22,1.265,19000,22568.9
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,1.256,1000,1256.0
TQBR,2014-08-27,1.2599,17000,21337.0
TQBR,2014-08-28,1.143,1000,1143.0
TQBR,2014-08-29,1.2389,1000,1238.9
TQBR,2014-09-01,1.2221,86000,97019.0
TQBR,2014-09-02,1.081,10000,10707.8
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,1.1787,12000,13009.2
TQBR,2014-09-05,1.178,143000,143253.8
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,1.1503,12000,12595.4
TQBR,2014-09-10,1.1673,16000,17283.2
TQBR,2014-09-11,1.1,77000,75595.3
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,1.105,1000,1105.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,1.0991,11000,10733.0
TQBR,2014-10-01,1.055,21000,21110.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,1.085,11000,11805.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,1.2,174000,185420.0
TQBR,2014-10-09,1.09,4000,4095.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,1.2,251000,291535.0
TQBR,2014-10-21,1.37,103000,131655.0
TQBR,2014-10-22,1.3,4000,5200.0
TQBR,2014-10-23,1.42,63000,84030.0
TQBR,2014-10-24,1.45,59000,83240.0
TQBR,2014-10-27,1.49,1000,1490.0
TQBR,2014-10-28,1.55,1000,1550.0
TQBR,2014-10-29,1.65,339000,493560.0
TQBR,2014-10-30,1.74,25000,40900.0
TQBR,2014-10-31,1.78,34000,58265.0
TQBR,2014-11-03,1.85,3000,5250.0
TQBR,2014-11-05,1.84,20000,35190.0
TQBR,2014-11-06,1.6,9000,14700.0
TQBR,2014-11-07,1.775,1000,1775.0
TQBR,2014-11-10,1.835,1000,1835.0
TQBR,2014-11-11,1.825,1000,1825.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,1.86,13000,22860.0
TQBR,2014-11-19,1.86,1000,1860.0
TQBR,2014-11-20,,0,0.0
TQBR,2014-11-21,1.865,12000,22370.0
TQBR,2014-11-24,,0,0.0
TQBR,2014-11-25,,0,0.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,2.23,146000,274175.0
TQBR,2014-11-28,2.195,1000,2195.0
TQBR,2014-12-01,2.34,2000,4635.0
TQBR,2014-12-02,2.465,1000,2465.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,2.245,38000,74790.0
TQBR,2014-12-05,2.09,11000,21465.0
TQBR,2014-12-08,1.8,3000,5440.0
TQBR,2014-12-09,,0,0.0
TQBR,2014-12-10,1.985,1000,1985.0
TQBR,2014-12-11,,0,0.0
TQBR,2014-12-12,1.85,5000,9500.0
TQBR,2014-12-15,1.805,2000,3650.0
TQBR,2014-12-16,1.63,5000,8785.0
TQBR,2014-12-17,1.9,1000,1900.0
TQBR,2014-12-18,2.15,50000,105850.0
TQBR,2014-12-19,1.985,3000,5670.0
TQBR,2014-12-22,2.185,26000,50750.0
TQBR,2014-12-23,2.165,2000,3800.0
TQBR,2014-12-24,1.99,1289000,2567080.0
TQBR,2014-12-25,2.185,1000,2185.0
TQBR,2014-12-26,,0,0.0
TQBR,2014-12-29,,0,0.0
TQBR,2014-12-30,1.98,17000,31835.0
TQBR,2015-01-05,2.1,6000,12010.0
TQBR,2015-01-06,,0,0.0
TQBR,2015-01-08,2.23,2000,4455.0
TQBR,2015-01-09,,0,0.0
TQBR,2015-01-12,,0,0.0
TQBR,2015-01-13,1.98,11000,21280.0
TQBR,2015-01-14,,0,0.0
TQBR,2015-01-15,1.9,10000,18250.0
TQBR,2015-01-16,1.895,2000,3650.0
TQBR,2015-01-19,1.895,1000,1895.0
TQBR,2015-01-20,,0,0.0
TQBR,2015-01-21,,0,0.0
TQBR,2015-01-22,1.81,10000,17290.0
TQBR,2015-01-23,1.85,5000,9230.0
TQBR,2015-01-26,1.755,7000,12145.0
TQBR,2015-01-27,1.755,31000,54410.0
TQBR,2015-01-28,,0,0.0
TQBR,2015-01-29,1.845,1000,1845.0
TQBR,2015-01-30,,0,0.0
TQBR,2015-02-02,,0,0.0
TQBR,2015-02-03,1.945,1000,1945.0
TQBR,2015-02-04,,0,0.0
TQBR,2015-02-05,1.905,5000,8825.0
TQBR,2015-02-06,1.875,32000,55790.0
TQBR,2015-02-09,1.875,1000,1875.0
TQBR,2015-02-10,,0,0.0
TQBR,2015-02-11,1.85,1000,1850.0
TQBR,2015-02-12,,0,0.0
TQBR,2015-02-13,,0,0.0
TQBR,2015-02-16,,0,0.0
TQBR,2015-02-17,,0,0.0
TQBR,2015-02-18,,0,0.0
TQBR,2015-02-19,,0,0.0
TQBR,2015-02-20,,0,0.0
TQBR,2015-02-24,,0,0.0
TQBR,2015-02-25,,0,0.0
TQBR,2015-02-26,,0,0.0
TQBR,2015-02-27,1.945,7000,13280.0
TQBR,2015-03-02,,0,0.0
TQBR,2015-03-03,,0,0.0
TQBR,2015-03-04,,0,0.0
TQBR,2015-03-05,2.13,21000,42905.0
TQBR,2015-03-06,2.025,14000,26140.0
TQBR,2015-03-10,,0,0.0
TQBR,2015-03-11,,0,0.0
TQBR,2015-03-12,,0,0.0
TQBR,2015-03-13,1.945,4000,7445.0
TQBR,2015-03-16,2.0,8000,13915.0
TQBR,2015-03-17,,0,0.0
TQBR,2015-03-18,,0,0.0
TQBR,2015-03-19,,0,0.0
TQBR,2015-03-20,,0,0.0
TQBR,2015-03-23,,0,0.0
TQBR,2015-03-24,,0,0.0
TQBR,2015-03-25,1.6,15000,24640.0
TQBR,2015-03-26,1.6,2000,3200.0
TQBR,2015-03-27,1.58,13000,20920.0
TQBR,2015-03-30,,0,0.0
TQBR,2015-03-31,1.545,10000,15110.0
TQBR,2015-04-01,1.55,1000,1550.0
TQBR,2015-04-02,1.47,6000,9350.0
TQBR,2015-04-03,1.425,3058000,5525970.0
TQBR,2015-04-06,1.385,286000,464250.0
TQBR,2015-04-07,1.37,49000,69275.0
TQBR,2015-04-08,1.39,18000,24220.0
TQBR,2015-04-09,1.305,8000,11140.0
TQBR,2015-04-10,1.395,5000,6975.0
TQBR,2015-04-13,,0,0.0
TQBR,2015-04-14,1.32,33000,42715.0
TQBR,2015-04-15,1.32,2000,2640.0
TQBR,2015-04-16,1.385,4000,5315.0
TQBR,2015-04-17,1.4,10000,13970.0
TQBR,2015-04-20,,0,0.0
TQBR,2015-04-21,,0,0.0
TQBR,2015-04-22,,0,0.0
TQBR,2015-04-23,,0,0.0
TQBR,2015-04-24,,0,0.0
TQBR,2015-04-27,1.47,2000,2940.0
TQBR,2015-04-28,1.4,1000,1400.0
TQBR,2015-04-29,,0,0.0
TQBR,2015-04-30,,0,0.0
TQBR,2015-05-05,1.26,41000,52480.0
TQBR,2015-05-06,1.3,2000,2605.0
TQBR,2015-05-07,,0,0.0
TQBR,2015-05-08,1.285,2000,2570.0
TQBR,2015-05-12,,0,0.0
TQBR,2015-05-13,1.25,2000,2500.0
TQBR,2015-05-14,1.24,4000,4875.0
TQBR,2015-05-15,1.23,5000,6155.0
TQBR,2015-05-18,1.26,15000,17555.0
TQBR,2015-05-19,1.22,2000,2440.0
TQBR,2015-05-20,,0,0.0
TQBR,2015-05-21,1.22,10000,11770.0
TQBR,2015-05-22,,0,0.0
TQBR,2015-05-25,1.12,100000,104965.0
TQBR,2015-05-26,1.135,18000,20740.0
TQBR,2015-05-27,,0,0.0
TQBR,2015-05-28,1.12,21000,23570.0
TQBR,2015-05-29,1.155,15000,17810.0
TQBR,2015-06-01,1.095,15000,16510.0
TQBR,2015-06-02,1.1,43000,47300.0
TQBR,2015-06-03,,0,0.0
TQBR,2015-06-04,,0,0.0
TQBR,2015-06-05,,0,0.0
TQBR,2015-06-08,1.1,5000,5500.0
TQBR,2015-06-09,,0,0.0
TQBR,2015-06-10,1.19,18000,21330.0
TQBR,2015-06-11,,0,0.0
TQBR,2015-06-15,1.165,7000,8155.0
TQBR,2015-06-16,1.27,27000,32630.0
TQBR,2015-06-17,1.175,49000,64365.0
TQBR,2015-06-18,1.32,4000,5375.0
TQBR,2015-06-19,1.41,28000,37075.0
TQBR,2015-06-22,1.215,4000,5010.0
TQBR,2015-06-23,1.275,110000,148085.0
TQBR,2015-06-24,1.43,1000,1430.0
TQBR,2015-06-25,1.3,12000,15535.0
TQBR,2015-06-26,1.235,5000,6205.0
TQBR,2015-06-29,1.3,1000,1300.0
TQBR,2015-06-30,1.35,6000,7770.0
TQBR,2015-07-01,1.39,1000,1390.0
TQBR,2015-07-02,1.235,20000,24905.0
TQBR,2015-07-03,,0,0.0
TQBR,2015-07-06,1.2,14000,16875.0
TQBR,2015-07-07,1.13,17000,20180.0
TQBR,2015-07-08,1.11,11000,12305.0
TQBR,2015-07-09,1.28,1000,1280.0
TQBR,2015-07-10,1.15,2000,2295.0
TQBR,2015-07-13,1.2,2000,2380.0
TQBR,2015-07-14,1.24,2000,2295.0
TQBR,2015-07-15,1.16,2000,2320.0
TQBR,2015-07-16,,0,0.0
TQBR,2015-07-17,,0,0.0
TQBR,2015-07-20,1.15,5000,5750.0
TQBR,2015-07-21,,0,0.0
TQBR,2015-07-22,1.09,30000,32635.0
TQBR,2015-07-23,,0,0.0
TQBR,2015-07-24,1.135,1000,1135.0
TQBR,2015-07-27,1.12,3000,3310.0
TQBR,2015-07-28,1.08,2000,2160.0
TQBR,2015-07-29,1.125,105000,121655.0
TQBR,2015-07-30,,0,0.0
TQBR,2015-07-31,,0,0.0
TQBR,2015-08-03,1.11,50000,54630.0
TQBR,2015-08-04,1.16,60000,73665.0
