BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,6.835,15012800,102050790.1
TQBR,2014-06-10,6.762,5229600,35418846.6
TQBR,2014-06-11,6.77,3083500,20848875.4
TQBR,2014-06-16,6.848,25659900,176221207.1
TQBR,2014-06-17,6.857,8682700,59537238.8
TQBR,2014-06-18,6.8,4635900,31774542.7
TQBR,2014-06-19,6.773,5620700,38327097.1
TQBR,2014-06-20,6.728,6668400,44695955.0
TQBR,2014-06-23,6.601,8332500,55573830.4
TQBR,2014-06-24,6.699,5763000,38323051.5
TQBR,2014-06-25,6.56,5652900,37290740.6
TQBR,2014-06-26,6.628,4385500,28862244.1
TQBR,2014-06-27,6.67,3482000,23215404.4
TQBR,2014-06-30,6.693,6417200,42977875.8
TQBR,2014-07-01,6.679,6979500,46940373.9
TQBR,2014-07-02,6.798,8693100,58623568.2
TQBR,2014-07-03,6.814,7467100,50798628.6
TQBR,2014-07-04,6.699,6507900,44194404.4
TQBR,2014-07-07,6.775,7188500,48767847.1
TQBR,2014-07-08,6.763,7066800,48040009.7
TQBR,2014-07-09,6.816,8494600,57637043.5
TQBR,2014-07-10,6.744,15308400,104435113.0
TQBR,2014-07-11,6.693,8470700,57200278.4
TQBR,2014-07-14,6.646,4869300,32437325.0
TQBR,2014-07-15,6.8,5986300,40084394.8
TQBR,2014-07-16,6.92,12022000,82378301.9
TQBR,2014-07-17,6.887,18684300,128271580.1
TQBR,2014-07-18,6.82,11664200,79405473.9
TQBR,2014-07-21,6.502,15658100,104001117.3
TQBR,2014-07-22,6.556,11102200,72677983.8
TQBR,2014-07-23,6.463,10391000,67829740.5
TQBR,2014-07-24,6.681,16763400,109252301.7
TQBR,2014-07-25,6.63,10266100,68117194.8
TQBR,2014-07-28,6.49,9248700,60489583.2
TQBR,2014-07-29,6.595,9951000,65350774.3
TQBR,2014-07-30,6.681,13650100,91281179.8
TQBR,2014-07-31,6.78,15488700,105208128.7
TQBR,2014-08-01,6.757,10550100,71050586.6
TQBR,2014-08-04,6.78,9355600,63685698.8
TQBR,2014-08-05,6.758,5648300,38191777.1
TQBR,2014-08-06,6.46,15066000,98873229.1
TQBR,2014-08-07,6.38,17314800,110750104.4
TQBR,2014-08-08,6.627,23039200,149792943.0
TQBR,2014-08-11,6.784,10222500,69088581.1
TQBR,2014-08-12,6.751,5089000,34270994.5
TQBR,2014-08-13,6.794,9154900,61998281.2
TQBR,2014-08-14,6.79,10887400,73967636.1
TQBR,2014-08-15,6.82,7518500,51123964.7
TQBR,2014-08-18,6.789,4928900,33480548.8
TQBR,2014-08-19,6.871,13875900,94901624.6
TQBR,2014-08-20,7.42,46342400,333413559.6
TQBR,2014-08-21,7.418,32041400,240531932.2
TQBR,2014-08-22,7.35,17351000,127191152.4
TQBR,2014-08-25,7.55,7457400,55831998.7
TQBR,2014-08-26,7.396,12323500,91912336.5
TQBR,2014-08-27,7.439,5924600,44209627.8
TQBR,2014-08-28,7.334,20475300,151597850.3
TQBR,2014-08-29,7.347,7285500,53716222.4
TQBR,2014-09-01,7.178,10521500,76980371.2
TQBR,2014-09-02,7.264,6060100,43669900.4
TQBR,2014-09-03,7.459,13355800,99047961.7
TQBR,2014-09-04,7.506,11915800,88542016.4
