BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-12-28,2.37,28459300,68424044.7
TQBR,2023-12-29,2.365,21088800,51051365.95
TQBR,2024-01-03,2.35,11208600,26127494.3
TQBR,2024-01-04,2.357,4882900,11547738.65
TQBR,2024-01-05,2.3525,4558800,10846045.6
TQBR,2024-01-08,2.421,18645100,45814807.2
TQBR,2024-01-09,2.505,7456900,18186520.15
TQBR,2024-01-10,2.586,353370100,941983400.7
TQBR,2024-01-11,2.47,74825000,186619979.25
TQBR,2024-01-12,2.461,45652300,112187351.8
TQBR,2024-01-15,2.4655,36426000,91215716.65
TQBR,2024-01-16,2.5,121781400,310468189.75
TQBR,2024-01-17,2.5355,22411800,56715581.45
TQBR,2024-01-18,2.615,47825200,123321253.4
TQBR,2024-01-19,2.575,65449300,171168998.05
TQBR,2024-01-22,2.603,29285300,76393023.5
TQBR,2024-01-23,2.602,18896800,48950059.35
TQBR,2024-01-24,2.573,8630600,22296807.25
TQBR,2024-01-25,2.485,27466300,68636278.95
TQBR,2024-01-26,2.43,17137400,42205738.6
TQBR,2024-01-29,2.464,11779300,29043957.55
TQBR,2024-01-30,2.4315,9303000,22756558.95
TQBR,2024-01-31,2.5,28245300,70396948.75
TQBR,2024-02-01,2.45,8154700,20131191.7
TQBR,2024-02-02,2.43,7463000,18307543.6
TQBR,2024-02-05,2.435,4169200,10183286.85
TQBR,2024-02-06,2.435,4129300,10078814.85
TQBR,2024-02-07,2.482,9357200,23058131.5
TQBR,2024-02-08,2.437,6434600,15806092.6
TQBR,2024-02-09,2.38,11906000,28524136.1
TQBR,2024-02-12,2.33,13434300,31399545.95
TQBR,2024-02-13,2.35,7616500,17953896.8
TQBR,2024-02-14,2.377,5437800,12915418.8
TQBR,2024-02-15,2.37,4152100,9832715.85
TQBR,2024-02-16,2.3375,5055000,11941037.6
TQBR,2024-02-19,2.424,31624100,76945544.45
TQBR,2024-02-20,2.3985,7422800,17955912.25
TQBR,2024-02-21,2.3495,16873100,39877389.9
TQBR,2024-02-22,2.341,5515500,13092989.15
TQBR,2024-02-26,2.4125,6789300,16397633.35
TQBR,2024-02-27,2.4085,4364400,10585461.65
TQBR,2024-02-28,2.4725,18597400,45567591.1
TQBR,2024-02-29,2.4865,18261500,44833778.4
TQBR,2024-03-01,2.444,6581800,16176177.4
TQBR,2024-03-04,2.433,4370200,10620307.75
TQBR,2024-03-05,2.415,3266300,7895990.5
TQBR,2024-03-06,2.46,11780900,28775614.85
TQBR,2024-03-07,2.48,9058700,22485215.4
TQBR,2024-03-11,2.5495,16924400,42591516.45
TQBR,2024-03-12,2.555,9309500,23662612.75
TQBR,2024-03-13,2.5105,3627900,9159219.95
TQBR,2024-03-14,2.443,12348500,30517219.05
TQBR,2024-03-15,2.473,13087900,32160640.95
TQBR,2024-03-18,2.595,46397300,119725625.2
TQBR,2024-03-19,2.5255,7614200,19234575.25
TQBR,2024-03-20,2.4945,3286400,8230955.95
TQBR,2024-03-21,2.5255,6315200,15897851.7
TQBR,2024-03-22,2.451,6235000,15367307.75
TQBR,2024-03-25,2.487,4681100,11585931.75
TQBR,2024-03-26,2.4825,6682000,16714836.85
TQBR,2024-03-27,2.4875,7178700,17965563.8
TQBR,2024-03-28,2.482,1788400,4438092.25
TQBR,2024-03-29,2.5015,2759900,6873096.35
TQBR,2024-04-01,2.5135,3025400,7604553.65
TQBR,2024-04-02,2.497,2356800,5876353.1
TQBR,2024-04-03,2.5025,2629300,6568026.65
TQBR,2024-04-04,2.501,2988100,7494725.55
TQBR,2024-04-05,2.5145,2823800,7065144.55
TQBR,2024-04-08,3.0445,148713400,417070102.4
TQBR,2024-04-09,3.036,166760400,517856844.25
TQBR,2024-04-10,3.0315,43868000,130701858.05
TQBR,2024-04-11,2.9075,20896800,62087725.25
TQBR,2024-04-12,3.009,61783500,188237684.1
TQBR,2024-04-15,2.9835,12242500,36584727.4
TQBR,2024-04-16,3.04,17594000,53099098.65
TQBR,2024-04-17,3.1995,61956300,195522738.85
TQBR,2024-04-18,3.0505,28029300,86654139.2
TQBR,2024-04-19,2.9875,16927100,50603109.35
TQBR,2024-04-22,2.972,4177000,12438012.7
TQBR,2024-04-23,2.9765,8058500,24106806.35
TQBR,2024-04-24,2.897,5994700,17447095.05
TQBR,2024-04-25,2.893,8487600,24208383.85
TQBR,2024-04-26,3.0035,12157800,36045992.05
TQBR,2024-04-27,2.97,2234000,6650930.6
TQBR,2024-04-29,2.9675,1557700,4603278.85
TQBR,2024-04-30,2.945,1138700,3358703.9
TQBR,2024-05-02,2.9405,6845200,20129296.6
TQBR,2024-05-03,2.8945,4529800,13146097.3
TQBR,2024-05-06,2.849,2630100,7549138.9
TQBR,2024-05-07,2.8675,1206400,3452409.5
TQBR,2024-05-08,2.843,2682800,7635502.2
TQBR,2024-05-10,2.8365,4597600,12967019.95
TQBR,2024-05-13,2.7715,6045700,16902328.5
TQBR,2024-05-14,2.7225,13706500,37556352.35
TQBR,2024-05-15,2.843,77270800,224540242.5
TQBR,2024-05-16,2.76,35681300,98606212.55
TQBR,2024-05-17,2.7165,6546200,17781057.8
TQBR,2024-05-20,2.7075,12066800,33293051.55
TQBR,2024-05-21,2.746,9698400,26564273.7
TQBR,2024-05-22,2.7255,9865200,27143071.2
TQBR,2024-05-23,2.726,2914600,7932709.2
TQBR,2024-05-24,2.633,6971400,18621618.35
TQBR,2024-05-27,2.638,5013500,13161756.0
TQBR,2024-05-28,2.676,3778800,10072268.7
TQBR,2024-05-29,2.5975,8334300,21346873.95
TQBR,2024-05-30,2.467,4746800,12004385.6
TQBR,2024-05-31,2.5575,7111400,17681593.8
TQBR,2024-06-03,2.54,7714000,19010268.15
TQBR,2024-06-04,2.588,16263800,41195626.9
TQBR,2024-06-05,2.5025,6981700,17796059.15
TQBR,2024-06-06,2.523,2666200,6793441.6
TQBR,2024-06-07,2.5265,14101000,35687814.05
