BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,7040.0,55,387200.0
TQBR,2013-07-09,7240.0,20,144800.0
TQBR,2013-07-10,7100.0,1,7100.0
TQBR,2013-07-11,7175.8,25,179317.0
TQBR,2013-07-12,7293.0,20,145860.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,7350.0,293,2157460.0
TQBR,2013-07-18,7350.0,180,1323012.0
TQBR,2013-07-19,7650.1,192,1467692.6
TQBR,2013-07-22,7815.0,15,117045.0
TQBR,2013-07-23,8100.0,32,257143.0
TQBR,2013-07-24,7935.0,31,250215.0
TQBR,2013-07-25,8020.0,2,16025.0
TQBR,2013-07-26,8222.0,374,3064502.0
TQBR,2013-07-29,8000.0,25,200150.0
TQBR,2013-07-30,8165.0,20,163300.0
TQBR,2013-07-31,8050.0,3,24300.0
TQBR,2013-08-01,8130.0,15,121845.0
TQBR,2013-08-02,8000.0,12,97760.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,8040.0,1000,8041525.0
TQBR,2013-08-07,8020.0,4,32030.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,8005.0,9,72595.0
TQBR,2013-08-16,8050.0,1,8050.0
TQBR,2013-08-19,7970.0,90,721200.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,7834.9,2,15544.9
TQBR,2013-08-23,7989.5,5,39947.0
TQBR,2013-08-26,7815.0,8,62640.0
TQBR,2013-08-27,7500.1,338,2545677.1
TQBR,2013-08-28,7280.0,669,4924369.4
TQBR,2013-08-29,7420.0,263,1948099.0
TQBR,2013-08-30,7400.0,33,243978.3
TQBR,2013-09-02,7566.7,71535,537493571.0
TQBR,2013-09-03,7500.0,70043,526026960.5
TQBR,2013-09-04,7529.5,69131,518040696.0
TQBR,2013-09-05,7735.0,84825,648174337.1
TQBR,2013-09-06,7671.8,94978,740493292.4
TQBR,2013-09-09,7709.1,61087,475730496.5
TQBR,2013-09-10,7764.2,96128,748735861.1
TQBR,2013-09-11,7840.0,61792,479112413.7
TQBR,2013-09-12,8090.0,94875,755610536.7
TQBR,2013-09-13,8055.0,85432,688617672.4
TQBR,2013-09-16,8171.2,170144,1386892923.7
TQBR,2013-09-17,8113.1,37179,301895620.2
TQBR,2013-09-18,8083.2,83406,676680164.5
TQBR,2013-09-19,8230.0,133149,1093958379.9
TQBR,2013-09-20,8080.0,66170,542004690.3
TQBR,2013-09-23,8030.0,54152,436789889.2
TQBR,2013-09-24,8049.0,72984,585341501.6
TQBR,2013-09-25,8091.0,84456,681446007.1
TQBR,2013-09-26,8258.0,122278,1006679760.9
TQBR,2013-09-27,8180.0,84449,693403191.9
TQBR,2013-09-30,8213.0,58023,478757732.8
TQBR,2013-10-01,8269.9,51250,421818875.7
TQBR,2013-10-02,8197.3,55244,453908738.9
TQBR,2013-10-03,8152.0,54695,447551741.9
TQBR,2013-10-04,8400.1,63501,523720876.5
TQBR,2013-10-07,8639.9,84928,718006899.1
