BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-04-04,48.13,210880,10148463.2
TQBR,2013-04-05,47.69,345780,16698661.4
TQBR,2013-04-08,47.54,227840,10889442.1
TQBR,2013-04-09,47.48,425000,20233800.0
TQBR,2013-04-10,46.96,140100,6624780.0
TQBR,2013-04-11,45.73,482700,22480934.5
TQBR,2013-04-12,45.63,749350,34171079.0
TQBR,2013-04-15,45.59,307500,14109575.0
TQBR,2013-04-16,43.43,380600,16885817.0
TQBR,2013-04-17,43.43,254050,11059031.7
TQBR,2013-04-18,42.63,200200,8639628.0
TQBR,2013-04-19,43.46,92620,4003901.3
TQBR,2013-04-22,43.65,106750,4660562.5
TQBR,2013-04-23,43.95,85000,3723600.0
TQBR,2013-04-24,44.52,102610,4548901.6
TQBR,2013-04-25,44.22,512500,22774100.0
TQBR,2013-04-26,44.68,2676010,119244353.7
TQBR,2013-04-29,44.61,132770,5928754.6
TQBR,2013-04-30,44.91,3503820,155913028.1
TQBR,2013-05-02,44.42,1180540,52584322.8
TQBR,2013-05-03,44.55,910300,40368214.5
TQBR,2013-05-06,46.1,1484670,68684179.6
TQBR,2013-05-07,47.2,838770,38921985.2
TQBR,2013-05-08,48.7,354300,17018284.6
TQBR,2013-05-10,48.6,444110,21659990.5
TQBR,2013-05-13,48.74,168070,8211779.1
TQBR,2013-05-14,48.87,349280,17086766.9
TQBR,2013-05-15,50.26,325170,16218475.7
TQBR,2013-05-16,50.27,192490,9635238.9
TQBR,2013-05-17,49.3,63000,3138325.0
TQBR,2013-05-20,48.72,111000,5425255.0
TQBR,2013-05-21,51.4,1516310,76669817.3
TQBR,2013-05-22,53.75,364310,19234238.4
TQBR,2013-05-23,53.85,883050,47472986.4
TQBR,2013-05-24,53.32,192550,10319312.2
TQBR,2013-05-27,53.29,50000,2658875.0
TQBR,2013-05-28,53.93,72860,3909681.0
TQBR,2013-05-29,53.68,6553290,351341061.2
TQBR,2013-05-30,53.46,247660,13212109.1
TQBR,2013-05-31,53.73,69260,3718913.6
TQBR,2013-06-03,52.85,759330,40547777.2
TQBR,2013-06-04,52.33,153520,8131802.6
TQBR,2013-06-05,52.58,309170,16264424.9
TQBR,2013-06-06,53.19,1084850,58205709.8
TQBR,2013-06-07,53.56,175000,9374825.0
TQBR,2013-06-10,53.6,325530,17431051.2
TQBR,2013-06-11,52.59,420000,22312325.0
TQBR,2013-06-13,52.11,365070,19003947.7
TQBR,2013-06-14,51.14,422500,21964580.0
TQBR,2013-06-17,52.56,285160,14929493.9
TQBR,2013-06-18,52.79,472080,24917183.9
TQBR,2013-06-19,51.98,272560,14344984.3
TQBR,2013-06-20,51.31,374980,19332377.2
TQBR,2013-06-21,50.22,347500,17654275.0
TQBR,2013-06-24,50.71,802020,40647427.5
TQBR,2013-06-25,51.65,1121000,58041824.8
TQBR,2013-06-26,52.17,868430,45374806.7
TQBR,2013-06-27,52.61,1399010,73695059.3
TQBR,2013-06-28,52.98,1433510,76605523.8
TQBR,2013-07-01,53.8,396710,21247166.5
TQBR,2013-07-02,53.82,447670,24066437.7
TQBR,2013-07-03,53.41,396160,21285142.3
TQBR,2013-07-04,53.58,351070,18876595.9
TQBR,2013-07-05,53.6,568920,30613625.2
TQBR,2013-07-08,53.77,452670,24371317.6
TQBR,2013-07-09,53.7,402510,21589896.1
TQBR,2013-07-10,53.04,380750,20323075.0
TQBR,2013-07-11,53.9,600180,32216266.2
TQBR,2013-07-12,53.91,459490,24799445.6
TQBR,2013-07-15,53.98,363210,19602332.7
TQBR,2013-07-16,53.98,435000,23476700.0
TQBR,2013-07-17,53.94,280000,15107175.0
TQBR,2013-07-18,53.9,392550,21225653.7
TQBR,2013-07-19,53.78,412840,22317521.9
TQBR,2013-07-22,53.79,269870,14556457.1
TQBR,2013-07-23,54.19,394110,21347669.3
TQBR,2013-07-24,54.24,373270,20209718.3
TQBR,2013-07-25,54.25,725210,39267140.8
TQBR,2013-07-26,54.19,608540,32928246.4
TQBR,2013-07-29,55.06,233050,12757544.7
TQBR,2013-07-30,56.04,427580,23958799.1
TQBR,2013-07-31,56.23,164170,9218107.8
TQBR,2013-08-01,59.25,306910,17755375.6
TQBR,2013-08-02,59.09,289350,17376095.3
TQBR,2013-08-05,59.07,445930,26625043.2
TQBR,2013-08-06,55.99,554900,32389568.0
TQBR,2013-08-07,56.05,427320,23937544.2
TQBR,2013-08-08,55.93,333110,18628695.7
TQBR,2013-08-09,56.1,398410,22327776.5
TQBR,2013-08-12,56.07,563340,31577761.7
TQBR,2013-08-13,56.78,491490,27972130.6
TQBR,2013-08-14,57.18,408270,23301848.4
TQBR,2013-08-15,56.11,424570,24207520.2
TQBR,2013-08-16,56.19,482340,27060981.0
TQBR,2013-08-19,56.31,365860,20500887.6
TQBR,2013-08-20,56.07,361810,20303039.9
TQBR,2013-08-21,56.21,411580,23071730.5
TQBR,2013-08-22,56.98,446310,25298690.8
TQBR,2013-08-23,57.01,453610,26068048.8
TQBR,2013-08-26,57.28,621940,35501983.2
TQBR,2013-08-27,58.28,670600,38458365.4
TQBR,2013-08-28,59.24,668540,39253091.3
TQBR,2013-08-29,60.6,1070120,64792635.9
TQBR,2013-08-30,60.96,772690,47575351.4
TQBR,2013-09-02,61.05,956150,58404225.7
TQBR,2013-09-03,61.65,1169440,71936303.4
TQBR,2013-09-04,61.91,1166620,72235002.7
TQBR,2013-09-05,62.84,984090,61238019.2
TQBR,2013-09-06,64.87,3951670,260100229.7
TQBR,2013-09-09,64.91,2158770,139672070.7
TQBR,2013-09-10,65.85,1636310,107478150.5
TQBR,2013-09-11,65.59,2324470,151666261.4
TQBR,2013-09-12,65.45,1089820,71163626.9
TQBR,2013-09-13,64.82,1691340,110564860.4
TQBR,2013-09-16,66.99,3580260,237688375.4
TQBR,2013-09-17,66.26,1826640,121355512.4
TQBR,2013-09-18,65.7,1457380,96313668.2
TQBR,2013-09-19,65.55,2442360,160614599.9
TQBR,2013-09-20,63.25,5449430,348430699.1
TQBR,2013-09-23,62.41,4619000,280985022.7
TQBR,2013-09-24,63.2,2886400,182624872.4
TQBR,2013-09-25,60.35,1222360,75263964.6
TQBR,2013-09-26,60.26,1002570,60646744.5
TQBR,2013-09-27,60.64,1047710,63116173.1
TQBR,2013-09-30,62.05,731700,45062594.9
TQBR,2013-10-01,64.77,782290,49788828.7
TQBR,2013-10-02,64.85,3599130,232594957.5
TQBR,2013-10-03,65.31,1194950,78040873.1
TQBR,2013-10-04,65.86,688550,44900832.1
TQBR,2013-10-07,64.9,365920,23817040.7
TQBR,2013-10-08,65.97,2397220,157070052.1
TQBR,2013-10-09,66.8,2476400,163393321.2
TQBR,2013-10-10,67.2,2318710,154452379.2
TQBR,2013-10-11,67.5,1336660,89787698.5
TQBR,2013-10-14,67.74,2896760,195646917.3
TQBR,2013-10-15,68.27,2737390,187761168.6
TQBR,2013-10-16,68.07,1314540,89174634.3
TQBR,2013-10-17,67.75,994470,67293043.3
TQBR,2013-10-18,68.1,1195620,81318161.3
TQBR,2013-10-21,68.0,2307140,156123231.4
TQBR,2013-10-22,67.98,3030100,205878030.1
TQBR,2013-10-23,66.99,883050,59573791.7
TQBR,2013-10-24,65.89,3659450,241714304.2
TQBR,2013-10-25,66.0,38673480,2554809494.7
TQBR,2013-10-28,65.0,4243020,276267458.3
TQBR,2013-10-29,63.65,2682150,172257553.1
TQBR,2013-10-30,62.9,8513220,536181813.0
TQBR,2013-10-31,61.23,4204630,258986693.4
TQBR,2013-11-01,61.4,4307420,264447664.6
TQBR,2013-11-05,60.9,19579540,1192551214.7
TQBR,2013-11-06,61.01,17809750,1093230728.5
TQBR,2013-11-07,60.98,11602160,713032408.6
TQBR,2013-11-08,61.45,7913450,484347463.3
TQBR,2013-11-11,62.49,5309360,330444607.1
TQBR,2013-11-12,64.8,7026460,453439806.5
TQBR,2013-11-13,64.51,7211530,468728116.4
TQBR,2013-11-14,64.77,7621130,495234619.8
TQBR,2013-11-15,64.92,3930010,254272260.3
TQBR,2013-11-18,65.02,4140650,268654771.2
TQBR,2013-11-19,65.39,6190120,402780538.8
TQBR,2013-11-20,65.35,4181250,272624594.4
TQBR,2013-11-21,65.55,5256260,343885180.0
TQBR,2013-11-22,67.15,9088490,601412978.9
TQBR,2013-11-25,67.5,5113370,345446717.0
TQBR,2013-11-26,67.45,24918480,1666136927.4
TQBR,2013-11-27,67.4,11967160,805052288.9
TQBR,2013-11-28,66.54,3462210,228665861.0
TQBR,2013-11-29,67.0,5663510,376782073.2
TQBR,2013-12-02,66.57,4219560,280711363.8
TQBR,2013-12-03,65.5,7251180,473529332.1
TQBR,2013-12-04,65.15,3573710,232483046.2
TQBR,2013-12-05,62.0,5690320,360585420.5
TQBR,2013-12-06,63.3,4083700,257011193.1
TQBR,2013-12-09,63.03,6151030,387597259.2
TQBR,2013-12-10,63.77,3767080,239100718.4
TQBR,2013-12-11,63.71,3154840,200827561.7
