BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-09-02,0.33,8034000,2696750.4
TQBR,2013-09-03,0.3296,3556000,1174278.8
TQBR,2013-09-04,0.325,3318000,1092494.3
TQBR,2013-09-05,0.324,6001000,1947685.6
TQBR,2013-09-06,0.3201,3689000,1192028.7
TQBR,2013-09-09,0.316,7914000,2503625.2
TQBR,2013-09-10,0.314,10274000,3240057.0
TQBR,2013-09-11,0.31,23220000,7311990.8
TQBR,2013-09-12,0.3058,5554000,1717072.3
TQBR,2013-09-13,0.3,5354000,1631799.6
TQBR,2013-09-16,0.3,7378000,2208984.5
TQBR,2013-09-17,0.2875,14268000,4173465.2
TQBR,2013-09-18,0.2789,15335000,4304573.9
TQBR,2013-09-19,0.2697,28839000,7930321.9
TQBR,2013-09-20,0.2735,20654000,5602012.8
TQBR,2013-09-23,0.2689,4491000,1212257.1
TQBR,2013-09-24,0.2701,8086000,2192182.7
TQBR,2013-09-25,0.272,4488000,1220483.9
TQBR,2013-09-26,0.2706,5100000,1380412.3
TQBR,2013-09-27,0.2694,26216000,7082084.8
TQBR,2013-09-30,0.26,7016000,1841621.4
TQBR,2013-10-01,0.259,4009000,1031885.3
TQBR,2013-10-02,0.258,3349000,869587.9
TQBR,2013-10-03,0.2551,3114000,808463.7
TQBR,2013-10-04,0.245,13620000,3392110.3
TQBR,2013-10-07,0.236,8178000,1969988.9
TQBR,2013-10-08,0.23,18793000,4365036.0
TQBR,2013-10-09,0.2235,19661000,4436987.5
TQBR,2013-10-10,0.2279,17194000,3910309.8
TQBR,2013-10-11,0.2345,29563000,6915906.8
TQBR,2013-10-14,0.2437,32332000,7812505.5
TQBR,2013-10-15,0.24,5414000,1314572.6
TQBR,2013-10-16,0.241,3698000,879806.0
TQBR,2013-10-17,0.2439,2781000,671667.8
TQBR,2013-10-18,0.2459,4597000,1119086.2
TQBR,2013-10-21,0.2465,23299000,5675727.5
TQBR,2013-10-22,0.2439,13360000,3310373.4
TQBR,2013-10-23,0.2435,4925000,1196436.5
TQBR,2013-10-24,0.2395,3557000,855683.5
TQBR,2013-10-25,0.2402,39331000,9371106.5
TQBR,2013-10-28,0.2329,3400000,818025.7
TQBR,2013-10-29,0.231,8242000,1894790.5
TQBR,2013-10-30,0.2374,7633000,1780103.8
TQBR,2013-10-31,0.2339,23888000,5515392.8
TQBR,2013-11-01,0.2367,5001000,1168820.7
TQBR,2013-11-05,0.2397,12371000,2945591.4
TQBR,2013-11-06,0.2404,19343000,4658331.5
TQBR,2013-11-07,0.2402,2983000,717923.5
TQBR,2013-11-08,0.235,3506000,834856.6
TQBR,2013-11-11,0.231,972000,227122.3
TQBR,2013-11-12,0.2245,6062000,1387586.2
TQBR,2013-11-13,0.2021,11583000,2490533.5
TQBR,2013-11-14,0.206,7531000,1526675.2
TQBR,2013-11-15,0.2104,9265000,1940402.7
TQBR,2013-11-18,0.2079,11497000,2395763.1
TQBR,2013-11-19,0.205,4946000,1012930.4
TQBR,2013-11-20,0.2056,2517000,518926.9
TQBR,2013-11-21,0.203,36379000,7390688.9
TQBR,2013-11-22,0.2061,21890000,4518923.5
TQBR,2013-11-25,0.2065,15583000,3211619.7
TQBR,2013-11-26,0.2098,6317000,1307736.9
TQBR,2013-11-27,0.21,21739000,4627510.2
TQBR,2013-11-28,0.2129,21562000,4506838.1
TQBR,2013-11-29,0.2116,16640000,3444223.4
TQBR,2013-12-02,0.2105,15622000,3296730.3
TQBR,2013-12-03,0.2064,3753000,778145.2
TQBR,2013-12-04,0.2122,6119000,1269607.4
TQBR,2013-12-05,0.2141,26385000,5702766.7
TQBR,2013-12-06,0.2268,16055000,3595675.8
TQBR,2013-12-09,0.2267,5736000,1310476.0
TQBR,2013-12-10,0.2207,4757000,1064810.6
TQBR,2013-12-11,0.2204,8184000,1812438.8
TQBR,2013-12-12,0.2154,5567000,1209952.0
TQBR,2013-12-13,0.22,12149000,2647841.1
TQBR,2013-12-16,0.2206,10098000,2224162.8
TQBR,2013-12-17,0.2179,13785000,3031423.3
TQBR,2013-12-18,0.2127,15952000,3397291.4
TQBR,2013-12-19,0.2159,7438000,1580275.1
TQBR,2013-12-20,0.21,9564000,2045137.0
TQBR,2013-12-23,0.2205,13091000,2848884.4
TQBR,2013-12-24,0.22,6213000,1381271.9
TQBR,2013-12-25,0.2206,6448000,1430250.1
TQBR,2013-12-26,0.22,5929000,1302089.1
TQBR,2013-12-27,0.2197,2089000,460116.9
TQBR,2013-12-30,0.2186,6665000,1465306.2
TQBR,2014-01-06,0.2185,3689000,802334.1
TQBR,2014-01-08,0.22,3363000,744092.1
TQBR,2014-01-09,0.2219,7538000,1654426.0
TQBR,2014-01-10,0.2219,7263000,1599435.3
TQBR,2014-01-13,0.2237,2936000,648573.2
TQBR,2014-01-14,0.22,4297000,953913.0
TQBR,2014-01-15,0.2212,9740000,2148329.3
TQBR,2014-01-16,0.2168,8131000,1770209.4
TQBR,2014-01-17,0.215,5759000,1239557.7
TQBR,2014-01-20,0.2134,5586000,1198393.7
TQBR,2014-01-21,0.21,9086000,1940088.1
TQBR,2014-01-22,0.2099,5878000,1234490.4
TQBR,2014-01-23,0.2142,4926000,1043098.0
TQBR,2014-01-24,0.2116,16854000,3556652.7
TQBR,2014-01-27,0.211,275097000,57734731.4
TQBR,2014-01-28,0.21,5987000,1252347.7
TQBR,2014-01-29,0.213,25226000,5385161.5
TQBR,2014-01-30,0.21,11288000,2382536.3
TQBR,2014-01-31,0.21,11534000,2415458.0
TQBR,2014-02-03,0.208,5249000,1091121.6
TQBR,2014-02-04,0.213,10867000,2254516.1
TQBR,2014-02-05,0.2141,441000,94174.5
TQBR,2014-02-06,0.215,1918000,411566.3
TQBR,2014-02-07,0.221,10905000,2395534.6
TQBR,2014-02-10,0.225,6190000,1395919.5
TQBR,2014-02-11,0.2273,2344000,532496.1
TQBR,2014-02-12,0.2265,45471000,10271778.7
TQBR,2014-02-13,0.2277,162832000,36641625.0
TQBR,2014-02-14,0.2318,3950000,910511.0
TQBR,2014-02-17,0.2299,5577000,1292847.0
TQBR,2014-02-18,0.2282,1359000,308603.8
TQBR,2014-02-19,0.2296,16793000,3853223.1
TQBR,2014-02-20,0.23,17955000,4145524.3
TQBR,2014-02-21,0.2327,26523000,6141628.7
TQBR,2014-02-24,0.2389,90234000,21429178.8
TQBR,2014-02-25,0.2414,40805000,9804102.0
TQBR,2014-02-26,0.2419,212218000,50780363.9
TQBR,2014-02-27,0.2378,2717000,650455.2
TQBR,2014-02-28,0.24,17984000,4293719.4
TQBR,2014-03-03,0.218,46854000,10082826.0
TQBR,2014-03-04,0.2261,27038000,5977027.9
TQBR,2014-03-05,0.23,61320000,13716399.1
TQBR,2014-03-06,0.2255,10574000,2385156.7
TQBR,2014-03-07,0.225,1212000,273736.0
TQBR,2014-03-11,0.2211,254259000,56353059.8
TQBR,2014-03-12,0.2164,2567000,555184.4
TQBR,2014-03-13,0.2048,3050000,633470.2
TQBR,2014-03-14,0.2019,2412000,482868.0
TQBR,2014-03-17,0.2088,1741000,363244.7
TQBR,2014-03-18,0.2187,4274000,912665.6
TQBR,2014-03-19,0.213,3087000,666688.6
TQBR,2014-03-20,0.2074,5294000,1099630.1
TQBR,2014-03-21,0.2019,4156000,841148.2
TQBR,2014-03-24,0.2073,2994000,613633.7
TQBR,2014-03-25,0.2067,3195000,658846.7
TQBR,2014-03-26,0.204,8716000,1751860.0
TQBR,2014-03-27,0.2027,8106000,1622416.1
TQBR,2014-03-28,0.202,1969000,396729.7
TQBR,2014-03-31,0.2009,2109000,423405.7
TQBR,2014-04-01,0.1986,17832000,3525828.5
TQBR,2014-04-02,0.194,8729000,1697259.9
TQBR,2014-04-03,0.1923,5027000,967617.5
TQBR,2014-04-04,0.193,3416000,655966.6
TQBR,2014-04-07,0.1927,2050000,392150.3
TQBR,2014-04-08,0.1932,349000,67289.9
TQBR,2014-04-09,0.1927,2642000,514572.3
TQBR,2014-04-10,0.1939,644000,125132.3
TQBR,2014-04-11,0.1947,15961000,3091531.0
TQBR,2014-04-14,0.191,1249000,237509.1
TQBR,2014-04-15,0.1895,561000,106409.6
TQBR,2014-04-16,0.1901,320000,60943.0
TQBR,2014-04-17,0.1945,495000,95952.0
TQBR,2014-04-18,0.1944,2181000,422565.5
TQBR,2014-04-21,0.1956,408000,79688.9
TQBR,2014-04-22,0.195,314000,61198.3
TQBR,2014-04-23,0.1936,1438000,279288.3
TQBR,2014-04-24,0.1887,5674000,1085816.5
