BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,18.06,3600,64773.6
TQBR,2014-06-10,18.16,1220,22045.1
TQBR,2014-06-11,18.02,8040,144551.9
TQBR,2014-06-16,17.82,5930,105793.4
TQBR,2014-06-17,17.44,18980,329685.5
TQBR,2014-06-18,17.33,14730,257090.6
TQBR,2014-06-19,17.81,14570,257412.3
TQBR,2014-06-20,17.42,4620,80785.4
TQBR,2014-06-23,17.17,20160,343276.9
TQBR,2014-06-24,17.42,4760,82213.4
TQBR,2014-06-25,17.27,5400,92531.0
TQBR,2014-06-26,17.23,1870,32114.1
TQBR,2014-06-27,17.27,1300,22386.6
TQBR,2014-06-30,17.31,4140,71732.3
TQBR,2014-07-01,17.35,1490,25829.7
TQBR,2014-07-02,17.14,3320,56763.0
TQBR,2014-07-03,16.73,18030,302160.6
TQBR,2014-07-04,16.87,4370,72898.1
TQBR,2014-07-07,17.41,7930,136908.2
TQBR,2014-07-08,17.35,15470,266280.8
TQBR,2014-07-09,17.3,10350,178666.1
TQBR,2014-07-10,16.52,11720,196097.4
TQBR,2014-07-11,16.39,12530,204901.8
TQBR,2014-07-14,16.41,2590,42227.7
TQBR,2014-07-15,16.33,6750,108851.5
TQBR,2014-07-16,16.24,220,3593.0
TQBR,2014-07-17,15.97,2510,40622.3
TQBR,2014-07-18,15.99,10720,171996.3
TQBR,2014-07-21,15.64,12400,191446.3
TQBR,2014-07-22,15.09,75300,1129375.5
TQBR,2014-07-23,14.89,18810,280548.6
TQBR,2014-07-24,14.88,4730,70500.9
TQBR,2014-07-25,14.8,3890,57180.1
TQBR,2014-07-28,14.75,5870,86135.5
TQBR,2014-07-29,14.83,3050,44665.2
TQBR,2014-07-30,14.51,5120,74703.3
TQBR,2014-07-31,14.7,6350,92969.1
TQBR,2014-08-01,14.6,2620,37870.4
TQBR,2014-08-04,15.19,19100,293212.5
TQBR,2014-08-05,15.25,14930,224307.4
TQBR,2014-08-06,15.15,4950,74210.6
TQBR,2014-08-07,14.7,7190,106787.1
TQBR,2014-08-08,15.0,35590,522984.8
TQBR,2014-08-11,15.13,2210,33448.6
TQBR,2014-08-12,15.13,3630,54488.2
TQBR,2014-08-13,17.16,37730,605896.0
TQBR,2014-08-14,16.81,35430,599396.0
TQBR,2014-08-15,17.11,20600,352045.4
TQBR,2014-08-18,16.82,17060,286377.8
TQBR,2014-08-19,16.66,29430,482421.6
TQBR,2014-08-20,16.14,17370,282860.6
TQBR,2014-08-21,16.24,4580,73906.3
TQBR,2014-08-22,16.11,2860,45934.3
TQBR,2014-08-25,16.1,1210,19485.1
TQBR,2014-08-26,16.06,2260,36236.3
TQBR,2014-08-27,16.16,790,12829.8
TQBR,2014-08-28,16.03,50,795.0
TQBR,2014-08-29,16.25,1340,21410.7
TQBR,2014-09-01,16.35,3920,64411.8
TQBR,2014-09-02,16.5,34420,569043.9
TQBR,2014-09-03,17.15,124650,2143187.5
TQBR,2014-09-04,17.24,18380,320916.8
TQBR,2014-09-05,17.25,570,9831.0
TQBR,2014-09-08,17.26,10200,174890.1
TQBR,2014-09-09,18.3,24720,441557.3
TQBR,2014-09-10,17.8,2810,49918.0
TQBR,2014-09-11,18.29,39390,726119.5
TQBR,2014-09-12,17.91,960,17227.1
TQBR,2014-09-15,17.45,7290,129109.2
TQBR,2014-09-16,17.94,10450,184246.4
TQBR,2014-09-17,17.4,12660,220995.7
TQBR,2014-09-18,17.35,60630,1031158.0
TQBR,2014-09-19,16.98,1970,33388.3
TQBR,2014-09-22,16.62,3610,59772.5
TQBR,2014-09-23,16.5,19250,317874.8
TQBR,2014-09-24,16.61,5470,90241.8
TQBR,2014-09-25,16.2,10400,168269.5
TQBR,2014-09-26,15.5,30370,472660.1
TQBR,2014-09-29,15.0,55610,838147.5
TQBR,2014-09-30,14.79,34090,504919.5
TQBR,2014-10-01,14.8,105260,1599986.0
TQBR,2014-10-02,14.85,3830,57194.0
TQBR,2014-10-03,15.65,44640,682637.0
