BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-09-02,0.11774,6830000,799181.5
TQBR,2013-09-03,0.11525,3370000,388895.8
TQBR,2013-09-04,0.11402,1380000,158592.8
TQBR,2013-09-05,0.1155,12040000,1390494.1
TQBR,2013-09-06,0.115,1500000,172784.3
TQBR,2013-09-09,0.115,230000,26516.7
TQBR,2013-09-10,0.115,4950000,573723.0
TQBR,2013-09-11,0.11489,27420000,3151185.8
TQBR,2013-09-12,0.11232,6880000,778880.7
TQBR,2013-09-13,0.11221,2560000,286915.1
TQBR,2013-09-16,0.10851,21550000,2344587.6
TQBR,2013-09-17,0.105,41740000,4426010.1
TQBR,2013-09-18,0.10196,24020000,2466073.0
TQBR,2013-09-19,0.101,30660000,3092833.5
TQBR,2013-09-20,0.097,28580000,2788431.9
TQBR,2013-09-23,0.09449,19750000,1877973.3
TQBR,2013-09-24,0.092,23680000,2185417.5
TQBR,2013-09-25,0.0885,180200000,15993989.1
TQBR,2013-09-26,0.086,119340000,10269750.8
TQBR,2013-09-27,0.0865,98370000,8321577.0
TQBR,2013-09-30,0.08404,12530000,1067663.4
TQBR,2013-10-01,0.08445,19050000,1575585.4
TQBR,2013-10-02,0.08501,3180000,270699.4
TQBR,2013-10-03,0.085,1420000,120707.1
TQBR,2013-10-04,0.08479,6620000,549994.5
TQBR,2013-10-07,0.083,5190000,433971.2
TQBR,2013-10-08,0.07957,62010000,5000143.9
TQBR,2013-10-09,0.0744,52840000,4109883.1
TQBR,2013-10-10,0.0749,42100000,3133827.5
TQBR,2013-10-11,0.07525,41400000,3113340.6
TQBR,2013-10-14,0.0758,25360000,1916675.7
TQBR,2013-10-15,0.07548,15340000,1155894.9
TQBR,2013-10-16,0.07499,8590000,644712.7
TQBR,2013-10-17,0.0769,15380000,1169457.6
TQBR,2013-10-18,0.07563,48490000,3642395.9
TQBR,2013-10-21,0.076,33560000,2552474.5
TQBR,2013-10-22,0.07791,75260000,5841967.1
TQBR,2013-10-23,0.07697,6850000,528190.8
TQBR,2013-10-24,0.07423,41410000,3186009.9
TQBR,2013-10-25,0.07476,40380000,3044992.1
TQBR,2013-10-28,0.0702,51650000,3696905.4
TQBR,2013-10-29,0.0705,33360000,2309857.2
TQBR,2013-10-30,0.07125,11290000,806686.1
TQBR,2013-10-31,0.07,28490000,1992968.4
TQBR,2013-11-01,0.06981,17090000,1188141.2
TQBR,2013-11-05,0.0695,4730000,329798.8
TQBR,2013-11-06,0.06911,5420000,377813.2
TQBR,2013-11-07,0.0695,4300000,298898.8
TQBR,2013-11-08,0.0689,20800000,1441961.8
TQBR,2013-11-11,0.069,66960000,4621074.7
TQBR,2013-11-12,0.06873,5700000,393329.9
TQBR,2013-11-13,0.06547,19930000,1335390.4
TQBR,2013-11-14,0.06511,13540000,877241.5
TQBR,2013-11-15,0.0628,40760000,2582938.4
TQBR,2013-11-18,0.06219,65420000,4119878.9
TQBR,2013-11-19,0.06089,34310000,2100160.1
TQBR,2013-11-20,0.05877,41440000,2423212.5
TQBR,2013-11-21,0.05888,34610000,2001154.5
TQBR,2013-11-22,0.06095,19650000,1174697.3
TQBR,2013-11-25,0.06,10110000,602836.8
TQBR,2013-11-26,0.059,29410000,1750651.3
