BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.01958,16670000,325841.8
TQBR,2014-06-10,0.01961,11460000,224286.6
TQBR,2014-06-11,0.01964,57440000,1140996.1
TQBR,2014-06-16,0.01969,40840000,805920.5
TQBR,2014-06-17,0.01932,47660000,918843.9
TQBR,2014-06-18,0.019,59790000,1139816.2
TQBR,2014-06-19,0.01893,4000000,75990.0
TQBR,2014-06-20,0.0186,18630000,349407.9
TQBR,2014-06-23,0.01829,23260000,429320.0
TQBR,2014-06-24,0.01845,21800000,400788.1
TQBR,2014-06-25,0.0183,15550000,288334.5
TQBR,2014-06-26,0.0182,19300000,352662.8
TQBR,2014-06-27,0.01857,20790000,381085.4
TQBR,2014-06-30,0.01866,13680000,255367.4
TQBR,2014-07-01,0.01849,27110000,499901.1
TQBR,2014-07-02,0.0189,35470000,665447.1
TQBR,2014-07-03,0.01991,54550000,1065665.4
TQBR,2014-07-04,0.022,261080000,5678427.0
TQBR,2014-07-07,0.02215,55510000,1235345.9
TQBR,2014-07-08,0.02221,68030000,1514568.3
TQBR,2014-07-09,0.02209,26540000,583951.3
TQBR,2014-07-10,0.02195,29270000,637392.8
TQBR,2014-07-11,0.02187,42030000,907230.1
TQBR,2014-07-14,0.02177,28450000,622014.7
TQBR,2014-07-15,0.02187,84010000,1836733.7
TQBR,2014-07-16,0.02201,40440000,894507.6
TQBR,2014-07-17,0.02198,39200000,860717.7
TQBR,2014-07-18,0.02199,84570000,1827503.5
TQBR,2014-07-21,0.02155,7790000,170548.2
TQBR,2014-07-22,0.0216,32170000,694967.5
TQBR,2014-07-23,0.02144,30890000,665687.5
TQBR,2014-07-24,0.02122,28470000,604301.6
TQBR,2014-07-25,0.0207,24980000,516286.5
TQBR,2014-07-28,0.0205,38720000,794984.1
TQBR,2014-07-29,0.02079,23690000,488504.3
TQBR,2014-07-30,0.02099,64800000,1357234.8
TQBR,2014-07-31,0.02111,55030000,1167588.0
TQBR,2014-08-01,0.0225,106130000,2329828.7
TQBR,2014-08-04,0.0229,15730000,361748.8
TQBR,2014-08-05,0.02269,7210000,163076.4
TQBR,2014-08-06,0.02269,76920000,1714578.2
TQBR,2014-08-07,0.0225,19140000,427871.2
TQBR,2014-08-08,0.02269,59480000,1331513.3
TQBR,2014-08-11,0.02339,23760000,557130.3
TQBR,2014-08-12,0.0231,8280000,194750.1
TQBR,2014-08-13,0.02421,31120000,744160.3
TQBR,2014-08-14,0.0236,13550000,319364.6
TQBR,2014-08-15,0.0241,6890000,164500.7
TQBR,2014-08-18,0.024,10280000,244368.2
TQBR,2014-08-19,0.02408,12540000,302468.3
TQBR,2014-08-20,0.02399,8390000,197357.7
TQBR,2014-08-21,0.025,78320000,1924359.7
TQBR,2014-08-22,0.02519,44480000,1116614.6
TQBR,2014-08-25,0.0259,44990000,1162861.3
TQBR,2014-08-26,0.02596,30430000,786550.0
TQBR,2014-08-27,0.0253,43590000,1132495.5
TQBR,2014-08-28,0.02449,38770000,963471.6
TQBR,2014-08-29,0.0247,66310000,1602756.2
TQBR,2014-09-01,0.0244,9070000,218292.3
TQBR,2014-09-02,0.025,17580000,437305.7
TQBR,2014-09-03,0.02518,27860000,701228.3
TQBR,2014-09-04,0.0263,101520000,2560762.0
TQBR,2014-09-05,0.02604,108050000,2901697.1
TQBR,2014-09-08,0.0257,42840000,1096731.9
TQBR,2014-09-09,0.02568,4500000,114020.7
TQBR,2014-09-10,0.02528,13300000,335766.8
TQBR,2014-09-11,0.02527,14140000,354737.3
TQBR,2014-09-12,0.02597,61770000,1590366.9
TQBR,2014-09-15,0.0267,19750000,513659.2
TQBR,2014-09-16,0.0267,100090000,2659042.5
TQBR,2014-09-17,0.02584,16330000,422549.3
TQBR,2014-09-18,0.02555,38650000,984060.4
TQBR,2014-09-19,0.02555,9950000,252527.7
TQBR,2014-09-22,0.02583,970000,24896.9
TQBR,2014-09-23,0.02585,2220000,57154.7
TQBR,2014-09-24,0.026,21180000,544636.7
TQBR,2014-09-25,0.0262,215170000,5683871.5
TQBR,2014-09-26,0.0259,3790000,98193.2
TQBR,2014-09-29,0.02561,9350000,245469.0
TQBR,2014-09-30,0.0245,28440000,699071.6
TQBR,2014-10-01,0.0239,105150000,2487404.5
TQBR,2014-10-02,0.0235,8390000,200002.0
TQBR,2014-10-03,0.02345,1120000,26266.0
TQBR,2014-10-06,0.02345,26490000,622395.5
TQBR,2014-10-07,0.02365,1620000,38210.0
TQBR,2014-10-08,0.0234,8810000,203397.5
TQBR,2014-10-09,0.02375,5730000,134282.0
TQBR,2014-10-10,0.02315,136150000,3114996.0
TQBR,2014-10-13,0.0238,12800000,310427.5
TQBR,2014-10-14,0.0235,98120000,2309424.0
TQBR,2014-10-15,0.0236,23740000,557992.0
TQBR,2014-10-16,0.02365,40480000,951877.0
TQBR,2014-10-17,0.02415,46960000,1129678.0
TQBR,2014-10-20,0.0239,8680000,204457.0
TQBR,2014-10-21,0.02365,1390000,32735.5
TQBR,2014-10-22,0.0237,59110000,1389176.0
TQBR,2014-10-23,0.02365,19070000,446054.0
TQBR,2014-10-24,0.0237,5410000,125469.5
TQBR,2014-10-27,0.024,30810000,736500.0
TQBR,2014-10-28,0.02405,132670000,3184660.0
TQBR,2014-10-29,0.02405,11080000,263023.5
TQBR,2014-10-30,0.02375,33000000,792609.0
TQBR,2014-10-31,0.0238,1380000,32578.0
TQBR,2014-11-03,0.024,4420000,104365.0
TQBR,2014-11-05,0.023,42860000,984542.0
TQBR,2014-11-06,0.02365,72070000,1693507.5
TQBR,2014-11-07,0.02335,2340000,54684.5
TQBR,2014-11-10,0.02335,34980000,817922.0
TQBR,2014-11-11,0.02315,34830000,809916.0
TQBR,2014-11-12,0.02325,2270000,52322.0
TQBR,2014-11-13,0.02315,11840000,272755.0
TQBR,2014-11-14,0.0234,74470000,1768531.5
TQBR,2014-11-17,0.0232,40560000,949332.5
TQBR,2014-11-18,0.02295,1428910000,32864691.0
TQBR,2014-11-19,0.0226,33440000,752932.5
TQBR,2014-11-20,0.0227,31660000,712368.5
TQBR,2014-11-21,0.023,7880000,180149.0
TQBR,2014-11-24,0.02255,10280000,231756.5
TQBR,2014-11-25,0.0228,14090000,319377.0
TQBR,2014-11-26,0.0228,5140000,116384.5
TQBR,2014-11-27,0.0229,22600000,517483.0
TQBR,2014-11-28,0.02285,20010000,446625.0
TQBR,2014-12-01,0.02245,37880000,850609.5
TQBR,2014-12-02,0.02275,5350000,120763.0
TQBR,2014-12-03,0.02265,35180000,792713.0
TQBR,2014-12-04,0.023,26510000,604097.5
TQBR,2014-12-05,0.023,46890000,1070114.5
TQBR,2014-12-08,0.0229,565540000,12714875.5
TQBR,2014-12-09,0.023,38460000,882965.5
TQBR,2014-12-10,0.0233,14970000,347489.5
TQBR,2014-12-11,0.02335,1621440000,37617495.0
TQBR,2014-12-12,0.024,67350000,1590963.5
TQBR,2014-12-15,0.02455,126790000,3129622.0
TQBR,2014-12-16,0.02385,547170000,13550234.0
TQBR,2014-12-17,0.025,10320000,252541.5
TQBR,2014-12-18,0.0253,78320000,1957915.5
TQBR,2014-12-19,0.0265,107600000,2670290.0
TQBR,2014-12-22,0.0268,55100000,1440380.5
TQBR,2014-12-23,0.02685,38690000,1023821.5
TQBR,2014-12-24,0.027,24670000,656860.5
TQBR,2014-12-25,0.0275,64380000,1726832.5
TQBR,2014-12-26,0.0285,61510000,1692647.0
TQBR,2014-12-29,0.03,109680000,3276624.0
TQBR,2014-12-30,0.0279,52150000,1609192.0
TQBR,2015-01-05,0.0271,15150000,414481.0
TQBR,2015-01-06,0.0273,450000,12201.5
TQBR,2015-01-08,0.02745,8200000,223015.5
TQBR,2015-01-09,0.0271,7120000,192858.5
TQBR,2015-01-12,0.0271,1040000,27961.0
TQBR,2015-01-13,0.02645,8030000,211832.5
TQBR,2015-01-14,0.02545,11430000,294433.0
TQBR,2015-01-15,0.02505,13430000,337755.0
TQBR,2015-01-16,0.02475,8010000,199816.5
TQBR,2015-01-19,0.024,19800000,479238.0
TQBR,2015-01-20,0.0256,10350000,255593.0
