BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.02957,1010000,30118.2
TQBR,2014-06-10,0.02948,4110000,121970.8
TQBR,2014-06-11,0.02951,320000,9502.0
TQBR,2014-06-16,0.02862,570000,16340.7
TQBR,2014-06-17,0.028,18890000,529492.4
TQBR,2014-06-18,0.02798,8610000,244294.1
TQBR,2014-06-19,0.02806,18060000,510170.1
TQBR,2014-06-20,0.02827,750000,21141.9
TQBR,2014-06-23,0.0275,2240000,61434.9
TQBR,2014-06-24,0.02742,380000,10562.4
TQBR,2014-06-25,0.02725,14640000,404101.0
TQBR,2014-06-26,0.02722,3570000,97348.4
TQBR,2014-06-27,0.02789,2140000,59400.0
TQBR,2014-06-30,0.028,3610000,100304.1
TQBR,2014-07-01,0.02729,7390000,202530.2
TQBR,2014-07-02,0.02749,2960000,80953.4
TQBR,2014-07-03,0.02797,5620000,155292.7
TQBR,2014-07-04,0.028,3840000,108956.2
TQBR,2014-07-07,0.02826,13080000,376309.2
TQBR,2014-07-08,0.02853,10270000,295425.0
TQBR,2014-07-09,0.0289,2600000,75146.8
TQBR,2014-07-10,0.03,17100000,512995.2
TQBR,2014-07-11,0.02862,1030000,29847.2
TQBR,2014-07-14,0.02983,2160000,63793.9
TQBR,2014-07-15,0.03033,3140000,94465.2
TQBR,2014-07-16,0.03052,12530000,386631.4
TQBR,2014-07-17,0.0306,480000,14867.5
TQBR,2014-07-18,0.0309,4590000,139890.0
TQBR,2014-07-21,0.03004,880000,27399.2
TQBR,2014-07-22,0.0287,14920000,429162.8
TQBR,2014-07-23,0.03,10930000,319390.6
TQBR,2014-07-24,0.02999,340000,10170.5
TQBR,2014-07-25,0.03074,250000,7522.0
TQBR,2014-07-28,0.02851,6450000,193498.6
TQBR,2014-07-29,0.03046,1090000,32732.2
TQBR,2014-07-30,0.0322,18390000,573655.8
TQBR,2014-07-31,0.03156,1800000,57714.8
TQBR,2014-08-01,0.03194,1300000,41116.7
TQBR,2014-08-04,0.03276,4650000,155031.0
TQBR,2014-08-05,0.03375,3410000,114259.4
TQBR,2014-08-06,0.03024,10050000,312900.2
TQBR,2014-08-07,0.032,23310000,729351.3
TQBR,2014-08-08,0.03112,10640000,333549.1
TQBR,2014-08-11,0.0311,2540000,80503.8
TQBR,2014-08-12,0.03137,2780000,88624.5
TQBR,2014-08-13,0.0314,1680000,53381.0
TQBR,2014-08-14,0.0312,5050000,157122.2
TQBR,2014-08-15,0.03178,590000,18615.8
TQBR,2014-08-18,0.03177,5860000,187218.6
TQBR,2014-08-19,0.03182,11650000,371549.2
TQBR,2014-08-20,0.0324,20700000,670680.0
TQBR,2014-08-21,0.032,15480000,512156.8
TQBR,2014-08-22,0.033,1280000,42098.6
TQBR,2014-08-25,0.03389,10000,338.9
TQBR,2014-08-26,0.033,54900000,1811295.0
TQBR,2014-08-27,0.03399,26250000,867675.7
TQBR,2014-08-28,0.03197,1560000,51059.3
TQBR,2014-08-29,0.03093,58120000,1808613.7
TQBR,2014-09-01,0.0311,3830000,121167.6
TQBR,2014-09-02,0.0324,4200000,134454.7
TQBR,2014-09-03,0.032,63440000,1987823.1
TQBR,2014-09-04,0.03291,24830000,823019.8
TQBR,2014-09-05,0.03498,4230000,143883.0
TQBR,2014-09-08,0.03298,34370000,1138186.3
TQBR,2014-09-09,0.03199,213430000,6775121.8
TQBR,2014-09-10,0.03108,71710000,2232343.1
TQBR,2014-09-11,0.031,60080000,1841410.4
TQBR,2014-09-12,0.0315,1160000,36366.3
TQBR,2014-09-15,0.03305,9570000,307477.3
TQBR,2014-09-16,0.032,174550000,5596206.4
TQBR,2014-09-17,0.03051,88290000,2727832.7
TQBR,2014-09-18,0.03028,10380000,317321.2
TQBR,2014-09-19,0.02963,11790000,351132.8
TQBR,2014-09-22,0.0303,4720000,142781.1
TQBR,2014-09-23,0.0295,89070000,2663589.3
TQBR,2014-09-24,0.029,27110000,791459.8
TQBR,2014-09-25,0.0285,123900000,3531384.4
TQBR,2014-09-26,0.02826,20430000,570280.2
TQBR,2014-09-29,0.028,14330000,403373.3
TQBR,2014-09-30,0.02832,1300000,36143.7
TQBR,2014-10-01,0.0277,26790000,741013.0
TQBR,2014-10-02,0.0262,23050000,616411.0
TQBR,2014-10-03,0.0279,25560000,706700.0
TQBR,2014-10-06,0.0287,190000,5453.0
TQBR,2014-10-07,0.0264,74040000,1965832.0
TQBR,2014-10-08,0.0264,20500000,542358.0
TQBR,2014-10-09,0.0259,8750000,228073.0
TQBR,2014-10-10,0.0249,155840000,3894186.0
TQBR,2014-10-13,0.0266,52150000,1391850.0
TQBR,2014-10-14,0.027,14450000,398192.0
TQBR,2014-10-15,0.0263,25710000,677206.0
TQBR,2014-10-16,0.0261,30200000,788183.0
TQBR,2014-10-17,0.0263,20250000,524249.0
TQBR,2014-10-20,0.0274,3600000,98124.0
TQBR,2014-10-21,0.027,260000,6968.0
TQBR,2014-10-22,0.027,1520000,40622.0
TQBR,2014-10-23,0.0265,14980000,390707.0
TQBR,2014-10-24,0.0266,10000,266.0
TQBR,2014-10-27,0.0273,20680000,580147.0
TQBR,2014-10-28,0.0278,250000,6902.0
TQBR,2014-10-29,0.0254,121070000,3054573.0
TQBR,2014-10-30,0.0257,30670000,787408.0
TQBR,2014-10-31,0.0256,75310000,1912276.0
TQBR,2014-11-03,0.0251,78640000,1991239.0
TQBR,2014-11-05,0.025,40450000,1010474.0
TQBR,2014-11-06,0.0255,34980000,895433.0
TQBR,2014-11-07,0.025,31850000,791613.0
TQBR,2014-11-10,0.0251,31600000,790901.0
TQBR,2014-11-11,0.0248,13040000,325316.0
TQBR,2014-11-12,0.026,20290000,509779.0
TQBR,2014-11-13,0.026,10380000,267820.0
TQBR,2014-11-14,0.0274,38150000,1033300.0
TQBR,2014-11-17,0.0266,10720000,288286.0
TQBR,2014-11-18,0.0263,6930000,190179.0
TQBR,2014-11-19,0.0257,1030000,26853.0
TQBR,2014-11-20,0.0264,1430000,36718.0
TQBR,2014-11-21,0.0266,7830000,204774.0
TQBR,2014-11-24,0.0256,1380000,35256.0
TQBR,2014-11-25,0.0256,10880000,268338.0
TQBR,2014-11-26,0.0269,20690000,546144.0
TQBR,2014-11-27,0.0265,1480000,39792.0
TQBR,2014-11-28,0.0258,12610000,325558.0
TQBR,2014-12-01,0.0255,4680000,120147.0
TQBR,2014-12-02,0.025,16030000,403975.0
TQBR,2014-12-03,0.025,12790000,314829.0
TQBR,2014-12-04,0.0246,8290000,209156.0
TQBR,2014-12-05,0.0248,13440000,331851.0
TQBR,2014-12-08,0.024,11100000,272398.0
TQBR,2014-12-09,0.0245,5660000,135778.0
TQBR,2014-12-10,0.0249,80000,1986.0
TQBR,2014-12-11,0.024,5320000,124582.0
TQBR,2014-12-12,0.0235,1860000,44051.0
TQBR,2014-12-15,0.0231,4650000,107801.0
TQBR,2014-12-16,0.022,12910000,270859.0
TQBR,2014-12-17,0.0229,6790000,147692.0
TQBR,2014-12-18,0.0239,4490000,104345.0
TQBR,2014-12-19,0.025,8710000,214871.0
TQBR,2014-12-22,0.0263,7620000,196535.0
TQBR,2014-12-23,0.025,1520000,38209.0
TQBR,2014-12-24,0.0258,23730000,583612.0
TQBR,2014-12-25,0.0244,2930000,71767.0
TQBR,2014-12-26,0.025,3280000,80539.0
TQBR,2014-12-29,0.026,23760000,602034.0
TQBR,2014-12-30,0.0253,29010000,736344.0
TQBR,2015-01-05,0.0252,5850000,147878.0
TQBR,2015-01-06,0.0259,360000,9190.0
TQBR,2015-01-08,0.0269,3700000,95779.0
TQBR,2015-01-09,0.0282,31660000,876694.0
TQBR,2015-01-12,0.0275,18920000,516849.0
TQBR,2015-01-13,0.0266,400000,10820.0
TQBR,2015-01-14,0.0273,770000,20816.0
TQBR,2015-01-15,0.0273,1030000,27918.0
TQBR,2015-01-16,0.0265,6870000,183468.0
TQBR,2015-01-19,0.0257,12620000,327686.0
TQBR,2015-01-20,0.0266,2600000,68188.0
TQBR,2015-01-21,0.0257,25300000,646363.0
TQBR,2015-01-22,0.0266,39410000,1067105.0
TQBR,2015-01-23,0.0261,2230000,57689.0
TQBR,2015-01-26,0.0255,320820000,7883630.0
TQBR,2015-01-27,0.0262,850000,22267.0
TQBR,2015-01-28,0.027,19430000,523326.0
TQBR,2015-01-29,0.0263,1110000,29151.0
TQBR,2015-01-30,0.0264,2810000,72759.0
TQBR,2015-02-02,0.0265,9620000,251684.0
TQBR,2015-02-03,0.0258,1020000,26357.0
TQBR,2015-02-04,0.0269,11210000,286805.0
TQBR,2015-02-05,0.0259,30000,785.0
TQBR,2015-02-06,0.027,3820000,102069.0
TQBR,2015-02-09,0.0268,960000,26488.0
TQBR,2015-02-10,0.0267,4870000,134911.0
TQBR,2015-02-11,0.0276,2150000,56363.0
TQBR,2015-02-12,0.0283,16770000,467160.0
TQBR,2015-02-13,0.0312,83220000,2624525.0
TQBR,2015-02-16,0.0315,53650000,1671485.0
TQBR,2015-02-17,0.0322,54220000,1831985.0
TQBR,2015-02-18,0.0318,890000,28913.0
TQBR,2015-02-19,0.0314,1930000,61966.0
TQBR,2015-02-20,0.0334,43190000,1450102.0
TQBR,2015-02-24,0.0328,1260000,41279.0
TQBR,2015-02-25,0.032,3110000,98938.0
TQBR,2015-02-26,0.0336,23640000,811585.0
TQBR,2015-02-27,0.0341,3380000,118565.0
TQBR,2015-03-02,0.0341,8470000,287987.0
TQBR,2015-03-03,0.0342,13250000,462109.0
TQBR,2015-03-04,0.0364,10180000,367537.0
TQBR,2015-03-05,0.0363,49250000,1863324.0
TQBR,2015-03-06,0.0355,6350000,220075.0
TQBR,2015-03-10,0.0334,3200000,106127.0
TQBR,2015-03-11,0.034,5650000,191752.0
TQBR,2015-03-12,0.0337,1330000,44707.0
TQBR,2015-03-13,0.0325,1220000,41674.0
TQBR,2015-03-16,0.0329,4040000,128831.0
TQBR,2015-03-17,0.032,6270000,199414.0
TQBR,2015-03-18,0.0325,4540000,148845.0
TQBR,2015-03-19,0.0315,880000,28142.0
