BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,,0,0.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,52.2,74060,3882715.9
TQBR,2013-09-03,51.8,50180,2580078.6
TQBR,2013-09-04,52.04,45750,2346179.0
TQBR,2013-09-05,53.53,55900,2978567.1
TQBR,2013-09-06,52.53,66790,3558445.8
TQBR,2013-09-09,53.83,91490,4876112.1
TQBR,2013-09-10,55.7,121550,6756574.5
TQBR,2013-09-11,55.36,125110,6951306.7
TQBR,2013-09-12,55.8,69470,3912149.5
TQBR,2013-09-13,55.12,49490,2717114.9
TQBR,2013-09-16,58.67,266350,15195862.6
TQBR,2013-09-17,56.87,22790,1303099.6
TQBR,2013-09-18,56.66,63340,3622192.3
TQBR,2013-09-19,57.2,90340,5220419.0
TQBR,2013-09-20,57.03,51170,2925788.1
TQBR,2013-09-23,56.07,47840,2694630.1
TQBR,2013-09-24,55.33,74330,4095147.3
TQBR,2013-09-25,55.23,28790,1577186.8
TQBR,2013-09-26,54.99,42900,2359650.6
TQBR,2013-09-27,54.3,30310,1649971.9
TQBR,2013-09-30,53.6,16970,905141.6
TQBR,2013-10-01,54.1,25990,1411863.9
TQBR,2013-10-02,52.85,31660,1684258.5
TQBR,2013-10-03,52.56,77170,4091854.0
TQBR,2013-10-04,52.13,95360,4965360.6
TQBR,2013-10-07,51.87,35130,1833577.5
TQBR,2013-10-08,52.54,106500,5591568.6
TQBR,2013-10-09,52.03,42490,2220430.5
TQBR,2013-10-10,51.9,104210,5444272.5
TQBR,2013-10-11,52.7,163190,8546517.3
TQBR,2013-10-14,52.0,149190,7756013.1
TQBR,2013-10-15,52.0,82710,4305067.0
TQBR,2013-10-16,51.99,117890,6133652.4
TQBR,2013-10-17,51.4,77560,3998750.7
TQBR,2013-10-18,51.26,154280,7890970.4
TQBR,2013-10-21,51.29,68750,3535496.1
TQBR,2013-10-22,50.81,65220,3330076.7
TQBR,2013-10-23,50.0,57550,2889396.7
TQBR,2013-10-24,50.23,94020,4703187.6
TQBR,2013-10-25,49.43,73990,3650431.6
TQBR,2013-10-28,49.45,14550,720143.2
TQBR,2013-10-29,49.08,266600,13071652.6
TQBR,2013-10-30,48.99,222600,10905931.3
TQBR,2013-10-31,48.93,47210,2286878.2
TQBR,2013-11-01,47.99,62800,3018576.7
TQBR,2013-11-05,47.54,104250,5028231.7
TQBR,2013-11-06,47.37,276980,13030762.3
TQBR,2013-11-07,47.45,107190,5029957.0
TQBR,2013-11-08,46.05,91160,4205684.0
TQBR,2013-11-11,46.1,19610,907610.4
TQBR,2013-11-12,45.3,45750,2075754.8
TQBR,2013-11-13,34.75,387840,14910541.5
TQBR,2013-11-14,37.54,623770,23319721.0
TQBR,2013-11-15,39.51,270900,10583592.9
TQBR,2013-11-18,41.0,178760,7218028.5
TQBR,2013-11-19,41.15,106270,4355845.8
