BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,22.0,68000,1505378.8
TQBR,2014-06-10,21.969,81200,1748604.0
TQBR,2014-06-11,22.101,49400,1075208.5
TQBR,2014-06-16,22.168,2800,61460.4
TQBR,2014-06-17,22.001,16000,351681.0
TQBR,2014-06-18,22.747,16300,370779.0
TQBR,2014-06-19,22.46,6300,143925.5
TQBR,2014-06-20,22.611,17100,391462.1
TQBR,2014-06-23,21.992,1700,37695.1
TQBR,2014-06-24,22.737,30400,674138.0
TQBR,2014-06-25,22.1,54900,1213812.9
TQBR,2014-06-26,21.516,25500,556373.2
TQBR,2014-06-27,22.0,3700,81264.3
TQBR,2014-06-30,21.999,100,2199.9
TQBR,2014-07-01,21.862,18400,396452.2
TQBR,2014-07-02,21.5,25900,557201.7
TQBR,2014-07-03,21.6,8600,184758.8
TQBR,2014-07-04,21.562,2300,49880.7
TQBR,2014-07-07,21.699,4100,89862.9
TQBR,2014-07-08,22.097,200,4415.7
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,22.0,600,13200.0
TQBR,2014-07-11,21.5,3200,68792.5
TQBR,2014-07-14,21.004,48900,1027992.2
TQBR,2014-07-15,21.342,1700,35902.1
TQBR,2014-07-16,21.8,55400,1214449.7
TQBR,2014-07-17,21.519,300,6455.8
TQBR,2014-07-18,21.3,1100,23292.0
TQBR,2014-07-21,20.85,1500,31493.3
TQBR,2014-07-22,21.0,18300,383129.9
TQBR,2014-07-23,20.706,400,8282.6
TQBR,2014-07-24,21.1,131500,2803590.5
TQBR,2014-07-25,21.0,23700,500709.0
TQBR,2014-07-28,21.151,500,10575.5
TQBR,2014-07-29,21.54,1900,39915.1
TQBR,2014-07-30,21.69,4500,95022.4
TQBR,2014-07-31,21.239,1000,21064.1
TQBR,2014-08-01,21.199,1200,25379.8
TQBR,2014-08-04,20.6,3500,72638.4
TQBR,2014-08-05,20.592,10400,216309.8
TQBR,2014-08-06,20.5,700,14350.0
TQBR,2014-08-07,20.252,125800,2672545.8
TQBR,2014-08-08,20.782,800,16520.3
TQBR,2014-08-11,20.301,2100,42889.4
TQBR,2014-08-12,20.898,5500,114882.3
TQBR,2014-08-13,20.75,17000,362025.7
TQBR,2014-08-14,21.3,6500,136808.5
TQBR,2014-08-15,21.45,5500,116124.5
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,20.761,50600,1048353.2
TQBR,2014-08-20,20.747,1100,22872.3
TQBR,2014-08-21,20.712,400,8293.6
TQBR,2014-08-22,20.3,19900,405099.0
TQBR,2014-08-25,20.499,10800,221497.6
TQBR,2014-08-26,20.525,5000,101906.3
TQBR,2014-08-27,20.5,1700,34581.6
TQBR,2014-08-28,20.6,223400,4554275.9
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,20.522,8200,174289.9
TQBR,2014-09-02,20.514,300,6054.2
TQBR,2014-09-03,20.6,400,8282.2
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,20.587,200,4117.4
TQBR,2014-09-08,20.404,16100,334820.4
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,20.444,2300,47133.3
TQBR,2014-09-11,20.251,19900,403112.0
TQBR,2014-09-12,20.284,26900,544759.0
TQBR,2014-09-15,20.5,700,14355.7
TQBR,2014-09-16,20.3,900,18343.4
TQBR,2014-09-17,20.296,25600,529768.8
TQBR,2014-09-18,20.718,200,4143.6
TQBR,2014-09-19,20.252,5000,101327.6
TQBR,2014-09-22,20.2,400,8080.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,20.408,6300,127341.8
TQBR,2014-09-29,20.551,24800,516959.5
TQBR,2014-09-30,21.0,40000,835990.7
TQBR,2014-10-01,20.2,7500,151800.0
TQBR,2014-10-02,20.15,14400,291840.0
TQBR,2014-10-03,19.9,11300,225860.0
TQBR,2014-10-06,20.3,19000,384755.0
TQBR,2014-10-07,20.25,6800,137700.0
TQBR,2014-10-08,20.25,23800,481950.0
TQBR,2014-10-09,20.0,25500,506320.0
TQBR,2014-10-10,20.0,10300,205445.0
TQBR,2014-10-13,20.0,3900,78005.0
TQBR,2014-10-14,19.55,5000,98405.0
TQBR,2014-10-15,20.05,18400,367770.0
TQBR,2014-10-16,19.45,25100,487090.0
TQBR,2014-10-17,19.7,5500,108125.0
TQBR,2014-10-20,20.0,17900,355775.0
TQBR,2014-10-21,20.0,700,13950.0
TQBR,2014-10-22,20.05,900,18105.0
TQBR,2014-10-23,20.15,900,18135.0
TQBR,2014-10-24,20.0,74400,1458305.0
TQBR,2014-10-27,20.85,36400,743330.0
TQBR,2014-10-28,20.4,5900,121950.0
TQBR,2014-10-29,20.5,4500,90220.0
TQBR,2014-10-30,20.55,100,2055.0
TQBR,2014-10-31,20.7,1400,28970.0
TQBR,2014-11-03,,0,0.0
TQBR,2014-11-05,20.8,1900,39245.0
TQBR,2014-11-06,21.0,3400,71060.0
TQBR,2014-11-07,21.55,300,6350.0
TQBR,2014-11-10,21.7,169800,3700740.0
TQBR,2014-11-11,21.5,29100,610860.0
TQBR,2014-11-12,21.4,16000,344015.0
TQBR,2014-11-13,21.05,46000,968700.0
TQBR,2014-11-14,21.05,15900,336485.0
TQBR,2014-11-17,21.55,51900,1120490.0
TQBR,2014-11-18,21.6,25400,551435.0
TQBR,2014-11-19,21.85,49800,1086540.0
TQBR,2014-11-20,22.2,19700,441185.0
TQBR,2014-11-21,22.2,1600,35710.0
TQBR,2014-11-24,22.1,15200,333415.0
TQBR,2014-11-25,22.35,4200,93725.0
TQBR,2014-11-26,22.25,28300,622755.0
TQBR,2014-11-27,22.15,100,2215.0
TQBR,2014-11-28,22.05,34500,759050.0
TQBR,2014-12-01,22.3,31200,696600.0
TQBR,2014-12-02,22.3,10300,226210.0
TQBR,2014-12-03,22.85,47600,1079505.0
TQBR,2014-12-04,22.25,100,2225.0
TQBR,2014-12-05,21.85,25700,565220.0
TQBR,2014-12-08,21.8,10900,227720.0
TQBR,2014-12-09,22.25,18100,396235.0
TQBR,2014-12-10,21.8,9500,205720.0
TQBR,2014-12-11,21.6,300,6480.0
TQBR,2014-12-12,21.95,3400,73650.0
TQBR,2014-12-15,21.65,8700,187550.0
TQBR,2014-12-16,20.0,60400,1267640.0
TQBR,2014-12-17,21.25,11800,258035.0
TQBR,2014-12-18,21.55,600,13190.0
TQBR,2014-12-19,22.2,59000,1303435.0
TQBR,2014-12-22,21.45,13000,273940.0
TQBR,2014-12-23,21.4,21800,465055.0
TQBR,2014-12-24,21.85,3100,65540.0
TQBR,2014-12-25,20.45,4000,86105.0
TQBR,2014-12-26,21.25,18100,383180.0
TQBR,2014-12-29,21.6,15600,334515.0
TQBR,2014-12-30,20.9,57500,1204965.0
TQBR,2015-01-05,,0,0.0
TQBR,2015-01-06,21.65,700,14900.0
TQBR,2015-01-08,21.45,19600,412055.0
TQBR,2015-01-09,21.1,600,12530.0
TQBR,2015-01-12,21.0,1500,31655.0
TQBR,2015-01-13,21.0,13100,274850.0
TQBR,2015-01-14,21.45,13700,293795.0
TQBR,2015-01-15,21.6,16500,356345.0
TQBR,2015-01-16,21.9,15200,334210.0
TQBR,2015-01-19,22.05,20400,451850.0
TQBR,2015-01-20,22.4,63100,1412910.0
TQBR,2015-01-21,22.55,23900,531390.0
TQBR,2015-01-22,22.45,22800,510525.0
TQBR,2015-01-23,23.5,186800,4342600.0
TQBR,2015-01-26,23.4,36100,844375.0
TQBR,2015-01-27,24.95,45400,1127040.0
TQBR,2015-01-28,25.0,50100,1249960.0
TQBR,2015-01-29,25.4,46200,1161570.0
TQBR,2015-01-30,30.0,70400,2026705.0
TQBR,2015-02-02,26.85,47800,1364820.0
TQBR,2015-02-03,28.6,63900,1809275.0
TQBR,2015-02-04,29.0,372400,10797705.0
TQBR,2015-02-05,28.5,62400,1760940.0
TQBR,2015-02-06,28.25,21200,606210.0
TQBR,2015-02-09,29.0,15700,444150.0
