BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,15.031,70400,1052332.4
TQBR,2014-06-10,15.0,21900,327546.7
TQBR,2014-06-11,15.0,42200,633778.5
TQBR,2014-06-16,15.138,67100,1009594.9
TQBR,2014-06-17,14.956,53600,804306.0
TQBR,2014-06-18,15.015,52200,782228.5
TQBR,2014-06-19,15.048,57600,865119.1
TQBR,2014-06-20,14.903,55000,825124.2
TQBR,2014-06-23,14.9,25700,382498.3
TQBR,2014-06-24,14.903,41200,613740.6
TQBR,2014-06-25,14.903,51500,767236.9
TQBR,2014-06-26,14.72,100700,1492029.0
TQBR,2014-06-27,14.668,31700,466416.7
TQBR,2014-06-30,14.499,67400,981259.8
TQBR,2014-07-01,14.65,88100,1271723.3
TQBR,2014-07-02,14.73,58200,854536.2
TQBR,2014-07-03,14.7,26000,383590.9
TQBR,2014-07-04,14.6,95200,1390622.1
TQBR,2014-07-07,14.698,27000,394332.1
TQBR,2014-07-08,14.767,8000,117723.0
TQBR,2014-07-09,14.599,90700,1324781.1
TQBR,2014-07-10,14.6,13100,191238.9
TQBR,2014-07-11,14.6,25400,370311.5
TQBR,2014-07-14,14.7,28500,419986.4
TQBR,2014-07-15,14.72,10100,149346.4
TQBR,2014-07-16,14.683,54300,802880.3
TQBR,2014-07-17,14.699,41300,606540.2
TQBR,2014-07-18,14.59,38100,557920.0
TQBR,2014-07-21,14.574,39400,572289.1
TQBR,2014-07-22,14.588,31600,459584.5
TQBR,2014-07-23,14.541,43300,627899.1
TQBR,2014-07-24,14.894,415500,6090194.6
TQBR,2014-07-25,14.659,33800,496683.6
TQBR,2014-07-28,14.493,26500,385643.9
TQBR,2014-07-29,14.588,33900,488435.0
TQBR,2014-07-30,14.5,20900,303819.4
TQBR,2014-07-31,14.43,38800,559553.9
TQBR,2014-08-01,14.2,169100,2405023.7
TQBR,2014-08-04,14.248,154500,2199480.0
TQBR,2014-08-05,14.23,81200,1150591.2
TQBR,2014-08-06,14.14,35800,506920.2
TQBR,2014-08-07,13.999,102900,1438357.6
TQBR,2014-08-08,13.999,29800,416181.1
TQBR,2014-08-11,14.045,52300,734119.3
TQBR,2014-08-12,14.295,43800,619967.0
TQBR,2014-08-13,14.276,29000,409742.9
TQBR,2014-08-14,14.19,43400,612658.0
TQBR,2014-08-15,14.32,48000,687471.4
TQBR,2014-08-18,14.32,135800,1946831.9
TQBR,2014-08-19,14.3,17000,243298.4
TQBR,2014-08-20,14.507,24700,356203.3
TQBR,2014-08-21,14.574,73700,1062155.8
TQBR,2014-08-22,14.369,2300,33018.4
TQBR,2014-08-25,14.35,14800,212424.4
TQBR,2014-08-26,14.428,72100,1028867.8
TQBR,2014-08-27,14.157,254700,3577307.6
TQBR,2014-08-28,14.069,79200,1110964.4
