BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,2.26,995000,2234452.3
TQBR,2014-06-10,2.216,269000,598071.9
TQBR,2014-06-11,2.2301,497000,1109973.7
TQBR,2014-06-16,2.3299,2702000,6334090.0
TQBR,2014-06-17,2.42,1723000,4087074.8
TQBR,2014-06-18,2.36,901000,2137231.1
TQBR,2014-06-19,2.31,549000,1278556.2
TQBR,2014-06-20,2.15,2387000,5446262.7
TQBR,2014-06-23,2.2002,1312000,2882730.2
TQBR,2014-06-24,2.2222,279000,618844.7
TQBR,2014-06-25,2.1857,230000,507664.3
TQBR,2014-06-26,2.205,277000,611656.4
TQBR,2014-06-27,2.1909,432000,951631.8
TQBR,2014-06-30,2.2078,102000,223956.4
TQBR,2014-07-01,2.1952,1000,2195.2
TQBR,2014-07-02,2.2395,222000,492592.5
TQBR,2014-07-03,2.2551,174000,392248.4
TQBR,2014-07-04,2.2493,299000,671911.9
TQBR,2014-07-07,2.2501,267000,600886.0
TQBR,2014-07-08,2.26,351000,793090.9
TQBR,2014-07-09,2.2889,813000,1860833.6
TQBR,2014-07-10,2.2904,285000,641806.8
TQBR,2014-07-11,2.241,277000,626056.4
TQBR,2014-07-14,2.22,408000,915360.7
TQBR,2014-07-15,2.218,237000,525035.8
TQBR,2014-07-16,2.195,267000,586925.4
TQBR,2014-07-17,2.2,135000,296563.0
TQBR,2014-07-18,2.1856,31000,67890.6
TQBR,2014-07-21,2.1599,382000,828014.4
TQBR,2014-07-22,2.1348,173000,372875.2
TQBR,2014-07-23,2.0938,383000,804445.6
TQBR,2014-07-24,2.1,122000,258088.5
TQBR,2014-07-25,2.104,194000,410855.4
TQBR,2014-07-28,2.0805,147000,306196.0
TQBR,2014-07-29,2.073,57000,118745.3
TQBR,2014-07-30,2.0801,58000,121231.5
TQBR,2014-07-31,2.1001,179000,376814.4
TQBR,2014-08-01,2.0988,95000,199521.1
TQBR,2014-08-04,2.0975,200000,419635.8
TQBR,2014-08-05,2.081,305000,636533.3
TQBR,2014-08-06,2.0599,543000,1117868.0
TQBR,2014-08-07,2.01,345000,697682.8
TQBR,2014-08-08,2.0449,375000,750196.9
TQBR,2014-08-11,2.048,374000,762123.1
TQBR,2014-08-12,2.0259,98000,198805.5
TQBR,2014-08-13,2.0402,88000,179483.0
TQBR,2014-08-14,2.0447,71000,144814.9
TQBR,2014-08-15,2.0589,291000,595705.3
TQBR,2014-08-18,2.0523,58000,118823.8
TQBR,2014-08-19,2.0439,49000,100530.6
TQBR,2014-08-20,2.051,83000,170020.1
TQBR,2014-08-21,2.0757,1300000,2704912.8
TQBR,2014-08-22,2.0612,439000,905271.5
TQBR,2014-08-25,2.0799,101000,210340.9
TQBR,2014-08-26,2.033,160000,329421.0
TQBR,2014-08-27,2.05,177000,362187.8
TQBR,2014-08-28,2.0198,380000,763042.6
TQBR,2014-08-29,2.0012,67000,134124.4
TQBR,2014-09-01,2.009,209000,421057.9
TQBR,2014-09-02,2.054,169000,344330.0
TQBR,2014-09-03,2.06,269000,554149.8
TQBR,2014-09-04,2.0552,319000,657665.3
TQBR,2014-09-05,2.0375,105000,214765.0
TQBR,2014-09-08,2.0299,46000,93237.1
TQBR,2014-09-09,2.0364,153000,311735.7
TQBR,2014-09-10,2.006,725000,1455371.9
TQBR,2014-09-11,1.9802,1322000,2624198.8
TQBR,2014-09-12,1.9801,499000,992772.5
TQBR,2014-09-15,1.9252,665000,1285711.0
TQBR,2014-09-16,1.91,803000,1544192.6
TQBR,2014-09-17,1.89,353000,664837.0
TQBR,2014-09-18,1.907,173000,330138.4
TQBR,2014-09-19,1.87,753000,1405379.0
TQBR,2014-09-22,1.8088,594000,1086514.3
TQBR,2014-09-23,1.8178,305000,551614.1
TQBR,2014-09-24,1.78,1206000,2173016.2
TQBR,2014-09-25,1.739,1323000,2307607.0
TQBR,2014-09-26,1.6811,1055000,1782035.0
TQBR,2014-09-29,1.63,3746000,6176282.1
