BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-11-24,3033.0,1751752,5341049182.0
TQBR,2020-11-25,2954.0,1285058,3953155589.5
TQBR,2020-11-26,2944.0,194320,572433740.5
TQBR,2020-11-27,3025.0,336314,1003868840.0
TQBR,2020-11-30,3071.0,210260,638771333.5
TQBR,2020-12-01,3059.5,150540,456113989.0
TQBR,2020-12-02,3184.0,264443,817860239.0
TQBR,2020-12-03,3614.5,914180,3079827060.5
TQBR,2020-12-04,3556.0,1103055,4073658159.5
TQBR,2020-12-07,3422.0,404941,1424032738.0
TQBR,2020-12-08,3471.0,320213,1083920285.5
TQBR,2020-12-09,3301.0,450862,1559692954.0
TQBR,2020-12-10,3294.0,230675,766095157.5
TQBR,2020-12-11,3164.5,249633,803140786.0
TQBR,2020-12-14,3069.0,315680,982201022.0
TQBR,2020-12-15,3201.0,186180,582754181.0
TQBR,2020-12-16,3357.0,270373,882847818.0
TQBR,2020-12-17,3211.5,248005,813076723.0
TQBR,2020-12-18,3264.5,275422,884205645.5
TQBR,2020-12-21,3264.0,335810,1099427932.0
TQBR,2020-12-22,3231.0,424456,1400228584.5
TQBR,2020-12-23,3222.0,318660,1020979232.5
TQBR,2020-12-24,3149.0,193821,612632842.5
TQBR,2020-12-25,3150.5,44910,141266914.5
TQBR,2020-12-28,3290.0,276042,891595632.0
TQBR,2020-12-29,3232.0,208916,678256992.5
TQBR,2020-12-30,3289.5,220590,729720530.5
TQBR,2021-01-04,3229.5,363380,1166306586.5
TQBR,2021-01-05,3348.5,281386,928013909.5
TQBR,2021-01-06,3257.0,156698,516032591.5
TQBR,2021-01-08,3376.5,414915,1409718019.0
TQBR,2021-01-11,3382.0,143916,485323377.5
TQBR,2021-01-12,3530.5,316288,1100397324.5
TQBR,2021-01-13,3491.0,192042,676384499.0
TQBR,2021-01-14,3636.5,286347,1024743643.0
TQBR,2021-01-15,3805.5,423632,1560848796.5
TQBR,2021-01-18,3795.0,126271,478183396.0
TQBR,2021-01-19,3972.0,526867,2080726861.0
TQBR,2021-01-20,4001.0,461149,1882502174.5
TQBR,2021-01-21,4057.0,416744,1690225847.0
TQBR,2021-01-22,3980.0,472816,1912167638.0
TQBR,2021-01-25,4014.5,367099,1489316365.0
TQBR,2021-01-26,3901.0,271878,1083425996.5
TQBR,2021-01-27,3560.5,639444,2385881532.0
TQBR,2021-01-28,3846.0,596055,2203732225.0
TQBR,2021-01-29,3662.0,322851,1214172185.5
TQBR,2021-02-01,3867.5,267601,1018138512.5
TQBR,2021-02-02,4016.0,343341,1364621657.0
TQBR,2021-02-03,4023.0,183970,739919461.0
TQBR,2021-02-04,4185.5,336131,1377577284.5
TQBR,2021-02-05,4650.0,562715,2488978302.0
TQBR,2021-02-08,4969.0,866315,4210273786.5
TQBR,2021-02-09,4665.0,741529,3680398845.0
TQBR,2021-02-10,4883.0,586491,2839750297.0
TQBR,2021-02-11,4726.5,283344,1363191312.0
TQBR,2021-02-12,4753.0,305281,1430774949.5
TQBR,2021-02-15,4739.0,229898,1093956976.0
TQBR,2021-02-16,4765.0,318557,1510988067.0
TQBR,2021-02-17,4420.0,1180629,5417302961.5
TQBR,2021-02-18,4573.5,721095,3300535809.0
TQBR,2021-02-19,4884.5,468481,2211346965.5
TQBR,2021-02-20,4864.0,90264,438382237.5
TQBR,2021-02-22,4938.0,306439,1498566175.5
TQBR,2021-02-24,4557.5,515119,2400164610.0
TQBR,2021-02-25,4330.0,439450,1965557463.5
TQBR,2021-02-26,4480.0,408891,1773672761.0
TQBR,2021-03-01,4703.5,238493,1095941234.0
TQBR,2021-03-02,4602.0,307563,1449836481.5
TQBR,2021-03-03,4490.5,336771,1551211860.5
TQBR,2021-03-04,4226.5,536341,2307684213.5
TQBR,2021-03-05,4073.0,568563,2336345861.0
TQBR,2021-03-09,3831.0,678227,2613397162.5
TQBR,2021-03-10,3844.0,583088,2276502237.5
TQBR,2021-03-11,4064.0,360453,1431931222.5
TQBR,2021-03-12,4114.0,524088,2130210030.5
TQBR,2021-03-15,4201.0,356891,1504025055.0
TQBR,2021-03-16,4147.5,283888,1189887751.0
TQBR,2021-03-17,4170.0,284018,1160977877.0
TQBR,2021-03-18,4179.0,449840,1893679304.0
TQBR,2021-03-19,4217.0,271908,1145631649.5
TQBR,2021-03-22,4175.0,144871,609125542.0
TQBR,2021-03-23,4086.0,212786,877324796.0
TQBR,2021-03-24,3953.0,305946,1235811685.5
TQBR,2021-03-25,3955.0,365521,1433591413.5
TQBR,2021-03-26,3958.0,271163,1071465345.0
TQBR,2021-03-29,4006.0,282954,1133436971.0
TQBR,2021-03-30,4011.0,438463,1763819594.5
TQBR,2021-03-31,4235.0,477861,1991897742.5
TQBR,2021-04-01,4435.0,524644,2299213793.0
TQBR,2021-04-02,4387.5,53645,235472987.0
TQBR,2021-04-05,4395.0,166495,729361730.5
TQBR,2021-04-06,4474.0,326958,1441088589.5
TQBR,2021-04-07,4567.0,388463,1761425536.5
TQBR,2021-04-08,4490.0,162947,740434099.0
TQBR,2021-04-09,4650.5,349945,1609369251.0
TQBR,2021-04-12,4724.0,295830,1403905679.5
TQBR,2021-04-13,4739.0,300355,1436857893.5
TQBR,2021-04-14,4751.0,278879,1314481264.0
TQBR,2021-04-15,4730.5,300871,1411668918.0
TQBR,2021-04-16,4760.0,159474,756363713.5
TQBR,2021-04-19,4659.0,214259,996847581.0
TQBR,2021-04-20,4605.0,199317,911469631.0
TQBR,2021-04-21,4671.0,168242,774662151.5
TQBR,2021-04-22,4702.0,263369,1247026274.0
TQBR,2021-04-23,4860.0,270616,1307196241.5
TQBR,2021-04-26,4979.0,255785,1273242272.0
TQBR,2021-04-27,4902.0,269327,1338744356.5
TQBR,2021-04-28,4807.0,161680,780597340.5
TQBR,2021-04-29,4671.0,161453,763228953.5
TQBR,2021-04-30,4669.5,134791,626466207.5
TQBR,2021-05-04,4522.0,368013,1675729346.0
TQBR,2021-05-05,4444.0,434188,1959888863.5
TQBR,2021-05-06,4397.0,377064,1661415519.0
TQBR,2021-05-07,4282.5,457950,2002940251.5
TQBR,2021-05-10,4019.5,733635,3029398082.5
TQBR,2021-05-11,4197.0,694200,2818128911.0
TQBR,2021-05-12,4080.0,1105502,4648718065.5
TQBR,2021-05-13,4011.0,615389,2478239953.5
TQBR,2021-05-14,4136.0,395967,1613162535.0
TQBR,2021-05-17,4015.5,645779,2611024248.5
TQBR,2021-05-18,3720.0,1163623,4572720237.5
TQBR,2021-05-19,3941.0,1489902,5707571877.0
TQBR,2021-05-20,4017.0,505126,2011872470.0
TQBR,2021-05-21,4051.5,525456,2154278053.5
TQBR,2021-05-24,4198.0,611204,2532864546.0
TQBR,2021-05-25,4033.5,762912,3154115735.0
TQBR,2021-05-26,4038.0,613532,2492514007.5
TQBR,2021-05-27,3871.5,4133553,15951057922.5
TQBR,2021-05-28,3893.0,610275,2379123501.5
TQBR,2021-05-31,3936.0,130189,511678887.0
TQBR,2021-06-01,3958.5,422861,1657108710.5
TQBR,2021-06-02,4038.0,439756,1750486706.0
TQBR,2021-06-03,3979.5,459063,1826578770.5
TQBR,2021-06-04,4043.0,406676,1634042004.0
TQBR,2021-06-07,4061.0,266783,1078400558.5
TQBR,2021-06-08,4153.0,496133,2044989640.5
TQBR,2021-06-09,4148.0,290639,1210582849.5
TQBR,2021-06-10,4158.0,217813,902160287.5
TQBR,2021-06-11,4134.5,133811,555202063.0
TQBR,2021-06-14,4153.5,153606,635137329.5
TQBR,2021-06-15,4061.0,228095,933775681.0
TQBR,2021-06-16,4129.0,183814,752732664.5
TQBR,2021-06-17,4160.5,255560,1055731379.5
TQBR,2021-06-18,4230.0,416141,1750089119.0
TQBR,2021-06-21,4232.5,183073,776541486.0
TQBR,2021-06-22,4260.5,139211,590979266.5
