BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-10-17,33.0,29570510,1008247925.1
TQBR,2024-10-18,33.6,15591410,531683012.4
TQBR,2024-10-21,33.99,4386360,147079641.4
TQBR,2024-10-22,33.81,2620110,88452527.1
TQBR,2024-10-23,33.17,2963280,98817471.7
TQBR,2024-10-24,33.07,1501020,49634494.9
TQBR,2024-10-25,31.11,5018120,160323614.6
TQBR,2024-10-28,29.63,2177490,66210998.9
TQBR,2024-10-29,30.22,1909330,56292520.6
TQBR,2024-10-30,30.25,773870,23490689.8
TQBR,2024-10-31,29.7,1564880,46450253.3
TQBR,2024-11-01,29.62,852540,25279621.3
TQBR,2024-11-02,29.5,1026030,30285968.7
TQBR,2024-11-05,29.5,663620,19512857.4
TQBR,2024-11-06,29.38,1403830,41530363.0
TQBR,2024-11-07,29.23,1357320,39715829.0
TQBR,2024-11-08,30.33,1220360,36091357.6
TQBR,2024-11-11,31.08,1630060,50466268.5
TQBR,2024-11-12,30.48,541470,16634425.8
TQBR,2024-11-13,30.27,515790,15755690.7
TQBR,2024-11-14,29.7,600830,18020013.8
TQBR,2024-11-15,29.67,371970,11119577.5
TQBR,2024-11-18,29.19,750510,22181295.5
TQBR,2024-11-19,28.91,1353330,39657379.3
TQBR,2024-11-20,28.4,3036930,89803474.1
TQBR,2024-11-21,28.09,1789250,50606476.7
TQBR,2024-11-22,28.28,834710,23726223.6
TQBR,2024-11-25,27.64,1610290,44657630.5
TQBR,2024-11-26,26.29,2275780,60745454.6
TQBR,2024-11-27,26.21,1876160,49711267.6
TQBR,2024-11-28,26.69,1144990,30464760.6
TQBR,2024-11-29,27.4,871220,23740691.5
TQBR,2024-12-02,28.43,1281240,36204970.3
TQBR,2024-12-03,28.23,1339770,37762424.8
TQBR,2024-12-04,28.9,1530960,44541286.3
TQBR,2024-12-05,31.29,5525560,171915144.2
TQBR,2024-12-06,32.1,8658770,283350054.4
TQBR,2024-12-09,32.11,1855680,59386260.1
TQBR,2024-12-10,30.48,1937430,59301450.8
TQBR,2024-12-11,31.04,1456540,45748368.4
TQBR,2024-12-12,31.2,3432570,111442630.5
TQBR,2024-12-13,31.0,923880,28735826.6
TQBR,2024-12-16,29.99,2302880,71906177.7
TQBR,2024-12-17,30.0,1164200,35046717.7
TQBR,2024-12-18,30.35,1377990,41675065.9
TQBR,2024-12-19,31.2,1562800,48480948.7
TQBR,2024-12-20,32.9,2726850,88358519.7
TQBR,2024-12-23,33.12,2744980,91118453.3
TQBR,2024-12-24,33.18,1361040,45356195.2
TQBR,2024-12-25,33.24,1409270,46895711.1
TQBR,2024-12-26,34.81,4906980,168695901.9
TQBR,2024-12-27,34.51,1987950,69028793.3
TQBR,2024-12-28,34.9,1612040,55560785.9
TQBR,2024-12-30,41.47,20023140,815644015.5
TQBR,2025-01-03,48.0,40311850,1934766867.4
TQBR,2025-01-06,52.29,29551340,1541469645.0
TQBR,2025-01-08,50.25,21859310,1133972864.0
TQBR,2025-01-09,42.0,19253940,852873974.6
TQBR,2025-01-10,43.12,18787640,826641252.4
TQBR,2025-01-13,42.26,9838320,419346061.4
TQBR,2025-01-14,42.57,7682710,330346818.3
TQBR,2025-01-15,42.03,4691690,198053474.1
TQBR,2025-01-16,42.02,5439490,230115529.6
TQBR,2025-01-17,40.78,7161010,295786878.1
TQBR,2025-01-20,39.63,8973310,362984828.1
TQBR,2025-01-21,39.9,2225460,88157715.0
