BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,623.9,2,1247.8
TQBR,2013-08-15,1371.8,30,29902.5
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,,0,0.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,929.9,4587,4259262.1
TQBR,2013-09-03,928.0,17285,16048916.4
TQBR,2013-09-04,937.7,10996,10247843.0
TQBR,2013-09-05,946.8,4909,4618845.7
TQBR,2013-09-06,944.9,10736,10113059.8
TQBR,2013-09-09,932.0,11373,10719338.2
TQBR,2013-09-10,951.0,7878,7462486.9
TQBR,2013-09-11,938.5,7706,7234452.3
TQBR,2013-09-12,935.3,5304,4946886.3
TQBR,2013-09-13,949.0,8824,8386104.0
TQBR,2013-09-16,976.9,23038,22322617.7
TQBR,2013-09-17,962.0,11383,11021389.0
TQBR,2013-09-18,955.0,8940,8660325.4
TQBR,2013-09-19,957.9,12639,12265603.5
TQBR,2013-09-20,965.0,7945,7660577.7
TQBR,2013-09-23,944.8,4557,4349327.6
TQBR,2013-09-24,957.5,7192,6790892.3
TQBR,2013-09-25,955.2,3863,3668375.3
TQBR,2013-09-26,976.3,9472,9163423.1
TQBR,2013-09-27,976.7,17451,16923459.2
TQBR,2013-09-30,969.3,3953,3842550.8
TQBR,2013-10-01,988.9,3622,3562743.2
TQBR,2013-10-02,966.0,9962,9739137.0
TQBR,2013-10-03,964.0,8087,7837593.3
TQBR,2013-10-04,977.6,4240,4110684.2
TQBR,2013-10-07,967.1,2162,2103148.5
TQBR,2013-10-08,983.6,26794,26483334.8
TQBR,2013-10-09,998.5,3321,3312312.9
TQBR,2013-10-10,1023.0,23668,24277822.6
TQBR,2013-10-11,1020.0,10852,11094902.7
TQBR,2013-10-14,1038.3,7213,7437605.4
TQBR,2013-10-15,1037.8,10244,10618208.6
TQBR,2013-10-16,1033.9,20603,21365714.4
TQBR,2013-10-17,1011.1,7389,7504029.9
TQBR,2013-10-18,1013.9,19731,19905387.4
TQBR,2013-10-21,1006.1,4212,4244896.5
TQBR,2013-10-22,1000.0,8587,8612334.8
TQBR,2013-10-23,983.0,49074,48262053.4
TQBR,2013-10-24,970.7,5729,5584469.0
TQBR,2013-10-25,964.1,4081,3946817.8
TQBR,2013-10-28,960.2,5931,5712850.8
TQBR,2013-10-29,960.0,7721,7399575.9
TQBR,2013-10-30,964.1,6905,6600303.2
TQBR,2013-10-31,970.0,5532,5370130.6
TQBR,2013-11-01,986.5,3936,3893087.3
TQBR,2013-11-05,969.8,3824,3711195.0
TQBR,2013-11-06,951.5,12129,11646688.9
TQBR,2013-11-07,959.8,2976,2846117.4
TQBR,2013-11-08,953.1,4775,4543521.2
TQBR,2013-11-11,963.3,1742,1667723.4
TQBR,2013-11-12,977.0,3454,3346480.2
TQBR,2013-11-13,960.1,20895,20468549.8
TQBR,2013-11-14,991.9,3003,2960317.1
TQBR,2013-11-15,977.3,12795,12504323.6
TQBR,2013-11-18,988.1,6262,6203337.8
