BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,511.6,7686,3933795.4
TQBR,2014-06-10,507.0,11410,5790432.0
TQBR,2014-06-11,512.8,24528,12618711.9
TQBR,2014-06-16,517.0,13178,6805242.2
TQBR,2014-06-17,513.1,7502,3858260.2
TQBR,2014-06-18,511.2,13739,7013016.3
TQBR,2014-06-19,502.5,37300,18970931.2
TQBR,2014-06-20,504.6,40861,20630603.2
TQBR,2014-06-23,502.0,12107,6087352.6
TQBR,2014-06-24,499.7,26728,13332993.8
TQBR,2014-06-25,484.8,43112,21042474.1
TQBR,2014-06-26,478.9,44231,21249359.5
TQBR,2014-06-27,483.0,13604,6581844.5
TQBR,2014-06-30,482.0,5049,2429914.7
TQBR,2014-07-01,485.2,18706,9035803.4
TQBR,2014-07-02,482.0,10889,5247358.4
TQBR,2014-07-03,479.7,10749,5157767.7
TQBR,2014-07-04,478.0,8652,4135852.1
TQBR,2014-07-07,481.3,7128,3410760.0
TQBR,2014-07-08,480.1,10475,5051535.0
TQBR,2014-07-09,481.2,4176,2002796.7
TQBR,2014-07-10,477.2,11920,5697389.1
TQBR,2014-07-11,477.2,3126,1492196.8
TQBR,2014-07-14,473.0,9688,4595228.0
TQBR,2014-07-15,465.9,34082,15749480.7
TQBR,2014-07-16,506.0,85087,40969980.8
TQBR,2014-07-17,524.0,62470,31437805.8
TQBR,2014-07-18,519.9,47762,25217116.1
TQBR,2014-07-21,496.0,22948,11772299.5
TQBR,2014-07-22,504.7,9839,4923547.7
TQBR,2014-07-23,515.0,15225,7772607.9
TQBR,2014-07-24,500.8,12757,6437275.0
TQBR,2014-07-25,500.5,3343,1671977.2
TQBR,2014-07-28,490.4,10875,5415483.5
TQBR,2014-07-29,489.7,8208,3973644.1
TQBR,2014-07-30,481.2,4902,2380665.8
TQBR,2014-07-31,482.1,6359,3059855.0
TQBR,2014-08-01,481.5,8050,3866342.2
TQBR,2014-08-04,485.5,4330,2093194.0
TQBR,2014-08-05,488.0,2959,1437825.2
TQBR,2014-08-06,496.5,6395,3119073.8
TQBR,2014-08-07,485.6,12848,6242902.7
TQBR,2014-08-08,489.1,4971,2435936.0
TQBR,2014-08-11,495.4,6491,3228787.4
TQBR,2014-08-12,490.0,2663,1306797.0
TQBR,2014-08-13,497.5,4522,2237882.2
TQBR,2014-08-14,496.0,3580,1768541.1
TQBR,2014-08-15,492.9,8129,4014279.3
TQBR,2014-08-18,489.0,2278,1118080.3
TQBR,2014-08-19,488.7,3761,1840399.2
TQBR,2014-08-20,494.5,4121,2028060.5
TQBR,2014-08-21,493.0,5076,2507179.5
TQBR,2014-08-22,496.0,6028,2992750.6
TQBR,2014-08-25,494.5,7437,3656564.6
TQBR,2014-08-26,493.3,4641,2278787.3
