BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-12-17,994.8,461323,417228088.4
TQBR,2021-12-20,980.0,167540,168556342.4
TQBR,2021-12-21,922.4,65707,62052819.6
TQBR,2021-12-22,915.0,168904,147415158.0
TQBR,2021-12-23,904.0,26867,24075582.0
TQBR,2021-12-24,896.2,18220,16387951.8
TQBR,2021-12-27,875.8,29883,26194398.4
TQBR,2021-12-28,876.0,19887,17407099.2
TQBR,2021-12-29,859.4,17153,14760329.8
TQBR,2021-12-30,840.0,30692,25951755.2
TQBR,2022-01-03,849.4,21000,17883791.6
TQBR,2022-01-04,844.0,24930,21029879.0
TQBR,2022-01-05,838.0,11910,9999754.8
TQBR,2022-01-06,830.0,14241,11895072.2
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,784.0,84506,66555233.0
TQBR,2022-01-11,779.6,31182,24281570.6
TQBR,2022-01-12,800.0,38671,30400888.8
TQBR,2022-01-13,775.4,21211,16762897.0
TQBR,2022-01-14,788.8,22570,17723397.4
TQBR,2022-01-17,781.8,14199,11092333.2
TQBR,2022-01-18,743.0,19211,14448074.8
TQBR,2022-01-19,754.8,13733,10322129.8
TQBR,2022-01-20,757.0,8355,6311669.0
TQBR,2022-01-21,731.4,8274,6090587.6
TQBR,2022-01-24,643.0,71634,46514740.0
TQBR,2022-01-25,616.0,36933,22975533.0
TQBR,2022-01-26,618.0,28440,17566565.4
TQBR,2022-01-27,700.0,46432,31734046.6
TQBR,2022-01-28,728.0,51077,38443603.6
TQBR,2022-01-31,714.0,15926,11603901.6
TQBR,2022-02-01,700.2,17394,12306640.2
TQBR,2022-02-02,684.6,10336,7096438.4
TQBR,2022-02-03,667.8,19691,12996918.4
TQBR,2022-02-04,684.6,8860,6070556.2
TQBR,2022-02-07,688.2,5209,3584806.8
TQBR,2022-02-08,698.8,6291,4349340.6
TQBR,2022-02-09,706.0,10975,7779575.2
TQBR,2022-02-10,700.0,4557,3191079.0
TQBR,2022-02-11,689.8,5042,3472468.2
TQBR,2022-02-14,685.6,8243,5525210.4
TQBR,2022-02-15,700.0,5895,4120210.2
TQBR,2022-02-16,709.8,9144,6449761.0
TQBR,2022-02-17,688.8,12135,8446105.2
TQBR,2022-02-18,680.0,6584,4492390.4
TQBR,2022-02-21,619.2,22385,14232100.2
TQBR,2022-02-22,620.0,24910,14392212.8
TQBR,2022-02-23,,0,0.0
TQBR,2022-02-24,477.4,25054,12096807.6
TQBR,2022-02-25,560.4,19116,10622902.4
TQBR,2022-02-28,,0,0.0
TQBR,2022-03-01,,0,0.0
TQBR,2022-03-02,,0,0.0
TQBR,2022-03-03,,0,0.0
TQBR,2022-03-04,,0,0.0
TQBR,2022-03-09,,0,0.0
TQBR,2022-03-10,,0,0.0
TQBR,2022-03-11,,0,0.0
TQBR,2022-03-14,,0,0.0
TQBR,2022-03-15,,0,0.0
TQBR,2022-03-16,,0,0.0
TQBR,2022-03-17,,0,0.0
TQBR,2022-03-18,,0,0.0
TQBR,2022-03-21,,0,0.0
TQBR,2022-03-22,,0,0.0
TQBR,2022-03-23,,0,0.0
TQBR,2022-03-24,,0,0.0
TQBR,2022-03-25,,0,0.0
TQBR,2022-03-28,783.6,134810,105217684.2
TQBR,2022-03-29,1095.8,327041,344857680.8
TQBR,2022-03-30,970.6,241944,242682496.0
TQBR,2022-03-31,996.0,123282,122681073.0
TQBR,2022-04-01,1002.2,64348,64470776.6
TQBR,2022-04-04,1175.0,303588,336667599.0
TQBR,2022-04-05,1187.0,1278485,1610678986.6
TQBR,2022-04-06,1104.0,407701,462260834.8
TQBR,2022-04-07,1063.2,270291,283147198.0
TQBR,2022-04-08,1056.6,81825,87365867.4
TQBR,2022-04-11,1025.0,91583,94571473.2
TQBR,2022-04-12,955.0,164592,158299230.4
TQBR,2022-04-13,995.0,295063,292312096.8
TQBR,2022-04-14,958.0,63784,61555802.4
TQBR,2022-04-15,944.0,52987,50229653.0
TQBR,2022-04-18,947.4,40779,39043031.4
TQBR,2022-04-19,925.2,55717,51285832.2
TQBR,2022-04-20,910.0,73639,66828751.6
TQBR,2022-04-21,858.4,71410,62589674.4
TQBR,2022-04-22,898.8,103460,91970396.4
TQBR,2022-04-25,860.0,49210,42875661.8
TQBR,2022-04-26,881.8,42227,37005461.4
TQBR,2022-04-27,917.0,61060,55603013.0
TQBR,2022-04-28,912.6,82318,77972711.4
TQBR,2022-04-29,917.0,32360,29557326.4
TQBR,2022-05-04,926.0,73833,69110823.6
TQBR,2022-05-05,935.8,45040,42063586.8
TQBR,2022-05-06,926.0,27350,25309815.6
TQBR,2022-05-11,950.0,40876,38677627.2
TQBR,2022-05-12,965.6,118738,115847872.2
TQBR,2022-05-13,949.0,67136,63728753.6
TQBR,2022-05-16,960.0,41495,39686322.2
TQBR,2022-05-17,963.6,26511,25511177.0
TQBR,2022-05-18,955.0,51926,49814244.2
TQBR,2022-05-19,951.0,22929,21658152.6
TQBR,2022-05-20,920.0,53884,50059805.6
