BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-07-12,407.0,710751,282664446.15
TQBR,2024-07-15,401.05,147147,59166087.65
TQBR,2024-07-16,400.0,84978,34106194.75
TQBR,2024-07-17,401.0,59715,23941427.55
TQBR,2024-07-18,402.25,155779,62509714.15
TQBR,2024-07-19,400.7,188899,75496614.3
TQBR,2024-07-22,400.0,62552,25031538.2
TQBR,2024-07-23,400.5,59894,24017420.05
TQBR,2024-07-24,405.3,50569,20345133.45
TQBR,2024-07-25,420.5,150875,63710234.6
TQBR,2024-07-26,413.0,33744,14025498.6
TQBR,2024-07-29,405.0,96506,40221499.9
TQBR,2024-07-30,410.1,40389,16546359.85
TQBR,2024-07-31,415.1,118181,49905803.9
TQBR,2024-08-01,419.3,34235,14369996.25
TQBR,2024-08-02,422.05,86588,36878136.25
TQBR,2024-08-05,409.5,44420,18056068.9
TQBR,2024-08-06,405.5,24581,10071190.85
TQBR,2024-08-07,408.0,15838,6449542.15
TQBR,2024-08-08,407.0,29429,12101837.55
TQBR,2024-08-09,405.05,30941,12514607.35
TQBR,2024-08-12,402.1,28796,11651749.6
TQBR,2024-08-13,404.2,84696,34273788.15
TQBR,2024-08-14,401.0,25573,10298098.45
TQBR,2024-08-15,399.55,58367,23389549.25
TQBR,2024-08-16,398.0,124241,50324543.55
TQBR,2024-08-19,392.0,36157,14333845.25
TQBR,2024-08-20,393.3,58965,23237268.05
TQBR,2024-08-21,391.05,23012,9080783.75
TQBR,2024-08-22,378.05,26683,10250680.1
TQBR,2024-08-23,361.75,50969,18547060.4
TQBR,2024-08-26,374.0,13916,5185474.7
TQBR,2024-08-27,365.7,17370,6404971.8
TQBR,2024-08-28,359.8,10241,3708204.65
TQBR,2024-08-29,358.65,77628,27694705.0
TQBR,2024-08-30,361.1,71005,25292544.0
TQBR,2024-09-02,362.25,38672,13716859.75
TQBR,2024-09-03,349.0,11208,3992521.2
TQBR,2024-09-04,349.95,21009,7275677.35
TQBR,2024-09-05,362.0,16352,5843819.4
TQBR,2024-09-06,393.15,213614,84406913.05
TQBR,2024-09-09,399.6,26367,10585891.65
TQBR,2024-09-10,408.7,44222,17952844.9
TQBR,2024-09-11,411.2,95144,39924489.55
TQBR,2024-09-12,407.95,36336,14642987.0
TQBR,2024-09-13,407.5,40995,16635512.85
TQBR,2024-09-16,408.1,20377,8317501.75
TQBR,2024-09-17,404.7,12093,4914355.05
TQBR,2024-09-18,400.0,21283,8522311.55
TQBR,2024-09-19,399.35,35629,14275740.1
TQBR,2024-09-20,400.55,49528,19935973.6
TQBR,2024-09-23,405.6,484652,199194099.85
TQBR,2024-09-24,393.9,171770,68325914.5
TQBR,2024-09-25,379.4,61112,23710134.65
TQBR,2024-09-26,381.0,571445,228300873.75
TQBR,2024-09-27,381.6,77052,29509398.7
TQBR,2024-09-30,382.5,72264,27773906.3
TQBR,2024-10-01,375.2,74293,28090074.65
TQBR,2024-10-02,373.6,42942,16280651.6
TQBR,2024-10-03,368.45,53920,19834462.85
TQBR,2024-10-04,381.15,573077,226353107.5
TQBR,2024-10-07,383.7,306015,119883440.05
TQBR,2024-10-08,376.75,85634,32516678.85
TQBR,2024-10-09,379.7,90137,34438244.25
TQBR,2024-10-10,382.6,90202,34877456.5
TQBR,2024-10-11,379.0,45207,17105039.05
TQBR,2024-10-14,380.0,86310,32651144.05
TQBR,2024-10-15,376.35,79328,30026246.55
TQBR,2024-10-16,374.2,61746,23389915.0
TQBR,2024-10-17,373.2,107150,40330449.8
TQBR,2024-10-18,371.4,27965,10415449.0
TQBR,2024-10-21,372.25,36200,13493801.4
TQBR,2024-10-22,372.95,11628,4335948.25
TQBR,2024-10-23,371.25,20989,7799344.35
TQBR,2024-10-24,371.0,23924,8832666.2
TQBR,2024-10-25,361.0,27179,9966031.05
TQBR,2024-10-28,332.2,109349,37571564.95
TQBR,2024-10-29,341.55,43210,14624652.15
TQBR,2024-10-30,340.2,35182,11994874.85
TQBR,2024-10-31,343.7,43788,14714879.75
TQBR,2024-11-01,338.95,27185,9214263.65
TQBR,2024-11-02,338.75,13409,4551041.4
TQBR,2024-11-05,338.85,11348,3857116.45
TQBR,2024-11-06,339.85,99323,33766507.25
TQBR,2024-11-07,332.2,49102,16320244.7
TQBR,2024-11-08,330.1,42108,13927647.3
TQBR,2024-11-11,330.6,71027,23611885.85
TQBR,2024-11-12,332.5,28816,9528380.35
TQBR,2024-11-13,334.55,48063,16077827.15
TQBR,2024-11-14,329.2,34378,11385224.05
TQBR,2024-11-15,330.15,19135,6301848.55
TQBR,2024-11-18,324.5,29575,9627057.35
TQBR,2024-11-19,318.55,24219,7771990.8
TQBR,2024-11-20,319.15,18723,5995496.95
TQBR,2024-11-21,308.6,31785,9884508.2
TQBR,2024-11-22,317.35,41920,13465747.6
TQBR,2024-11-25,305.6,23910,7435869.5
TQBR,2024-11-26,285.0,48031,14335178.9
TQBR,2024-11-27,291.0,80775,23824367.5
TQBR,2024-11-28,295.5,13129,3889298.65
TQBR,2024-11-29,308.3,49711,15307675.6
TQBR,2024-12-02,325.65,98266,31958124.05
TQBR,2024-12-03,318.05,44177,14124909.25
TQBR,2024-12-04,316.1,47688,15248593.75
TQBR,2024-12-05,311.15,23736,7394032.55
TQBR,2024-12-06,312.0,16776,5231571.15
TQBR,2024-12-09,316.1,30744,9688023.3
TQBR,2024-12-10,310.0,13062,4089266.65
TQBR,2024-12-11,309.9,9913,3084656.15
TQBR,2024-12-12,309.95,26286,8179418.85
TQBR,2024-12-13,307.4,14769,4542630.8
TQBR,2024-12-16,289.45,43586,12879450.65
TQBR,2024-12-17,278.85,82472,23417227.9
TQBR,2024-12-18,286.0,35001,9939091.3
TQBR,2024-12-19,285.65,33448,9587947.95
TQBR,2024-12-20,298.0,152001,44410795.8
TQBR,2024-12-23,300.0,59858,18047588.0
TQBR,2024-12-24,293.3,32580,9691554.6
TQBR,2024-12-25,296.7,66362,19560262.85
TQBR,2024-12-26,314.85,140822,44380454.05
TQBR,2024-12-27,317.9,87371,27209691.7
TQBR,2024-12-28,326.6,89293,29051345.95
TQBR,2024-12-30,355.25,268101,97566994.85
TQBR,2025-01-03,393.0,682772,268215762.3
TQBR,2025-01-06,398.0,665598,268718173.0
TQBR,2025-01-08,379.5,343236,131177807.85
TQBR,2025-01-09,353.15,204404,73001667.6
TQBR,2025-01-10,368.2,172532,63144122.7
TQBR,2025-01-13,382.05,153777,58669238.6
TQBR,2025-01-14,387.85,113368,43792475.6
TQBR,2025-01-15,380.5,82770,31983101.25
TQBR,2025-01-16,384.6,60092,23181922.35
TQBR,2025-01-17,384.4,44190,17028349.3
TQBR,2025-01-20,394.4,295881,117359255.2
TQBR,2025-01-21,382.8,59291,22910055.35
