BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,20.98,1838580,39210576.4
TQBR,2014-06-10,20.93,834270,17466966.9
TQBR,2014-06-11,20.83,1105020,23021238.7
TQBR,2014-06-16,20.41,1518880,30978606.0
TQBR,2014-06-17,20.15,1653990,33872696.1
TQBR,2014-06-18,20.45,837000,17133596.3
TQBR,2014-06-19,20.3,2637120,54922547.0
TQBR,2014-06-20,20.1,1370390,27804622.4
TQBR,2014-06-23,19.93,2015530,40325135.7
TQBR,2014-06-24,20.16,2412110,48728857.4
TQBR,2014-06-25,19.7,1571540,31219057.2
TQBR,2014-06-26,19.65,1325680,26227003.5
TQBR,2014-06-27,19.7,1185980,23434416.4
TQBR,2014-06-30,19.62,768510,15141502.9
TQBR,2014-07-01,19.4,1617900,31580308.2
TQBR,2014-07-02,19.0,4338200,82949702.5
TQBR,2014-07-03,19.02,1566260,29966303.6
TQBR,2014-07-04,19.8,6675640,133184275.6
TQBR,2014-07-07,20.13,2420580,48733214.6
TQBR,2014-07-08,19.78,2005690,40091758.4
TQBR,2014-07-09,19.45,1374580,26982817.0
TQBR,2014-07-10,19.1,2499310,47852829.4
TQBR,2014-07-11,18.93,1650750,31321125.6
TQBR,2014-07-14,19.03,1230590,23612967.9
TQBR,2014-07-15,19.3,1734590,33439780.7
TQBR,2014-07-16,19.2,1309710,25267287.5
TQBR,2014-07-17,18.92,1433880,27076125.2
TQBR,2014-07-18,19.91,4068410,78091701.0
TQBR,2014-07-21,18.63,3864630,74203908.5
TQBR,2014-07-22,18.74,2356960,44184600.2
TQBR,2014-07-23,18.35,2780430,51248742.8
TQBR,2014-07-24,18.96,3610790,66639736.9
TQBR,2014-07-25,18.44,1525920,28449610.2
TQBR,2014-07-28,17.87,2264620,40501667.0
TQBR,2014-07-29,18.03,1235180,22155126.5
TQBR,2014-07-30,18.24,1074880,19618803.5
TQBR,2014-07-31,18.04,1068320,19399202.3
TQBR,2014-08-01,17.88,1576780,27959789.7
TQBR,2014-08-04,17.93,1073910,19353258.5
TQBR,2014-08-05,17.65,766570,13586588.7
TQBR,2014-08-06,17.22,1757800,30368254.9
TQBR,2014-08-07,16.98,1718520,29020153.7
TQBR,2014-08-08,17.73,2470580,42763065.5
TQBR,2014-08-11,18.2,1086000,19583526.0
TQBR,2014-08-12,18.2,6923260,130336507.8
TQBR,2014-08-13,18.52,1855540,34048475.2
TQBR,2014-08-14,18.52,787820,14602359.5
TQBR,2014-08-15,18.6,1615600,29969031.4
TQBR,2014-08-18,18.43,933960,17411567.8
TQBR,2014-08-19,18.65,881390,16393054.7
TQBR,2014-08-20,19.06,2414630,45789996.1
TQBR,2014-08-21,19.02,3168890,61163418.7
TQBR,2014-08-22,18.84,1527610,28809524.9
TQBR,2014-08-25,19.18,1284700,24667030.9
TQBR,2014-08-26,18.9,1889890,35725399.8
TQBR,2014-08-27,18.83,415230,7871854.8
TQBR,2014-08-28,18.45,1245830,23034430.8
TQBR,2014-08-29,18.32,737370,13592277.7
TQBR,2014-09-01,18.15,965190,17622475.3
TQBR,2014-09-02,18.3,1400620,25273355.9
TQBR,2014-09-03,18.93,1496670,27985719.4
TQBR,2014-09-04,18.85,1085490,20367820.9
TQBR,2014-09-05,19.0,1331780,25330110.3
TQBR,2014-09-08,18.85,888710,16801432.0
TQBR,2014-09-09,19.01,924100,17593815.8
TQBR,2014-09-10,18.89,553050,10470762.3
TQBR,2014-09-11,18.34,1740580,32572834.8
TQBR,2014-09-12,18.52,1026020,18875787.2
TQBR,2014-09-15,18.36,562330,10389813.1
TQBR,2014-09-16,18.56,908260,16832879.9
TQBR,2014-09-17,18.1,2969090,53429320.0
TQBR,2014-09-18,18.24,1027760,18856915.8
TQBR,2014-09-19,18.25,1129780,20426192.3
